COP,•‰‰×—¦
2.571428571,0.036
2.472222222,0.356
2.376811594,0.328
1.176470588,0.08
1.041666667,0.05
0.916666667,0.044
1,0.046
0.909090909,0.04
0.863636364,0.038
1.970588235,0.134
2.5,0.15
1.642857143,0.046
0,0
2.333333333,0.028
2.833333333,0.17
1.285714286,0.018
2.161290323,0.134
0.956521739,0.044
2.272727273,0.15
2.473684211,0.188
2.787878788,0.184
2.8125,0.18
2.727272727,0.18
2.409090909,0.106
1.6,0.048
1.642857143,0.046
1.4,0.014
2.644444444,0.238
3.03125,0.194
1.466666667,0.044
2.043478261,0.094
2.191489362,0.206
2.481481481,0.134
2.208333333,0.106
2.285714286,0.128
3,0.12
2.625,0.042
3,0.024
3.5,0.014
1.714285714,0.048
2.055555556,0.074
2.235294118,0.152
2.925925926,0.158
2.227272727,0.098
2,0.012
3.565217391,0.164
1.7,0.102
2.666666667,0.112
1.666666667,0.05
1.733333333,0.052
1.25,0.01
1.6,0.032
1.285714286,0.018
1.666666667,0.05
1.647058824,0.056
1.714285714,0.048
1.642857143,0.046
1.571428571,0.044
1.571428571,0.044
1.571428571,0.044
1.714285714,0.048
2.176470588,0.074
2.821428571,0.158
2.888888889,0.156
2.971428571,0.208
1.75,0.056
3.296296296,0.178
3.346153846,0.174
3.514285714,0.246
1.875,0.06
1.642857143,0.046
1.714285714,0.048
3.272727273,0.144
3.363636364,0.074
3.5,0.014
3,0.012
3.043478261,0.14
3.705882353,0.252
3.358490566,0.356
2.909090909,0.128
2.956521739,0.136
1.538461538,0.04
1.785714286,0.05
0,0
3.444444444,0.062
3.25,0.026
3.285714286,0.138
2.517241379,0.146
2.541666667,0.122
2.304347826,0.106
2.409090909,0.106
2.741935484,0.17
4.064516129,0.252
3.5,0.168
2.866666667,0.086
3.5,0.042
3.4,0.102
2.7,0.054
2.9375,0.094
2.666666667,0.048
2.571428571,0.036
2.291666667,0.11
2.8,0.14
1.571428571,0.044
1.571428571,0.044
1.571428571,0.044
1.785714286,0.05
1.666666667,0.05
1.75,0.028
3.272727273,0.072
3,0.036
3,0.126
2.608695652,0.12
2.416666667,0.174
2.434782609,0.112
2.555555556,0.092
1.428571429,0.02
1.642857143,0.046
2,0.012
