,ì˙éû,äOãCâ∑ìx,Teê›íË,Tcê›íË,TeïΩãœíl,TcïΩãœíl,é∫äOã@â^ì]éûä‘,è¡îÔìdóÕó ,êœéZó‚ñ[î\óÕ,êœéZígñ[î\óÕ,COP
0,2022-07-01 00:00:00,29,3,Çl,0,0,0,0,0,0,NaN
1,2022-07-01 01:00:00,29,2,Çl,0,0,0,0,0,0,NaN
2,2022-07-01 02:00:00,28,2,Çl,0,0,0,0,0,0,NaN
3,2022-07-01 03:00:00,28,2,Çl,0,0,0,0,0,0,NaN
4,2022-07-01 04:00:00,28,2,Çl,0,0,0,0,0,0,NaN
5,2022-07-01 05:00:00,30,2,Çl,0,0,0,0,0,0,NaN
6,2022-07-01 06:00:00,31,2,Çl,0,0,0,0,0,0,NaN
7,2022-07-01 07:00:00,32,2,Çl,4.3,38.6,34,2.3,7,0,3.0434782608695654
8,2022-07-01 08:00:00,32,2,Çl,4.2,39,30,1.8,5.5,0,3.0555555555555554
9,2022-07-01 09:00:00,33,2,Çl,4.1,40.3,42,2.5,7.1,0,2.84
10,2022-07-01 10:00:00,35,2,Çl,4.6,40.6,43,2.1,5.9,0,2.8095238095238098
11,2022-07-01 11:00:00,36,2,Çl,4,43.3,40,2.8,7.4,0,2.6428571428571432
12,2022-07-01 12:00:00,37,2,Çl,4.2,43.8,47,3,7.5,0,2.5
13,2022-07-01 13:00:00,38,2,Çl,4.7,45,44,3.1,8,0,2.5806451612903225
14,2022-07-01 14:00:00,37,2,Çl,4.5,44.5,40,3.1,8.1,0,2.6129032258064515
15,2022-07-01 15:00:00,38,2,Çl,3.1,46.4,47,5.1,13,0,2.5490196078431375
16,2022-07-01 16:00:00,33,2,Çl,3.6,42.7,41,3.2,9,0,2.8125
17,2022-07-01 17:00:00,32,2,Çl,4.2,39.3,35,1.9,6.2,0,3.2631578947368425
18,2022-07-01 18:00:00,32,2,Çl,3,42.3,35,4.1,11.1,0,2.707317073170732
19,2022-07-01 19:00:00,32,2,Çl,0.5,43.2,60,8.5,22.1,0,2.6
20,2022-07-01 20:00:00,29,2,Çl,5.2,37.6,19,1.4,4.5,0,3.2142857142857144
21,2022-07-01 21:00:00,30,2,Çl,0.3,41,54,7.2,18.8,0,2.611111111111111
22,2022-07-01 22:00:00,28,2,Çl,0,0,0,0,0,0,NaN
23,2022-07-01 23:00:00,28,2,Çl,0,0,0,0,0,0,NaN
24,2022-07-02 00:00:00,27,2,Çl,0,0,0,0,0,0,NaN
25,2022-07-02 01:00:00,27,4,Çl,0,0,0,0,0,0,NaN
26,2022-07-02 02:00:00,27,4,Çl,0,0,0,0,0,0,NaN
27,2022-07-02 03:00:00,27,4,Çl,0,0,0,0,0,0,NaN
28,2022-07-02 04:00:00,27,4,Çl,0,0,0,0,0,0,NaN
29,2022-07-02 05:00:00,27,4,Çl,0,0,0,0,0,0,NaN
30,2022-07-02 06:00:00,30,3,Çl,0,0,0,0,0,0,NaN
31,2022-07-02 07:00:00,33,4,Çl,0,0,0,0,0,0,NaN
32,2022-07-02 08:00:00,32,4,Çl,10,36.5,6,0.2,0.8,0,4.0
33,2022-07-02 09:00:00,34,4,Çl,9.1,40.2,60,3.5,14.5,0,4.142857142857143
34,2022-07-02 10:00:00,36,3,Çl,3.6,45,60,5.9,18.5,0,3.1355932203389827
35,2022-07-02 11:00:00,37,3,Çl,3.7,46.1,60,6.1,18.4,0,3.0163934426229506
36,2022-07-02 12:00:00,37,3,Çl,3.4,46.4,60,6.2,18.2,0,2.9354838709677415
37,2022-07-02 13:00:00,37,3,Çl,3.6,46.7,60,6.2,18.2,0,2.9354838709677415
38,2022-07-02 14:00:00,37,3,Çl,3.3,46.3,60,6.1,18.1,0,2.9672131147540988
39,2022-07-02 15:00:00,35,3,Çl,2.6,44.8,60,5.9,18,0,3.0508474576271185
40,2022-07-02 16:00:00,35,3,Çl,2.8,44,60,5.7,17.3,0,3.0350877192982457
41,2022-07-02 17:00:00,33,3,Çl,2.8,42.6,60,6,17.8,0,2.966666666666667
42,2022-07-02 18:00:00,31,4,Çl,9,37.2,16,0.7,2.8,0,4.0
43,2022-07-02 19:00:00,31,4,Çl,8.4,37.5,60,3.6,13.3,0,3.6944444444444446
44,2022-07-02 20:00:00,29,4,Çl,0,0,0,0,0,0,NaN
45,2022-07-02 21:00:00,28,4,Çl,0,0,0,0,0,0,NaN
46,2022-07-02 22:00:00,28,3,Çl,0,0,0,0,0,0,NaN
47,2022-07-02 23:00:00,28,3,Çl,0,0,0,0,0,0,NaN
48,2022-07-03 00:00:00,28,3,Çl,0,0,0,0,0,0,NaN
49,2022-07-03 01:00:00,28,3,Çl,0,0,0,0,0,0,NaN
50,2022-07-03 02:00:00,27,3,Çl,0,0,0,0,0,0,NaN
51,2022-07-03 03:00:00,27,3,Çl,0,0,0,0,0,0,NaN
52,2022-07-03 04:00:00,28,4,Çl,0,0,0,0,0,0,NaN
53,2022-07-03 05:00:00,28,4,Çl,0,0,0,0,0,0,NaN
54,2022-07-03 06:00:00,29,3,Çl,0,0,0,0,0,0,NaN
55,2022-07-03 07:00:00,30,3,Çl,0,0,0,0,0,0,NaN
56,2022-07-03 08:00:00,32,4,Çl,20.5,35,2,0.1,0.2,0,2.0
57,2022-07-03 09:00:00,32,4,Çl,4.6,39.9,42,3.4,10.1,0,2.9705882352941178
58,2022-07-03 10:00:00,32,4,Çl,6.1,38.6,47,2.5,8.1,0,3.2399999999999998
59,2022-07-03 11:00:00,34,3,Çl,5.6,39.4,35,1.6,5.2,0,3.25
60,2022-07-03 12:00:00,33,3,Çl,5.7,38.7,37,1.6,5.1,0,3.1874999999999996
61,2022-07-03 13:00:00,32,3,Çl,5.8,38.3,28,1.2,3.7,0,3.0833333333333335
62,2022-07-03 14:00:00,32,3,Çl,4.8,37.7,27,0.9,2.8,0,3.1111111111111107
63,2022-07-03 15:00:00,32,4,Çl,5.8,37.2,23,0.8,2.6,0,3.25
64,2022-07-03 16:00:00,30,4,Çl,5.4,37.2,16,0.5,1.6,0,3.2
65,2022-07-03 17:00:00,29,4,Çl,6,36.6,27,0.7,2.9,0,4.142857142857143
66,2022-07-03 18:00:00,30,4,Çl,0,0,0,0,0,0,NaN
67,2022-07-03 19:00:00,30,4,Çl,0,0,0,0,0,0,NaN
68,2022-07-03 20:00:00,28,3,Çl,0,0,0,0,0,0,NaN
69,2022-07-03 21:00:00,27,3,Çl,0,0,0,0,0,0,NaN
70,2022-07-03 22:00:00,27,4,Çl,0,0,0,0,0,0,NaN
71,2022-07-03 23:00:00,27,4,Çl,0,0,0,0,0,0,NaN
72,2022-07-04 00:00:00,27,3,Çl,0,0,0,0,0,0,NaN
73,2022-07-04 01:00:00,27,3,Çl,0,0,0,0,0,0,NaN
74,2022-07-04 02:00:00,27,3,Çl,0,0,0,0,0,0,NaN
75,2022-07-04 03:00:00,26,4,Çl,0,0,0,0,0,0,NaN
76,2022-07-04 04:00:00,26,4,Çl,0,0,0,0,0,0,NaN
77,2022-07-04 05:00:00,27,4,Çl,0,0,0,0,0,0,NaN
78,2022-07-04 06:00:00,28,4,Çl,0,0,0,0,0,0,NaN
79,2022-07-04 07:00:00,27,4,Çl,5.9,36.6,33,2.2,8.6,0,3.9090909090909087
80,2022-07-04 08:00:00,26,4,Çl,6.3,32.7,60,2,9,0,4.5
81,2022-07-04 09:00:00,25,5,Çl,8.4,30.4,60,1.2,5.4,0,4.500000000000001
82,2022-07-04 10:00:00,27,5,Çl,7.6,34.6,40,1.3,6.2,0,4.769230769230769
83,2022-07-04 11:00:00,28,4,Çl,6.1,34.9,47,1.4,5.9,0,4.214285714285714
84,2022-07-04 12:00:00,27,4,Çl,6,34.6,38,1.3,5.2,0,4.0
85,2022-07-04 13:00:00,29,4,Çl,5.6,34.9,41,1.5,5.3,0,3.533333333333333
86,2022-07-04 14:00:00,29,3,Çl,4.8,35.9,41,1.5,5.5,0,3.6666666666666665
87,2022-07-04 15:00:00,30,4,Çl,5.1,35.9,36,1.5,5.4,0,3.6
88,2022-07-04 16:00:00,29,4,Çl,4.7,35,29,1,3.6,0,3.6
89,2022-07-04 17:00:00,29,4,Çl,5.8,36.8,53,1.6,6,0,3.75
90,2022-07-04 18:00:00,29,3,Çl,0,0,0,0,0,0,NaN
91,2022-07-04 19:00:00,27,3,Çl,0,0,0,0,0,0,NaN
92,2022-07-04 20:00:00,26,4,Çl,0,0,0,0,0,0,NaN
93,2022-07-04 21:00:00,26,4,Çl,0,0,0,0,0,0,NaN
94,2022-07-04 22:00:00,26,4,Çl,0,0,0,0,0,0,NaN
95,2022-07-04 23:00:00,25,4,Çl,0,0,0,0,0,0,NaN
96,2022-07-05 00:00:00,25,4,Çl,0,0,0,0,0,0,NaN
97,2022-07-05 01:00:00,25,4,Çl,0,0,0,0,0,0,NaN
98,2022-07-05 02:00:00,25,4,Çl,0,0,0,0,0,0,NaN
99,2022-07-05 03:00:00,25,4,Çl,0,0,0,0,0,0,NaN
100,2022-07-05 04:00:00,24,4,Çl,0,0,0,0,0,0,NaN
101,2022-07-05 05:00:00,25,4,Çl,0,0,0,0,0,0,NaN
102,2022-07-05 06:00:00,27,4,Çl,0,0,0,0,0,0,NaN
103,2022-07-05 07:00:00,27,5,Çl,7.6,34.7,16,0.6,2.5,0,4.166666666666667
104,2022-07-05 08:00:00,30,5,Çl,0,0,0,0,0,0,NaN
105,2022-07-05 09:00:00,30,5,Çl,9.3,35.6,33,1,4.4,0,4.4
106,2022-07-05 10:00:00,31,5,Çl,11.1,35.5,60,2.1,8.8,0,4.190476190476191
107,2022-07-05 11:00:00,31,5,Çl,10.1,35.7,60,2.1,7.8,0,3.714285714285714
108,2022-07-05 12:00:00,31,5,Çl,11.1,35.1,60,2,8.5,0,4.25
109,2022-07-05 13:00:00,28,5,Çl,9.8,32.9,49,1.6,7.2,0,4.5
110,2022-07-05 14:00:00,28,5,Çl,8.2,33.8,56,1.6,7.3,0,4.5625
111,2022-07-05 15:00:00,27,5,Çl,9,33.3,60,1.8,8.7,0,4.833333333333333
112,2022-07-05 16:00:00,26,5,Çl,6.7,32.1,51,1.3,5.7,0,4.384615384615385
113,2022-07-05 17:00:00,25,5,Çl,6.9,34.1,40,1.1,5.3,0,4.8181818181818175
114,2022-07-05 18:00:00,26,4,Çl,5.9,34.2,51,2.1,8.5,0,4.0476190476190474
115,2022-07-05 19:00:00,26,4,Çl,5.1,35.4,60,3.1,12,0,3.8709677419354835
116,2022-07-05 20:00:00,25,4,Çl,5.5,36.5,42,2.3,9.1,0,3.956521739130435
117,2022-07-05 21:00:00,25,5,Çl,6.2,37,60,3.3,13.9,0,4.212121212121213
118,2022-07-05 22:00:00,25,5,Çl,0,0,0,0,0,0,NaN
119,2022-07-05 23:00:00,24,5,Çl,0,0,0,0,0,0,NaN
120,2022-07-06 00:00:00,23,4,Çl,0,0,0,0,0,0,NaN
121,2022-07-06 01:00:00,23,4,Çl,0,0,0,0,0,0,NaN
122,2022-07-06 02:00:00,23,4,Çl,0,0,0,0,0,0,NaN
123,2022-07-06 03:00:00,23,4,Çl,0,0,0,0,0,0,NaN
124,2022-07-06 04:00:00,23,4,Çl,0,0,0,0,0,0,NaN
125,2022-07-06 05:00:00,23,4,Çl,0,0,0,0,0,0,NaN
126,2022-07-06 06:00:00,24,4,Çl,0,0,0,0,0,0,NaN
127,2022-07-06 07:00:00,25,5,Çl,0,0,0,0,0,0,NaN
128,2022-07-06 08:00:00,27,4,Çl,8.8,32.8,6,0.1,0.7,0,6.999999999999999
129,2022-07-06 09:00:00,29,5,Çl,9.1,34.7,60,1.8,8.5,0,4.722222222222222
130,2022-07-06 10:00:00,30,5,Çl,9.5,35.7,53,1.7,7.6,0,4.470588235294118
131,2022-07-06 11:00:00,31,5,Çl,9.8,36.1,52,1.7,7.3,0,4.294117647058823
132,2022-07-06 12:00:00,32,5,Çl,10.8,36.5,60,2.1,8.7,0,4.142857142857142
133,2022-07-06 13:00:00,29,4,Çl,6.2,34.9,45,1.6,6.1,0,3.8124999999999996
134,2022-07-06 14:00:00,28,4,Çl,5.9,33,43,1.4,5.3,0,3.785714285714286
135,2022-07-06 15:00:00,29,5,Çl,9.3,35.7,45,1.4,6.5,0,4.642857142857143
136,2022-07-06 16:00:00,29,5,Çl,8.5,34.4,51,1.5,6,0,4.0
137,2022-07-06 17:00:00,28,5,Çl,7.8,35.2,37,1.1,5,0,4.545454545454545
138,2022-07-06 18:00:00,28,5,Çl,6.8,37.6,55,3,12.4,0,4.133333333333334
139,2022-07-06 19:00:00,27,5,Çl,5.9,37.4,60,3.7,14.6,0,3.9459459459459456
140,2022-07-06 20:00:00,25,5,Çl,6.2,35.6,47,2.2,9,0,4.090909090909091
141,2022-07-06 21:00:00,25,5,Çl,6.7,35.9,60,2.9,11.9,0,4.103448275862069
142,2022-07-06 22:00:00,23,4,Çl,5.4,31.9,30,0.7,3.4,0,4.857142857142858
143,2022-07-06 23:00:00,23,4,Çl,7,32.7,37,1,5,0,5.0
144,2022-07-07 00:00:00,23,4,Çl,0,0,0,0,0,0,NaN
145,2022-07-07 01:00:00,23,4,Çl,0,0,0,0,0,0,NaN
146,2022-07-07 02:00:00,23,4,Çl,0,0,0,0,0,0,NaN
147,2022-07-07 03:00:00,23,4,Çl,0,0,0,0,0,0,NaN
148,2022-07-07 04:00:00,23,4,Çl,0,0,0,0,0,0,NaN
149,2022-07-07 05:00:00,24,4,Çl,0,0,0,0,0,0,NaN
150,2022-07-07 06:00:00,24,4,Çl,0,0,0,0,0,0,NaN
151,2022-07-07 07:00:00,25,4,Çl,13,30.8,5,0.1,0.5,0,5.0
152,2022-07-07 08:00:00,25,4,Çl,6.6,33.3,30,0.8,3.7,0,4.625
153,2022-07-07 09:00:00,26,5,Çl,8.1,34.7,35,0.9,4.1,0,4.555555555555555
154,2022-07-07 10:00:00,26,5,Çl,3.9,31,15,0.3,1.2,0,4.0
155,2022-07-07 11:00:00,28,5,Çl,6.9,35,46,1.5,6.1,0,4.066666666666666
156,2022-07-07 12:00:00,29,4,Çl,5.9,36.6,48,2.3,9.5,0,4.130434782608696
157,2022-07-07 13:00:00,30,4,Çl,6.2,36.2,60,3,11.7,0,3.9
158,2022-07-07 14:00:00,30,4,Çl,6.1,36.4,60,2.8,10.5,0,3.7500000000000004
