,ì˙éû,äOãCâ∑ìx,Teê›íË,Tcê›íË,TeïΩãœíl,TcïΩãœíl,é∫äOã@â^ì]éûä‘,è¡îÔìdóÕó ,êœéZó‚ñ[î\óÕ,êœéZígñ[î\óÕ,COP
0,2022-07-01 00:00:00,31,3,Çl,0,0,0,0,0,0,NaN
1,2022-07-01 01:00:00,30,2,Çl,0,0,0,0,0,0,NaN
2,2022-07-01 02:00:00,30,2,Çl,0,0,0,0,0,0,NaN
3,2022-07-01 03:00:00,29,2,Çl,0,0,0,0,0,0,NaN
4,2022-07-01 04:00:00,29,2,Çl,0,0,0,0,0,0,NaN
5,2022-07-01 05:00:00,30,2,Çl,0,0,0,0,0,0,NaN
6,2022-07-01 06:00:00,30,2,Çl,2.5,35.3,32,0.8,2,0,2.5
7,2022-07-01 07:00:00,32,2,Çl,0.8,36.8,43,1.6,4.1,0,2.5624999999999996
8,2022-07-01 08:00:00,34,2,Çl,2.5,45.2,60,9.7,24.6,0,2.5360824742268044
9,2022-07-01 09:00:00,36,2,Çl,3.2,49.6,60,12.3,31.5,0,2.5609756097560976
10,2022-07-01 10:00:00,38,2,Çl,2.9,51,60,12.9,31.4,0,2.434108527131783
11,2022-07-01 11:00:00,40,2,Çl,2.2,51.9,60,14.9,32.7,0,2.1946308724832218
12,2022-07-01 12:00:00,41,2,Çl,3.2,52.4,60,13.9,31,0,2.2302158273381294
13,2022-07-01 13:00:00,41,2,Çl,2.7,52.8,60,14.6,31.2,0,2.136986301369863
14,2022-07-01 14:00:00,40,2,Çl,2.3,52.1,60,14.8,32.2,0,2.175675675675676
15,2022-07-01 15:00:00,37,2,Çl,4.6,42.5,60,4,9.4,0,2.35
16,2022-07-01 16:00:00,36,2,Çl,4.7,40.9,60,3.6,9.1,0,2.5277777777777777
17,2022-07-01 17:00:00,34,2,Çl,1,39,1,0.1,0.1,0,1.0
18,2022-07-01 18:00:00,33,2,Çl,0,0,0,0,0,0,NaN
19,2022-07-01 19:00:00,32,2,Çl,0,0,0,0,0,0,NaN
20,2022-07-01 20:00:00,30,2,Çl,0,0,0,0,0,0,NaN
21,2022-07-01 21:00:00,30,2,Çl,0,0,0,0,0,0,NaN
22,2022-07-01 22:00:00,30,2,Çl,0,0,0,0,0,0,NaN
23,2022-07-01 23:00:00,29,2,Çl,0,0,0,0,0,0,NaN
24,2022-07-02 00:00:00,29,2,Çl,0,0,0,0,0,0,NaN
25,2022-07-02 01:00:00,29,4,Çl,0,0,0,0,0,0,NaN
26,2022-07-02 02:00:00,28,4,Çl,0,0,0,0,0,0,NaN
27,2022-07-02 03:00:00,28,4,Çl,0,0,0,0,0,0,NaN
28,2022-07-02 04:00:00,28,4,Çl,0,0,0,0,0,0,NaN
29,2022-07-02 05:00:00,29,4,Çl,0,0,0,0,0,0,NaN
30,2022-07-02 06:00:00,30,5,Çl,0,0,0,0,0,0,NaN
31,2022-07-02 07:00:00,33,5,Çl,0,0,0,0,0,0,NaN
32,2022-07-02 08:00:00,33,5,Çl,8.6,37.6,59,3,10.7,0,3.5666666666666664
33,2022-07-02 09:00:00,34,5,Çl,7.1,39.9,60,4.4,15.2,0,3.454545454545454
34,2022-07-02 10:00:00,36,4,Çl,5.7,42.4,60,5,15.5,0,3.1
35,2022-07-02 11:00:00,36,4,Çl,5.2,43.7,60,5.4,15.4,0,2.8518518518518516
36,2022-07-02 12:00:00,37,4,Çl,6.3,44,60,4.7,15.1,0,3.212765957446808
37,2022-07-02 13:00:00,37,4,Çl,5.3,44,60,5.3,14.8,0,2.7924528301886795
38,2022-07-02 14:00:00,37,4,Çl,5.4,44,60,5.4,15.4,0,2.8518518518518516
39,2022-07-02 15:00:00,35,4,Çl,6.9,36.8,60,2,3.7,0,1.85
40,2022-07-02 16:00:00,34,4,Çl,7.3,36.4,60,2,3.8,0,1.9
41,2022-07-02 17:00:00,33,4,Çl,-2,39,1,0.1,0.1,0,1.0
42,2022-07-02 18:00:00,32,4,Çl,0,0,0,0,0,0,NaN
43,2022-07-02 19:00:00,32,4,Çl,0,0,0,0,0,0,NaN
44,2022-07-02 20:00:00,30,4,Çl,0,0,0,0,0,0,NaN
45,2022-07-02 21:00:00,30,4,Çl,0,0,0,0,0,0,NaN
46,2022-07-02 22:00:00,30,4,Çl,0,0,0,0,0,0,NaN
47,2022-07-02 23:00:00,29,4,Çl,0,0,0,0,0,0,NaN
48,2022-07-03 00:00:00,29,4,Çl,0,0,0,0,0,0,NaN
49,2022-07-03 01:00:00,29,4,Çl,0,0,0,0,0,0,NaN
50,2022-07-03 02:00:00,29,4,Çl,0,0,0,0,0,0,NaN
51,2022-07-03 03:00:00,29,4,Çl,0,0,0,0,0,0,NaN
52,2022-07-03 04:00:00,29,5,Çl,0,0,0,0,0,0,NaN
53,2022-07-03 05:00:00,29,5,Çl,0,0,0,0,0,0,NaN
54,2022-07-03 06:00:00,31,4,Çl,0,0,0,0,0,0,NaN
55,2022-07-03 07:00:00,30,4,Çl,5.4,35.9,32,1,3.4,0,3.4
56,2022-07-03 08:00:00,31,6,Çl,5.8,38.8,60,5.2,16.4,0,3.1538461538461533
57,2022-07-03 09:00:00,32,5,Çl,4.3,39.6,60,5.2,16.3,0,3.1346153846153846
58,2022-07-03 10:00:00,33,5,Çl,5.2,40.2,60,4.6,14.4,0,3.130434782608696
59,2022-07-03 11:00:00,35,4,Çl,3.3,43.1,60,5.7,17,0,2.982456140350877
60,2022-07-03 12:00:00,34,4,Çl,4.2,45.7,60,6.9,18.3,0,2.652173913043478
61,2022-07-03 13:00:00,33,4,Çl,4.4,40.9,60,4.4,13.5,0,3.068181818181818
62,2022-07-03 14:00:00,33,4,Çl,4.5,38.5,60,3.5,10,0,2.857142857142857
63,2022-07-03 15:00:00,32,4,Çl,-9,39,1,0.1,0,0,0.0
64,2022-07-03 16:00:00,32,5,Çl,0,0,0,0,0,0,NaN
65,2022-07-03 17:00:00,31,4,Çl,0,0,0,0,0,0,NaN
66,2022-07-03 18:00:00,31,4,Çl,0,0,0,0,0,0,NaN
67,2022-07-03 19:00:00,31,4,Çl,0,0,0,0,0,0,NaN
68,2022-07-03 20:00:00,29,4,Çl,0,0,0,0,0,0,NaN
69,2022-07-03 21:00:00,29,4,Çl,0,0,0,0,0,0,NaN
70,2022-07-03 22:00:00,29,5,Çl,0,0,0,0,0,0,NaN
71,2022-07-03 23:00:00,29,5,Çl,0,0,0,0,0,0,NaN
72,2022-07-04 00:00:00,28,4,Çl,0,0,0,0,0,0,NaN
73,2022-07-04 01:00:00,28,4,Çl,0,0,0,0,0,0,NaN
74,2022-07-04 02:00:00,28,4,Çl,0,0,0,0,0,0,NaN
75,2022-07-04 03:00:00,28,5,Çl,0,0,0,0,0,0,NaN
76,2022-07-04 04:00:00,28,5,Çl,0,0,0,0,0,0,NaN
77,2022-07-04 05:00:00,28,5,Çl,0,0,0,0,0,0,NaN
78,2022-07-04 06:00:00,28,5,Çl,4.2,34.6,41,0.9,2.5,0,2.7777777777777777
79,2022-07-04 07:00:00,26,6,Çl,5.3,35.7,46,1.3,5,0,3.846153846153846
80,2022-07-04 08:00:00,25,6,Çl,6.2,36.9,60,5.6,21.7,0,3.875
81,2022-07-04 09:00:00,26,6,Çl,8.2,37.9,60,6.4,25.8,0,4.03125
82,2022-07-04 10:00:00,27,6,Çl,8.3,38.7,60,6.2,23.9,0,3.854838709677419
83,2022-07-04 11:00:00,28,5,Çl,8.3,39.2,60,6.2,23.1,0,3.7258064516129035
84,2022-07-04 12:00:00,30,5,Çl,8.1,40.2,60,6.3,23.6,0,3.7460317460317465
85,2022-07-04 13:00:00,30,5,Çl,8,41,60,6.6,23.3,0,3.5303030303030307
86,2022-07-04 14:00:00,31,4,Çl,4.3,44.3,60,9.9,29,0,2.929292929292929
87,2022-07-04 15:00:00,31,4,Çl,3.6,43.5,60,9,26.2,0,2.911111111111111
88,2022-07-04 16:00:00,30,4,Çl,3.3,43.5,60,8.9,25.6,0,2.8764044943820224
89,2022-07-04 17:00:00,30,4,Çl,-18,35,1,0,0,0,NaN
90,2022-07-04 18:00:00,30,4,Çl,0,0,0,0,0,0,NaN
91,2022-07-04 19:00:00,30,4,Çl,0,0,0,0,0,0,NaN
92,2022-07-04 20:00:00,28,5,Çl,0,0,0,0,0,0,NaN
93,2022-07-04 21:00:00,27,5,Çl,0,0,0,0,0,0,NaN
94,2022-07-04 22:00:00,27,5,Çl,0,0,0,0,0,0,NaN
95,2022-07-04 23:00:00,27,5,Çl,0,0,0,0,0,0,NaN
96,2022-07-05 00:00:00,26,5,Çl,0,0,0,0,0,0,NaN
97,2022-07-05 01:00:00,26,5,Çl,0,0,0,0,0,0,NaN
98,2022-07-05 02:00:00,26,5,Çl,0,0,0,0,0,0,NaN
99,2022-07-05 03:00:00,26,5,Çl,0,0,0,0,0,0,NaN
100,2022-07-05 04:00:00,26,5,Çl,0,0,0,0,0,0,NaN
101,2022-07-05 05:00:00,27,5,Çl,0,0,0,0,0,0,NaN
102,2022-07-05 06:00:00,26,6,Çl,2.3,37.9,23,0.5,1.5,0,3.0
103,2022-07-05 07:00:00,28,6,Çl,6.3,35.4,47,1.3,5.1,0,3.9230769230769225
104,2022-07-05 08:00:00,30,6,Çl,7.2,38.6,60,5.2,18.8,0,3.6153846153846154
105,2022-07-05 09:00:00,31,6,Çl,7.9,41.8,60,6.5,22.5,0,3.4615384615384617
106,2022-07-05 10:00:00,32,6,Çl,7.8,42.6,60,6.8,22.8,0,3.3529411764705883
107,2022-07-05 11:00:00,31,6,Çl,7.6,43,60,6.8,22.4,0,3.2941176470588234
108,2022-07-05 12:00:00,32,6,Çl,7.9,42.2,60,6.5,22.7,0,3.4923076923076923
109,2022-07-05 13:00:00,30,6,Çl,7.8,40,60,6.3,23.8,0,3.777777777777778
110,2022-07-05 14:00:00,29,6,Çl,6.8,40.7,60,7.9,26.9,0,3.40506329113924
111,2022-07-05 15:00:00,28,6,Çl,8.1,34,60,3,11.1,0,3.6999999999999997
112,2022-07-05 16:00:00,27,6,Çl,8.4,35.8,60,2.7,12.7,0,4.703703703703703
113,2022-07-05 17:00:00,25,6,Çl,-12,35,1,0,0,0,NaN
114,2022-07-05 18:00:00,26,5,Çl,0,0,0,0,0,0,NaN
115,2022-07-05 19:00:00,26,5,Çl,0,0,0,0,0,0,NaN
116,2022-07-05 20:00:00,25,5,Çl,0,0,0,0,0,0,NaN
117,2022-07-05 21:00:00,25,6,Çl,0,0,0,0,0,0,NaN
118,2022-07-05 22:00:00,25,6,Çl,0,0,0,0,0,0,NaN
119,2022-07-05 23:00:00,26,6,Çl,0,0,0,0,0,0,NaN
120,2022-07-06 00:00:00,24,5,Çl,0,0,0,0,0,0,NaN
121,2022-07-06 01:00:00,24,5,Çl,0,0,0,0,0,0,NaN
122,2022-07-06 02:00:00,24,5,Çl,0,0,0,0,0,0,NaN
123,2022-07-06 03:00:00,24,5,Çl,0,0,0,0,0,0,NaN
124,2022-07-06 04:00:00,23,5,Çl,0,0,0,0,0,0,NaN
125,2022-07-06 05:00:00,24,5,Çl,0,0,0,0,0,0,NaN
126,2022-07-06 06:00:00,24,5,Çl,3,35.5,34,0.7,1.9,0,2.7142857142857144
127,2022-07-06 07:00:00,25,6,Çl,6.6,34.7,49,1.8,6.3,0,3.5
128,2022-07-06 08:00:00,27,6,Çl,8.8,36.8,60,4.3,19.7,0,4.5813953488372094
