,ì˙éû,äOãCâ∑ìx,Teê›íË,Tcê›íË,TeïΩãœíl,TcïΩãœíl,é∫äOã@â^ì]éûä‘,è¡îÔìdóÕó ,êœéZó‚ñ[î\óÕ,êœéZígñ[î\óÕ,COP
0,2022-07-01 00:00:00,30,3,Çl,0,0,0,0,0,0,NaN
1,2022-07-01 01:00:00,30,2,Çl,0,0,0,0,0,0,NaN
2,2022-07-01 02:00:00,29,2,Çl,0,0,0,0,0,0,NaN
3,2022-07-01 03:00:00,29,2,Çl,0,0,0,0,0,0,NaN
4,2022-07-01 04:00:00,28,2,Çl,0,0,0,0,0,0,NaN
5,2022-07-01 05:00:00,30,2,Çl,0,0,0,0,0,0,NaN
6,2022-07-01 06:00:00,32,2,Çl,0,0,0,0,0,0,NaN
7,2022-07-01 07:00:00,32,2,Çl,0,0,0,0,0,0,NaN
8,2022-07-01 08:00:00,34,2,Çl,3.1,37.4,56,3,10,0,3.3333333333333335
9,2022-07-01 09:00:00,36,2,Çl,3.1,38.3,60,4.3,13.2,0,3.0697674418604652
10,2022-07-01 10:00:00,37,2,Çl,3.1,39.7,60,4.5,13.2,0,2.933333333333333
11,2022-07-01 11:00:00,38,2,Çl,3.1,41,60,4.7,13.1,0,2.7872340425531914
12,2022-07-01 12:00:00,39,2,Çl,3.2,42.5,60,5.1,13.8,0,2.7058823529411766
13,2022-07-01 13:00:00,40,2,Çl,3.3,42.6,60,5,13.4,0,2.68
14,2022-07-01 14:00:00,38,2,Çl,3.3,41.5,60,4.8,13.2,0,2.75
15,2022-07-01 15:00:00,37,2,Çl,3.5,41,60,4.7,13.4,0,2.851063829787234
16,2022-07-01 16:00:00,36,2,Çl,3.2,39.6,60,4.1,11.7,0,2.8536585365853657
17,2022-07-01 17:00:00,35,2,Çl,-11.6,34.1,13,0.2,0.2,0,1.0
18,2022-07-01 18:00:00,32,2,Çl,0,0,0,0,0,0,NaN
19,2022-07-01 19:00:00,31,2,Çl,0,0,0,0,0,0,NaN
20,2022-07-01 20:00:00,29,2,Çl,0,0,0,0,0,0,NaN
21,2022-07-01 21:00:00,29,2,Çl,0,0,0,0,0,0,NaN
22,2022-07-01 22:00:00,29,2,Çl,0,0,0,0,0,0,NaN
23,2022-07-01 23:00:00,29,2,Çl,0,0,0,0,0,0,NaN
24,2022-07-02 00:00:00,28,2,Çl,0,0,0,0,0,0,NaN
25,2022-07-02 01:00:00,28,4,Çl,0,0,0,0,0,0,NaN
26,2022-07-02 02:00:00,28,4,Çl,0,0,0,0,0,0,NaN
27,2022-07-02 03:00:00,28,4,Çl,0,0,0,0,0,0,NaN
28,2022-07-02 04:00:00,28,4,Çl,0,0,0,0,0,0,NaN
29,2022-07-02 05:00:00,29,4,Çl,0,0,0,0,0,0,NaN
30,2022-07-02 06:00:00,31,4,Çl,0,0,0,0,0,0,NaN
31,2022-07-02 07:00:00,32,4,Çl,0,0,0,0,0,0,NaN
32,2022-07-02 08:00:00,33,5,Çl,0,0,0,0,0,0,NaN
