óÒ1,ójì˙,äOãCâ∑ìx,ó‚î}â∑ìx,â^ì]éûä‘,ìdóÕè¡îÔó ,êœéZó‚ñ[î\óÕ,é∫ì‡ã@â“ì≠ë‰êî,é∫ì‡ã@â“ì≠ó¶
2022-07-01 07:00:00,4,32,4.3,34,2.3,7.0,2,1.0
2022-07-01 08:00:00,4,32,4.2,30,1.8,5.5,2,1.0
2022-07-01 09:00:00,4,33,4.1,42,2.5,7.1,2,1.0
2022-07-01 10:00:00,4,35,4.6,43,2.1,5.9,2,1.0
2022-07-01 11:00:00,4,36,4.0,40,2.8,7.4,2,1.0
2022-07-01 12:00:00,4,37,4.2,47,3.0,7.5,2,1.0
2022-07-01 13:00:00,4,38,4.7,44,3.1,8.0,2,1.0
2022-07-01 14:00:00,4,37,4.5,40,3.1,8.1,2,1.0
2022-07-01 15:00:00,4,38,3.1,47,5.1,13.0,2,1.0
2022-07-01 16:00:00,4,33,3.6,41,3.2,9.0,2,1.0
2022-07-01 17:00:00,4,32,4.2,35,1.9,6.2,2,1.0
2022-07-01 18:00:00,4,32,3.0,35,4.1,11.1,2,1.0
2022-07-01 19:00:00,4,32,0.5,60,8.5,22.1,2,1.0
2022-07-01 20:00:00,4,29,5.2,19,1.4,4.5,2,1.0
2022-07-01 21:00:00,4,30,0.3,54,7.2,18.8,2,1.0
2022-07-02 09:00:00,5,34,9.1,60,3.5,14.5,2,1.0
2022-07-02 10:00:00,5,36,3.6,60,5.9,18.5,2,1.0
2022-07-02 11:00:00,5,37,3.7,60,6.1,18.4,2,1.0
2022-07-02 12:00:00,5,37,3.4,60,6.2,18.2,2,1.0
2022-07-02 13:00:00,5,37,3.6,60,6.2,18.2,2,1.0
2022-07-02 14:00:00,5,37,3.3,60,6.1,18.1,2,1.0
2022-07-02 15:00:00,5,35,2.6,60,5.9,18.0,2,1.0
2022-07-02 16:00:00,5,35,2.8,60,5.7,17.3,2,1.0
2022-07-02 17:00:00,5,33,2.8,60,6.0,17.8,2,1.0
2022-07-02 18:00:00,5,31,9.0,16,0.7,2.8,2,1.0
2022-07-02 19:00:00,5,31,8.4,60,3.6,13.3,2,1.0
2022-07-03 09:00:00,6,32,4.6,42,3.4,10.1,2,1.0
2022-07-03 10:00:00,6,32,6.1,47,2.5,8.1,2,1.0
2022-07-03 11:00:00,6,34,5.6,35,1.6,5.2,2,1.0
2022-07-03 12:00:00,6,33,5.7,37,1.6,5.1,2,1.0
2022-07-03 13:00:00,6,32,5.8,28,1.2,3.7,2,1.0
2022-07-03 14:00:00,6,32,4.8,27,0.9,2.8,2,1.0
2022-07-03 15:00:00,6,32,5.8,23,0.8,2.6,2,1.0
2022-07-03 16:00:00,6,30,5.4,16,0.5,1.6,2,1.0
2022-07-03 17:00:00,6,29,6.0,27,0.7,2.9,2,1.0
2022-07-04 07:00:00,0,27,5.9,33,2.2,8.6,2,1.0
2022-07-04 08:00:00,0,26,6.3,60,2.0,9.0,2,1.0
2022-07-04 09:00:00,0,25,8.4,60,1.2,5.4,2,1.0
2022-07-04 10:00:00,0,27,7.6,40,1.3,6.2,2,1.0
2022-07-04 11:00:00,0,28,6.1,47,1.4,5.9,2,1.0
2022-07-04 12:00:00,0,27,6.0,38,1.3,5.2,2,1.0
2022-07-04 13:00:00,0,29,5.6,41,1.5,5.3,2,1.0
2022-07-04 14:00:00,0,29,4.8,41,1.5,5.5,2,1.0
2022-07-04 15:00:00,0,30,5.1,36,1.5,5.4,2,1.0
2022-07-04 16:00:00,0,29,4.7,29,1.0,3.6,2,1.0
2022-07-04 17:00:00,0,29,5.8,53,1.6,6.0,2,1.0
2022-07-05 07:00:00,1,27,7.6,16,0.6,2.5,2,1.0
2022-07-05 09:00:00,1,30,9.3,33,1.0,4.4,2,1.0
2022-07-05 10:00:00,1,31,11.1,60,2.1,8.8,2,1.0
2022-07-05 11:00:00,1,31,10.1,60,2.1,7.8,2,1.0
2022-07-05 12:00:00,1,31,11.1,60,2.0,8.5,2,1.0
2022-07-05 13:00:00,1,28,9.8,49,1.6,7.2,2,1.0
2022-07-05 14:00:00,1,28,8.2,56,1.6,7.3,2,1.0
2022-07-05 15:00:00,1,27,9.0,60,1.8,8.7,2,1.0
2022-07-05 16:00:00,1,26,6.7,51,1.3,5.7,2,1.0
2022-07-05 17:00:00,1,25,6.9,40,1.1,5.3,2,1.0
2022-07-05 18:00:00,1,26,5.9,51,2.1,8.5,2,1.0
2022-07-05 19:00:00,1,26,5.1,60,3.1,12.0,2,1.0
2022-07-05 20:00:00,1,25,5.5,42,2.3,9.1,2,1.0
2022-07-05 21:00:00,1,25,6.2,60,3.3,13.9,2,1.0
2022-07-06 09:00:00,2,29,9.1,60,1.8,8.5,2,1.0
2022-07-06 10:00:00,2,30,9.5,53,1.7,7.6,2,1.0
2022-07-06 11:00:00,2,31,9.8,52,1.7,7.3,2,1.0
2022-07-06 12:00:00,2,32,10.8,60,2.1,8.7,2,1.0
2022-07-06 13:00:00,2,29,6.2,45,1.6,6.1,2,1.0
2022-07-06 14:00:00,2,28,5.9,43,1.4,5.3,2,1.0
2022-07-06 15:00:00,2,29,9.3,45,1.4,6.5,2,1.0
2022-07-06 16:00:00,2,29,8.5,51,1.5,6.0,2,1.0
2022-07-06 17:00:00,2,28,7.8,37,1.1,5.0,2,1.0
2022-07-06 18:00:00,2,28,6.8,55,3.0,12.4,2,1.0
2022-07-06 19:00:00,2,27,5.9,60,3.7,14.6,2,1.0
2022-07-06 20:00:00,2,25,6.2,47,2.2,9.0,2,1.0
2022-07-06 21:00:00,2,25,6.7,60,2.9,11.9,2,1.0
2022-07-06 22:00:00,2,23,5.4,30,0.7,3.4,2,1.0
2022-07-06 23:00:00,2,23,7.0,37,1.0,5.0,2,1.0
2022-07-07 08:00:00,3,25,6.6,30,0.8,3.7,2,1.0
2022-07-07 09:00:00,3,26,8.1,35,0.9,4.1,2,1.0
2022-07-07 10:00:00,3,26,3.9,15,0.3,1.2,2,1.0
2022-07-07 11:00:00,3,28,6.9,46,1.5,6.1,2,1.0
2022-07-07 12:00:00,3,29,5.9,48,2.3,9.5,2,1.0
2022-07-07 13:00:00,3,30,6.2,60,3.0,11.7,2,1.0
2022-07-07 14:00:00,3,30,6.1,60,2.8,10.5,2,1.0
2022-07-07 15:00:00,3,30,5.8,15,0.5,1.7,2,1.0
2022-07-07 16:00:00,3,29,6.2,45,1.3,5.1,2,1.0
2022-07-07 17:00:00,3,28,8.4,49,1.6,7.4,2,1.0
2022-07-07 18:00:00,3,25,7.1,21,0.5,2.2,2,1.0
2022-07-07 19:00:00,3,25,7.9,60,1.6,7.3,2,1.0
2022-07-07 20:00:00,3,25,7.1,56,1.6,7.7,2,1.0
2022-07-07 21:00:00,3,24,8.9,60,2.0,10.8,2,1.0
2022-07-07 23:00:00,3,24,8.4,39,1.0,5.3,2,1.0
2022-07-08 00:00:00,4,24,5.9,42,2.0,9.3,2,1.0
2022-07-08 13:00:00,4,31,5.9,60,3.5,14.2,2,1.0
2022-07-08 14:00:00,4,30,5.8,4,0.2,1.0,2,1.0
2022-07-08 16:00:00,4,29,5.9,16,0.5,2.0,2,1.0
2022-07-08 18:00:00,4,26,9.8,27,0.8,3.8,2,1.0
2022-07-08 19:00:00,4,26,7.8,57,1.6,7.8,2,1.0
2022-07-09 08:00:00,5,27,10.4,12,0.4,2.0,2,1.0
2022-07-09 09:00:00,5,29,4.9,60,4.0,15.5,2,1.0
2022-07-09 10:00:00,5,31,6.1,60,3.1,11.2,2,1.0
2022-07-09 11:00:00,5,32,4.4,60,3.9,12.5,2,1.0
2022-07-09 12:00:00,5,32,4.9,60,3.4,11.2,2,1.0
2022-07-09 13:00:00,5,33,6.6,60,2.9,10.8,2,1.0
2022-07-09 14:00:00,5,32,4.1,60,3.5,11.5,2,1.0
2022-07-09 15:00:00,5,31,4.5,60,3.5,11.5,2,1.0
2022-07-09 16:00:00,5,29,6.9,60,2.0,7.6,2,1.0
2022-07-09 17:00:00,5,28,6.6,60,2.2,8.4,2,1.0
2022-07-09 18:00:00,5,26,9.8,20,0.6,3.0,2,1.0
2022-07-09 19:00:00,5,26,9.1,60,2.0,10.7,2,1.0
2022-07-09 21:00:00,5,27,6.2,29,1.7,6.4,2,1.0
2022-07-10 09:00:00,6,30,6.7,59,3.8,13.8,2,1.0
2022-07-10 10:00:00,6,30,6.4,11,0.7,2.3,2,1.0
2022-07-10 12:00:00,6,32,6.8,42,1.4,4.7,2,1.0
2022-07-10 13:00:00,6,31,7.7,24,0.7,2.6,2,1.0
2022-07-10 14:00:00,6,32,6.4,14,0.4,1.5,2,1.0
2022-07-10 15:00:00,6,32,6.4,44,1.5,5.5,2,1.0
2022-07-10 16:00:00,6,31,6.9,60,1.8,6.8,2,1.0
2022-07-10 17:00:00,6,30,6.9,11,0.3,1.2,2,1.0
2022-07-10 22:00:00,6,27,8.0,16,0.8,3.1,2,1.0
2022-07-11 07:00:00,0,28,9.1,17,0.5,2.5,2,1.0
2022-07-11 08:00:00,0,28,5.3,15,0.4,1.6,2,1.0
2022-07-11 09:00:00,0,30,6.5,24,0.7,2.7,2,1.0
2022-07-11 10:00:00,0,31,6.6,33,1.1,3.8,2,1.0
2022-07-11 11:00:00,0,33,5.1,36,1.4,4.6,2,1.0
2022-07-11 12:00:00,0,32,6.7,27,0.9,3.1,2,1.0
2022-07-11 13:00:00,0,35,6.8,49,2.8,9.8,2,1.0
2022-07-11 14:00:00,0,35,6.2,60,3.2,10.6,2,1.0
2022-07-11 15:00:00,0,34,3.8,60,4.1,13.3,2,1.0
2022-07-11 16:00:00,0,33,3.9,60,3.7,12.7,2,1.0
2022-07-11 17:00:00,0,31,5.7,60,3.1,11.6,2,1.0
2022-07-11 23:00:00,0,27,6.1,7,0.5,1.8,2,1.0
2022-07-12 09:00:00,1,28,4.9,21,0.6,2.2,2,1.0
2022-07-12 10:00:00,1,28,7.9,47,1.5,6.9,2,1.0
2022-07-12 11:00:00,1,28,6.8,60,2.0,8.2,2,1.0
2022-07-12 12:00:00,1,28,5.3,47,1.8,6.5,2,1.0
2022-07-12 13:00:00,1,28,7.0,47,1.4,5.3,2,1.0
2022-07-12 14:00:00,1,28,6.3,60,1.8,7.2,2,1.0
2022-07-12 15:00:00,1,28,7.2,49,1.4,5.8,2,1.0
2022-07-12 16:00:00,1,25,8.2,59,1.5,6.9,2,1.0
2022-07-12 17:00:00,1,26,6.7,55,1.4,6.2,2,1.0
2022-07-12 19:00:00,1,27,5.8,34,2.0,8.1,2,1.0
2022-07-12 20:00:00,1,25,6.7,28,1.4,5.7,2,1.0
2022-07-12 21:00:00,1,26,5.4,60,3.9,14.8,2,1.0
2022-07-13 10:00:00,2,23,5.1,14,0.3,1.2,2,1.0
2022-07-13 11:00:00,2,23,4.8,24,0.5,2.3,2,1.0
2022-07-13 12:00:00,2,24,3.8,19,0.8,2.9,2,1.0
2022-07-13 13:00:00,2,23,5.4,14,0.3,1.3,2,1.0
2022-07-13 14:00:00,2,25,7.8,38,1.1,5.5,2,1.0
2022-07-13 15:00:00,2,24,8.6,60,1.6,8.0,2,1.0
2022-07-13 16:00:00,2,25,7.4,42,1.1,5.2,2,1.0
2022-07-13 17:00:00,2,24,7.1,47,1.2,5.6,2,1.0
2022-07-13 18:00:00,2,25,5.4,46,2.0,8.2,2,1.0
2022-07-13 19:00:00,2,24,9.0,60,2.1,11.9,2,1.0
2022-07-13 21:00:00,2,23,7.4,50,1.1,5.7,2,1.0
2022-07-13 22:00:00,2,23,6.3,37,0.8,3.6,2,1.0
2022-07-14 09:00:00,3,25,5.7,43,1.2,5.1,2,1.0
2022-07-14 10:00:00,3,26,6.5,40,1.0,4.4,2,1.0
2022-07-14 11:00:00,3,25,6.0,37,1.2,5.0,2,1.0
2022-07-14 12:00:00,3,24,8.9,25,0.7,3.3,2,1.0
2022-07-14 13:00:00,3,23,6.7,29,0.7,3.3,2,1.0
2022-07-14 14:00:00,3,23,7.0,27,0.6,3.2,2,1.0
2022-07-14 15:00:00,3,23,7.0,34,0.7,3.4,2,1.0
2022-07-14 16:00:00,3,23,7.8,20,0.5,2.6,2,1.0
2022-07-14 17:00:00,3,23,7.6,40,0.9,4.5,2,1.0
2022-07-14 22:00:00,3,23,9.2,24,0.7,4.0,2,1.0
2022-07-14 23:00:00,3,23,6.9,60,2.7,13.8,2,1.0
2022-07-15 12:00:00,4,24,10.9,12,0.3,1.9,2,1.0
2022-07-15 15:00:00,4,23,8.5,28,0.9,4.9,2,1.0
2022-07-15 16:00:00,4,23,8.0,60,2.0,10.7,2,1.0
2022-07-15 17:00:00,4,23,7.9,60,1.5,8.2,2,1.0
2022-07-15 19:00:00,4,24,5.5,60,3.9,15.1,2,1.0
2022-07-15 20:00:00,4,23,6.4,43,1.0,4.9,2,1.0
2022-07-15 21:00:00,4,23,7.1,49,1.7,7.5,2,1.0
2022-07-16 09:00:00,5,22,5.7,49,1.2,5.5,2,1.0
2022-07-16 10:00:00,5,23,6.9,44,1.2,6.2,2,1.0
2022-07-16 11:00:00,5,23,4.9,48,1.3,6.1,2,1.0
2022-07-16 12:00:00,5,23,7.5,60,1.4,7.1,2,1.0
