óÒ1,ójì˙,äOãCâ∑ìx,ó‚î}â∑ìx,â^ì]éûä‘,ìdóÕè¡îÔó ,êœéZó‚ñ[î\óÕ,é∫ì‡ã@â“ì≠ë‰êî,é∫ì‡ã@â“ì≠ó¶
2022-07-01 08:00:00,4,34,2.5,55,1.8,4.8,1,1.0
2022-07-01 09:00:00,4,36,3.1,60,2.2,5.6,1,1.0
2022-07-01 10:00:00,4,37,3.3,60,2.2,5.4,1,1.0
2022-07-01 11:00:00,4,39,3.9,60,2.2,5.1,1,1.0
2022-07-01 12:00:00,4,39,3.5,60,2.4,5.4,1,1.0
2022-07-01 13:00:00,4,39,3.2,60,2.5,5.5,1,1.0
2022-07-01 14:00:00,4,38,2.9,60,2.5,5.7,1,1.0
2022-07-01 15:00:00,4,37,2.7,60,2.5,5.8,1,1.0
2022-07-01 16:00:00,4,36,2.1,60,2.4,5.9,1,1.0
2022-07-01 17:00:00,4,34,3.2,60,2.1,5.7,1,1.0
2022-07-03 08:00:00,6,31,5.3,24,0.6,2.1,1,1.0
2022-07-04 08:00:00,0,28,6.9,56,1.2,4.5,1,1.0
2022-07-04 09:00:00,0,27,7.7,60,1.2,5.0,1,1.0
2022-07-04 10:00:00,0,28,7.3,60,1.3,4.9,1,1.0
2022-07-04 11:00:00,0,30,7.1,60,1.3,4.8,1,1.0
2022-07-04 12:00:00,0,30,6.9,60,1.4,4.8,1,1.0
2022-07-04 13:00:00,0,31,7.0,60,1.4,4.7,1,1.0
2022-07-04 14:00:00,0,30,5.8,60,1.5,5.1,1,1.0
2022-07-04 15:00:00,0,31,6.9,60,1.4,4.7,1,1.0
2022-07-04 16:00:00,0,30,5.8,60,1.5,4.8,1,1.0
2022-07-04 17:00:00,0,30,6.7,60,1.3,4.6,1,1.0
2022-07-05 08:00:00,1,32,6.1,56,1.2,4.2,1,1.0
2022-07-05 09:00:00,1,32,6.9,60,1.4,4.5,1,1.0
2022-07-05 10:00:00,1,32,7.1,60,1.4,4.5,1,1.0
2022-07-05 11:00:00,1,33,7.1,60,1.4,4.5,1,1.0
2022-07-05 12:00:00,1,33,7.1,60,1.4,4.5,1,1.0
2022-07-05 13:00:00,1,30,7.1,60,1.3,4.7,1,1.0
2022-07-05 14:00:00,1,29,7.1,60,1.3,4.7,1,1.0
2022-07-05 15:00:00,1,28,7.1,60,1.3,4.7,1,1.0
2022-07-05 16:00:00,1,27,5.9,60,1.4,5.0,1,1.0
2022-07-05 17:00:00,1,26,6.9,60,1.2,4.8,1,1.0
2022-07-06 08:00:00,2,30,1.1,44,0.9,2.8,1,1.0
2022-07-06 10:00:00,2,33,5.0,53,1.2,3.7,1,1.0
2022-07-06 12:00:00,2,34,5.9,55,1.3,3.9,1,1.0
2022-07-06 14:00:00,2,31,5.4,56,1.2,4.1,1,1.0
2022-07-06 16:00:00,2,31,5.7,55,1.2,4.0,1,1.0
2022-07-07 11:00:00,3,31,3.0,60,1.3,3.9,1,1.0
2022-07-07 12:00:00,3,32,4.1,60,1.4,4.1,1,1.0
2022-07-07 13:00:00,3,32,4.5,60,1.4,4.1,1,1.0
2022-07-07 14:00:00,3,32,4.7,60,1.4,4.1,1,1.0
2022-07-07 15:00:00,3,32,4.8,60,1.4,4.1,1,1.0
2022-07-07 16:00:00,3,31,4.6,60,1.4,4.2,1,1.0
2022-07-07 17:00:00,3,30,4.5,60,1.3,4.2,1,1.0
2022-07-08 10:00:00,4,31,3.7,50,1.1,3.4,1,1.0
2022-07-08 12:00:00,4,32,3.9,56,1.3,3.7,1,1.0
2022-07-08 14:00:00,4,34,4.1,56,1.3,3.7,1,1.0
2022-07-08 16:00:00,4,32,4.1,56,1.3,3.8,1,1.0
2022-07-11 08:00:00,0,31,4.2,56,1.3,4.1,1,1.0
2022-07-11 10:00:00,0,34,3.9,56,1.3,3.7,1,1.0
2022-07-11 12:00:00,0,33,3.9,56,1.3,3.6,1,1.0
2022-07-11 14:00:00,0,35,4.0,56,1.4,3.5,1,1.0
2022-07-11 16:00:00,0,33,4.5,56,1.3,3.8,1,1.0
2022-07-12 08:00:00,1,29,4.2,56,1.2,4.0,1,1.0
2022-07-12 09:00:00,1,29,5.3,60,1.3,4.4,1,1.0
2022-07-12 10:00:00,1,30,5.5,60,1.4,4.4,1,1.0
2022-07-12 11:00:00,1,29,5.5,60,1.3,4.4,1,1.0
2022-07-12 12:00:00,1,29,5.4,60,1.4,4.4,1,1.0
2022-07-12 13:00:00,1,30,5.2,60,1.4,4.3,1,1.0
2022-07-12 14:00:00,1,29,5.5,60,1.3,4.4,1,1.0
2022-07-12 15:00:00,1,30,5.8,60,1.4,4.4,1,1.0
2022-07-12 16:00:00,1,28,4.7,60,1.4,4.7,1,1.0
2022-07-12 17:00:00,1,27,5.6,60,1.3,4.5,1,1.0
2022-07-18 10:00:00,0,32,2.9,45,1.0,2.9,1,1.0
2022-07-18 12:00:00,0,34,4.7,55,1.3,3.7,1,1.0
2022-07-18 14:00:00,0,34,4.6,55,1.4,3.7,1,1.0
2022-07-18 16:00:00,0,33,4.3,55,1.3,3.7,1,1.0
2022-07-19 08:00:00,1,30,5.2,55,1.3,4.1,1,1.0
2022-07-19 09:00:00,1,31,6.5,60,1.4,4.5,1,1.0
2022-07-19 10:00:00,1,32,6.4,60,1.4,4.4,1,1.0
2022-07-19 11:00:00,1,32,6.5,60,1.4,4.5,1,1.0
2022-07-19 12:00:00,1,31,6.4,60,1.4,4.5,1,1.0
2022-07-19 13:00:00,1,30,6.5,60,1.3,4.5,1,1.0
2022-07-19 14:00:00,1,29,6.4,60,1.3,4.6,1,1.0
2022-07-19 15:00:00,1,29,6.5,60,1.3,4.6,1,1.0
2022-07-19 16:00:00,1,28,5.4,60,1.4,4.9,1,1.0
2022-07-19 17:00:00,1,28,6.3,60,1.3,4.6,1,1.0
2022-07-20 08:00:00,2,33,2.7,46,1.1,2.9,1,1.0
2022-07-20 10:00:00,2,35,4.3,55,1.5,3.5,1,1.0
2022-07-20 12:00:00,2,34,4.6,55,1.5,3.6,1,1.0
2022-07-20 14:00:00,2,35,4.4,55,1.4,3.5,1,1.0
2022-07-20 16:00:00,2,34,4.5,55,1.4,3.6,1,1.0
2022-07-21 08:00:00,3,32,4.9,56,1.3,3.8,1,1.0
2022-07-21 09:00:00,3,32,6.1,60,1.4,4.4,1,1.0
2022-07-21 10:00:00,3,33,6.1,60,1.4,4.3,1,1.0
2022-07-21 11:00:00,3,34,5.9,60,1.4,4.3,1,1.0
2022-07-21 12:00:00,3,33,5.4,60,1.4,4.3,1,1.0
2022-07-21 13:00:00,3,34,6.6,60,1.5,4.4,1,1.0
2022-07-21 14:00:00,3,34,4.3,60,1.4,4.2,1,1.0
2022-07-21 15:00:00,3,32,6.6,60,1.4,4.4,1,1.0
2022-07-21 16:00:00,3,31,5.4,60,1.5,4.7,1,1.0
2022-07-21 17:00:00,3,30,6.8,60,1.3,4.6,1,1.0
2022-07-22 08:00:00,4,31,5.6,56,1.3,4.0,1,1.0
2022-07-22 10:00:00,4,29,5.4,55,1.2,4.1,1,1.0
2022-07-22 12:00:00,4,33,5.9,55,1.3,4.0,1,1.0
2022-07-22 14:00:00,4,34,6.0,55,1.5,3.9,1,1.0
2022-07-22 16:00:00,4,34,5.7,55,1.4,3.9,1,1.0
2022-07-25 08:00:00,0,33,5.3,56,1.3,4.0,1,1.0
2022-07-25 10:00:00,0,36,4.3,56,1.5,3.6,1,1.0
2022-07-25 12:00:00,0,35,4.8,56,1.5,4.1,1,1.0
2022-07-25 14:00:00,0,34,4.5,56,1.6,4.3,1,1.0
2022-07-25 16:00:00,0,33,4.4,56,1.5,4.4,1,1.0
2022-07-26 08:00:00,1,26,5.4,56,1.1,4.2,1,1.0
2022-07-26 09:00:00,1,26,6.9,60,1.3,4.8,1,1.0
2022-07-26 10:00:00,1,27,6.9,60,1.3,4.8,1,1.0
2022-07-26 11:00:00,1,26,6.5,60,1.3,5.0,1,1.0
2022-07-26 12:00:00,1,26,6.6,60,1.2,4.8,1,1.0
2022-07-26 13:00:00,1,29,7.1,60,1.3,4.8,1,1.0
2022-07-26 14:00:00,1,30,7.4,60,1.4,4.7,1,1.0
2022-07-26 15:00:00,1,30,7.3,60,1.4,4.7,1,1.0
2022-07-26 16:00:00,1,30,5.9,60,1.5,4.9,1,1.0
2022-07-26 17:00:00,1,29,7.2,60,1.3,4.7,1,1.0
2022-07-27 08:00:00,2,32,6.2,55,1.3,3.9,1,1.0
2022-07-27 10:00:00,2,34,5.8,56,1.3,3.9,1,1.0
2022-07-27 12:00:00,2,34,5.9,56,1.4,4.0,1,1.0
2022-07-27 14:00:00,2,34,5.5,56,1.5,4.2,1,1.0
2022-07-27 16:00:00,2,33,5.8,56,1.3,4.0,1,1.0
2022-07-28 08:00:00,3,32,5.9,56,1.3,4.0,1,1.0
2022-07-28 09:00:00,3,33,7.3,60,1.4,4.6,1,1.0
2022-07-28 10:00:00,3,33,7.1,60,1.4,4.5,1,1.0
2022-07-28 11:00:00,3,34,6.3,60,1.6,4.7,1,1.0
2022-07-28 12:00:00,3,34,6.9,60,1.6,4.4,1,1.0
2022-07-28 13:00:00,3,35,5.7,60,1.8,5.0,1,1.0
2022-07-28 14:00:00,3,36,7.1,60,1.7,4.4,1,1.0
2022-07-28 15:00:00,3,35,7.2,60,1.6,4.4,1,1.0
2022-07-28 16:00:00,3,34,5.9,60,1.7,4.6,1,1.0
2022-07-28 17:00:00,3,32,7.2,60,1.5,4.6,1,1.0
2022-07-29 08:00:00,4,32,5.5,56,1.3,4.0,1,1.0
2022-07-29 10:00:00,4,35,5.4,56,1.4,3.8,1,1.0
2022-07-29 12:00:00,4,36,5.9,56,1.5,3.9,1,1.0
2022-07-29 14:00:00,4,36,6.0,56,1.5,4.0,1,1.0
2022-07-29 16:00:00,4,35,5.9,56,1.5,3.9,1,1.0
