“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-01 08:00:00,7,1,4,36,60,0.5671641791044776
2022-07-01 09:00:00,7,1,4,37,60,0.4119402985074627
2022-07-01 10:00:00,7,1,4,39,60,0.4417910447761194
2022-07-01 11:00:00,7,1,4,40,60,0.44477611940298506
2022-07-01 12:00:00,7,1,4,42,60,0.4507462686567164
2022-07-01 13:00:00,7,1,4,42,60,0.5044776119402985
2022-07-01 14:00:00,7,1,4,40,60,0.45671641791044776
2022-07-01 15:00:00,7,1,4,39,60,0.5432835820895522
2022-07-01 16:00:00,7,1,4,38,60,0.4388059701492537
2022-07-01 17:00:00,7,1,4,36,60,0.4626865671641791
2022-07-01 18:00:00,7,1,4,31,53,0.23582089552238808
2022-07-01 19:00:00,7,1,4,32,60,0.26865671641791045
2022-07-03 06:00:00,7,3,6,33,19,0.19402985074626866
2022-07-03 07:00:00,7,3,6,33,60,0.6537313432835821
2022-07-03 08:00:00,7,3,6,33,60,0.4865671641791045
2022-07-03 09:00:00,7,3,6,33,60,0.3970149253731344
2022-07-03 10:00:00,7,3,6,35,48,0.32537313432835824
2022-07-03 11:00:00,7,3,6,37,60,0.45373134328358206
2022-07-03 12:00:00,7,3,6,37,60,0.44776119402985076
2022-07-03 13:00:00,7,3,6,35,60,0.47761194029850745
2022-07-03 14:00:00,7,3,6,35,60,0.417910447761194
2022-07-03 15:00:00,7,3,6,34,60,0.4119402985074627
2022-07-03 16:00:00,7,3,6,33,60,0.42686567164179107
2022-07-03 17:00:00,7,3,6,33,60,0.4507462686567164
2022-07-03 18:00:00,7,3,6,32,56,0.3343283582089552
2022-07-03 19:00:00,7,3,6,31,60,0.417910447761194
2022-07-04 06:00:00,7,4,0,30,13,0.10746268656716418
2022-07-04 07:00:00,7,4,0,30,60,0.43582089552238806
2022-07-04 08:00:00,7,4,0,28,52,0.3164179104477612
2022-07-04 09:00:00,7,4,0,28,60,0.33134328358208953
2022-07-04 10:00:00,7,4,0,30,60,0.3283582089552239
2022-07-04 11:00:00,7,4,0,31,60,0.3611940298507463
2022-07-04 12:00:00,7,4,0,31,60,0.3044776119402985
2022-07-04 13:00:00,7,4,0,32,45,0.2746268656716418
2022-07-04 14:00:00,7,4,0,32,39,0.208955223880597
2022-07-04 15:00:00,7,4,0,31,51,0.21791044776119403
2022-07-04 16:00:00,7,4,0,31,42,0.18208955223880596
2022-07-04 17:00:00,7,4,0,29,55,0.2716417910447761
2022-07-05 06:00:00,7,5,1,30,14,0.10746268656716418
2022-07-05 07:00:00,7,5,1,29,60,0.2865671641791045
2022-07-05 08:00:00,7,5,1,30,48,0.18507462686567164
2022-07-05 09:00:00,7,5,1,32,54,0.2597014925373134
2022-07-05 10:00:00,7,5,1,33,60,0.34328358208955223
2022-07-05 11:00:00,7,5,1,34,60,0.31343283582089554
2022-07-05 12:00:00,7,5,1,32,60,0.32537313432835824
2022-07-05 13:00:00,7,5,1,31,60,0.31940298507462683
2022-07-05 14:00:00,7,5,1,28,52,0.20597014925373136
2022-07-05 15:00:00,7,5,1,28,33,0.1582089552238806
2022-07-05 16:00:00,7,5,1,29,46,0.15522388059701492
2022-07-05 17:00:00,7,5,1,28,33,0.15522388059701492
2022-07-05 18:00:00,7,5,1,28,39,0.18208955223880596
2022-07-05 19:00:00,7,5,1,25,60,0.1880597014925373
2022-07-06 06:00:00,7,6,2,29,13,0.09253731343283582
2022-07-06 07:00:00,7,6,2,28,60,0.48059701492537316
2022-07-06 08:00:00,7,6,2,29,52,0.15223880597014924
2022-07-06 09:00:00,7,6,2,28,39,0.12537313432835823
2022-07-06 10:00:00,7,6,2,29,45,0.23283582089552238
2022-07-06 11:00:00,7,6,2,32,38,0.15223880597014924
2022-07-06 12:00:00,7,6,2,33,51,0.19402985074626866
2022-07-06 13:00:00,7,6,2,32,33,0.1701492537313433
2022-07-06 14:00:00,7,6,2,30,43,0.1880597014925373
2022-07-06 15:00:00,7,6,2,30,42,0.208955223880597
2022-07-06 16:00:00,7,6,2,32,47,0.1791044776119403
2022-07-06 17:00:00,7,6,2,29,37,0.13134328358208958
2022-07-06 18:00:00,7,6,2,26,50,0.18208955223880596
2022-07-06 19:00:00,7,6,2,25,60,0.17611940298507464
2022-07-07 06:00:00,7,7,3,26,14,0.07462686567164178
2022-07-07 07:00:00,7,7,3,27,60,0.3582089552238806
2022-07-07 08:00:00,7,7,3,26,33,0.0835820895522388
2022-07-07 09:00:00,7,7,3,28,45,0.14029850746268657
2022-07-07 10:00:00,7,7,3,27,35,0.14925373134328357
2022-07-07 11:00:00,7,7,3,30,30,0.12537313432835823
2022-07-07 12:00:00,7,7,3,31,46,0.22985074626865673
2022-07-07 13:00:00,7,7,3,32,60,0.2716417910447761
2022-07-07 14:00:00,7,7,3,32,52,0.24477611940298505
2022-07-07 15:00:00,7,7,3,31,48,0.21791044776119403
2022-07-07 16:00:00,7,7,3,30,29,0.1373134328358209
2022-07-07 17:00:00,7,7,3,30,60,0.24477611940298505
2022-07-07 18:00:00,7,7,3,28,55,0.21194029850746268
2022-07-07 19:00:00,7,7,3,26,60,0.1701492537313433
2022-07-08 07:00:00,7,8,4,26,5,0.014925373134328358
2022-07-08 08:00:00,7,8,4,27,60,0.21492537313432836
2022-07-08 09:00:00,7,8,4,27,60,0.14626865671641792
2022-07-08 10:00:00,7,8,4,28,60,0.16417910447761194
2022-07-08 11:00:00,7,8,4,28,60,0.18208955223880596
2022-07-08 12:00:00,7,8,4,29,60,0.17313432835820894
2022-07-08 13:00:00,7,8,4,30,60,0.22985074626865673
2022-07-08 14:00:00,7,8,4,31,60,0.1791044776119403
2022-07-08 15:00:00,7,8,4,33,60,0.33731343283582094
2022-07-08 16:00:00,7,8,4,30,60,0.22686567164179103
2022-07-08 17:00:00,7,8,4,28,60,0.22388059701492538
2022-07-08 18:00:00,7,8,4,29,57,0.18507462686567164
2022-07-08 19:00:00,7,8,4,26,60,0.1671641791044776
2022-07-09 06:00:00,7,9,5,25,9,0.032835820895522394
2022-07-09 07:00:00,7,9,5,29,60,0.373134328358209
2022-07-09 08:00:00,7,9,5,28,60,0.3283582089552239
2022-07-09 09:00:00,7,9,5,30,60,0.3283582089552239
2022-07-09 10:00:00,7,9,5,31,60,0.15223880597014924
2022-07-09 11:00:00,7,9,5,30,60,0.1671641791044776
2022-07-09 12:00:00,7,9,5,31,60,0.1671641791044776
2022-07-09 13:00:00,7,9,5,32,60,0.1582089552238806
2022-07-09 14:00:00,7,9,5,32,60,0.1880597014925373
2022-07-09 15:00:00,7,9,5,31,60,0.15223880597014924
2022-07-09 16:00:00,7,9,5,30,60,0.18208955223880596
2022-07-09 17:00:00,7,9,5,28,60,0.1373134328358209
2022-07-10 06:00:00,7,10,6,30,19,0.1582089552238806
2022-07-10 07:00:00,7,10,6,29,60,0.3402985074626866
2022-07-10 08:00:00,7,10,6,29,60,0.2656716417910448
2022-07-10 09:00:00,7,10,6,29,25,0.05970149253731343
2022-07-11 06:00:00,7,11,0,30,14,0.11044776119402985
2022-07-11 07:00:00,7,11,0,31,60,0.23880597014925373
2022-07-11 08:00:00,7,11,0,30,39,0.1582089552238806
2022-07-11 09:00:00,7,11,0,32,48,0.208955223880597
2022-07-11 10:00:00,7,11,0,35,60,0.3044776119402985
2022-07-11 11:00:00,7,11,0,36,60,0.29850746268656714
2022-07-11 12:00:00,7,11,0,36,60,0.3044776119402985
2022-07-11 13:00:00,7,11,0,37,60,0.29850746268656714
2022-07-11 14:00:00,7,11,0,37,60,0.33134328358208953
2022-07-11 15:00:00,7,11,0,37,60,0.373134328358209
2022-07-11 16:00:00,7,11,0,35,45,0.24477611940298505
2022-07-11 17:00:00,7,11,0,34,53,0.26268656716417915
2022-07-11 18:00:00,7,11,0,30,39,0.21194029850746268
2022-07-11 19:00:00,7,11,0,29,49,0.191044776119403
2022-07-12 06:00:00,7,12,1,29,12,0.10149253731343283
2022-07-12 07:00:00,7,12,1,29,60,0.37910447761194027
2022-07-12 08:00:00,7,12,1,28,47,0.1970149253731343
2022-07-12 09:00:00,7,12,1,31,47,0.2
2022-07-12 10:00:00,7,12,1,31,60,0.26268656716417915
2022-07-12 11:00:00,7,12,1,30,60,0.3164179104477612
2022-07-12 12:00:00,7,12,1,30,60,0.2776119402985075
2022-07-12 13:00:00,7,12,1,31,60,0.2597014925373134
2022-07-12 14:00:00,7,12,1,31,60,0.23582089552238808
2022-07-12 15:00:00,7,12,1,31,60,0.2746268656716418
2022-07-12 16:00:00,7,12,1,28,45,0.16417910447761194
2022-07-12 17:00:00,7,12,1,29,60,0.25074626865671645
2022-07-12 18:00:00,7,12,1,29,45,0.34328358208955223
2022-07-12 19:00:00,7,12,1,26,60,0.3283582089552239
2022-07-12 21:00:00,7,12,1,27,38,0.2208955223880597
2022-07-13 06:00:00,7,13,2,23,14,0.07761194029850746
2022-07-13 07:00:00,7,13,2,22,60,0.20298507462686566
2022-07-13 08:00:00,7,13,2,22,60,0.17611940298507464
2022-07-13 09:00:00,7,13,2,24,60,0.21194029850746268
2022-07-13 10:00:00,7,13,2,26,60,0.18507462686567164
2022-07-13 11:00:00,7,13,2,27,60,0.22985074626865673
2022-07-13 12:00:00,7,13,2,25,36,0.17611940298507464
2022-07-13 13:00:00,7,13,2,26,18,0.07462686567164178
2022-07-13 14:00:00,7,13,2,25,25,0.07462686567164178
2022-07-13 15:00:00,7,13,2,26,21,0.06865671641791045
2022-07-13 16:00:00,7,13,2,29,60,0.2417910447761194
2022-07-13 17:00:00,7,13,2,27,60,0.21791044776119403
2022-07-13 18:00:00,7,13,2,24,32,0.14328358208955225
2022-07-13 22:00:00,7,13,2,24,11,0.04776119402985075
2022-07-13 23:00:00,7,13,2,23,44,0.14925373134328357
2022-07-14 06:00:00,7,14,3,23,5,0.014925373134328358
2022-07-14 09:00:00,7,14,3,25,14,0.032835820895522394
2022-07-14 10:00:00,7,14,3,26,13,0.032835820895522394
2022-07-14 11:00:00,7,14,3,26,25,0.07164179104477612
2022-07-14 12:00:00,7,14,3,24,24,0.1044776119402985
2022-07-14 13:00:00,7,14,3,29,60,0.3164179104477612
2022-07-14 14:00:00,7,14,3,28,60,0.26865671641791045
2022-07-14 15:00:00,7,14,3,28,60,0.26268656716417915
2022-07-14 16:00:00,7,14,3,27,60,0.22985074626865673
2022-07-14 17:00:00,7,14,3,23,60,0.26865671641791045
2022-07-14 20:00:00,7,14,3,25,41,0.18208955223880596
2022-07-14 21:00:00,7,14,3,23,60,0.1701492537313433
2022-07-14 22:00:00,7,14,3,23,13,0.03880597014925373
2022-07-14 23:00:00,7,14,3,23,10,0.01791044776119403
2022-07-15 18:00:00,7,15,4,23,33,0.1373134328358209
2022-07-15 19:00:00,7,15,4,25,60,0.18208955223880596
2022-07-15 21:00:00,7,15,4,24,13,0.0835820895522388
2022-07-17 06:00:00,7,17,6,23,18,0.06567164179104479
2022-07-17 07:00:00,7,17,6,23,14,0.03880597014925373
2022-07-17 13:00:00,7,17,6,30,16,0.05373134328358209
2022-07-17 14:00:00,7,17,6,32,60,0.21194029850746268
2022-07-17 15:00:00,7,17,6,31,60,0.19402985074626866
2022-07-17 16:00:00,7,17,6,30,3,0.008955223880597015
2022-07-17 17:00:00,7,17,6,30,12,0.029850746268656716
2022-07-18 06:00:00,7,18,0,30,18,0.12537313432835823
2022-07-18 07:00:00,7,18,0,31,12,0.09850746268656715
2022-07-18 09:00:00,7,18,0,29,35,0.1044776119402985
2022-07-18 10:00:00,7,18,0,33,60,0.29253731343283584
2022-07-18 11:00:00,7,18,0,34,60,0.25074626865671645
2022-07-18 12:00:00,7,18,0,34,60,0.3343283582089552
2022-07-18 13:00:00,7,18,0,35,60,0.3164179104477612
2022-07-18 14:00:00,7,18,0,36,60,0.3283582089552239
2022-07-18 15:00:00,7,18,0,35,60,0.31343283582089554
2022-07-18 16:00:00,7,18,0,32,39,0.15223880597014924
2022-07-18 17:00:00,7,18,0,32,28,0.08955223880597014
2022-07-19 06:00:00,7,19,1,29,10,0.06268656716417911
2022-07-19 07:00:00,7,19,1,29,44,0.22985074626865673
2022-07-19 08:00:00,7,19,1,29,31,0.11343283582089551
2022-07-19 09:00:00,7,19,1,31,47,0.1791044776119403
2022-07-19 10:00:00,7,19,1,33,38,0.17313432835820894
2022-07-19 11:00:00,7,19,1,31,36,0.2
2022-07-19 12:00:00,7,19,1,32,27,0.17313432835820894
2022-07-19 13:00:00,7,19,1,31,46,0.191044776119403
2022-07-19 14:00:00,7,19,1,31,38,0.15522388059701492
2022-07-19 15:00:00,7,19,1,28,39,0.1582089552238806
2022-07-19 16:00:00,7,19,1,27,39,0.15223880597014924
2022-07-19 17:00:00,7,19,1,27,26,0.16119402985074627
2022-07-20 06:00:00,7,20,2,30,9,0.04776119402985075
2022-07-20 07:00:00,7,20,2,32,60,0.42686567164179107
2022-07-20 08:00:00,7,20,2,32,40,0.12835820895522387
2022-07-20 09:00:00,7,20,2,33,41,0.18208955223880596
2022-07-20 10:00:00,7,20,2,33,35,0.14925373134328357
