“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-01 08:00:00,7,1,4,34,56,0.44642857142857145
2022-07-01 09:00:00,7,1,4,36,60,0.5892857142857143
2022-07-01 10:00:00,7,1,4,37,60,0.5892857142857143
2022-07-01 11:00:00,7,1,4,38,60,0.5848214285714286
2022-07-01 12:00:00,7,1,4,39,60,0.6160714285714286
2022-07-01 13:00:00,7,1,4,40,60,0.5982142857142858
2022-07-01 14:00:00,7,1,4,38,60,0.5892857142857143
2022-07-01 15:00:00,7,1,4,37,60,0.5982142857142858
2022-07-01 16:00:00,7,1,4,36,60,0.5223214285714286
2022-07-01 17:00:00,7,1,4,35,13,0.00892857142857143
2022-07-03 12:00:00,7,3,6,34,18,0.12946428571428573
2022-07-04 08:00:00,7,4,0,27,56,0.35714285714285715
2022-07-04 09:00:00,7,4,0,27,60,0.23660714285714288
2022-07-04 10:00:00,7,4,0,28,60,0.23214285714285718
2022-07-04 11:00:00,7,4,0,29,60,0.23214285714285718
2022-07-04 12:00:00,7,4,0,29,60,0.22767857142857142
2022-07-04 13:00:00,7,4,0,31,60,0.25446428571428575
2022-07-04 14:00:00,7,4,0,32,60,0.4910714285714286
2022-07-04 15:00:00,7,4,0,32,60,0.5625
2022-07-04 16:00:00,7,4,0,32,60,0.5267857142857143
2022-07-04 17:00:00,7,4,0,29,10,0.004464285714285715
2022-07-05 08:00:00,7,5,1,30,56,0.19196428571428573
2022-07-05 09:00:00,7,5,1,32,60,0.22767857142857142
2022-07-05 10:00:00,7,5,1,33,60,0.3973214285714286
2022-07-05 11:00:00,7,5,1,34,60,0.37946428571428575
2022-07-05 12:00:00,7,5,1,33,60,0.3928571428571429
2022-07-05 13:00:00,7,5,1,30,60,0.3035714285714286
2022-07-05 14:00:00,7,5,1,29,60,0.22321428571428573
2022-07-05 15:00:00,7,5,1,28,60,0.22767857142857142
2022-07-05 16:00:00,7,5,1,28,60,0.28571428571428575
2022-07-05 17:00:00,7,5,1,26,9,0.013392857142857144
2022-07-06 08:00:00,7,6,2,28,50,0.16517857142857145
2022-07-06 10:00:00,7,6,2,32,55,0.2098214285714286
2022-07-06 12:00:00,7,6,2,34,55,0.34375000000000006
2022-07-06 14:00:00,7,6,2,29,56,0.20535714285714285
2022-07-06 16:00:00,7,6,2,30,55,0.2142857142857143
2022-07-07 08:00:00,7,7,3,27,31,0.09375000000000001
2022-07-07 09:00:00,7,7,3,28,60,0.2410714285714286
2022-07-07 10:00:00,7,7,3,28,60,0.22767857142857142
2022-07-07 11:00:00,7,7,3,30,60,0.22767857142857142
2022-07-07 12:00:00,7,7,3,30,60,0.22767857142857142
2022-07-07 13:00:00,7,7,3,31,60,0.2410714285714286
2022-07-07 14:00:00,7,7,3,31,60,0.23660714285714288
2022-07-07 15:00:00,7,7,3,31,60,0.37500000000000006
2022-07-07 16:00:00,7,7,3,31,60,0.4151785714285715
2022-07-07 17:00:00,7,7,3,28,7,0.00892857142857143
2022-07-08 08:00:00,7,8,4,28,41,0.13839285714285715
2022-07-08 10:00:00,7,8,4,29,56,0.18303571428571427
2022-07-08 12:00:00,7,8,4,30,56,0.18750000000000003
2022-07-08 14:00:00,7,8,4,32,56,0.19642857142857145
2022-07-08 16:00:00,7,8,4,31,56,0.19642857142857145
2022-07-11 08:00:00,7,11,0,30,56,0.2767857142857143
2022-07-11 10:00:00,7,11,0,33,56,0.27232142857142855
2022-07-11 12:00:00,7,11,0,35,56,0.23214285714285718
2022-07-11 14:00:00,7,11,0,35,56,0.23660714285714288
2022-07-11 16:00:00,7,11,0,33,56,0.2455357142857143
2022-07-12 08:00:00,7,12,1,29,56,0.20089285714285715
2022-07-12 09:00:00,7,12,1,29,60,0.23660714285714288
