ì˙éû,åé,ì˙,ójì˙,äOãCâ∑ìx,é∫äOã@â^ì]éûä‘,ìdóÕè¡îÔó ,ó‚ñ[î\óÕ
2022-07-01 08:00:00,7,1,4,34,60,5.5,15.0
2022-07-01 09:00:00,7,1,4,35,60,4.7,13.5
2022-07-01 10:00:00,7,1,4,37,60,5.6,14.0
2022-07-01 11:00:00,7,1,4,38,60,5.8,13.6
2022-07-01 12:00:00,7,1,4,38,60,6.0,14.9
2022-07-01 13:00:00,7,1,4,38,60,6.2,14.4
2022-07-01 14:00:00,7,1,4,37,60,6.0,14.3
2022-07-01 15:00:00,7,1,4,37,60,5.9,14.2
2022-07-01 16:00:00,7,1,4,35,60,5.1,13.8
2022-07-01 17:00:00,7,1,4,33,60,5.2,13.7
2022-07-01 18:00:00,7,1,4,31,53,4.1,11.5
2022-07-01 19:00:00,7,1,4,30,60,5.0,13.3
2022-07-01 20:00:00,7,1,4,29,1,0.1,0.2
2022-07-03 06:00:00,7,3,6,30,19,1.7,5.0
2022-07-03 07:00:00,7,3,6,31,60,6.1,15.6
2022-07-03 08:00:00,7,3,6,32,60,4.8,13.8
2022-07-03 09:00:00,7,3,6,32,60,4.7,13.1
2022-07-03 10:00:00,7,3,6,33,60,4.4,12.8
2022-07-03 11:00:00,7,3,6,35,60,5.2,13.8
2022-07-03 12:00:00,7,3,6,34,60,5.6,13.7
2022-07-03 13:00:00,7,3,6,33,60,4.9,13.1
2022-07-03 14:00:00,7,3,6,32,60,5.1,13.0
2022-07-03 15:00:00,7,3,6,32,60,4.1,12.6
2022-07-03 16:00:00,7,3,6,31,60,4.6,12.9
2022-07-03 17:00:00,7,3,6,30,60,4.1,12.7
2022-07-03 18:00:00,7,3,6,31,56,4.8,12.3
2022-07-03 19:00:00,7,3,6,30,60,5.6,14.8
2022-07-03 20:00:00,7,3,6,28,9,0.5,0.8
2022-07-04 06:00:00,7,4,0,27,13,0.7,2.9
2022-07-04 07:00:00,7,4,0,27,60,3.2,12.3
2022-07-04 08:00:00,7,4,0,25,60,2.6,11.0
2022-07-04 09:00:00,7,4,0,25,60,2.3,9.1
2022-07-04 10:00:00,7,4,0,27,60,2.6,11.4
2022-07-04 11:00:00,7,4,0,28,60,3.5,12.1
2022-07-04 12:00:00,7,4,0,28,60,3.2,11.9
2022-07-04 13:00:00,7,4,0,29,60,3.6,12.0
2022-07-04 14:00:00,7,4,0,30,60,3.6,11.2
2022-07-04 15:00:00,7,4,0,30,60,3.6,12.2
2022-07-04 16:00:00,7,4,0,30,60,4.0,12.4
2022-07-04 17:00:00,7,4,0,29,60,3.5,12.4
2022-07-04 18:00:00,7,4,0,28,1,0.1,0.2
2022-07-05 06:00:00,7,5,1,27,14,0.6,2.7
2022-07-05 07:00:00,7,5,1,27,60,2.9,10.4
2022-07-05 08:00:00,7,5,1,30,60,1.9,6.4
2022-07-05 09:00:00,7,5,1,31,60,3.0,10.2
2022-07-05 10:00:00,7,5,1,31,60,3.7,11.3
2022-07-05 11:00:00,7,5,1,32,60,3.4,11.5
2022-07-05 12:00:00,7,5,1,32,60,3.8,11.6
2022-07-05 13:00:00,7,5,1,27,60,2.7,9.2
2022-07-05 14:00:00,7,5,1,28,60,2.9,10.8
2022-07-05 15:00:00,7,5,1,27,60,3.2,10.3
2022-07-05 16:00:00,7,5,1,27,60,2.9,11.0
2022-07-05 17:00:00,7,5,1,25,60,2.9,11.6
2022-07-05 18:00:00,7,5,1,24,39,2.3,8.2
2022-07-05 19:00:00,7,5,1,24,60,2.3,10.2
2022-07-06 06:00:00,7,6,2,24,13,0.4,1.9
2022-07-06 07:00:00,7,6,2,25,60,3.2,12.5
2022-07-06 08:00:00,7,6,2,26,60,1.7,6.5
2022-07-06 09:00:00,7,6,2,29,60,2.2,8.4
2022-07-06 10:00:00,7,6,2,31,60,3.1,11.0
2022-07-06 11:00:00,7,6,2,32,60,3.0,8.0
2022-07-06 12:00:00,7,6,2,31,60,3.1,9.6
2022-07-06 13:00:00,7,6,2,31,60,3.8,11.7
2022-07-06 14:00:00,7,6,2,29,60,2.5,8.0
2022-07-06 15:00:00,7,6,2,30,60,2.8,9.3
2022-07-06 16:00:00,7,6,2,30,60,3.3,9.6
2022-07-06 17:00:00,7,6,2,27,60,2.7,9.7
2022-07-06 18:00:00,7,6,2,26,51,1.8,8.2
2022-07-06 19:00:00,7,6,2,25,60,1.5,6.5
2022-07-06 20:00:00,7,6,2,24,1,0.1,0.2
2022-07-07 06:00:00,7,7,3,24,14,0.5,2.0
2022-07-07 07:00:00,7,7,3,26,60,2.6,10.9
2022-07-07 08:00:00,7,7,3,26,60,1.3,4.1
2022-07-07 09:00:00,7,7,3,27,60,1.6,6.4
2022-07-07 10:00:00,7,7,3,27,60,1.8,7.7
2022-07-07 11:00:00,7,7,3,27,60,2.8,9.2
2022-07-07 12:00:00,7,7,3,29,60,2.3,7.8
2022-07-07 13:00:00,7,7,3,30,60,2.1,6.6
2022-07-07 14:00:00,7,7,3,30,60,3.0,8.3
2022-07-07 15:00:00,7,7,3,30,60,2.6,7.6
2022-07-07 16:00:00,7,7,3,29,60,2.8,9.4
2022-07-07 17:00:00,7,7,3,27,60,3.0,9.0
2022-07-07 18:00:00,7,7,3,27,56,2.1,9.2
2022-07-07 19:00:00,7,7,3,25,60,1.9,8.7
2022-07-07 20:00:00,7,7,3,25,1,0.1,0.0
2022-07-08 07:00:00,7,8,4,26,5,0.1,0.6
2022-07-08 08:00:00,7,8,4,27,60,2.6,9.0
2022-07-08 09:00:00,7,8,4,28,60,1.9,6.7
2022-07-08 10:00:00,7,8,4,29,60,2.2,8.0
2022-07-08 11:00:00,7,8,4,29,60,2.4,8.5
2022-07-08 12:00:00,7,8,4,30,60,3.1,10.2
2022-07-08 13:00:00,7,8,4,31,60,2.6,8.7
2022-07-08 14:00:00,7,8,4,32,60,2.8,8.9
2022-07-08 15:00:00,7,8,4,32,60,3.8,10.8
2022-07-08 16:00:00,7,8,4,30,60,2.5,7.3
2022-07-08 17:00:00,7,8,4,27,60,2.1,6.4
2022-07-08 18:00:00,7,8,4,27,57,2.7,9.1
2022-07-08 19:00:00,7,8,4,26,60,2.0,7.9
2022-07-10 06:00:00,7,10,6,25,19,0.9,4.1
2022-07-10 07:00:00,7,10,6,26,60,2.6,11.4
2022-07-10 08:00:00,7,10,6,28,60,2.5,9.5
2022-07-10 09:00:00,7,10,6,30,60,2.5,9.9
2022-07-10 10:00:00,7,10,6,31,60,3.8,12.3
2022-07-10 11:00:00,7,10,6,30,60,3.7,11.7
2022-07-10 12:00:00,7,10,6,32,60,3.0,9.4
2022-07-10 13:00:00,7,10,6,32,60,4.3,12.5
2022-07-10 14:00:00,7,10,6,32,60,4.1,12.6
2022-07-10 15:00:00,7,10,6,31,60,4.7,13.0
2022-07-10 16:00:00,7,10,6,31,60,4.4,12.9
2022-07-10 17:00:00,7,10,6,30,60,4.6,12.9
2022-07-11 06:00:00,7,11,0,28,14,0.4,1.9
2022-07-11 07:00:00,7,11,0,27,60,1.9,6.7
2022-07-11 08:00:00,7,11,0,30,60,1.8,5.0
2022-07-11 09:00:00,7,11,0,30,60,3.1,9.1
2022-07-11 10:00:00,7,11,0,31,60,2.8,8.3
2022-07-11 11:00:00,7,11,0,31,60,3.3,10.4
2022-07-11 12:00:00,7,11,0,33,60,3.4,9.5
2022-07-11 13:00:00,7,11,0,34,60,2.6,7.0
2022-07-11 14:00:00,7,11,0,34,60,3.1,8.8
2022-07-11 15:00:00,7,11,0,32,60,4.2,11.1
2022-07-11 16:00:00,7,11,0,32,60,3.1,8.8
2022-07-11 17:00:00,7,11,0,30,60,3.3,10.6
2022-07-11 18:00:00,7,11,0,29,57,3.5,9.7
2022-07-11 19:00:00,7,11,0,29,60,2.5,7.6
2022-07-12 06:00:00,7,12,1,26,12,0.7,2.8
2022-07-12 07:00:00,7,12,1,26,60,2.9,11.9
2022-07-12 08:00:00,7,12,1,27,60,1.5,5.0
2022-07-12 09:00:00,7,12,1,27,60,1.9,7.2
2022-07-12 10:00:00,7,12,1,28,60,2.1,8.3
2022-07-12 11:00:00,7,12,1,28,60,2.8,9.2
2022-07-12 12:00:00,7,12,1,28,60,1.9,6.5
2022-07-12 13:00:00,7,12,1,28,60,1.9,6.2
2022-07-12 14:00:00,7,12,1,27,60,2.1,7.3
2022-07-12 15:00:00,7,12,1,28,60,2.3,7.2
2022-07-12 16:00:00,7,12,1,26,60,1.8,6.4
2022-07-12 17:00:00,7,12,1,26,60,1.6,6.6
2022-07-12 18:00:00,7,12,1,26,45,1.9,9.0
2022-07-12 19:00:00,7,12,1,26,60,3.1,11.6
2022-07-13 06:00:00,7,13,2,22,14,0.4,2.1
2022-07-13 07:00:00,7,13,2,22,25,0.6,2.5
2022-07-13 09:00:00,7,13,2,23,23,0.5,1.9
2022-07-13 10:00:00,7,13,2,25,60,1.4,5.8
2022-07-13 11:00:00,7,13,2,24,30,0.7,2.4
2022-07-13 12:00:00,7,13,2,25,60,1.4,3.6
2022-07-13 13:00:00,7,13,2,23,60,1.4,4.1
2022-07-13 14:00:00,7,13,2,24,60,1.8,5.6
2022-07-13 15:00:00,7,13,2,24,41,0.9,2.8
2022-07-13 16:00:00,7,13,2,24,60,1.4,5.0
2022-07-13 18:00:00,7,13,2,24,59,1.6,7.2
2022-07-13 19:00:00,7,13,2,24,60,1.3,4.0
2022-07-14 06:00:00,7,14,3,23,11,0.2,1.2
2022-07-14 07:00:00,7,14,3,23,60,1.5,5.7
2022-07-14 08:00:00,7,14,3,24,19,0.4,1.7
2022-07-14 09:00:00,7,14,3,25,60,2.0,7.6
2022-07-14 10:00:00,7,14,3,26,60,1.4,5.6
2022-07-14 11:00:00,7,14,3,27,60,2.0,8.1
2022-07-14 12:00:00,7,14,3,24,47,1.7,6.0
2022-07-14 13:00:00,7,14,3,23,31,0.6,2.7
2022-07-14 14:00:00,7,14,3,23,60,1.3,5.3
2022-07-14 15:00:00,7,14,3,23,60,1.6,6.8
2022-07-14 16:00:00,7,14,3,23,28,0.7,2.7
2022-07-14 17:00:00,7,14,3,23,53,1.1,3.6
2022-07-14 20:00:00,7,14,3,22,36,0.7,3.2
2022-07-14 21:00:00,7,14,3,22,60,1.5,5.7
2022-07-14 22:00:00,7,14,3,22,9,0.2,0.7
2022-07-14 23:00:00,7,14,3,23,29,0.6,2.2
2022-07-15 14:00:00,7,15,4,24,28,0.9,4.5
2022-07-15 15:00:00,7,15,4,24,60,2.0,9.7
2022-07-15 16:00:00,7,15,4,23,60,1.3,5.8
2022-07-15 17:00:00,7,15,4,23,60,1.9,7.7
2022-07-15 18:00:00,7,15,4,23,35,1.1,4.6
2022-07-15 19:00:00,7,15,4,23,60,1.7,7.4
2022-07-16 12:00:00,7,16,5,23,59,1.3,4.2
2022-07-16 13:00:00,7,16,5,23,60,1.3,3.7
2022-07-16 14:00:00,7,16,5,23,60,1.3,3.7
2022-07-16 15:00:00,7,16,5,23,31,0.7,1.9
2022-07-16 16:00:00,7,16,5,24,47,1.3,3.8
2022-07-16 17:00:00,7,16,5,24,28,0.6,1.7
2022-07-17 06:00:00,7,17,6,23,18,0.4,2.1
2022-07-17 07:00:00,7,17,6,24,60,1.2,4.1
2022-07-17 08:00:00,7,17,6,23,13,0.3,0.8
2022-07-17 10:00:00,7,17,6,29,15,0.4,1.4
2022-07-17 11:00:00,7,17,6,28,27,0.6,1.8
2022-07-17 12:00:00,7,17,6,29,44,1.3,4.5
2022-07-17 13:00:00,7,17,6,30,27,0.6,1.6
2022-07-17 14:00:00,7,17,6,31,60,1.5,3.7
2022-07-17 15:00:00,7,17,6,31,60,2.6,6.6
2022-07-17 16:00:00,7,17,6,30,60,2.2,6.0
2022-07-17 17:00:00,7,17,6,30,60,2.7,8.2
2022-07-17 19:00:00,7,17,6,28,44,1.5,5.0
2022-07-18 06:00:00,7,18,0,26,18,0.8,3.4
2022-07-18 07:00:00,7,18,0,27,60,4.1,12.9
2022-07-18 08:00:00,7,18,0,28,60,5.5,15.1
2022-07-18 09:00:00,7,18,0,28,31,2.8,8.1
2022-07-18 10:00:00,7,18,0,31,2,0.1,0.2
2022-07-18 11:00:00,7,18,0,33,60,1.7,3.9
2022-07-18 12:00:00,7,18,0,32,60,1.8,3.9
2022-07-18 13:00:00,7,18,0,33,60,2.9,7.0
2022-07-18 14:00:00,7,18,0,33,47,3.6,7.9
2022-07-18 15:00:00,7,18,0,32,45,4.2,11.9
2022-07-18 16:00:00,7,18,0,32,60,5.3,15.0
2022-07-18 17:00:00,7,18,0,31,60,5.1,13.8
2022-07-18 18:00:00,7,18,0,30,47,2.3,6.2
2022-07-18 19:00:00,7,18,0,29,60,2.3,6.6
2022-07-19 06:00:00,7,19,1,27,10,0.6,2.2
2022-07-19 07:00:00,7,19,1,28,60,3.7,11.5
2022-07-19 08:00:00,7,19,1,28,60,2.6,7.3
2022-07-19 09:00:00,7,19,1,30,60,3.1,9.2
2022-07-19 10:00:00,7,19,1,31,60,4.3,10.5
2022-07-19 11:00:00,7,19,1,30,60,4.0,12.3
2022-07-19 12:00:00,7,19,1,29,60,3.0,8.8
2022-07-19 13:00:00,7,19,1,29,60,4.1,10.4
2022-07-19 14:00:00,7,19,1,28,60,3.5,10.6
2022-07-19 15:00:00,7,19,1,27,60,2.8,8.4
2022-07-19 16:00:00,7,19,1,27,60,3.3,9.3
2022-07-19 17:00:00,7,19,1,27,60,2.6,8.3
2022-07-20 06:00:00,7,20,2,28,9,0.3,1.4
2022-07-20 07:00:00,7,20,2,30,60,4.8,13.5
2022-07-20 08:00:00,7,20,2,32,60,2.2,4.8
2022-07-20 09:00:00,7,20,2,32,60,3.0,8.0
2022-07-20 10:00:00,7,20,2,34,60,4.5,11.0
2022-07-20 11:00:00,7,20,2,34,60,3.5,8.9
2022-07-20 12:00:00,7,20,2,34,60,4.0,10.9
2022-07-20 13:00:00,7,20,2,34,60,4.6,9.7
