ì˙éû,åé,ì˙,ójì˙,äOãCâ∑ìx,é∫äOã@â^ì]éûä‘,ìdóÕè¡îÔó ,ó‚ñ[î\óÕ
2022-07-01 08:00:00,7,1,4,34,56,3.0,10.0
2022-07-01 09:00:00,7,1,4,36,60,4.3,13.2
2022-07-01 10:00:00,7,1,4,37,60,4.5,13.2
2022-07-01 11:00:00,7,1,4,38,60,4.7,13.1
2022-07-01 12:00:00,7,1,4,39,60,5.1,13.8
2022-07-01 13:00:00,7,1,4,40,60,5.0,13.4
2022-07-01 14:00:00,7,1,4,38,60,4.8,13.2
2022-07-01 15:00:00,7,1,4,37,60,4.7,13.4
2022-07-01 16:00:00,7,1,4,36,60,4.1,11.7
2022-07-01 17:00:00,7,1,4,35,13,0.2,0.2
2022-07-03 12:00:00,7,3,6,34,18,0.9,2.9
2022-07-04 08:00:00,7,4,0,27,56,1.7,8.0
2022-07-04 09:00:00,7,4,0,27,60,1.1,5.3
2022-07-04 10:00:00,7,4,0,28,60,1.2,5.2
2022-07-04 11:00:00,7,4,0,29,60,1.2,5.2
2022-07-04 12:00:00,7,4,0,29,60,1.2,5.1
2022-07-04 13:00:00,7,4,0,31,60,1.5,5.7
2022-07-04 14:00:00,7,4,0,32,60,3.1,11.0
2022-07-04 15:00:00,7,4,0,32,60,3.3,12.6
2022-07-04 16:00:00,7,4,0,32,60,3.1,11.8
2022-07-04 17:00:00,7,4,0,29,10,0.1,0.1
2022-07-05 08:00:00,7,5,1,30,56,1.1,4.3
2022-07-05 09:00:00,7,5,1,32,60,1.3,5.1
2022-07-05 10:00:00,7,5,1,33,60,2.1,8.9
2022-07-05 11:00:00,7,5,1,34,60,2.0,8.5
2022-07-05 12:00:00,7,5,1,33,60,2.0,8.8
2022-07-05 13:00:00,7,5,1,30,60,1.5,6.8
2022-07-05 14:00:00,7,5,1,29,60,1.1,5.0
2022-07-05 15:00:00,7,5,1,28,60,1.1,5.1
2022-07-05 16:00:00,7,5,1,28,60,1.5,6.4
2022-07-05 17:00:00,7,5,1,26,9,0.1,0.3
2022-07-06 08:00:00,7,6,2,28,50,0.9,3.7
2022-07-06 10:00:00,7,6,2,32,55,1.2,4.7
2022-07-06 12:00:00,7,6,2,34,55,1.9,7.7
2022-07-06 14:00:00,7,6,2,29,56,1.2,4.6
2022-07-06 16:00:00,7,6,2,30,55,1.2,4.8
2022-07-07 08:00:00,7,7,3,27,31,0.6,2.1
2022-07-07 09:00:00,7,7,3,28,60,1.3,5.4
2022-07-07 10:00:00,7,7,3,28,60,1.1,5.1
2022-07-07 11:00:00,7,7,3,30,60,1.2,5.1
2022-07-07 12:00:00,7,7,3,30,60,1.2,5.1
2022-07-07 13:00:00,7,7,3,31,60,1.3,5.4
2022-07-07 14:00:00,7,7,3,31,60,1.3,5.3
2022-07-07 15:00:00,7,7,3,31,60,2.2,8.4
2022-07-07 16:00:00,7,7,3,31,60,2.2,9.3
2022-07-07 17:00:00,7,7,3,28,7,0.1,0.2
2022-07-08 08:00:00,7,8,4,28,41,0.8,3.1
2022-07-08 10:00:00,7,8,4,29,56,1.1,4.1
2022-07-08 12:00:00,7,8,4,30,56,1.2,4.2
2022-07-08 14:00:00,7,8,4,32,56,1.2,4.4
2022-07-08 16:00:00,7,8,4,31,56,1.2,4.4
2022-07-11 08:00:00,7,11,0,30,56,1.6,6.2
2022-07-11 10:00:00,7,11,0,33,56,1.7,6.1
2022-07-11 12:00:00,7,11,0,35,56,1.5,5.2
2022-07-11 14:00:00,7,11,0,35,56,1.6,5.3
2022-07-11 16:00:00,7,11,0,33,56,1.6,5.5
2022-07-12 08:00:00,7,12,1,29,56,1.1,4.5
2022-07-12 09:00:00,7,12,1,29,60,1.3,5.3
2022-07-12 10:00:00,7,12,1,31,60,1.6,6.4
2022-07-12 11:00:00,7,12,1,29,60,1.3,5.4
2022-07-12 12:00:00,7,12,1,29,60,1.2,5.1
2022-07-12 13:00:00,7,12,1,30,60,1.3,5.5
2022-07-12 14:00:00,7,12,1,29,60,1.2,5.2
2022-07-12 15:00:00,7,12,1,30,60,1.6,6.4
2022-07-12 16:00:00,7,12,1,28,60,1.2,5.7
2022-07-12 17:00:00,7,12,1,26,7,0.1,0.2
2022-07-13 08:00:00,7,13,2,23,10,0.1,0.4
2022-07-13 10:00:00,7,13,2,23,6,0.1,0.1
2022-07-13 12:00:00,7,13,2,25,8,0.1,0.2
2022-07-13 14:00:00,7,13,2,24,5,0.1,0.0
2022-07-14 11:00:00,7,14,3,27,52,1.0,4.2
2022-07-14 12:00:00,7,14,3,26,60,1.1,5.2
2022-07-14 13:00:00,7,14,3,27,60,1.1,5.3
2022-07-14 14:00:00,7,14,3,25,18,0.3,1.5
2022-07-14 15:00:00,7,14,3,24,4,0.1,0.3
2022-07-14 16:00:00,7,14,3,23,10,0.1,0.2
2022-07-14 17:00:00,7,14,3,23,7,0.1,0.2
2022-07-15 10:00:00,7,15,4,23,5,0.1,0.2
2022-07-15 12:00:00,7,15,4,25,10,0.1,0.2
2022-07-15 14:00:00,7,15,4,25,5,0.1,0.1
2022-07-15 16:00:00,7,15,4,24,8,0.1,0.3
2022-07-18 08:00:00,7,18,0,29,55,1.4,5.3
2022-07-18 10:00:00,7,18,0,33,55,1.4,5.0
2022-07-18 12:00:00,7,18,0,35,55,1.5,5.3
2022-07-18 14:00:00,7,18,0,35,55,1.7,5.4
2022-07-18 16:00:00,7,18,0,33,55,1.5,5.1
2022-07-19 08:00:00,7,19,1,30,56,1.6,5.6
