“úŽž,ŒŽ,‹x“ú,•½“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-01 06:00:00,7,0,1,30,32,0.044444444444444446
2022-07-01 07:00:00,7,0,1,32,43,0.0911111111111111
2022-07-01 08:00:00,7,0,1,34,60,0.5466666666666667
2022-07-01 09:00:00,7,0,1,36,60,0.7
2022-07-01 10:00:00,7,0,1,38,60,0.6977777777777777
2022-07-01 11:00:00,7,0,1,40,60,0.7266666666666667
2022-07-01 12:00:00,7,0,1,41,60,0.6888888888888889
2022-07-01 13:00:00,7,0,1,41,60,0.6933333333333334
2022-07-01 14:00:00,7,0,1,40,60,0.7155555555555556
2022-07-01 15:00:00,7,0,1,37,60,0.2088888888888889
2022-07-01 16:00:00,7,0,1,36,60,0.20222222222222222
2022-07-01 17:00:00,7,0,1,34,1,0.0022222222222222222
2022-07-02 08:00:00,7,1,0,33,59,0.23777777777777775
2022-07-02 09:00:00,7,1,0,34,60,0.3377777777777778
2022-07-02 10:00:00,7,1,0,36,60,0.34444444444444444
2022-07-02 11:00:00,7,1,0,36,60,0.3422222222222222
2022-07-02 12:00:00,7,1,0,37,60,0.33555555555555555
2022-07-02 13:00:00,7,1,0,37,60,0.3288888888888889
2022-07-02 14:00:00,7,1,0,37,60,0.3422222222222222
2022-07-02 15:00:00,7,1,0,35,60,0.08222222222222222
2022-07-02 16:00:00,7,1,0,34,60,0.08444444444444445
2022-07-02 17:00:00,7,1,0,33,1,0.0022222222222222222
2022-07-03 07:00:00,7,1,0,30,32,0.07555555555555556
2022-07-03 08:00:00,7,1,0,31,60,0.3644444444444444
2022-07-03 09:00:00,7,1,0,32,60,0.3622222222222222
2022-07-03 10:00:00,7,1,0,33,60,0.32
2022-07-03 11:00:00,7,1,0,35,60,0.37777777777777777
2022-07-03 12:00:00,7,1,0,34,60,0.4066666666666667
2022-07-03 13:00:00,7,1,0,33,60,0.3
2022-07-03 14:00:00,7,1,0,33,60,0.2222222222222222
2022-07-03 15:00:00,7,1,0,32,1,0.0
2022-07-04 06:00:00,7,0,1,28,41,0.05555555555555555
2022-07-04 07:00:00,7,0,1,26,46,0.1111111111111111
2022-07-04 08:00:00,7,0,1,25,60,0.4822222222222222
2022-07-04 09:00:00,7,0,1,26,60,0.5733333333333334
2022-07-04 10:00:00,7,0,1,27,60,0.5311111111111111
2022-07-04 11:00:00,7,0,1,28,60,0.5133333333333334
2022-07-04 12:00:00,7,0,1,30,60,0.5244444444444445
2022-07-04 13:00:00,7,0,1,30,60,0.5177777777777778
2022-07-04 14:00:00,7,0,1,31,60,0.6444444444444445
2022-07-04 15:00:00,7,0,1,31,60,0.5822222222222222
2022-07-04 16:00:00,7,0,1,30,60,0.5688888888888889
2022-07-05 06:00:00,7,0,1,26,23,0.03333333333333333
2022-07-05 07:00:00,7,0,1,28,47,0.11333333333333333
2022-07-05 08:00:00,7,0,1,30,60,0.4177777777777778
2022-07-05 09:00:00,7,0,1,31,60,0.5
2022-07-05 10:00:00,7,0,1,32,60,0.5066666666666667
2022-07-05 11:00:00,7,0,1,31,60,0.49777777777777776
2022-07-05 12:00:00,7,0,1,32,60,0.5044444444444445
2022-07-05 13:00:00,7,0,1,30,60,0.5288888888888889
2022-07-05 14:00:00,7,0,1,29,60,0.5977777777777777
2022-07-05 15:00:00,7,0,1,28,60,0.24666666666666665
2022-07-05 16:00:00,7,0,1,27,60,0.2822222222222222
2022-07-06 06:00:00,7,0,1,24,34,0.042222222222222223
2022-07-06 07:00:00,7,0,1,25,49,0.13999999999999999
2022-07-06 08:00:00,7,0,1,27,60,0.43777777777777777
2022-07-06 09:00:00,7,0,1,29,60,0.4955555555555556
2022-07-06 10:00:00,7,0,1,31,60,0.12444444444444444
2022-07-06 11:00:00,7,0,1,30,60,0.4688888888888889
2022-07-06 12:00:00,7,0,1,32,60,0.09333333333333334
2022-07-06 13:00:00,7,0,1,27,60,0.4955555555555556
2022-07-06 14:00:00,7,0,1,28,60,0.10666666666666666
2022-07-06 15:00:00,7,0,1,30,60,0.4533333333333333
2022-07-06 16:00:00,7,0,1,30,56,0.08666666666666667
2022-07-07 06:00:00,7,0,1,24,27,0.03111111111111111
2022-07-07 07:00:00,7,0,1,25,51,0.1088888888888889
2022-07-07 08:00:00,7,0,1,26,60,0.43111111111111106
2022-07-07 09:00:00,7,0,1,27,60,0.5244444444444445
2022-07-07 10:00:00,7,0,1,26,60,0.5422222222222222
2022-07-07 11:00:00,7,0,1,28,60,0.5222222222222223
2022-07-07 12:00:00,7,0,1,29,60,0.5266666666666666
2022-07-07 13:00:00,7,0,1,31,60,0.5288888888888889
2022-07-07 14:00:00,7,0,1,31,60,0.5111111111111111
2022-07-07 15:00:00,7,0,1,30,60,0.2688888888888889
2022-07-07 16:00:00,7,0,1,30,60,0.2911111111111111
2022-07-08 06:00:00,7,0,1,25,18,0.017777777777777778
2022-07-08 07:00:00,7,0,1,26,46,0.07555555555555556
2022-07-08 08:00:00,7,0,1,27,60,0.3888888888888889
2022-07-08 09:00:00,7,0,1,27,60,0.45111111111111113
