列1,曜日,外気温度,Te設定,Tc設定,Te平均値,Tc平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,COP
2022/7/1 8:00,金曜日,33,2,Ｍ,5.4,36.6,46,3.8,12.2,0,3.2
2022/7/1 9:00,金曜日,35,2,Ｍ,6,37.7,51,2.9,9,0,3.1
2022/7/1 10:00,金曜日,35,2,Ｍ,3.5,38.4,44,3.5,8.6,0,2.5
2022/7/1 11:00,金曜日,37,2,Ｍ,4.4,38.9,34,2.6,6.8,0,2.6
2022/7/1 12:00,金曜日,38,2,Ｍ,5.4,40.8,23,1.1,3,0,2.7
2022/7/1 13:00,金曜日,37,2,Ｍ,5.6,41.3,52,3.8,9.7,0,2.6
2022/7/1 14:00,金曜日,37,2,Ｍ,5.5,40.3,60,3.7,9.6,0,2.6
2022/7/1 15:00,金曜日,36,2,Ｍ,5,40.1,38,2.4,6.5,0,2.7
2022/7/1 16:00,金曜日,35,2,Ｍ,4.2,38.6,60,7.3,20.9,0,2.9
2022/7/1 17:00,金曜日,33,2,Ｍ,4.8,36.2,60,6.3,19.2,0,3
2022/7/1 18:00,金曜日,32,2,Ｍ,5.1,36.7,60,8.8,27.5,0,3.1
2022/7/1 19:00,金曜日,31,2,Ｍ,5.6,34.2,60,4.5,14.7,0,3.3
2022/7/1 20:00,金曜日,30,2,Ｍ,5.7,33.5,60,3.3,10.6,0,3.2
2022/7/1 21:00,金曜日,29,2,Ｍ,4.7,33.2,60,4.5,12.4,0,2.8
2022/7/2 7:00,土曜日,32,4,Ｍ,7.5,36.5,34,2.2,6.9,0,3.1
2022/7/2 8:00,土曜日,33,5,Ｍ,8.8,36.2,60,4.3,16.6,0,3.9
2022/7/2 9:00,土曜日,33,5,Ｍ,8,36.5,60,7.2,27,0,3.8
2022/7/2 10:00,土曜日,36,4,Ｍ,7.5,39.2,60,9.5,33.3,0,3.5
2022/7/2 11:00,土曜日,36,4,Ｍ,7.7,40.2,60,9.7,32.9,0,3.4
2022/7/2 12:00,土曜日,37,4,Ｍ,7.4,40.6,60,9.9,33,0,3.3
2022/7/2 13:00,土曜日,38,4,Ｍ,7,42.7,58,10.5,32.9,0,3.1
2022/7/2 14:00,土曜日,36,4,Ｍ,8.8,43,60,13,41.2,0,3.2
2022/7/2 15:00,土曜日,35,4,Ｍ,8.6,40.7,60,12.6,42.1,0,3.3
2022/7/2 16:00,土曜日,35,4,Ｍ,8.1,40.2,60,12.4,41.6,0,3.4
2022/7/2 17:00,土曜日,33,4,Ｍ,7.6,38.9,60,12.2,41.5,0,3.4
2022/7/2 18:00,土曜日,32,5,Ｍ,9.7,37.5,60,5.5,19.8,0,3.6
2022/7/2 19:00,土曜日,31,5,Ｍ,6.8,36,60,5.5,20,0,3.6
2022/7/2 20:00,土曜日,30,5,Ｍ,5.5,35,60,7.1,22.6,0,3.2
2022/7/2 21:00,土曜日,30,5,Ｍ,5.2,34,24,2.4,8.4,0,3.5
2022/7/3 7:00,日曜日,30,5,Ｍ,6.9,36,29,2.2,7.3,0,3.3
2022/7/3 8:00,日曜日,32,6,Ｍ,9.4,35,60,6.2,26,0,4.2
2022/7/3 9:00,日曜日,32,5,Ｍ,9.7,35.1,60,7.3,30.3,0,4.2
2022/7/3 10:00,日曜日,33,5,Ｍ,8.5,35.9,60,6.9,26.5,0,3.8
2022/7/3 11:00,日曜日,35,4,Ｍ,6.6,37.8,60,8.7,30.2,0,3.5
2022/7/3 12:00,日曜日,33,4,Ｍ,6.6,39.4,60,8.7,29.2,0,3.4
2022/7/3 13:00,日曜日,34,4,Ｍ,6.6,37.4,60,7.9,28,0,3.5
2022/7/3 14:00,日曜日,33,4,Ｍ,6.2,37.2,60,8.5,30.3,0,3.6
2022/7/3 15:00,日曜日,32,5,Ｍ,7.1,35,60,7,26.8,0,3.8
2022/7/3 16:00,日曜日,31,5,Ｍ,7.1,35.3,60,5.9,19.8,0,3.4
2022/7/3 17:00,日曜日,31,5,Ｍ,8.1,32.9,60,2.9,9.8,0,3.4
2022/7/3 18:00,日曜日,31,5,Ｍ,8.9,33.1,60,1.9,6.4,0,3.4
2022/7/3 19:00,日曜日,30,5,Ｍ,8.8,33.4,60,2.9,10.4,0,3.6
2022/7/3 20:00,日曜日,28,5,Ｍ,8.6,31.7,60,2.3,8.3,0,3.6
2022/7/3 21:00,日曜日,28,5,Ｍ,5.7,32.8,30,1.6,4.6,0,2.9
2022/7/4 8:00,月曜日,25,6,Ｍ,9.2,31.3,39,1,4,0,4
2022/7/4 9:00,月曜日,26,6,Ｍ,8.5,32.2,60,1.4,5.2,0,3.7
2022/7/4 10:00,月曜日,27,6,Ｍ,9.1,32,60,1.4,5.5,0,3.9
2022/7/4 11:00,月曜日,28,5,Ｍ,6.4,32.6,30,0.9,3.1,0,3.4
2022/7/4 12:00,月曜日,28,5,Ｍ,5.9,33.8,28,0.8,2.9,0,3.6
2022/7/4 13:00,月曜日,29,5,Ｍ,8,37.1,60,5.5,22.9,0,4.2
2022/7/4 14:00,月曜日,30,4,Ｍ,7.1,36.9,60,4.9,19.4,0,4
2022/7/4 15:00,月曜日,30,5,Ｍ,8.9,35.4,60,3.8,15,0,3.9
2022/7/4 16:00,月曜日,30,5,Ｍ,7.5,34.3,60,5.2,17.6,0,3.4
2022/7/4 17:00,月曜日,29,5,Ｍ,8.8,33.5,60,2.7,10.5,0,3.9
2022/7/4 18:00,月曜日,29,5,Ｍ,8.9,33.2,60,4,16.6,0,4.2
2022/7/4 19:00,月曜日,28,5,Ｍ,7.5,31.7,60,6.3,26.6,0,4.2
2022/7/4 20:00,月曜日,27,6,Ｍ,9.1,29.7,60,4.5,19.3,0,4.3
2022/7/4 21:00,月曜日,27,6,Ｍ,9.4,30.8,60,3.4,14.8,0,4.4
2022/7/5 8:00,火曜日,31,6,Ｍ,9.4,34.3,49,4,16.5,0,4.1
2022/7/5 9:00,火曜日,32,6,Ｍ,9.3,35.2,60,5.3,21.5,0,4.1
2022/7/5 10:00,火曜日,32,6,Ｍ,9,36.4,60,5.9,23.5,0,4
2022/7/5 11:00,火曜日,33,5,Ｍ,8.4,36.1,60,5.5,20.4,0,3.7
2022/7/5 12:00,火曜日,32,5,Ｍ,8,36,60,6,22.9,0,3.8
2022/7/5 13:00,火曜日,28,6,Ｍ,8.7,33.9,60,5.7,24.8,0,4.4
2022/7/5 14:00,火曜日,29,6,Ｍ,8.8,34.1,60,6,26.4,0,4.4
2022/7/5 15:00,火曜日,28,6,Ｍ,8.6,33.2,60,5.6,25,0,4.5
2022/7/5 16:00,火曜日,29,6,Ｍ,7.9,34.1,60,5.7,23.6,0,4.1
2022/7/5 17:00,火曜日,28,6,Ｍ,8.8,34.8,60,6,31.3,0,5.2
2022/7/5 18:00,火曜日,27,6,Ｍ,8.2,35.1,60,6.8,34.4,0,5.1
2022/7/5 19:00,火曜日,26,6,Ｍ,8.6,33.8,60,5.7,30.6,0,5.4
2022/7/5 20:00,火曜日,24,6,Ｍ,8.9,31.6,60,3.7,19.8,0,5.4
2022/7/5 21:00,火曜日,24,6,Ｍ,8.6,31,60,3.1,16.4,0,5.3
2022/7/6 8:00,水曜日,26,6,Ｍ,9.5,31.3,48,2.7,13.1,0,4.9
2022/7/6 9:00,水曜日,29,6,Ｍ,9.4,31.2,60,3.5,15.6,0,4.5
2022/7/6 10:00,水曜日,32,6,Ｍ,8.7,35.1,60,5.5,25,0,4.5
2022/7/6 11:00,水曜日,32,6,Ｍ,8.8,35.4,60,5.3,23.4,0,4.4
2022/7/6 12:00,水曜日,33,6,Ｍ,8.7,36.4,60,5.6,23.6,0,4.2
2022/7/6 13:00,水曜日,31,5,Ｍ,8,33.4,60,4.9,20.9,0,4.3
2022/7/6 14:00,水曜日,28,5,Ｍ,8.1,31.9,60,4.4,19.2,0,4.4
2022/7/6 15:00,水曜日,29,6,Ｍ,9.4,31.6,60,3.7,15.5,0,4.2
2022/7/6 16:00,水曜日,29,6,Ｍ,7.6,34,54,4.1,13.9,0,3.4
2022/7/6 17:00,水曜日,29,6,Ｍ,8.4,32.9,59,1.5,6,0,4
2022/7/6 18:00,水曜日,27,6,Ｍ,9.7,33.4,60,1.7,7.9,0,4.6
2022/7/6 19:00,水曜日,26,6,Ｍ,9.8,33,60,1.6,7.7,0,4.8
