列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,COP
2022/7/1 8:00,金曜日,35,2,Ｍ,5.1,43.1,27,6.4,17.9,0,2.8
2022/7/1 9:00,金曜日,36,2,Ｍ,1.8,46.7,60,19.5,46.7,0,2.4
2022/7/1 10:00,金曜日,38,2,Ｍ,1.5,47,60,19,43,0,2.3
2022/7/1 11:00,金曜日,37,2,Ｍ,2.2,48.2,60,19.4,43.1,0,2.2
2022/7/1 12:00,金曜日,40,2,Ｍ,1.7,49.5,60,20.4,43.2,0,2.1
2022/7/1 13:00,金曜日,40,2,Ｍ,2.1,49.4,60,20,42.9,0,2.1
2022/7/1 14:00,金曜日,38,2,Ｍ,1.8,49.5,60,21.2,46.6,0,2.2
2022/7/1 15:00,金曜日,38,2,Ｍ,2,48.5,60,20.4,46.1,0,2.3
2022/7/1 16:00,金曜日,37,2,Ｍ,2,46.2,60,16.2,37.8,0,2.3
2022/7/1 17:00,金曜日,33,2,Ｍ,3.6,42.4,60,12.5,34,0,2.7
2022/7/2 7:00,土曜日,33,4,Ｍ,5.5,43.5,30,8.6,24.2,0,2.8
2022/7/2 8:00,土曜日,33,5,Ｍ,10.6,37.5,60,8,32,0,4.0
2022/7/2 9:00,土曜日,35,5,Ｍ,8.4,44.2,60,14.1,44.6,0,3.2
2022/7/2 10:00,土曜日,37,4,Ｍ,9.2,46.2,60,14.9,45.7,0,3.1
2022/7/2 11:00,土曜日,38,4,Ｍ,9.8,47.1,60,15,45.9,0,3.1
2022/7/2 12:00,土曜日,37,4,Ｍ,10.4,46.4,60,14,44.1,0,3.2
2022/7/2 13:00,土曜日,37,4,Ｍ,10.6,44.9,60,12.6,41,0,3.3
2022/7/2 14:00,土曜日,37,4,Ｍ,9.2,45,60,12.8,39.8,0,3.1
2022/7/2 15:00,土曜日,35,4,Ｍ,5.8,45.9,60,15.2,42,0,2.8
2022/7/2 16:00,土曜日,34,4,Ｍ,6.4,43,60,13.2,38.7,0,2.9
2022/7/2 17:00,土曜日,32,4,Ｍ,5.3,42.1,10,2,6.1,0,3.1
2022/7/3 10:00,日曜日,32,5,Ｍ,9.5,38.4,19,1.7,5.7,0,3.4
2022/7/3 11:00,日曜日,36,4,Ｍ,7.9,40.8,60,9.5,30.7,0,3.2
2022/7/3 12:00,日曜日,34,4,Ｍ,7.4,41.6,29,3.4,9.6,0,2.8
2022/7/4 8:00,月曜日,24,5,Ｍ,8.8,36.8,26,5.1,19.8,0,3.9
2022/7/4 9:00,月曜日,25,5,Ｍ,6.5,36.6,60,15.9,52.7,0,3.3
2022/7/4 10:00,月曜日,28,6,Ｍ,9.6,34.7,60,10.2,39.3,0,3.9
2022/7/4 11:00,月曜日,28,5,Ｍ,9,34.6,60,8.2,36.6,0,4.5
2022/7/4 12:00,月曜日,29,5,Ｍ,8.9,34.7,60,7.7,33,0,4.3
2022/7/4 13:00,月曜日,30,4,Ｍ,7.4,34.5,60,6.2,24.2,0,3.9
2022/7/4 14:00,月曜日,31,3,Ｍ,6.3,37.3,60,9.7,33.9,0,3.5
2022/7/4 15:00,月曜日,31,4,Ｍ,6.4,38.7,60,11.4,37.1,0,3.3
2022/7/4 16:00,月曜日,30,4,Ｍ,6.5,37.9,60,10.8,34.3,0,3.2
2022/7/4 17:00,月曜日,30,4,Ｍ,5.9,38.4,60,10,30.3,0,3.0
2022/7/5 8:00,火曜日,30,6,Ｍ,10.7,36.4,27,3.5,16,0,4.6
2022/7/5 9:00,火曜日,32,6,Ｍ,9.2,37.8,60,9.2,38.2,0,4.2
2022/7/5 10:00,火曜日,32,6,Ｍ,9,37.5,60,8.3,33.7,0,4.1
2022/7/5 11:00,火曜日,33,6,Ｍ,9,38,60,8.4,33.4,0,4.0
2022/7/5 12:00,火曜日,32,6,Ｍ,9.2,37.3,60,8.2,33.9,0,4.1
2022/7/5 13:00,火曜日,30,6,Ｍ,9,34.7,60,7.5,33.4,0,4.5
2022/7/5 14:00,火曜日,28,6,Ｍ,9,33.8,60,6.8,30.3,0,4.5
2022/7/5 15:00,火曜日,28,6,Ｍ,8.8,33.3,60,6.4,28.8,0,4.5
2022/7/5 16:00,火曜日,27,6,Ｍ,7.8,33.6,60,7.8,30.2,0,3.9
2022/7/5 17:00,火曜日,25,6,Ｍ,9.1,31.4,60,5.7,26.3,0,4.6
2022/7/6 7:00,水曜日,27,5,Ｍ,8.8,35.3,55,6.8,29.6,0,4.4
2022/7/6 8:00,水曜日,28,6,Ｍ,8.9,35.2,60,6.3,28.5,0,4.5
2022/7/6 9:00,水曜日,30,6,Ｍ,9.1,36.6,60,6.7,29.9,0,4.5
2022/7/6 10:00,水曜日,32,6,Ｍ,9,38.4,60,7.3,30.7,0,4.2
