列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,ＣＯＰ
2022/7/1 7:00,金曜日,32,2,Ｍ,4.3,38.6,34,2.3,7,0,3.0
2022/7/1 8:00,金曜日,32,2,Ｍ,4.2,39,30,1.8,5.5,0,3.1
2022/7/1 9:00,金曜日,33,2,Ｍ,4.1,40.3,42,2.5,7.1,0,2.8
2022/7/1 10:00,金曜日,35,2,Ｍ,4.6,40.6,43,2.1,5.9,0,2.8
2022/7/1 11:00,金曜日,36,2,Ｍ,4,43.3,40,2.8,7.4,0,2.6
2022/7/1 12:00,金曜日,37,2,Ｍ,4.2,43.8,47,3,7.5,0,2.5
2022/7/1 13:00,金曜日,38,2,Ｍ,4.7,45,44,3.1,8,0,2.6
2022/7/1 14:00,金曜日,37,2,Ｍ,4.5,44.5,40,3.1,8.1,0,2.6
2022/7/1 15:00,金曜日,38,2,Ｍ,3.1,46.4,47,5.1,13,0,2.5
2022/7/1 16:00,金曜日,33,2,Ｍ,3.6,42.7,41,3.2,9,0,2.8
2022/7/1 17:00,金曜日,32,2,Ｍ,4.2,39.3,35,1.9,6.2,0,3.3
2022/7/1 18:00,金曜日,32,2,Ｍ,3,42.3,35,4.1,11.1,0,2.7
2022/7/1 19:00,金曜日,32,2,Ｍ,0.5,43.2,60,8.5,22.1,0,2.6
2022/7/1 20:00,金曜日,29,2,Ｍ,5.2,37.6,19,1.4,4.5,0,3.2
2022/7/1 21:00,金曜日,30,2,Ｍ,0.3,41,54,7.2,18.8,0,2.6
2022/7/2 9:00,土曜日,34,4,Ｍ,9.1,40.2,60,3.5,14.5,0,4.1
2022/7/2 10:00,土曜日,36,3,Ｍ,3.6,45,60,5.9,18.5,0,3.1
2022/7/2 11:00,土曜日,37,3,Ｍ,3.7,46.1,60,6.1,18.4,0,3.0
2022/7/2 12:00,土曜日,37,3,Ｍ,3.4,46.4,60,6.2,18.2,0,2.9
2022/7/2 13:00,土曜日,37,3,Ｍ,3.6,46.7,60,6.2,18.2,0,2.9
2022/7/2 14:00,土曜日,37,3,Ｍ,3.3,46.3,60,6.1,18.1,0,3.0
2022/7/2 15:00,土曜日,35,3,Ｍ,2.6,44.8,60,5.9,18,0,3.1
2022/7/2 16:00,土曜日,35,3,Ｍ,2.8,44,60,5.7,17.3,0,3.0
2022/7/2 17:00,土曜日,33,3,Ｍ,2.8,42.6,60,6,17.8,0,3.0
2022/7/2 18:00,土曜日,31,4,Ｍ,9,37.2,16,0.7,2.8,0,4.0
2022/7/2 19:00,土曜日,31,4,Ｍ,8.4,37.5,60,3.6,13.3,0,3.7
2022/7/3 9:00,日曜日,32,4,Ｍ,4.6,39.9,42,3.4,10.1,0,3.0
2022/7/3 10:00,日曜日,32,4,Ｍ,6.1,38.6,47,2.5,8.1,0,3.2
2022/7/3 11:00,日曜日,34,3,Ｍ,5.6,39.4,35,1.6,5.2,0,3.3
2022/7/3 12:00,日曜日,33,3,Ｍ,5.7,38.7,37,1.6,5.1,0,3.2
2022/7/3 13:00,日曜日,32,3,Ｍ,5.8,38.3,28,1.2,3.7,0,3.1
2022/7/3 14:00,日曜日,32,3,Ｍ,4.8,37.7,27,0.9,2.8,0,3.1
2022/7/3 15:00,日曜日,32,4,Ｍ,5.8,37.2,23,0.8,2.6,0,3.3
2022/7/3 16:00,日曜日,30,4,Ｍ,5.4,37.2,16,0.5,1.6,0,3.2
2022/7/3 17:00,日曜日,29,4,Ｍ,6,36.6,27,0.7,2.9,0,4.1
2022/7/4 7:00,月曜日,27,4,Ｍ,5.9,36.6,33,2.2,8.6,0,3.9
2022/7/4 8:00,月曜日,26,4,Ｍ,6.3,32.7,60,2,9,0,4.5
2022/7/4 9:00,月曜日,25,5,Ｍ,8.4,30.4,60,1.2,5.4,0,4.5
2022/7/4 10:00,月曜日,27,5,Ｍ,7.6,34.6,40,1.3,6.2,0,4.8
2022/7/4 11:00,月曜日,28,4,Ｍ,6.1,34.9,47,1.4,5.9,0,4.2
2022/7/4 12:00,月曜日,27,4,Ｍ,6,34.6,38,1.3,5.2,0,4.0
