列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,ＣＯＰ
2022/7/1 8:00,金曜日,34,2,Ｍ,3.2,37.2,59,2.1,6.1,0,2.9
2022/7/1 9:00,金曜日,36,2,Ｍ,2.9,41.3,60,4.3,13.1,0,3.0
2022/7/1 10:00,金曜日,37,2,Ｍ,2.3,42.8,60,4.5,13,0,2.9
2022/7/1 11:00,金曜日,38,2,Ｍ,2.5,44.1,60,4.7,12.9,0,2.7
2022/7/1 12:00,金曜日,38,2,Ｍ,2.2,45.1,60,4.9,13.2,0,2.7
2022/7/1 13:00,金曜日,38,2,Ｍ,2.7,44.5,60,4.7,12.7,0,2.7
2022/7/1 14:00,金曜日,37,2,Ｍ,2.6,44,60,4.6,12.7,0,2.8
2022/7/1 15:00,金曜日,36,2,Ｍ,4.3,38.6,60,2,3.7,0,1.9
2022/7/1 16:00,金曜日,35,2,Ｍ,4,37.4,60,2,4,0,2.0
2022/7/2 9:00,土曜日,35,5,Ｍ,8.2,36.5,59,1.4,4.8,0,3.4
2022/7/2 10:00,土曜日,36,4,Ｍ,7.3,37.3,60,1.8,4.6,0,2.6
2022/7/2 11:00,土曜日,36,4,Ｍ,7.5,37.5,60,1.8,4.4,0,2.4
2022/7/2 12:00,土曜日,36,4,Ｍ,7.4,37.7,60,1.8,4.2,0,2.3
2022/7/2 13:00,土曜日,36,4,Ｍ,7,37.9,60,1.8,4.1,0,2.3
2022/7/2 14:00,土曜日,35,4,Ｍ,5.6,37.4,60,1.9,4.3,0,2.3
2022/7/2 15:00,土曜日,34,4,Ｍ,6.2,35.8,60,1.8,4,0,2.2
2022/7/2 16:00,土曜日,33,4,Ｍ,6,35.5,60,1.7,4,0,2.4
2022/7/3 9:00,日曜日,31,5,Ｍ,10.6,37.5,10,0.4,1.5,0,3.8
2022/7/4 8:00,月曜日,25,5,Ｍ,6.2,30.9,59,1.2,4.6,0,3.8
2022/7/4 9:00,月曜日,26,6,Ｍ,8.8,35.2,60,1.8,9.4,0,5.2
2022/7/4 10:00,月曜日,27,5,Ｍ,7.4,37.3,60,2.2,10.4,0,4.7
2022/7/4 11:00,月曜日,28,4,Ｍ,6.7,36.3,60,2,8.7,0,4.4
2022/7/4 12:00,月曜日,28,4,Ｍ,6.2,36.9,60,2.6,11.3,0,4.3
2022/7/4 13:00,月曜日,29,4,Ｍ,6.1,36.5,60,2.4,10.3,0,4.3
2022/7/4 14:00,月曜日,31,3,Ｍ,4.5,37.6,60,3.6,13.2,0,3.7
2022/7/4 15:00,月曜日,30,4,Ｍ,6.3,36.1,60,2.6,9.6,0,3.7
2022/7/4 16:00,月曜日,30,4,Ｍ,5.9,35.8,60,2.6,8.9,0,3.4
2022/7/5 8:00,火曜日,30,6,Ｍ,7.3,34.8,59,1.3,4.6,0,3.5
2022/7/5 9:00,火曜日,32,6,Ｍ,9.9,37,60,2.1,9,0,4.3
2022/7/5 10:00,火曜日,31,6,Ｍ,8.4,36.7,60,2.7,10.9,0,4.0
2022/7/5 11:00,火曜日,32,6,Ｍ,10.6,35.9,60,2.1,8.6,0,4.1
2022/7/5 12:00,火曜日,32,6,Ｍ,8.4,36.5,60,2.7,11,0,4.1
2022/7/5 13:00,火曜日,29,6,Ｍ,7.9,34.3,60,2.6,11.6,0,4.5
2022/7/5 14:00,火曜日,28,6,Ｍ,7.5,34.7,60,2.7,11.4,0,4.2
2022/7/5 15:00,火曜日,27,6,Ｍ,7.9,33.8,60,2.4,10.5,0,4.4
2022/7/5 16:00,火曜日,27,6,Ｍ,8.4,32.6,60,1.8,7.8,0,4.3
2022/7/6 8:00,水曜日,27,6,Ｍ,5.9,32.6,59,1.2,4.2,0,3.5
2022/7/7 9:00,木曜日,27,5,Ｍ,7.9,35.3,59,1.8,8.3,0,4.6
2022/7/7 10:00,木曜日,27,5,Ｍ,7.9,34.3,60,1.6,7.8,0,4.9
2022/7/7 11:00,木曜日,28,5,Ｍ,8.4,35.8,60,1.7,8,0,4.7
2022/7/7 12:00,木曜日,30,4,Ｍ,6.7,35.5,60,2.2,9.1,0,4.1
2022/7/7 13:00,木曜日,30,4,Ｍ,6.4,35.7,60,2.1,8.3,0,4.0
2022/7/7 14:00,木曜日,31,4,Ｍ,6.4,35.5,60,2.6,9.7,0,3.7
2022/7/7 15:00,木曜日,30,4,Ｍ,6.5,35.8,60,2.6,9.8,0,3.8
2022/7/7 16:00,木曜日,30,4,Ｍ,6.7,35.4,60,2.5,9.6,0,3.8
2022/7/8 8:00,金曜日,28,5,Ｍ,4.6,32.3,59,1.3,4.4,0,3.4
2022/7/12 8:00,火曜日,27,5,Ｍ,5.4,31.7,13,0.3,1,0,3.3
2022/7/12 9:00,火曜日,28,4,Ｍ,6.6,37.1,59,2.2,9.3,0,4.2
2022/7/12 10:00,火曜日,28,5,Ｍ,8.1,34.7,60,1.7,7.5,0,4.4
2022/7/12 11:00,火曜日,28,4,Ｍ,6.7,35.8,60,2.1,9.1,0,4.3
2022/7/12 12:00,火曜日,28,4,Ｍ,7,35.1,60,1.9,8.1,0,4.3
2022/7/12 13:00,火曜日,28,4,Ｍ,6.9,36.2,60,2.2,9.2,0,4.2
