列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,ＣＯＰ
2022/7/1 8:00,金曜日,34,2,Ｍ,1.3,36.4,55,1.4,3.4,0,2.4
2022/7/1 9:00,金曜日,35,2,Ｍ,2.1,37.1,60,1.7,3.6,0,2.1
2022/7/1 10:00,金曜日,36,2,Ｍ,-0.9,38.4,53,1.5,2.7,0,1.8
2022/7/1 11:00,金曜日,36,2,Ｍ,-8,38.5,29,0.7,0.9,0,1.3
2022/7/1 12:00,金曜日,37,2,Ｍ,-1.3,40.3,47,1.4,2.4,0,1.7
2022/7/1 13:00,金曜日,37,2,Ｍ,2.5,40.4,60,1.8,3.6,0,2.0
2022/7/1 14:00,金曜日,37,2,Ｍ,-0.3,39.6,52,1.5,2.9,0,1.9
2022/7/1 15:00,金曜日,36,2,Ｍ,-2.3,39.3,42,1.1,2,0,1.8
2022/7/1 16:00,金曜日,35,2,Ｍ,2.6,38.3,60,1.7,3.7,0,2.2
2022/7/1 17:00,金曜日,34,2,Ｍ,-0.5,36.4,54,1.4,2.9,0,2.1
2022/7/3 9:00,日曜日,32,4,Ｍ,1,37.2,9,0.2,0.5,0,2.5
2022/7/4 8:00,月曜日,28,5,Ｍ,2.7,36.3,56,1.2,3.6,0,3.0
2022/7/4 9:00,月曜日,28,6,Ｍ,3,36.7,60,1.3,4,0,3.1
2022/7/4 10:00,月曜日,29,5,Ｍ,2.9,36.9,60,1.3,3.9,0,3.0
2022/7/4 11:00,月曜日,29,4,Ｍ,-4.2,35,38,0.8,1.8,0,2.3
2022/7/4 12:00,月曜日,28,4,Ｍ,-18.6,30.2,18,0.3,0.2,0,0.7
2022/7/4 13:00,月曜日,29,4,Ｍ,-17.3,31.3,20,0.4,0.2,0,0.5
2022/7/4 14:00,月曜日,31,3,Ｍ,-1.2,36,42,1,2.3,0,2.3
2022/7/4 15:00,月曜日,32,4,Ｍ,2.8,37.1,60,1.4,3.8,0,2.7
2022/7/4 16:00,月曜日,31,4,Ｍ,2.4,36.9,60,1.4,3.7,0,2.6
2022/7/4 17:00,月曜日,30,4,Ｍ,-18.3,31.8,20,0.4,0.3,0,0.8
2022/7/5 8:00,火曜日,33,6,Ｍ,1.4,38,56,1.3,3.2,0,2.5
2022/7/5 9:00,火曜日,33,6,Ｍ,2.9,37.9,60,1.4,3.7,0,2.6
2022/7/5 10:00,火曜日,33,6,Ｍ,-15.2,33,21,0.4,0.4,0,1.0
2022/7/5 11:00,火曜日,31,6,Ｍ,-16.9,33.5,21,0.4,0.3,0,0.8
2022/7/5 12:00,火曜日,31,6,Ｍ,-16.6,32.3,19,0.4,0.5,0,1.3
2022/7/5 13:00,火曜日,28,6,Ｍ,-17.1,30,23,0.4,0.3,0,0.8
2022/7/5 14:00,火曜日,30,6,Ｍ,2.5,35.1,60,1.3,3.8,0,2.9
2022/7/5 15:00,火曜日,29,6,Ｍ,2.4,34.7,60,1.2,3.8,0,3.2
2022/7/5 16:00,火曜日,29,6,Ｍ,-5.3,33.1,32,0.7,1.7,0,2.4
2022/7/5 17:00,火曜日,28,6,Ｍ,-6.9,33.1,38,0.8,1.6,0,2.0
2022/7/6 8:00,水曜日,30,6,Ｍ,1.2,37.1,56,1.2,3.4,0,2.8
2022/7/6 10:00,水曜日,34,6,Ｍ,1.1,38.4,55,1.3,3.1,0,2.4
2022/7/6 12:00,水曜日,33,6,Ｍ,1.3,37.4,55,1.3,3.1,0,2.4
2022/7/6 14:00,水曜日,32,5,Ｍ,1.2,36.8,56,1.2,3.2,0,2.7
2022/7/6 16:00,水曜日,32,6,Ｍ,1.1,37.5,55,1.3,3.2,0,2.5
2022/7/7 8:00,木曜日,30,6,Ｍ,0.6,36.2,56,1.2,3.3,0,2.8
2022/7/7 9:00,木曜日,29,5,Ｍ,-0.9,36.1,37,0.8,2,0,2.5
2022/7/7 10:00,木曜日,28,6,Ｍ,-19.3,28.7,16,0.3,0.5,0,1.7
2022/7/7 11:00,木曜日,27,5,Ｍ,-20.5,29.4,11,0.2,0.1,0,0.5
2022/7/7 12:00,木曜日,31,5,Ｍ,-4.9,34.6,38,0.8,1.8,0,2.3
2022/7/7 13:00,木曜日,32,4,Ｍ,1.8,37.5,60,1.4,3.6,0,2.6
