列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,COP
2022/7/1 0:00,金曜日,30,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 1:00,金曜日,29,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 2:00,金曜日,28,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 3:00,金曜日,28,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 4:00,金曜日,28,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 5:00,金曜日,28,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 6:00,金曜日,30,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 7:00,金曜日,34,2,Ｍ,2,46.7,29,9.6,22.3,0,2.3
2022/7/1 8:00,金曜日,35,2,Ｍ,-0.5,51.2,60,25.8,53.9,0,2.1
2022/7/1 9:00,金曜日,37,2,Ｍ,-0.9,51.2,60,25.8,51.3,0,2.0
2022/7/1 10:00,金曜日,38,2,Ｍ,-0.1,51.2,60,25.3,50.6,0,2.0
2022/7/1 11:00,金曜日,39,2,Ｍ,1.2,52.1,60,25.6,51.8,0,2.0
2022/7/1 12:00,金曜日,41,2,Ｍ,1.9,52.7,60,25.3,51.7,0,2.0
2022/7/1 13:00,金曜日,41,2,Ｍ,2.1,52.8,60,25.4,52.3,0,2.1
2022/7/1 14:00,金曜日,39,2,Ｍ,2,52.7,60,25,52.3,0,2.1
2022/7/1 15:00,金曜日,38,2,Ｍ,2.4,52.3,60,23.3,48.2,0,2.1
2022/7/1 16:00,金曜日,36,2,Ｍ,2.4,50.2,60,25.9,53.2,0,2.1
2022/7/1 17:00,金曜日,34,2,Ｍ,2.6,46.8,60,24.7,55.1,0,2.2
2022/7/1 18:00,金曜日,33,2,Ｍ,2,44,2,0.1,0.3,0,3.0
2022/7/1 19:00,金曜日,30,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 20:00,金曜日,29,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 21:00,金曜日,28,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 22:00,金曜日,28,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 23:00,金曜日,28,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 0:00,土曜日,28,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 1:00,土曜日,27,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 2:00,土曜日,27,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 3:00,土曜日,27,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 4:00,土曜日,27,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 5:00,土曜日,27,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 6:00,土曜日,31,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 7:00,土曜日,33,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 8:00,土曜日,34,4,Ｍ,7.8,42,9,1.5,4.2,0,2.8
2022/7/2 9:00,土曜日,34,4,Ｍ,-0.4,50.8,60,25.8,55.4,0,2.1
2022/7/2 10:00,土曜日,37,3,Ｍ,-0.5,51.3,60,25.7,53,0,2.1
2022/7/2 11:00,土曜日,38,3,Ｍ,-0.4,50.8,60,25.3,51.8,0,2.0
2022/7/2 12:00,土曜日,38,3,Ｍ,0,51.4,60,25.6,52,0,2.0
2022/7/2 13:00,土曜日,38,3,Ｍ,0.3,51.4,60,25.7,53,0,2.1
2022/7/2 14:00,土曜日,38,3,Ｍ,0,52,60,26,52.4,0,2.0
2022/7/2 15:00,土曜日,36,3,Ｍ,0,50.9,60,25.4,53.5,0,2.1
2022/7/2 16:00,土曜日,36,3,Ｍ,-0.3,50.8,60,24.7,52,0,2.1
2022/7/2 17:00,土曜日,34,3,Ｍ,-1.7,50.1,53,22,45.8,0,2.1
2022/7/2 18:00,土曜日,33,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 19:00,土曜日,32,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 20:00,土曜日,31,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 21:00,土曜日,30,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 22:00,土曜日,30,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 23:00,土曜日,29,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 0:00,日曜日,29,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 1:00,日曜日,29,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 2:00,日曜日,29,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 3:00,日曜日,29,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 4:00,日曜日,29,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 5:00,日曜日,29,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 6:00,日曜日,31,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 7:00,日曜日,32,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 8:00,日曜日,32,5,Ｍ,5,49.6,28,7.9,18.5,0,2.3
2022/7/3 9:00,日曜日,32,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 10:00,日曜日,34,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 11:00,日曜日,36,3,Ｍ,1,47.5,25,8.1,17.5,0,2.2
2022/7/3 12:00,日曜日,35,3,Ｍ,-7,45,3,0.8,1,0,1.3
2022/7/3 13:00,日曜日,36,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 14:00,日曜日,36,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 15:00,日曜日,34,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 16:00,日曜日,32,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 17:00,日曜日,32,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 18:00,日曜日,32,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 19:00,日曜日,31,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/3 20:00,日曜日,30,3,Ｍ,0,0,0,0,0,0,#DIV/0!
