列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,ＣＯＰ
2022/7/1 0:00,金曜日,31,3,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 1:00,金曜日,30,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 2:00,金曜日,30,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 3:00,金曜日,30,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 4:00,金曜日,29,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 5:00,金曜日,32,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 6:00,金曜日,34,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 7:00,金曜日,35,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 8:00,金曜日,34,2,Ｍ,1.3,36.4,55,1.4,3.4,0,2.4
2022/7/1 9:00,金曜日,35,2,Ｍ,2.1,37.1,60,1.7,3.6,0,2.1
2022/7/1 10:00,金曜日,36,2,Ｍ,-0.9,38.4,53,1.5,2.7,0,1.8
2022/7/1 11:00,金曜日,36,2,Ｍ,-8,38.5,29,0.7,0.9,0,1.3
2022/7/1 12:00,金曜日,37,2,Ｍ,-1.3,40.3,47,1.4,2.4,0,1.7
2022/7/1 13:00,金曜日,37,2,Ｍ,2.5,40.4,60,1.8,3.6,0,2.0
2022/7/1 14:00,金曜日,37,2,Ｍ,-0.3,39.6,52,1.5,2.9,0,1.9
2022/7/1 15:00,金曜日,36,2,Ｍ,-2.3,39.3,42,1.1,2,0,1.8
2022/7/1 16:00,金曜日,35,2,Ｍ,2.6,38.3,60,1.7,3.7,0,2.2
2022/7/1 17:00,金曜日,34,2,Ｍ,-0.5,36.4,54,1.4,2.9,0,2.1
2022/7/1 18:00,金曜日,32,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 19:00,金曜日,31,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 20:00,金曜日,30,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 21:00,金曜日,29,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 22:00,金曜日,29,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/1 23:00,金曜日,29,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 0:00,土曜日,29,2,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 1:00,土曜日,29,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 2:00,土曜日,28,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 3:00,土曜日,28,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 4:00,土曜日,28,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 5:00,土曜日,31,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 6:00,土曜日,34,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 7:00,土曜日,36,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 8:00,土曜日,37,5,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 9:00,土曜日,36,5,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 10:00,土曜日,35,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 11:00,土曜日,36,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 12:00,土曜日,35,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 13:00,土曜日,36,4,Ｍ,0,0,0,0,0,0,#DIV/0!
2022/7/2 14:00,土曜日,35,4,Ｍ,0,0,0,0,0,0,#DIV/0!
