“úŽž,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2018/4/1,24.8,25,23.54216954,23.54216954,23.54216954,23.54216954,24.575,25.25,24.36458333,25,25.75,24.66666667,24.8,20,20,26.33333333,26,24,21
2018/4/2,24.8,25,23.80761494,23.80761494,23.80761494,23.80761494,23.9,25.39583333,23.75,25,25.75,24.66666667,24.8,20,20,26.33333333,26,24,21
2018/4/3,24.8,25,23.97212644,23.97212644,23.97212644,23.97212644,23.48333333,25.70833333,23.75,25,25.75,24.66666667,24.8,20,20,26.33333333,26,24,23.5
2018/4/4,24.8,25,24.21211686,24.21211686,24.21211686,24.21211686,24.4,26.22916667,23.75,25,25.75,24.66666667,24.9,20,20,26.33333333,26,24,26.625
2018/4/5,24.8,25,24.10481322,24.10481322,24.10481322,24.10481322,25.675,24.53125,23.91666667,25,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/6,24.8,25,24.14856322,24.14856322,24.14856322,24.14856322,27.425,24,24.25,25,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/7,24.8,25,24.27981322,24.27981322,24.27981322,24.27981322,25.3,25.53125,24.25,25,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/8,24.8,25,24.29892241,24.29892241,24.29892241,24.29892241,24.4,26.25,24.25,25,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/9,24.8,25,24.28893678,24.28893678,24.28893678,24.28893678,24.4,24.875,24.25,25,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/10,24.8,25,24.24976852,24.24976852,24.24976852,24.24976852,24.4,23.25,24.25,25,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/11,24.8,25,24.2475,24.2475,24.2475,24.2475,24.4,23.625,24.25,24.625,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/12,24.8,25,24.21819444,24.21819444,24.21819444,24.21819444,24.4,23.83333333,24.25,24,25.75,24.66666667,25,20,20,26.33333333,26,24,25.66666667
2018/4/13,24.8,25,24.133125,24.133125,24.133125,24.133125,24.4,23.60416667,24.25,24,25.75,24.66666667,25,20,20,26.33333333,26,24,25.20833333
2018/4/14,24.8,25,24.21229167,24.21229167,24.21229167,24.21229167,25.18333333,23.94791667,24.875,24,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/15,24.8,25,24.35916667,24.35916667,24.35916667,24.35916667,25.625,24.66666667,25.46875,24,25.75,24.66666667,25,20,20,26.33333333,26,24,26
2018/4/16,24.8,25,24.40215278,24.40215278,24.40215278,24.40215278,25.4,25.15625,25.75,24,25.75,24.66666667,25,20,20,26.33333333,26,24,25.79166667
2018/4/17,24.8,25,24.39211806,24.39211806,24.39211806,24.39211806,25.4,25.5,26.0625,24,25.75,24.66666667,24.725,20,20,26.33333333,26,24,25
2018/4/18,24.8,25,24.35444444,24.35444444,24.35444444,24.35444444,25.4,25.5,26.45833333,24,25.75,24.66666667,24.4,20,20,26.33333333,26,24,25
2018/4/19,24.8,25,24.27180556,24.27180556,24.27180556,24.27180556,25.4,25.35416667,24.8125,24,25.75,24.66666667,24.4,20,20,26.33333333,26,24,25.25
2018/4/20,25.03333333,25,24.24027778,24.24027778,24.24027778,24.24027778,25.4,25.25,24,24,25.75,24.66666667,24.31666667,20,20,26.33333333,26,24,25.75
2018/4/21,25.2,25,24.27027778,24.27027778,24.27027778,24.27027778,25.1,25.75,24,24,25.75,24.66666667,24.2,20,20,26.33333333,26,24,26
2018/4/22,25.2,25,24.36291667,24.36291667,24.36291667,24.36291667,24.575,26.25,24.89583333,24,25.75,24.66666667,24.2,20,20,26.33333333,26,24,25.75
2018/4/23,25.2,25,24.3771875,24.3771875,24.3771875,24.3771875,24.2,26.25,25.5,24,25.75,24.66666667,24.2,20,20,26.33333333,26,24,25.16666667
2018/4/24,25.1,25,24.39291667,24.39291667,24.39291667,24.39291667,24.2,26.25,25.5,24,25.75,24.66666667,24.2,20,20,26.33333333,26,24,26
