日時,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,休日,風速,相対湿度,蒸気圧,全天日射量,平均気温,最高気温,最低気温,降水量,日照時間
2018/4/1,2018,4,1,6,0,0,0,0,0,0,1,0,1.220833333,64.375,11.63333333,0.873333333,17.10416667,22.7,11.9,0,9.1
2018/4/2,2018,4,2,0,1,0,0,0,0,0,0,1,1.270833333,69.70833333,13.72916667,0.827916667,19.225,26.3,13.8,0,10.2
2018/4/3,2018,4,3,1,0,1,0,0,0,0,0,1,1.154166667,74,15.09583333,0.822083333,19.74166667,24.5,15.3,0,8.3
2018/4/4,2018,4,4,2,0,0,1,0,0,0,0,1,1.570833333,68.58333333,15.60833333,0.907916667,21.48333333,26.3,15.6,0,10.7
2018/4/5,2018,4,5,3,0,0,0,1,0,0,0,1,1.620833333,69.95833333,10.69583333,0.35125,14.25833333,16.1,13.3,0,0.8
2018/4/6,2018,4,6,4,0,0,0,0,1,0,0,1,2.429166667,82.33333333,16.54583333,0.577083333,18.45416667,22.6,12.4,0,3.1
2018/4/7,2018,4,7,5,0,0,0,0,0,1,0,0,2.995833333,63.75,12.3375,0.38,17.40833333,24.8,11,1,3
2018/4/8,2018,4,8,6,0,0,0,0,0,0,1,0,1.416666667,42.5,5.758333333,0.8425,13.99166667,19.4,9.9,0,9.5
2018/4/9,2018,4,9,0,1,0,0,0,0,0,0,1,2.2875,42.70833333,6.591666667,1.009166667,14.59166667,20.6,7.9,0,11.4
2018/4/10,2018,4,10,1,0,1,0,0,0,0,0,1,1.358333333,50.125,7.833333333,1.027916667,15.0875,20.6,10,0,10
2018/4/11,2018,4,11,2,0,0,1,0,0,0,0,1,2.408333333,65.08333333,12.85,0.696666667,17.8,21.4,13.2,0,6
2018/4/12,2018,4,12,3,0,0,0,1,0,0,0,1,1.6375,59.95833333,13.07916667,0.846666667,20.21666667,26.5,15.5,0,9.7
2018/4/13,2018,4,13,4,0,0,0,0,1,0,0,1,2.85,33.5,5.7625,1.05125,16.4625,20.4,12.9,0,11.8
2018/4/14,2018,4,14,5,0,0,0,0,0,1,0,0,1.875,66.66666667,11.6,0.3675,16.25833333,19.9,12.9,0,1.2
2018/4/15,2018,4,15,6,0,0,0,0,0,0,1,0,2.491666667,75.66666667,15.96666667,0.26375,18.10416667,22.1,13.5,11.5,0.4
2018/4/16,2018,4,16,0,1,0,0,0,0,0,0,1,2.4625,47.45833333,7.870833333,0.719583333,15.65,19.7,12.1,0,0.9
2018/4/17,2018,4,17,1,0,1,0,0,0,0,0,1,1.404166667,79.25,11.5875,0.184166667,13.28333333,15,11.9,1,0
2018/4/18,2018,4,18,2,0,0,1,0,0,0,0,1,1.65,94.45833333,13.88333333,0.27375,13.60833333,16.5,12.3,16.5,2.6
2018/4/19,2018,4,19,3,0,0,0,1,0,0,0,1,1.025,77.83333333,13.85416667,0.955833333,17.29583333,22.3,12.4,0,8.4
2018/4/20,2018,4,20,4,0,0,0,0,1,0,0,1,1.654166667,61.04166667,12.16666667,1.047916667,20.23333333,26.4,14.1,0,12
2018/4/21,2018,4,21,5,0,0,0,0,0,1,0,0,0.920833333,64.41666667,13.82083333,1.075,21.36666667,26.3,15.6,0,12.3
2018/4/22,2018,4,22,6,0,0,0,0,0,0,1,0,0.758333333,66.75,15.29166667,1.0625,23.53333333,29.6,17.3,0,12.1
2018/4/23,2018,4,23,0,1,0,0,0,0,0,0,1,1.425,79.95833333,15.05833333,0.257083333,17.5,19.7,15.9,0,0
2018/4/24,2018,4,24,1,0,1,0,0,0,0,0,1,0.829166667,83.5,16.97083333,0.282916667,18.925,22.2,16,0,0.1
2018/4/25,2018,4,25,2,0,0,1,0,0,0,0,1,1.241666667,95.08333333,20.91666667,0.355,19.9,22.2,17.5,51.5,2.9
