ì˙éû,ã§ópïî,êÍóLïî,çáåv,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2018/4/1,7,59,66,0,1,2,1,1,2,6,10,24,2,4,0,0,2,4,3,0,3,1
2018/4/2,7,86,93,0,1,1,2,2,1,5,12,23,2,8,0,0,15,15,3,0,2,1
2018/4/3,5,89,94,0,1,1,1,1,1,10,5,24,3,10,0,0,16,14,3,0,3,1
2018/4/4,6,92,98,0,1,2,1,1,1,4,5,24,3,11,3,5,13,15,3,1,2,3
2018/4/5,10,95,105,0,1,2,4,1,2,10,6,24,1,11,9,0,15,14,3,0,2,0
2018/4/6,7,97,104,0,2,1,1,2,1,10,3,23,2,11,7,5,13,14,3,0,3,3
2018/4/7,5,72,77,0,1,1,1,1,1,4,3,24,2,3,0,4,11,14,3,0,4,0
2018/4/8,6,63,69,0,1,2,1,1,1,5,3,24,0,4,0,0,10,10,3,0,4,0
2018/4/9,10,88,98,0,1,1,4,1,3,4,9,24,1,6,7,0,16,16,3,0,2,0
2018/4/10,12,79,91,3,1,2,3,1,2,5,5,24,1,3,6,0,14,15,3,0,2,1
2018/4/11,11,93,104,5,1,2,1,1,1,4,11,24,4,8,7,0,14,15,3,0,3,0
2018/4/12,13,93,106,5,2,2,1,2,1,4,6,24,2,11,9,0,14,15,3,1,2,2
2018/4/13,9,89,98,4,1,1,1,1,1,5,9,24,1,8,9,0,14,15,2,0,2,0
2018/4/14,8,79,87,3,1,1,1,1,1,9,12,24,1,4,0,0,11,12,3,0,3,0
2018/4/15,10,52,62,3,1,2,1,1,2,5,10,23,0,3,0,0,2,4,3,0,2,0
2018/4/16,9,83,92,3,1,1,2,1,1,4,9,24,1,4,7,0,14,14,3,0,2,1
2018/4/17,21,86,107,4,1,2,11,2,1,5,13,24,1,4,2,3,14,15,3,0,2,0
2018/4/18,17,75,92,3,2,1,6,1,4,4,5,24,0,5,1,0,15,15,3,0,3,0
2018/4/19,12,86,98,4,1,2,3,1,1,5,6,24,1,7,8,0,15,14,3,0,2,1
2018/4/20,12,90,102,7,1,1,1,1,1,4,3,24,1,9,8,4,15,15,3,0,2,2
2018/4/21,11,65,76,6,1,1,1,1,1,5,3,23,2,4,0,0,10,12,3,0,3,0
2018/4/22,11,54,65,3,1,2,1,2,2,4,3,24,1,7,0,0,3,4,3,1,2,2
2018/4/23,9,86,95,4,1,1,1,1,1,5,3,24,1,10,9,0,13,15,3,0,2,1
2018/4/24,15,94,109,8,2,2,1,1,1,4,2,23,0,12,9,8,14,15,3,0,3,1
2018/4/25,11,91,102,5,1,1,2,1,1,4,3,24,3,12,7,4,14,14,3,0,2,1
2018/4/26,12,101,113,5,1,2,1,1,2,5,5,24,3,11,7,10,15,15,3,1,2,0
2018/4/27,14,93,107,8,1,1,1,2,1,4,3,24,3,12,8,0,15,14,3,0,2,5
2018/4/28,8,87,95,3,1,1,1,1,1,7,3,24,1,4,9,8,11,13,3,1,3,0
2018/4/29,9,58,67,3,1,2,1,1,1,4,10,24,2,7,0,0,3,3,3,0,2,0
2018/4/30,8,78,86,3,1,1,1,1,1,4,4,23,1,4,0,5,11,13,8,1,2,2
2018/5/1,26,101,127,10,2,1,6,3,4,6,3,24,2,11,9,9,12,12,3,1,2,7
2018/5/2,17,117,134,10,1,3,1,1,1,6,10,24,10,13,9,8,11,12,3,0,3,8
2018/5/3,7,97,104,3,1,1,1,0,1,4,3,24,6,4,8,9,12,12,10,1,2,2
2018/5/4,10,90,100,4,1,2,1,1,1,4,3,24,2,11,0,10,11,12,2,1,2,8
