ì˙éû,ã§ópïî,êÍóLïî,çáåv,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2018/4/1,23.99477969333333,23.97996794846154,23.984645341578947,24.8,25.0,23.54216954,23.54216954,23.54216954,23.54216954,24.575,25.25,24.36458333,25.0,25.75,24.66666667,24.8,20.0,20.0,26.33333333,26.0,24.0,21.0
2018/4/2,24.171743293333336,23.89198717923077,23.98033121526316,24.8,25.0,23.80761494,23.80761494,23.80761494,23.80761494,23.9,25.39583333,23.75,25.0,25.75,24.66666667,24.8,20.0,20.0,26.33333333,26.0,24.0,21.0
2018/4/3,24.281417626666666,24.07628205076923,24.141061706315792,24.8,25.0,23.97212644,23.97212644,23.97212644,23.97212644,23.48333333,25.70833333,23.75,25.0,25.75,24.66666667,24.8,20.0,20.0,26.33333333,26.0,24.0,23.5
2018/4/4,24.441411239999997,24.434935897692306,24.43698074263158,24.8,25.0,24.21211686,24.21211686,24.21211686,24.21211686,24.4,26.22916667,23.75,25.0,25.75,24.66666667,24.9,20.0,20.0,26.33333333,26.0,24.0,26.625
2018/4/5,24.36987548,24.374839743846152,24.373272081578946,24.8,25.0,24.10481322,24.10481322,24.10481322,24.10481322,25.675,24.53125,23.91666667,25.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/6,24.39904214666667,24.494230769230764,24.464171204210526,24.8,25.0,24.14856322,24.14856322,24.14856322,24.14856322,27.425,24.0,24.25,25.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/7,24.486542146666665,24.448557692307688,24.460552783157894,24.8,25.0,24.27981322,24.27981322,24.27981322,24.27981322,25.3,25.53125,24.25,25.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/8,24.499281606666667,24.434615384615384,24.455036296842106,24.8,25.0,24.29892241,24.29892241,24.29892241,24.29892241,24.4,26.25,24.25,25.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/9,24.492624520000003,24.32884615384615,24.38056563789474,24.8,25.0,24.28893678,24.28893678,24.28893678,24.28893678,24.4,24.875,24.25,25.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/10,24.466512346666665,24.20384615384615,24.28679337263158,24.8,25.0,24.24976852,24.24976852,24.24976852,24.24976852,24.4,23.25,24.25,25.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/11,24.465,24.20384615384615,24.286315789473683,24.8,25.0,24.2475,24.2475,24.2475,24.2475,24.4,23.625,24.25,24.625,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/12,24.44546296,24.146153846153844,24.240672513684206,24.8,25.0,24.21819444,24.21819444,24.21819444,24.21819444,24.4,23.83333333,24.25,24.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,25.66666667
2018/4/13,24.38875,24.093269230769234,24.18657894736842,24.8,25.0,24.133125,24.133125,24.133125,24.133125,24.4,23.60416667,24.25,24.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,25.20833333
2018/4/14,24.44152778,24.28894230769231,24.33712719368421,24.8,25.0,24.21229167,24.21229167,24.21229167,24.21229167,25.18333333,23.94791667,24.875,24.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/15,24.539444446666668,24.423878205384614,24.46037280789474,24.8,25.0,24.35916667,24.35916667,24.35916667,24.35916667,25.625,24.66666667,25.46875,24.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/16,24.56810185333333,24.44983974384615,24.487185673157896,24.8,25.0,24.40215278,24.40215278,24.40215278,24.40215278,25.4,25.15625,25.75,24.0,25.75,24.66666667,25.0,20.0,20.0,26.33333333,26.0,24.0,25.79166667
2018/4/17,24.561412040000004,24.41826923076923,24.463472223157897,24.8,25.0,24.39211806,24.39211806,24.39211806,24.39211806,25.4,25.5,26.0625,24.0,25.75,24.66666667,24.725,20.0,20.0,26.33333333,26.0,24.0,25.0
2018/4/18,24.536296293333336,24.42371794846154,24.459269004736843,24.8,25.0,24.35444444,24.35444444,24.35444444,24.35444444,25.4,25.5,26.45833333,24.0,25.75,24.66666667,24.4,20.0,20.0,26.33333333,26.0,24.0,25.0
2018/4/19,24.481203706666665,24.305128205384616,24.360730995263157,24.8,25.0,24.27180556,24.27180556,24.27180556,24.27180556,25.4,25.35416667,24.8125,24.0,25.75,24.66666667,24.4,20.0,20.0,26.33333333,26.0,24.0,25.25
2018/4/20,24.499074075,24.266666666923076,24.340058480000003,25.03333333,25.0,24.24027778,24.24027778,24.24027778,24.24027778,25.4,25.25,24.0,24.0,25.75,24.66666667,24.31666667,20.0,20.0,26.33333333,26.0,24.0,25.75
2018/4/21,24.546851853333333,24.292307692307688,24.37269005894737,25.2,25.0,24.27027778,24.27027778,24.27027778,24.27027778,25.1,25.75,24.0,24.0,25.75,24.66666667,24.2,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/22,24.608611113333335,24.340064102307693,24.424868421578946,25.2,25.0,24.36291667,24.36291667,24.36291667,24.36291667,24.575,26.25,24.89583333,24.0,25.75,24.66666667,24.2,20.0,20.0,26.33333333,26.0,24.0,25.75
2018/4/23,24.618125000000003,24.31282051307692,24.409232456315788,25.2,25.0,24.3771875,24.3771875,24.3771875,24.3771875,24.2,26.25,25.5,24.0,25.75,24.66666667,24.2,20.0,20.0,26.33333333,26.0,24.0,25.16666667
2018/4/24,24.61194444666667,24.376923076923074,24.451140351578946,25.1,25.0,24.39291667,24.39291667,24.39291667,24.39291667,24.2,26.25,25.5,24.0,25.75,24.66666667,24.2,20.0,20.0,26.33333333,26.0,24.0,26.0
2018/4/25,24.64482253,24.44102564076923,24.505382553157894,24.90972222,25.0,24.48980324,24.48980324,24.48980324,24.48980324,24.2,26.25,25.5,24.0,25.75,24.66666667,24.2,20.0,20.0,26.33333333,26.0,24.0,26.83333333
2018/4/26,24.704830249999997,24.546153846153842,24.59626218421052,25.09027778,25.0,24.53467593,24.53467593,24.53467593,24.53467593,24.2,26.25,25.5,25.33333333,25.75,24.66666667,23.4,20.0,20.0,26.33333333,26.0,24.0,27.66666667
2018/4/27,24.65968364166667,24.421794871538467,24.49691764105263,24.82638889,25.0,24.53292824,24.53292824,24.53292824,24.53292824,24.2,25.97916667,25.39583333,25.95833333,25.75,24.66666667,23.28333333,20.0,20.0,26.5,26.0,24.0,25.75
2018/4/28,24.644320984999997,24.43290598307692,24.499668615263158,24.66666667,25.0,24.54981481,24.54981481,24.54981481,24.54981481,24.2,25.75,25.0,26.0,25.75,24.66666667,23.4,20.0,20.0,26.86111111,26.0,24.0,26.0
2018/4/29,24.647268518333334,24.437980770000003,24.504071637894736,24.66666667,25.0,24.55423611,24.55423611,24.55423611,24.55423611,24.575,25.63541667,25.0,26.0,25.75,24.66666667,23.4,20.0,20.0,26.66666667,26.0,24.0,26.0
2018/4/30,24.635138891666667,24.47291666692308,24.524144737894733,24.66666667,25.0,24.53604167,24.53604167,24.53604167,24.53604167,24.8,25.86458333,25.0,26.0,25.75,24.66666667,23.4,20.0,20.0,26.66666667,26.0,24.0,26.0
2018/5/1,24.657878088333334,24.54054487307692,24.57759746736842,24.82638889,25.0,24.53021991,24.53021991,24.53021991,24.53021991,24.8,25.38541667,25.375,26.0,25.75,24.66666667,24.21666667,20.0,20.0,26.66666667,26.0,24.0,26.16666667
2018/5/2,24.68512346,24.655288463076925,24.66471004105263,24.875,25.0,24.55893519,24.55893519,24.55893519,24.55893519,24.325,25.26041667,25.75,25.66666667,25.75,24.66666667,24.39166667,20.0,20.0,26.66666667,26.29166667,25.33333333,26.41666667
2018/5/3,24.712152775000003,24.72948718,24.724013157368415,24.83333333,25.0,24.60989583,24.60989583,24.60989583,24.60989583,24.2,25.5,25.75,24.83333333,25.75,24.66666667,24.2,20.0,20.0,26.66666667,26.5,26.5,26.91666667
2018/5/4,24.734444441666668,24.69743589769231,24.709122806315786,24.83333333,25.0,24.64333333,24.64333333,24.64333333,24.64333333,24.2,25.5,25.75,25.33333333,25.75,24.66666667,24.2,20.0,20.0,26.66666667,26.5,26.5,26.0
2018/5/5,24.747098761666667,24.77777777846154,24.768089667894735,24.83333333,25.0,24.66231481,24.66231481,24.66231481,24.66231481,24.59166667,25.5625,25.8125,26.0,25.75,24.66666667,24.2,20.0,20.0,26.52777778,26.5,26.5,26.0
2018/5/6,24.715601848333336,24.721955127692304,24.719948828947366,24.83333333,25.0,24.61506944,24.61506944,24.61506944,24.61506944,23.8,25.80208333,25.83333333,26.0,25.75,24.66666667,24.2,20.0,20.0,26.33333333,26.5,26.5,26.0
