,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2018-04-01,0.0,1.0,2.0,1.0,1.0,2.0,2018-04-01
2018-04-02,0.0,1.0,1.0,2.0,2.0,1.0,2018-04-02
2018-04-03,0.0,1.0,1.0,1.0,1.0,1.0,2018-04-03
2018-04-04,0.0,1.0,2.0,1.0,1.0,1.0,2018-04-04
2018-04-05,0.0,1.0,2.0,6.0,1.0,2.0,2018-04-05
2018-04-06,0.0,2.0,1.0,1.0,2.0,1.0,2018-04-06
2018-04-07,0.0,1.0,1.0,1.0,1.0,1.0,2018-04-07
2018-04-08,0.0,1.0,2.0,1.0,1.0,1.0,2018-04-08
2018-04-09,0.0,1.0,1.0,4.0,1.0,3.0,2018-04-09
2018-04-10,4.0,1.0,2.0,4.0,1.0,2.0,2018-04-10
2018-04-11,5.0,1.0,2.0,1.0,1.0,1.0,2018-04-11
2018-04-12,5.0,2.0,2.0,1.0,2.0,1.0,2018-04-12
2018-04-13,4.0,1.0,1.0,1.0,1.0,1.0,2018-04-13
2018-04-14,3.0,1.0,1.0,1.0,1.0,1.0,2018-04-14
2018-04-15,3.0,1.0,2.0,1.0,1.0,2.0,2018-04-15
2018-04-16,3.0,1.0,1.0,2.0,1.0,1.0,2018-04-16
2018-04-17,4.0,1.0,2.0,17.0,2.0,1.0,2018-04-17
2018-04-18,3.0,2.0,1.0,10.0,1.0,4.0,2018-04-18
2018-04-19,4.0,1.0,2.0,3.0,1.0,1.0,2018-04-19
2018-04-20,7.0,1.0,1.0,1.0,1.0,1.0,2018-04-20
2018-04-21,7.0,1.0,1.0,1.0,1.0,1.0,2018-04-21
2018-04-22,3.0,1.0,2.0,1.0,2.0,2.0,2018-04-22
2018-04-23,4.0,1.0,1.0,1.0,1.0,1.0,2018-04-23
2018-04-24,8.0,2.0,2.0,1.0,1.0,1.0,2018-04-24
2018-04-25,5.0,1.0,1.0,2.0,1.0,1.0,2018-04-25
2018-04-26,6.0,1.0,2.0,1.0,1.0,2.0,2018-04-26
2018-04-27,8.0,1.0,1.0,1.0,2.0,1.0,2018-04-27
2018-04-28,3.0,1.0,1.0,1.0,1.0,1.0,2018-04-28
2018-04-29,3.0,1.0,2.0,1.0,1.0,1.0,2018-04-29
2018-04-30,3.0,1.0,1.0,1.0,1.0,1.0,2018-04-30
2018-05-01,10.0,2.0,1.0,6.0,3.0,4.0,2018-05-01
2018-05-02,10.0,1.0,3.0,1.0,1.0,1.0,2018-05-02
2018-05-03,3.0,1.0,1.0,1.0,0.0,1.0,2018-05-03
2018-05-04,4.0,1.0,2.0,1.0,1.0,1.0,2018-05-04
2018-05-05,3.0,1.0,1.0,1.0,1.0,1.0,2018-05-05
2018-05-06,3.0,1.0,1.0,0.0,1.0,1.0,2018-05-06
2018-05-07,6.0,1.0,2.0,1.0,1.0,1.0,2018-05-07
2018-05-08,4.0,2.0,1.0,1.0,1.0,1.0,2018-05-08
2018-05-09,3.0,1.0,2.0,2.0,1.0,1.0,2018-05-09
2018-05-10,4.0,1.0,1.0,1.0,1.0,1.0,2018-05-10
2018-05-11,5.0,1.0,2.0,1.0,1.0,2.0,2018-05-11
2018-05-12,3.0,1.0,1.0,0.0,1.0,0.0,2018-05-12
2018-05-13,7.0,1.0,1.0,1.0,1.0,1.0,2018-05-13
2018-05-14,11.0,2.0,2.0,5.0,1.0,2.0,2018-05-14
2018-05-15,12.0,1.0,2.0,6.0,3.0,2.0,2018-05-15
2018-05-16,15.0,1.0,2.0,7.0,4.0,2.0,2018-05-16
2018-05-17,11.0,1.0,3.0,8.0,7.0,3.0,2018-05-17
2018-05-18,15.0,1.0,3.0,10.0,7.0,4.0,2018-05-18
2018-05-19,12.0,1.0,2.0,1.0,0.0,1.0,2018-05-19
2018-05-20,4.0,1.0,1.0,1.0,1.0,1.0,2018-05-20
2018-05-21,16.0,2.0,2.0,3.0,2.0,3.0,2018-05-21
2018-05-22,16.0,1.0,3.0,4.0,1.0,2.0,2018-05-22
2018-05-23,13.0,1.0,2.0,1.0,1.0,1.0,2018-05-23
2018-05-24,16.0,1.0,3.0,1.0,1.0,2.0,2018-05-24
2018-05-25,18.0,1.0,3.0,5.0,4.0,3.0,2018-05-25
2018-05-26,12.0,1.0,1.0,1.0,1.0,1.0,2018-05-26
2018-05-27,6.0,2.0,2.0,1.0,1.0,1.0,2018-05-27
2018-05-28,18.0,1.0,2.0,1.0,1.0,2.0,2018-05-28
2018-05-29,17.0,1.0,3.0,4.0,4.0,3.0,2018-05-29
2018-05-30,16.0,1.0,3.0,1.0,1.0,2.0,2018-05-30
2018-05-31,13.0,1.0,2.0,1.0,1.0,1.0,2018-05-31
2018-06-01,17.0,1.0,3.0,4.0,1.0,2.0,2018-06-01
2018-06-02,13.0,2.0,1.0,1.0,1.0,1.0,2018-06-02
2018-06-03,3.0,1.0,2.0,1.0,1.0,1.0,2018-06-03
2018-06-04,19.0,1.0,3.0,8.0,8.0,4.0,2018-06-04
2018-06-05,19.0,2.0,4.0,7.0,6.0,3.0,2018-06-05
2018-06-06,17.0,1.0,3.0,1.0,1.0,2.0,2018-06-06
2018-06-07,19.0,1.0,5.0,7.0,5.0,3.0,2018-06-07
2018-06-08,20.0,2.0,3.0,8.0,6.0,4.0,2018-06-08
2018-06-09,14.0,1.0,1.0,1.0,1.0,1.0,2018-06-09
2018-06-10,3.0,1.0,2.0,0.0,1.0,1.0,2018-06-10
2018-06-11,11.0,2.0,2.0,1.0,1.0,1.0,2018-06-11
2018-06-12,13.0,1.0,3.0,1.0,1.0,1.0,2018-06-12
2018-06-13,17.0,1.0,2.0,1.0,1.0,2.0,2018-06-13
2018-06-14,13.0,1.0,3.0,1.0,1.0,1.0,2018-06-14
