,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4
2018-04-01,0,1,2,1,1,2
2018-04-02,0,1,1,2,2,1
2018-04-03,0,1,1,1,1,1
2018-04-04,0,1,2,1,1,1
2018-04-05,0,1,2,4,1,2
2018-04-06,0,2,1,1,2,1
2018-04-07,0,1,1,1,1,1
2018-04-08,0,1,2,1,1,1
2018-04-09,0,1,1,4,1,3
2018-04-10,3,1,2,3,1,2
2018-04-11,5,1,2,1,1,1
2018-04-12,5,2,2,1,2,1
2018-04-13,4,1,1,1,1,1
2018-04-14,3,1,1,1,1,1
2018-04-15,3,1,2,1,1,2
2018-04-16,3,1,1,2,1,1
2018-04-17,4,1,2,11,2,1
2018-04-18,3,2,1,6,1,4
2018-04-19,4,1,2,3,1,1
2018-04-20,7,1,1,1,1,1
2018-04-21,6,1,1,1,1,1
2018-04-22,3,1,2,1,2,2
2018-04-23,4,1,1,1,1,1
2018-04-24,8,2,2,1,1,1
2018-04-25,5,1,1,2,1,1
2018-04-26,5,1,2,1,1,2
2018-04-27,8,1,1,1,2,1
2018-04-28,3,1,1,1,1,1
2018-04-29,3,1,2,1,1,1
2018-04-30,3,1,1,1,1,1
2018-05-01,10,2,1,6,3,4
2018-05-02,10,1,3,1,1,1
2018-05-03,3,1,1,1,0,1
2018-05-04,4,1,2,1,1,1
2018-05-05,3,1,1,1,1,1
2018-05-06,3,1,1,0,1,1
2018-05-07,6,1,2,1,1,1
2018-05-08,4,2,1,1,1,1
2018-05-09,3,1,2,2,1,1
2018-05-10,4,1,1,1,1,1
2018-05-11,5,1,2,1,1,2
2018-05-12,3,1,1,0,1,0
2018-05-13,7,1,1,1,1,1
2018-05-14,10,2,2,4,1,2
2018-05-15,10,1,2,6,3,2
2018-05-16,11,1,2,7,4,2
2018-05-17,11,1,3,7,7,3
2018-05-18,13,1,3,8,7,4
2018-05-19,9,1,2,1,0,1
2018-05-20,4,1,1,1,1,1
2018-05-21,11,2,2,3,2,3
2018-05-22,11,1,3,4,1,2
2018-05-23,11,1,2,1,1,1
2018-05-24,11,1,3,1,1,2
2018-05-25,12,1,3,3,4,3
2018-05-26,10,1,1,1,1,1
2018-05-27,6,2,2,1,1,1
2018-05-28,12,1,2,1,1,2
2018-05-29,11,1,3,3,4,3
2018-05-30,12,1,3,1,1,2
2018-05-31,12,1,2,1,1,1
2018-06-01,12,1,3,4,1,2
2018-06-02,10,2,1,1,1,1
2018-06-03,3,1,2,1,1,1
2018-06-04,12,1,3,8,7,4
2018-06-05,12,2,4,6,6,3
2018-06-06,12,1,3,1,1,2
2018-06-07,11,1,5,6,5,3
2018-06-08,12,2,3,8,6,4
2018-06-09,11,1,1,1,1,1
2018-06-10,3,1,2,0,1,1
2018-06-11,9,2,2,1,1,1
2018-06-12,10,1,3,1,1,1
2018-06-13,12,1,2,1,1,2
2018-06-14,10,1,3,1,1,1
2018-06-15,6,2,2,1,1,1
2018-06-16,3,1,1,1,1,1
2018-06-17,3,1,2,1,1,1
2018-06-18,8,1,1,1,1,1
2018-06-19,11,1,2,7,3,2
2018-06-20,12,2,2,1,1,1
2018-06-21,11,1,3,1,1,1
2018-06-22,11,1,3,9,7,3
2018-06-23,11,1,1,1,1,1
2018-06-24,13,2,2,1,2,1
2018-06-25,13,1,7,9,9,3
2018-06-26,12,1,8,10,9,4
2018-06-27,13,1,10,11,11,9
2018-06-28,12,1,10,12,11,10
2018-06-29,12,2,10,10,11,10
2018-06-30,10,2,1,1,1,1
2018-07-01,7,1,2,1,1,1
2018-07-02,13,7,9,11,11,10
2018-07-03,12,6,11,10,10,10
2018-07-04,13,2,10,12,11,10
2018-07-05,13,2,9,10,11,10
2018-07-06,12,2,4,3,1,1
2018-07-07,10,1,1,1,1,1
2018-07-08,11,1,1,1,0,1
2018-07-09,13,2,10,10,11,7
2018-07-10,13,5,11,10,10,7
2018-07-11,13,4,10,11,10,8
2018-07-12,12,3,8,10,10,10
2018-07-13,13,3,11,11,12,10
2018-07-14,10,4,1,0,1,1
2018-07-15,8,1,1,1,1,1
2018-07-16,7,1,2,1,0,1
2018-07-17,13,5,5,6,5,5
2018-07-18,13,1,4,5,6,5
2018-07-19,13,1,5,3,4,3
2018-07-20,13,1,6,6,6,4
2018-07-21,11,1,2,1,1,1
2018-07-22,10,1,1,1,1,1
2018-07-23,13,1,3,3,3,3
