,0
2018-04-01,7
2018-04-02,7
2018-04-03,5
2018-04-04,6
2018-04-05,10
2018-04-06,7
2018-04-07,5
2018-04-08,6
2018-04-09,10
2018-04-10,12
2018-04-11,11
2018-04-12,13
2018-04-13,9
2018-04-14,8
2018-04-15,10
2018-04-16,9
2018-04-17,21
2018-04-18,17
2018-04-19,12
2018-04-20,12
2018-04-21,11
2018-04-22,11
2018-04-23,9
2018-04-24,15
2018-04-25,11
2018-04-26,12
2018-04-27,14
2018-04-28,8
2018-04-29,9
2018-04-30,8
2018-05-01,26
2018-05-02,17
2018-05-03,7
2018-05-04,10
2018-05-05,8
2018-05-06,7
2018-05-07,12
2018-05-08,10
2018-05-09,10
2018-05-10,9
2018-05-11,12
2018-05-12,6
2018-05-13,12
2018-05-14,21
2018-05-15,24
2018-05-16,27
2018-05-17,32
2018-05-18,36
2018-05-19,14
2018-05-20,9
2018-05-21,23
2018-05-22,22
2018-05-23,17
2018-05-24,19
2018-05-25,26
2018-05-26,15
2018-05-27,13
2018-05-28,19
2018-05-29,25
2018-05-30,20
2018-05-31,18
2018-06-01,23
2018-06-02,16
2018-06-03,9
2018-06-04,35
2018-06-05,33
2018-06-06,20
2018-06-07,31
2018-06-08,35
2018-06-09,16
2018-06-10,8
2018-06-11,16
2018-06-12,17
2018-06-13,19
2018-06-14,17
2018-06-15,13
2018-06-16,8
2018-06-17,9
2018-06-18,13
2018-06-19,26
2018-06-20,19
2018-06-21,18
2018-06-22,34
2018-06-23,16
2018-06-24,21
2018-06-25,42
2018-06-26,44
2018-06-27,55
2018-06-28,56
2018-06-29,55
2018-06-30,16
2018-07-01,13
2018-07-02,61
2018-07-03,59
2018-07-04,58
2018-07-05,55
2018-07-06,23
2018-07-07,15
2018-07-08,15
2018-07-09,53
2018-07-10,56
2018-07-11,56
2018-07-12,53
2018-07-13,60
2018-07-14,17
2018-07-15,13
2018-07-16,12
2018-07-17,39
2018-07-18,34
2018-07-19,29
2018-07-20,36
2018-07-21,17
2018-07-22,15
2018-07-23,26
2018-07-24,53
2018-07-25,53
2018-07-26,50
2018-07-27,47
2018-07-28,15
2018-07-29,12
2018-07-30,51
2018-07-31,52
2018-08-01,53
2018-08-02,51
2018-08-03,52
2018-08-04,14
2018-08-05,15
2018-08-06,55
2018-08-07,23
2018-08-08,36
2018-08-09,45
2018-08-10,58
2018-08-11,12
2018-08-12,13
2018-08-13,50
2018-08-14,52
2018-08-15,53
2018-08-16,55
2018-08-17,46
2018-08-18,11
2018-08-19,14
2018-08-20,41
2018-08-21,51
2018-08-22,51
2018-08-23,56
2018-08-24,52
2018-08-25,14
2018-08-26,13
2018-08-27,52
2018-08-28,56
2018-08-29,53
2018-08-30,58
2018-08-31,57
2018-09-01,15
2018-09-02,12
2018-09-03,33
2018-09-04,49
2018-09-05,53
2018-09-06,54
2018-09-07,55
2018-09-08,13
2018-09-09,14
2018-09-10,54
2018-09-11,20
2018-09-12,19
2018-09-13,28
2018-09-14,21
2018-09-15,11
2018-09-16,13
2018-09-17,12
2018-09-18,41
2018-09-19,25
2018-09-20,20
2018-09-21,17
2018-09-22,10
2018-09-23,13
2018-09-24,12
2018-09-25,21
2018-09-26,14
2018-09-27,12
2018-09-28,17
2018-09-29,11
2018-09-30,9
2018-10-01,43
2018-10-02,22
2018-10-03,17
2018-10-04,17
2018-10-05,17
2018-10-06,12
2018-10-07,13
2018-10-08,12
2018-10-09,21
2018-10-10,20
2018-10-11,18
2018-10-12,17
2018-10-13,12
2018-10-14,9
2018-10-15,15
2018-10-16,11
2018-10-17,13
2018-10-18,12
2018-10-19,12
2018-10-20,9
2018-10-21,8
2018-10-22,12
2018-10-23,11
2018-10-24,12
2018-10-25,11
2018-10-26,12
2018-10-27,9
2018-10-28,8
2018-10-29,13
2018-10-30,11
2018-10-31,11
2018-11-01,9
2018-11-02,10
2018-11-03,9
2018-11-04,8
2018-11-05,9
2018-11-06,10
2018-11-07,11
2018-11-08,8
2018-11-09,12
2018-11-10,8
2018-11-11,8
2018-11-12,10
2018-11-13,9
2018-11-14,9
2018-11-15,10
2018-11-16,8
2018-11-17,9
2018-11-18,8
2018-11-19,9
2018-11-20,9
2018-11-21,9
2018-11-22,8
2018-11-23,6
2018-11-24,21
2018-11-25,10
2018-11-26,27
2018-11-27,24
2018-11-28,18
2018-11-29,26
2018-11-30,28
2018-12-01,12
2018-12-02,10
2018-12-03,25
2018-12-04,18
2018-12-05,9
2018-12-06,44
2018-12-07,23
2018-12-08,10
2018-12-09,9
2018-12-10,54
2018-12-11,58
2018-12-12,56
2018-12-13,57
2018-12-14,57
2018-12-15,10
2018-12-16,13
2018-12-17,57
2018-12-18,58
2018-12-19,56
2018-12-20,48
2018-12-21,52
2018-12-22,14
2018-12-23,11
2018-12-24,8
2018-12-25,57
2018-12-26,57
2018-12-27,58
2018-12-28,54
2018-12-29,13
2018-12-30,8
2018-12-31,11
2019-01-01,10
2019-01-02,9
2019-01-03,11
2019-01-04,57
2019-01-05,11
2019-01-06,10
2019-01-07,55
2019-01-08,56
2019-01-09,58
2019-01-10,57
2019-01-11,58
2019-01-12,14
2019-01-13,10
2019-01-14,10
2019-01-15,55
2019-01-16,57
2019-01-17,56
2019-01-18,56
2019-01-19,19
2019-01-20,14
2019-01-21,57
2019-01-22,54
2019-01-23,57
2019-01-24,54
2019-01-25,57
2019-01-26,14
2019-01-27,11
2019-01-28,58
2019-01-29,56
2019-01-30,55
2019-01-31,57
2019-02-01,57
2019-02-02,9
2019-02-03,19
2019-02-04,35
2019-02-05,57
2019-02-06,57
2019-02-07,49
2019-02-08,54
2019-02-09,9
2019-02-10,10
2019-02-11,11
2019-02-12,55
2019-02-13,55
2019-02-14,58
2019-02-15,54
2019-02-16,16
2019-02-17,9
2019-02-18,56
2019-02-19,59
2019-02-20,30
2019-02-21,48
2019-02-22,49
2019-02-23,10
2019-02-24,8
2019-02-25,38
2019-02-26,49
2019-02-27,57
2019-02-28,58
2019-03-01,53
2019-03-02,15
2019-03-03,10
2019-03-04,54
2019-03-05,51
2019-03-06,48
2019-03-07,54
2019-03-08,57
2019-03-09,13
2019-03-10,9
2019-03-11,36
2019-03-12,28
2019-03-13,25
2019-03-14,42
2019-03-15,41
2019-03-16,12
2019-03-17,9
2019-03-18,44
2019-03-19,27
2019-03-20,23
2019-03-21,9
2019-03-22,9
2019-03-23,10
2019-03-24,10
2019-03-25,44
2019-03-26,40
2019-03-27,23
2019-03-28,21
2019-03-29,51
2019-03-30,11
2019-03-31,9
2019-04-01,51
2019-04-02,58
2019-04-03,55
2019-04-04,34
2019-04-05,16
2019-04-06,9
2019-04-07,12
2019-04-08,42
2019-04-09,33
2019-04-10,54
2019-04-11,45
2019-04-12,48
2019-04-13,14
2019-04-14,8
2019-04-15,14
2019-04-16,17
2019-04-17,8
2019-04-18,12
2019-04-19,12
2019-04-20,10
2019-04-21,11
2019-04-22,13
2019-04-23,14
2019-04-24,12
2019-04-25,13
2019-04-26,19
2019-04-27,9
2019-04-28,11
2019-04-29,8
2019-04-30,10
2019-05-01,10
2019-05-02,10
2019-05-03,11
2019-05-04,8
2019-05-05,9
2019-05-06,10
2019-05-07,8
2019-05-08,12
2019-05-09,13
2019-05-10,8
2019-05-11,17
2019-05-12,12
2019-05-13,12
2019-05-14,11
2019-05-15,9
2019-05-16,13
2019-05-17,17
2019-05-18,15
2019-05-19,10
2019-05-20,17
2019-05-21,18
2019-05-22,17
2019-05-23,15
2019-05-24,17
2019-05-25,11
2019-05-26,13
2019-05-27,19
2019-05-28,20
2019-05-29,19
2019-05-30,18
2019-05-31,14
2019-06-01,10
2019-06-02,10
2019-06-03,16
2019-06-04,18
2019-06-05,15
2019-06-06,18
2019-06-07,17
2019-06-08,10
2019-06-09,9
2019-06-10,11
2019-06-11,12
2019-06-12,14
2019-06-13,16
2019-06-14,17
2019-06-15,9
2019-06-16,9
2019-06-17,18
2019-06-18,19
2019-06-19,17
2019-06-20,18
2019-06-21,18
2019-06-22,27
2019-06-23,17
2019-06-24,13
2019-06-25,23
2019-06-26,38
2019-06-27,44
2019-06-28,48
2019-06-29,10
2019-06-30,8
2019-07-01,17
2019-07-02,29
2019-07-03,35
2019-07-04,23
2019-07-05,18
2019-07-06,14
2019-07-07,8
2019-07-08,16
2019-07-09,15
2019-07-10,13
2019-07-11,16
2019-07-12,13
2019-07-13,15
2019-07-14,9
2019-07-15,8
2019-07-16,17
2019-07-17,23
2019-07-18,36
2019-07-19,43
2019-07-20,12
2019-07-21,8
2019-07-22,19
2019-07-23,30
2019-07-24,46
2019-07-25,55
2019-07-26,55
2019-07-27,12
2019-07-28,8
2019-07-29,56
2019-07-30,57
2019-07-31,54
2019-08-01,56
2019-08-02,57
2019-08-03,15
2019-08-04,14
2019-08-05,56
2019-08-06,53
2019-08-07,57
2019-08-08,54
2019-08-09,56
2019-08-10,16
2019-08-11,14
2019-08-12,14
2019-08-13,55
2019-08-14,54
2019-08-15,56
2019-08-16,53
2019-08-17,17
2019-08-18,13
2019-08-19,53
2019-08-20,54
2019-08-21,53
2019-08-22,50
2019-08-23,54
2019-08-24,15
2019-08-25,15
2019-08-26,49
2019-08-27,50
2019-08-28,54
2019-08-29,55
