,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6,日時
2018-04-01,7.0,22.0,47.0,2.0,4.0,0.0,5.0,2.0,4.0,3.0,0.0,5.0,1.0,2018-04-01
2018-04-02,6.0,24.0,33.0,2.0,11.0,0.0,4.0,51.0,122.0,3.0,0.0,2.0,1.0,2018-04-02
2018-04-03,15.0,8.0,34.0,3.0,15.0,0.0,5.0,55.0,142.0,3.0,0.0,3.0,1.0,2018-04-03
2018-04-04,4.0,8.0,31.0,3.0,17.0,6.0,23.0,57.0,177.0,3.0,1.0,2.0,3.0,2018-04-04
2018-04-05,36.0,10.0,54.0,1.0,12.0,18.0,4.0,45.0,117.0,3.0,0.0,2.0,0.0,2018-04-05
2018-04-06,21.0,3.0,31.0,2.0,15.0,11.0,17.0,53.0,148.0,3.0,0.0,3.0,4.0,2018-04-06
2018-04-07,4.0,3.0,33.0,2.0,3.0,0.0,16.0,36.0,104.0,3.0,0.0,4.0,0.0,2018-04-07
2018-04-08,5.0,3.0,31.0,0.0,4.0,0.0,4.0,29.0,37.0,3.0,0.0,5.0,0.0,2018-04-08
2018-04-09,4.0,13.0,37.0,1.0,8.0,9.0,5.0,42.0,105.0,3.0,0.0,2.0,0.0,2018-04-09
2018-04-10,5.0,6.0,72.0,1.0,3.0,6.0,4.0,43.0,112.0,3.0,0.0,2.0,1.0,2018-04-10
2018-04-11,4.0,20.0,51.0,5.0,9.0,9.0,4.0,47.0,123.0,3.0,0.0,3.0,0.0,2018-04-11
2018-04-12,4.0,9.0,44.0,2.0,16.0,19.0,5.0,56.0,140.0,3.0,1.0,2.0,3.0,2018-04-12
2018-04-13,5.0,14.0,48.0,1.0,9.0,14.0,4.0,45.0,115.0,2.0,0.0,2.0,0.0,2018-04-13
2018-04-14,22.0,20.0,60.0,1.0,4.0,0.0,4.0,30.0,71.0,3.0,0.0,3.0,0.0,2018-04-14
2018-04-15,5.0,15.0,36.0,0.0,3.0,0.0,5.0,2.0,4.0,3.0,0.0,2.0,0.0,2018-04-15
2018-04-16,4.0,16.0,35.0,1.0,4.0,9.0,4.0,43.0,101.0,3.0,0.0,2.0,1.0,2018-04-16
2018-04-17,5.0,17.0,43.0,1.0,4.0,2.0,11.0,37.0,91.0,3.0,0.0,2.0,0.0,2018-04-17
2018-04-18,4.0,6.0,44.0,0.0,6.0,1.0,4.0,43.0,96.0,3.0,0.0,3.0,0.0,2018-04-18
2018-04-19,5.0,9.0,55.0,1.0,7.0,10.0,4.0,47.0,121.0,3.0,0.0,2.0,1.0,2018-04-19
2018-04-20,4.0,3.0,39.0,1.0,12.0,12.0,19.0,55.0,133.0,3.0,0.0,2.0,3.0,2018-04-20
2018-04-21,5.0,3.0,31.0,2.0,4.0,0.0,5.0,45.0,104.0,3.0,0.0,3.0,0.0,2018-04-21
2018-04-22,4.0,3.0,43.0,1.0,10.0,0.0,4.0,3.0,4.0,3.0,1.0,2.0,4.0,2018-04-22
2018-04-23,5.0,3.0,38.0,1.0,14.0,20.0,4.0,50.0,137.0,3.0,0.0,2.0,1.0,2018-04-23
2018-04-24,4.0,2.0,36.0,0.0,14.0,12.0,24.0,57.0,139.0,3.0,0.0,3.0,1.0,2018-04-24
2018-04-25,4.0,3.0,36.0,4.0,19.0,14.0,13.0,56.0,160.0,3.0,0.0,2.0,1.0,2018-04-25
2018-04-26,5.0,5.0,34.0,7.0,15.0,7.0,55.0,54.0,151.0,3.0,1.0,2.0,0.0,2018-04-26
2018-04-27,4.0,3.0,35.0,5.0,16.0,16.0,5.0,55.0,141.0,3.0,0.0,2.0,10.0,2018-04-27
2018-04-28,8.0,3.0,33.0,1.0,4.0,17.0,33.0,41.0,99.0,3.0,1.0,3.0,0.0,2018-04-28
2018-04-29,4.0,12.0,32.0,2.0,8.0,0.0,4.0,3.0,3.0,3.0,0.0,2.0,0.0,2018-04-29
2018-04-30,4.0,4.0,30.0,1.0,4.0,0.0,30.0,43.0,134.0,13.0,1.0,2.0,2.0,2018-04-30
2018-05-01,6.0,4.0,45.0,2.0,22.0,14.0,39.0,58.0,187.0,3.0,1.0,2.0,11.0,2018-05-01
2018-05-02,8.0,15.0,38.0,11.0,24.0,13.0,37.0,53.0,180.0,3.0,0.0,3.0,16.0,2018-05-02
2018-05-03,4.0,3.0,38.0,12.0,4.0,9.0,40.0,51.0,152.0,16.0,1.0,2.0,2.0,2018-05-03
2018-05-04,4.0,3.0,36.0,2.0,14.0,0.0,51.0,40.0,141.0,2.0,1.0,2.0,9.0,2018-05-04
2018-05-05,4.0,4.0,37.0,1.0,4.0,7.0,15.0,39.0,97.0,7.0,1.0,3.0,0.0,2018-05-05
2018-05-06,24.0,7.0,35.0,2.0,5.0,0.0,4.0,2.0,3.0,3.0,0.0,2.0,0.0,2018-05-06
2018-05-07,7.0,9.0,44.0,3.0,16.0,8.0,32.0,42.0,127.0,3.0,0.0,2.0,9.0,2018-05-07
2018-05-08,19.0,3.0,42.0,1.0,3.0,8.0,11.0,35.0,109.0,3.0,0.0,2.0,3.0,2018-05-08
2018-05-09,4.0,3.0,68.0,0.0,4.0,3.0,12.0,34.0,87.0,2.0,0.0,3.0,1.0,2018-05-09
2018-05-10,16.0,14.0,67.0,1.0,4.0,3.0,5.0,35.0,81.0,3.0,0.0,2.0,0.0,2018-05-10
2018-05-11,5.0,4.0,33.0,2.0,8.0,7.0,4.0,40.0,104.0,3.0,0.0,2.0,0.0,2018-05-11
2018-05-12,10.0,8.0,33.0,1.0,3.0,9.0,14.0,44.0,114.0,3.0,1.0,3.0,0.0,2018-05-12
2018-05-13,4.0,8.0,34.0,1.0,4.0,0.0,4.0,34.0,65.0,2.0,0.0,2.0,0.0,2018-05-13
2018-05-14,6.0,11.0,33.0,2.0,15.0,6.0,33.0,43.0,163.0,3.0,1.0,2.0,9.0,2018-05-14
2018-05-15,21.0,15.0,39.0,8.0,26.0,10.0,38.0,54.0,183.0,11.0,12.0,4.0,12.0,2018-05-15
