,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,休日,風速,相対湿度,蒸気圧,全天日射量,平均気温,最高気温,最低気温,降水量,日照時間,日時
2018-04-01,2018,4,1,6,0,0,0,0,0,0,1,0,1.2208333333333334,64.375,11.633333333333333,0.8733333333333332,17.104166666666668,22.7,11.9,0.0,9.1,2018-04-01
2018-04-02,2018,4,2,0,1,0,0,0,0,0,0,1,1.2708333333333333,69.70833333333333,13.729166666666664,0.8279166666666665,19.224999999999998,26.3,13.8,0.0,10.200000000000001,2018-04-02
2018-04-03,2018,4,3,1,0,1,0,0,0,0,0,1,1.1541666666666666,74.0,15.095833333333333,0.8220833333333332,19.741666666666664,24.5,15.3,0.0,8.3,2018-04-03
2018-04-04,2018,4,4,2,0,0,1,0,0,0,0,1,1.5708333333333335,68.58333333333333,15.608333333333333,0.9079166666666666,21.483333333333334,26.3,15.6,0.0,10.700000000000001,2018-04-04
2018-04-05,2018,4,5,3,0,0,0,1,0,0,0,1,1.6208333333333327,69.95833333333333,10.695833333333333,0.3512499999999999,14.258333333333333,16.1,13.3,0.0,0.8,2018-04-05
2018-04-06,2018,4,6,4,0,0,0,0,1,0,0,1,2.4291666666666667,82.33333333333333,16.54583333333333,0.5770833333333333,18.454166666666662,22.6,12.4,0.0,3.1,2018-04-06
2018-04-07,2018,4,7,5,0,0,0,0,0,1,0,0,2.995833333333333,63.75,12.3375,0.37999999999999995,17.40833333333333,24.8,11.0,1.0,3.0,2018-04-07
2018-04-08,2018,4,8,6,0,0,0,0,0,0,1,0,1.4166666666666667,42.5,5.758333333333333,0.8425000000000001,13.991666666666665,19.4,9.9,0.0,9.499999999999998,2018-04-08
2018-04-09,2018,4,9,0,1,0,0,0,0,0,0,1,2.2875,42.708333333333336,6.591666666666668,1.0091666666666668,14.591666666666661,20.6,7.9,0.0,11.399999999999999,2018-04-09
2018-04-10,2018,4,10,1,0,1,0,0,0,0,0,1,1.3583333333333336,50.125,7.833333333333332,1.0279166666666668,15.0875,20.6,10.0,0.0,9.999999999999998,2018-04-10
