,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2018-04-01,6,10,24,2,4,0,0,2,4,3,0,3,1
2018-04-02,5,12,23,2,8,0,0,15,15,3,0,2,1
2018-04-03,10,5,24,3,10,0,0,16,14,3,0,3,1
2018-04-04,4,5,24,3,11,3,5,13,15,3,1,2,3
2018-04-05,10,6,24,1,11,9,0,15,14,3,0,2,0
2018-04-06,10,3,23,2,11,7,5,13,14,3,0,3,3
2018-04-07,4,3,24,2,3,0,4,11,14,3,0,4,0
2018-04-08,5,3,24,0,4,0,0,10,10,3,0,4,0
2018-04-09,4,9,24,1,6,7,0,16,16,3,0,2,0
2018-04-10,5,5,24,1,3,6,0,14,15,3,0,2,1
2018-04-11,4,11,24,4,8,7,0,14,15,3,0,3,0
2018-04-12,4,6,24,2,11,9,0,14,15,3,1,2,2
2018-04-13,5,9,24,1,8,9,0,14,15,2,0,2,0
2018-04-14,9,12,24,1,4,0,0,11,12,3,0,3,0
2018-04-15,5,10,23,0,3,0,0,2,4,3,0,2,0
2018-04-16,4,9,24,1,4,7,0,14,14,3,0,2,1
2018-04-17,5,13,24,1,4,2,3,14,15,3,0,2,0
2018-04-18,4,5,24,0,5,1,0,15,15,3,0,3,0
2018-04-19,5,6,24,1,7,8,0,15,14,3,0,2,1
2018-04-20,4,3,24,1,9,8,4,15,15,3,0,2,2
2018-04-21,5,3,23,2,4,0,0,10,12,3,0,3,0
2018-04-22,4,3,24,1,7,0,0,3,4,3,1,2,2
2018-04-23,5,3,24,1,10,9,0,13,15,3,0,2,1
2018-04-24,4,2,23,0,12,9,8,14,15,3,0,3,1
2018-04-25,4,3,24,3,12,7,4,14,14,3,0,2,1
2018-04-26,5,5,24,3,11,7,10,15,15,3,1,2,0
2018-04-27,4,3,24,3,12,8,0,15,14,3,0,2,5
2018-04-28,7,3,24,1,4,9,8,11,13,3,1,3,0
2018-04-29,4,10,24,2,7,0,0,3,3,3,0,2,0
2018-04-30,4,4,23,1,4,0,5,11,13,8,1,2,2
2018-05-01,6,3,24,2,11,9,9,12,12,3,1,2,7
2018-05-02,6,10,24,10,13,9,8,11,12,3,0,3,8
2018-05-03,4,3,24,6,4,8,9,12,12,10,1,2,2
2018-05-04,4,3,24,2,11,0,10,11,12,2,1,2,8
2018-05-05,4,4,22,1,4,6,4,10,12,6,1,3,0
2018-05-06,9,6,24,2,5,0,0,2,3,3,0,2,0
2018-05-07,7,8,24,3,12,7,9,11,13,3,0,2,7
2018-05-08,9,3,24,1,3,8,2,11,12,3,0,2,3
2018-05-09,4,3,24,0,4,3,2,11,13,2,0,3,1
2018-05-10,9,7,24,1,4,3,0,11,13,3,0,2,0
2018-05-11,5,4,24,2,6,6,0,12,12,3,0,2,0
2018-05-12,7,7,24,1,3,8,4,11,12,3,1,3,0
2018-05-13,4,7,24,1,4,0,0,11,12,2,0,2,0
2018-05-14,6,9,24,2,11,6,9,12,12,3,1,2,7
2018-05-15,9,10,24,7,14,9,9,11,13,7,5,4,8
2018-05-16,6,5,24,13,13,9,10,12,14,6,6,4,9
2018-05-17,5,10,24,14,14,9,9,12,12,7,13,3,13
2018-05-18,10,14,24,14,14,11,11,12,12,12,12,9,9
2018-05-19,9,10,24,2,12,10,6,11,13,12,0,13,1
2018-05-20,10,8,24,1,9,0,0,4,6,3,4,4,0
2018-05-21,4,10,23,12,11,10,9,11,12,3,9,6,8
2018-05-22,4,11,24,7,13,9,10,11,13,3,11,7,11
2018-05-23,4,6,24,6,14,8,10,11,13,2,13,3,8
