,0
2018-04-01,59
2018-04-02,86
2018-04-03,89
2018-04-04,92
2018-04-05,95
2018-04-06,97
2018-04-07,72
2018-04-08,63
2018-04-09,88
2018-04-10,79
2018-04-11,93
2018-04-12,93
2018-04-13,89
2018-04-14,79
2018-04-15,52
2018-04-16,83
2018-04-17,86
2018-04-18,75
2018-04-19,86
2018-04-20,90
2018-04-21,65
2018-04-22,54
2018-04-23,86
2018-04-24,94
2018-04-25,91
2018-04-26,101
2018-04-27,93
2018-04-28,87
2018-04-29,58
2018-04-30,78
2018-05-01,101
2018-05-02,117
2018-05-03,97
2018-05-04,90
2018-05-05,77
2018-05-06,56
2018-05-07,106
2018-05-08,81
2018-05-09,70
2018-05-10,77
2018-05-11,76
2018-05-12,84
2018-05-13,67
2018-05-14,104
2018-05-15,130
2018-05-16,131
2018-05-17,145
2018-05-18,164
2018-05-19,123
2018-05-20,73
2018-05-21,128
2018-05-22,134
2018-05-23,122
2018-05-24,140
2018-05-25,147
2018-05-26,108
2018-05-27,87
2018-05-28,146
2018-05-29,144
2018-05-30,130
2018-05-31,120
2018-06-01,133
2018-06-02,114
2018-06-03,80
2018-06-04,162
2018-06-05,160
2018-06-06,153
2018-06-07,153
2018-06-08,161
2018-06-09,124
2018-06-10,79
2018-06-11,139
2018-06-12,154
2018-06-13,157
2018-06-14,147
2018-06-15,123
2018-06-16,83
2018-06-17,60
2018-06-18,112
2018-06-19,140
2018-06-20,127
2018-06-21,135
2018-06-22,156
2018-06-23,101
2018-06-24,61
2018-06-25,155
2018-06-26,168
2018-06-27,172
2018-06-28,165
2018-06-29,172
2018-06-30,148
2018-07-01,112
2018-07-02,177
2018-07-03,175
2018-07-04,178
2018-07-05,173
2018-07-06,160
2018-07-07,136
2018-07-08,124
2018-07-09,176
2018-07-10,178
2018-07-11,183
2018-07-12,173
2018-07-13,187
2018-07-14,156
2018-07-15,116
2018-07-16,160
2018-07-17,186
2018-07-18,179
2018-07-19,178
2018-07-20,188
2018-07-21,171
2018-07-22,118
2018-07-23,178
2018-07-24,187
2018-07-25,190
2018-07-26,188
2018-07-27,176
2018-07-28,131
2018-07-29,122
2018-07-30,175
2018-07-31,185
2018-08-01,181
2018-08-02,180
2018-08-03,186
2018-08-04,151
2018-08-05,136
2018-08-06,183
2018-08-07,164
2018-08-08,161
2018-08-09,166
2018-08-10,179
2018-08-11,146
2018-08-12,87
2018-08-13,170
2018-08-14,172
2018-08-15,178
2018-08-16,173
2018-08-17,180
2018-08-18,139
2018-08-19,92
2018-08-20,162
2018-08-21,168
2018-08-22,166
2018-08-23,172
2018-08-24,177
2018-08-25,167
2018-08-26,134
2018-08-27,179
2018-08-28,183
2018-08-29,182
2018-08-30,176
2018-08-31,174
2018-09-01,127
2018-09-02,95
2018-09-03,161
2018-09-04,164
2018-09-05,170
2018-09-06,167
2018-09-07,163
2018-09-08,141
2018-09-09,114
2018-09-10,172
2018-09-11,151
2018-09-12,148
2018-09-13,146
2018-09-14,148
2018-09-15,103
2018-09-16,69
2018-09-17,89
2018-09-18,163
2018-09-19,155
2018-09-20,146
2018-09-21,122
2018-09-22,99
2018-09-23,74
2018-09-24,69
2018-09-25,143
2018-09-26,108
2018-09-27,107
2018-09-28,121
2018-09-29,92
2018-09-30,56
2018-10-01,145
2018-10-02,141
2018-10-03,129
2018-10-04,122
2018-10-05,116
2018-10-06,97
2018-10-07,97
2018-10-08,122
2018-10-09,136
2018-10-10,145
2018-10-11,131
2018-10-12,119
2018-10-13,74
2018-10-14,53
2018-10-15,93
2018-10-16,108
2018-10-17,103
2018-10-18,99
2018-10-19,94
2018-10-20,89
2018-10-21,47
2018-10-22,94
2018-10-23,88
2018-10-24,90
2018-10-25,86
2018-10-26,100
2018-10-27,74
2018-10-28,47
2018-10-29,101
2018-10-30,101
2018-10-31,88
2018-11-01,80
2018-11-02,85
2018-11-03,80
2018-11-04,52
2018-11-05,86
2018-11-06,85
2018-11-07,85
2018-11-08,86
2018-11-09,86
2018-11-10,80
2018-11-11,50
2018-11-12,75
2018-11-13,85
2018-11-14,71
2018-11-15,82
2018-11-16,93
2018-11-17,81
2018-11-18,59
2018-11-19,81
2018-11-20,94
2018-11-21,81
2018-11-22,82
2018-11-23,34
2018-11-24,110
2018-11-25,97
2018-11-26,97
2018-11-27,111
2018-11-28,90
2018-11-29,93
2018-11-30,84
2018-12-01,102
2018-12-02,102
2018-12-03,84
2018-12-04,95
2018-12-05,95
2018-12-06,85
2018-12-07,94
2018-12-08,93
2018-12-09,109
2018-12-10,117
2018-12-11,108
2018-12-12,153
2018-12-13,124
2018-12-14,127
2018-12-15,122
2018-12-16,125
2018-12-17,120
2018-12-18,116
2018-12-19,118
2018-12-20,132
2018-12-21,120
2018-12-22,105
2018-12-23,103
2018-12-24,118
2018-12-25,129
2018-12-26,133
2018-12-27,119
2018-12-28,135
2018-12-29,101
2018-12-30,88
2018-12-31,52
2019-01-01,53
2019-01-02,51
2019-01-03,57
2019-01-04,88
2019-01-05,122
2019-01-06,123
2019-01-07,141
2019-01-08,146
2019-01-09,161
2019-01-10,151
2019-01-11,123
2019-01-12,157
2019-01-13,117
2019-01-14,130
2019-01-15,152
2019-01-16,127
2019-01-17,125
2019-01-18,120
2019-01-19,134
2019-01-20,123
2019-01-21,134
2019-01-22,126
2019-01-23,136
2019-01-24,122
2019-01-25,125
2019-01-26,128
2019-01-27,107
2019-01-28,136
2019-01-29,130
2019-01-30,129
2019-01-31,135
2019-02-01,125
2019-02-02,124
2019-02-03,85
2019-02-04,117
2019-02-05,120
2019-02-06,135
2019-02-07,121
2019-02-08,120
2019-02-09,131
2019-02-10,106
2019-02-11,129
2019-02-12,138
2019-02-13,149
2019-02-14,139
2019-02-15,155
2019-02-16,117
2019-02-17,110
2019-02-18,133
2019-02-19,140
2019-02-20,105
2019-02-21,110
2019-02-22,102
2019-02-23,95
2019-02-24,86
2019-02-25,116
2019-02-26,111
2019-02-27,111
2019-02-28,113
2019-03-01,104
2019-03-02,116
2019-03-03,104
