“úŽž,EHP2-2,EHP4-4,EHP6-2
2018/4/1,4,9,4
2018/4/2,4,6,6
2018/4/3,10,4,4
2018/4/4,19,7,3
2018/4/5,3,4,4
2018/4/6,6,4,5
2018/4/7,4,4,3
2018/4/8,3,47,4
2018/4/9,4,8,4
2018/4/10,3,31,3
2018/4/11,4,4,4
2018/4/12,4,4,4
2018/4/13,3,8,4
2018/4/14,4,22,3
2018/4/15,4,13,3
2018/4/16,3,4,4
2018/4/17,4,24,3
2018/4/18,3,28,4
2018/4/19,4,14,5
2018/4/20,4,5,5
2018/4/21,3,4,4
2018/4/22,20,4,5
2018/4/23,4,4,3
2018/4/24,4,4,5
2018/4/25,3,4,3
2018/4/26,4,4,6
2018/4/27,4,4,3
2018/4/28,9,4,4
2018/4/29,3,5,3
2018/4/30,14,4,3
2018/5/1,15,4,10
2018/5/2,35,32,4
2018/5/3,24,3,4
2018/5/4,4,4,3
2018/5/5,3,4,3
2018/5/6,5,4,4
2018/5/7,4,19,3
2018/5/8,4,4,4
2018/5/9,4,4,3
2018/5/10,4,22,4
2018/5/11,3,4,4
2018/5/12,4,4,3
2018/5/13,4,9,3
2018/5/14,11,4,7
2018/5/15,21,10,9
2018/5/16,52,44,14
2018/5/17,88,40,26
2018/5/18,73,51,42
2018/5/19,35,3,3
2018/5/20,5,14,4
2018/5/21,32,23,29
2018/5/22,54,38,27
2018/5/23,31,34,10
2018/5/24,60,24,23
2018/5/25,62,33,28
2018/5/26,21,4,8
2018/5/27,26,41,4
2018/5/28,61,41,15
2018/5/29,67,33,27
2018/5/30,74,42,17
2018/5/31,55,30,13
2018/6/1,42,25,20
2018/6/2,33,4,4
2018/6/3,21,32,3
2018/6/4,74,58,40
2018/6/5,71,54,42
2018/6/6,72,36,25
2018/6/7,58,31,29
2018/6/8,78,54,45
2018/6/9,36,47,13
2018/6/10,11,30,8
2018/6/11,47,20,5
2018/6/12,53,21,16
2018/6/13,59,25,28
2018/6/14,41,36,25
2018/6/15,30,18,7
2018/6/16,4,4,3
2018/6/17,7,5,5
2018/6/18,36,14,3
2018/6/19,54,26,20
2018/6/20,46,21,6
2018/6/21,58,25,11
2018/6/22,77,35,32
2018/6/23,25,11,15
2018/6/24,17,4,4
2018/6/25,87,50,60
2018/6/26,114,60,71
2018/6/27,137,69,76
2018/6/28,104,71,76
2018/6/29,173,75,95
2018/6/30,57,51,23
2018/7/1,73,62,16
2018/7/2,249,117,151
2018/7/3,156,95,139
2018/7/4,141,84,108
2018/7/5,111,64,67
2018/7/6,82,31,42
2018/7/7,64,19,4
2018/7/8,56,32,20
2018/7/9,155,68,102
2018/7/10,170,88,113
2018/7/11,186,103,121
2018/7/12,123,66,100
2018/7/13,161,108,109
2018/7/14,105,68,15
2018/7/15,47,86,11
2018/7/16,149,89,15
2018/7/17,205,126,237
2018/7/18,227,138,225
2018/7/19,209,103,155
2018/7/20,203,124,151
2018/7/21,154,110,4
2018/7/22,92,64,29
2018/7/23,270,206,259
2018/7/24,202,148,187
2018/7/25,181,130,133
2018/7/26,119,74,92
2018/7/27,98,71,79
2018/7/28,18,23,3
2018/7/29,3,63,10
2018/7/30,152,74,107
2018/7/31,157,117,125
2018/8/1,185,122,128
2018/8/2,164,131,130
2018/8/3,199,148,127
2018/8/4,94,92,10
2018/8/5,44,79,3
2018/8/6,205,131,167
2018/8/7,69,75,58
2018/8/8,88,50,56
2018/8/9,143,55,79
2018/8/10,173,93,135
2018/8/11,71,67,11
2018/8/12,43,76,4
2018/8/13,157,78,87
2018/8/14,149,103,101
2018/8/15,163,97,130
2018/8/16,121,99,108
2018/8/17,82,68,78
2018/8/18,23,44,12
2018/8/19,5,36,3
2018/8/20,85,50,54
2018/8/21,165,93,85
2018/8/22,170,108,119
2018/8/23,157,87,115
2018/8/24,140,78,89
2018/8/25,56,82,31
2018/8/26,46,96,12
2018/8/27,237,125,180
2018/8/28,121,67,113
2018/8/29,102,72,75
2018/8/30,167,82,128
2018/8/31,189,102,114
2018/9/1,29,75,9
2018/9/2,4,24,4
2018/9/3,106,45,46
2018/9/4,119,44,60
2018/9/5,155,51,75
2018/9/6,148,53,73
2018/9/7,124,58,61
2018/9/8,90,56,4
2018/9/9,54,60,15
2018/9/10,130,71,77
2018/9/11,75,44,40
2018/9/12,66,26,31
2018/9/13,78,35,25
2018/9/14,78,32,33
2018/9/15,36,7,4
2018/9/16,28,11,6
2018/9/17,72,42,4
2018/9/18,117,53,59
2018/9/19,73,43,49
2018/9/20,60,32,28
2018/9/21,34,20,6
2018/9/22,47,4,3
2018/9/23,33,28,5
2018/9/24,42,3,3
2018/9/25,54,26,25
2018/9/26,27,22,7
2018/9/27,34,4,4
2018/9/28,39,5,12
2018/9/29,7,4,4
2018/9/30,21,4,4
2018/10/1,111,19,33
2018/10/2,73,28,29
2018/10/3,54,28,17
2018/10/4,38,15,7
2018/10/5,32,15,4
2018/10/6,26,11,4
2018/10/7,39,37,7
2018/10/8,5,14,7
2018/10/9,70,27,31
2018/10/10,77,33,37
2018/10/11,73,37,20
2018/10/12,35,26,11
2018/10/13,4,6,4
2018/10/14,7,4,4
2018/10/15,20,4,5
2018/10/16,16,4,5
2018/10/17,20,4,7
2018/10/18,16,4,8
2018/10/19,19,4,3
2018/10/20,21,4,4
2018/10/21,4,31,4
2018/10/22,29,5,5
2018/10/23,10,9,3
2018/10/24,24,4,6
2018/10/25,30,6,10
2018/10/26,18,4,5
2018/10/27,3,10,6
2018/10/28,4,12,3
2018/10/29,37,4,9
2018/10/30,32,4,8
2018/10/31,4,4,6
2018/11/1,4,16,11
2018/11/2,15,18,7
2018/11/3,18,39,5
2018/11/4,4,50,3
2018/11/5,15,13,6
2018/11/6,17,17,3
2018/11/7,13,18,4
2018/11/8,14,13,4
2018/11/9,21,4,4
2018/11/10,3,20,3
2018/11/11,4,4,4
2018/11/12,15,28,3
2018/11/13,8,8,4
2018/11/14,13,28,3
2018/11/15,31,21,8
2018/11/16,22,26,10
2018/11/17,4,31,3
2018/11/18,4,49,4
2018/11/19,28,23,43
2018/11/20,37,23,70
2018/11/21,41,35,13
2018/11/22,40,30,74
2018/11/23,3,4,2
2018/11/24,62,84,22
2018/11/25,4,179,4
2018/11/26,42,37,76
2018/11/27,15,29,67
2018/11/28,19,45,17
2018/11/29,18,37,69
2018/11/30,25,28,49
2018/12/1,25,46,3
2018/12/2,5,55,20
2018/12/3,28,43,94
2018/12/4,4,5,43
2018/12/5,5,26,53
2018/12/6,4,33,96
2018/12/7,43,29,73
2018/12/8,4,28,4
2018/12/9,5,73,26
2018/12/10,116,137,170
2018/12/11,98,95,164
2018/12/12,77,70,142
2018/12/13,68,90,151
2018/12/14,100,102,73
2018/12/15,41,105,20
2018/12/16,5,140,19
2018/12/17,100,97,178
2018/12/18,80,51,111
2018/12/19,83,57,114
2018/12/20,67,76,101
2018/12/21,67,67,96
2018/12/22,42,99,4
2018/12/23,4,79,11
2018/12/24,36,91,39
2018/12/25,96,82,152
2018/12/26,87,75,133
2018/12/27,75,94,114
2018/12/28,71,103,125
2018/12/29,26,109,4
2018/12/30,17,161,10
2018/12/31,4,5,28
2019/1/1,5,5,28
2019/1/2,4,4,29
2019/1/3,5,5,37
2019/1/4,110,204,35
2019/1/5,170,126,4
2019/1/6,194,170,16
2019/1/7,126,115,201
2019/1/8,116,138,182
2019/1/9,101,100,169
2019/1/10,126,117,190
2019/1/11,118,97,145
2019/1/12,97,164,21
2019/1/13,4,144,21
2019/1/14,85,174,32
2019/1/15,125,94,206
2019/1/16,111,130,156
2019/1/17,92,81,134
2019/1/18,82,88,136
2019/1/19,100,156,71
2019/1/20,4,141,6
2019/1/21,56,84,141
2019/1/22,110,104,130
2019/1/23,94,87,113
2019/1/24,95,93,113
2019/1/25,106,89,120
2019/1/26,74,136,43
2019/1/27,4,176,11
2019/1/28,110,150,177
2019/1/29,109,108,152
2019/1/30,100,84,178
2019/1/31,107,73,137
2019/2/1,102,110,142
2019/2/2,89,133,32
2019/2/3,4,174,12
2019/2/4,48,95,115
2019/2/5,97,62,141
2019/2/6,92,72,137
2019/2/7,54,58,113
2019/2/8,96,94,121
2019/2/9,99,156,11
2019/2/10,5,187,4
2019/2/11,4,226,43
2019/2/12,119,82,185
2019/2/13,171,84,177
2019/2/14,133,95,169
2019/2/15,125,102,168
2019/2/16,117,47,71
2019/2/17,41,134,10
2019/2/18,77,75,137
2019/2/19,96,53,122
2019/2/20,52,39,89
2019/2/21,62,52,86
2019/2/22,71,54,90
2019/2/23,37,75,12
2019/2/24,4,134,41
2019/2/25,72,48,99
2019/2/26,90,30,92
2019/2/27,74,48,101
2019/2/28,94,63,113
2019/3/1,81,58,101
2019/3/2,4,86,9
2019/3/3,5,129,27
2019/3/4,71,79,152
2019/3/5,81,50,87
2019/3/6,71,73,111
2019/3/7,77,47,75
2019/3/8,50,77,116
2019/3/9,4,46,7
2019/3/10,5,48,14
2019/3/11,57,42,99
2019/3/12,40,16,83
2019/3/13,43,18,21
2019/3/14,76,50,100
2019/3/15,66,57,73
2019/3/16,42,57,7
2019/3/17,4,41,26
2019/3/18,61,39,93
2019/3/19,54,25,24
2019/3/20,25,13,4
2019/3/21,18,4,3
2019/3/22,4,16,6
2019/3/23,5,81,15
2019/3/24,4,74,3
2019/3/25,50,35,54
2019/3/26,71,65,76
2019/3/27,51,5,52
2019/3/28,44,13,56
2019/3/29,80,44,79
2019/3/30,4,76,32
2019/3/31,4,48,4
2019/4/1,75,77,101
2019/4/2,87,46,68
2019/4/3,82,51,69
2019/4/4,51,46,48
2019/4/5,13,18,6
2019/4/6,11,26,4
2019/4/7,5,12,4
2019/4/8,63,41,77
2019/4/9,54,62,27
2019/4/10,81,79,115
2019/4/11,37,65,89
2019/4/12,57,16,45
2019/4/13,4,30,3
2019/4/14,5,11,4
2019/4/15,6,33,8
2019/4/16,5,4,8
2019/4/17,4,5,44
2019/4/18,5,5,4
2019/4/19,4,4,4
2019/4/20,5,5,3
2019/4/21,5,4,4
2019/4/22,4,5,4
2019/4/23,5,15,4
2019/4/24,4,4,3
2019/4/25,29,16,4
2019/4/26,31,5,14
2019/4/27,7,4,4
2019/4/28,5,22,4
2019/4/29,48,21,4
2019/4/30,5,5,18
2019/5/1,4,19,4
2019/5/2,5,4,4
2019/5/3,4,5,4
2019/5/4,5,5,3
2019/5/5,4,4,4
2019/5/6,5,5,4
2019/5/7,4,5,10
2019/5/8,5,4,10
2019/5/9,5,5,4
2019/5/10,30,11,5
2019/5/11,21,5,4
2019/5/12,5,4,3
2019/5/13,15,4,7
2019/5/14,20,6,5
2019/5/15,4,4,4
2019/5/16,22,4,7
2019/5/17,21,18,9
2019/5/18,4,4,3
2019/5/19,5,5,4
2019/5/20,4,19,14
2019/5/21,37,19,6
2019/5/22,15,25,8
2019/5/23,22,27,13
2019/5/24,46,25,16
2019/5/25,21,52,17
2019/5/26,45,79,5
2019/5/27,73,47,82
2019/5/28,63,44,19
2019/5/29,60,27,15
2019/5/30,51,22,14
2019/5/31,53,29,8
2019/6/1,27,24,9
2019/6/2,4,32,4
2019/6/3,55,32,15
2019/6/4,64,47,27
2019/6/5,50,47,31
2019/6/6,93,49,67
2019/6/7,53,28,27
2019/6/8,19,5,20
2019/6/9,16,4,4
2019/6/10,20,11,4
2019/6/11,24,5,5
2019/6/12,21,4,5
2019/6/13,28,24,11
2019/6/14,44,24,27
2019/6/15,4,5,4
