“úŽž,EHP2-2,EHP4-4,EHP6-2
2018/4/1,0,5,0
2018/4/2,0,5,0
2018/4/3,2,4,0
2018/4/4,8,6,0
2018/4/5,0,4,0
2018/4/6,1,4,0
2018/4/7,0,4,0
2018/4/8,0,14,0
2018/4/9,0,5,0
2018/4/10,0,8,0
2018/4/11,0,4,0
2018/4/12,0,4,0
2018/4/13,0,5,0
2018/4/14,0,10,0
2018/4/15,0,7,0
2018/4/16,0,4,0
2018/4/17,0,10,0
2018/4/18,0,9,0
2018/4/19,0,6,1
2018/4/20,0,5,0
2018/4/21,0,4,0
2018/4/22,5,4,0
2018/4/23,0,4,0
2018/4/24,0,4,0
2018/4/25,0,4,0
2018/4/26,0,4,0
2018/4/27,0,4,0
2018/4/28,2,4,0
2018/4/29,0,5,0
2018/4/30,4,4,0
2018/5/1,5,4,1
2018/5/2,8,12,0
2018/5/3,4,3,0
2018/5/4,0,4,0
2018/5/5,0,4,0
2018/5/6,1,4,0
2018/5/7,0,11,0
2018/5/8,0,4,0
2018/5/9,0,4,0
2018/5/10,0,9,0
2018/5/11,0,4,0
2018/5/12,0,4,0
2018/5/13,0,8,0
2018/5/14,3,4,0
2018/5/15,7,8,1
2018/5/16,10,13,4
2018/5/17,11,12,6
2018/5/18,11,14,11
2018/5/19,8,3,0
2018/5/20,1,8,0
2018/5/21,8,13,8
2018/5/22,9,12,8
2018/5/23,8,13,1
2018/5/24,10,12,7
2018/5/25,11,12,7
2018/5/26,6,4,1
2018/5/27,6,13,0
2018/5/28,11,13,4
2018/5/29,10,14,6
2018/5/30,11,13,4
2018/5/31,11,13,3
2018/6/1,13,12,6
2018/6/2,10,4,0
2018/6/3,9,10,0
2018/6/4,13,13,11
2018/6/5,15,14,12
2018/6/6,14,13,8
2018/6/7,15,12,7
2018/6/8,16,16,12
2018/6/9,11,9,5
2018/6/10,5,13,2
2018/6/11,15,12,0
2018/6/12,15,12,4
2018/6/13,15,10,7
2018/6/14,13,15,5
2018/6/15,13,11,0
2018/6/16,4,4,0
2018/6/17,6,5,0
2018/6/18,15,7,0
2018/6/19,13,13,4
2018/6/20,14,12,0
2018/6/21,16,14,1
2018/6/22,14,14,8
2018/6/23,11,9,3
2018/6/24,8,4,0
2018/6/25,14,14,13
2018/6/26,16,14,13
2018/6/27,15,13,14
2018/6/28,14,15,14
2018/6/29,16,14,13
2018/6/30,12,14,6
2018/7/1,13,13,3
2018/7/2,16,15,14
2018/7/3,13,16,18
2018/7/4,16,14,14
2018/7/5,13,14,15
2018/7/6,16,12,12
2018/7/7,13,12,0
2018/7/8,11,11,5
2018/7/9,16,14,15
2018/7/10,14,13,15
2018/7/11,16,15,14
2018/7/12,14,16,17
2018/7/13,16,17,15
2018/7/14,11,12,4
2018/7/15,5,12,3
2018/7/16,17,13,4
2018/7/17,16,14,16
2018/7/18,15,17,14
2018/7/19,16,14,15
2018/7/20,16,18,14
2018/7/21,13,15,0
2018/7/22,17,13,11
2018/7/23,17,18,16
2018/7/24,18,19,14
2018/7/25,15,16,14
2018/7/26,19,15,15
2018/7/27,13,15,14
2018/7/28,7,13,0
2018/7/29,3,16,2
2018/7/30,16,15,14
2018/7/31,14,18,15
2018/8/1,16,17,16
2018/8/2,13,15,14
2018/8/3,16,19,14
2018/8/4,11,13,2
2018/8/5,10,10,0
2018/8/6,16,16,14
2018/8/7,13,17,15
2018/8/8,14,14,13
2018/8/9,16,17,13
2018/8/10,16,19,15
2018/8/11,12,13,2
2018/8/12,12,14,0
2018/8/13,14,16,13
