“úŽž,EHP2-2,EHP4-4,EHP6-2
2018/4/1,22.95,23.29166667,22.9
2018/4/2,25,23.5,22.9
2018/4/3,24.83333333,23.5,22.9
2018/4/4,24.6,23.5,23.525
2018/4/5,20.05,23.5,23.9
2018/4/6,20.05,23.5,23.9
2018/4/7,24.6,23.5,23.9
2018/4/8,24.6,24.55208333,23.9
2018/4/9,24.6,25.5,24.0625
2018/4/10,24.6,25.03125,24.2
2018/4/11,24.6,24.75,24.24166667
2018/4/12,24.6,24.75,24.1625
2018/4/13,24.6,22.91666667,24
2018/4/14,24.6,22.72916667,24
2018/4/15,24.6,25.40625,24
2018/4/16,24.6,25.25,24
2018/4/17,24.6,24.36458333,24
2018/4/18,24.6,24,24
2018/4/19,24.6,24,23.94583333
2018/4/20,24.6,24,23.95
2018/4/21,24.6,24,24
2018/4/22,25.24166667,24,24
2018/4/23,26.2,24,24
2018/4/24,26.2,25.45833333,23.99583333
2018/4/25,26.61666667,26.5,24
2018/4/26,27.2,26.5,24.05
2018/4/27,27.2,26.5,24.1
2018/4/28,27.36666667,26.5,24.1
2018/4/29,27.6,26.5,24.1
2018/4/30,26.975,26.5,24.1
2018/5/1,27.10833333,26.5,24.07083333
2018/5/2,26.21666667,26.91666667,24.02083333
2018/5/3,26.325,27,24
2018/5/4,26.8,27,24
2018/5/5,26.8,27,24
2018/5/6,26.55833333,27,24
2018/5/7,26.25,27.39583333,24.04583333
2018/5/8,25.6,27.75,24.1
2018/5/9,25.4,27.75,24.05833333
2018/5/10,25.4,25.85416667,24
2018/5/11,25.4,24.5,24.02083333
2018/5/12,25.4,24.5,24.1
2018/5/13,25.4,24.5,24.1
2018/5/14,25.4,26.66666667,23.9375
2018/5/15,25.68333333,27.89583333,23.84583333
2018/5/16,25.55833333,27.22916667,24.02916667
2018/5/17,24.75,27.14583333,24.31666667
2018/5/18,24.85833333,27.01041667,24.3125
2018/5/19,25.38333333,27.25,24.4
2018/5/20,25.4,27.33333333,24.4
2018/5/21,24.8,27.5,24.32916667
2018/5/22,24.10833333,26.625,24.34166667
2018/5/23,24.5,26.3125,24.40833333
2018/5/24,24.71666667,26.5,24.3625
2018/5/25,24.75,26.5,24.35
2018/5/26,24.875,26.5,24.38333333
2018/5/27,25.14166667,26.35416667,24.4
2018/5/28,24.68333333,26.55208333,24.39583333
2018/5/29,24.55833333,26.91666667,24.35416667
2018/5/30,24.3,26.85416667,24.37916667
2018/5/31,25.25,26.84375,24.48333333
2018/6/1,25.11666667,26.6875,24.49583333
2018/6/2,24.725,26,24.6
2018/6/3,25.25,26.63541667,24.6
2018/6/4,25.06666667,27.10416667,24.7125
2018/6/5,24.76666667,27.48958333,24.95416667
2018/6/6,25.34166667,27.65625,25.0625
2018/6/7,24.84166667,27.05208333,24.85416667
2018/6/8,24.83333333,26.55208333,24.74583333
2018/6/9,25.69166667,26.58333333,24.9
2018/6/10,24.31666667,27.11458333,24.75
2018/6/11,24.96666667,26.71875,24.62083333
2018/6/12,24.94166667,26.5625,24.82083333
2018/6/13,24.55,27.04166667,24.85833333
2018/6/14,24.69166667,26.5,24.56666667
2018/6/15,24.53333333,26.58333333,24.6625
2018/6/16,24.2,26,24.8
2018/6/17,24.2,26.23958333,24.77083333
2018/6/18,25.10833333,26.09375,24.74166667
2018/6/19,24.66666667,25.70833333,24.63333333
2018/6/20,24.525,26.41666667,24.78333333
2018/6/21,24.475,26.67708333,24.79583333
2018/6/22,24.4,26.5,24.725
2018/6/23,24.49166667,26.5,24.57916667
2018/6/24,24.575,26.5,24.5
2018/6/25,24.7,26.47916667,24.60833333
2018/6/26,24.18333333,26.71875,24.79583333
2018/6/27,23.925,26.58333333,24.75
2018/6/28,24.49166667,26.94791667,24.79166667
2018/6/29,24.01666667,27.02083333,24.65833333
2018/6/30,24.88333333,26.95833333,24.65833333
