ポイント番号,名称,単位
312000957.0,KWH 受電電力量,kWh
312000958.0,電力量(ﾃﾞﾏﾝﾄﾞ制御用),kWh
312000963.0,EHPK-1 1~4F共用部室外機,kWh
312000964.0,EHPK-2 2~4F共用部室外機,kWh
312000965.0,EHPK-3 5～6F共用部系統,kWh
312000966.0,(AP-7-2)積算予備1,kWh
312000967.0,(AP-7-2)積算予備2,kWh
312000968.0,GHEX-1 1F共用部系室外機,kWh
312000969.0,GHEX-2 2F共用部系室外機,kWh
312000970.0,GHEX-3 3F共用部系室外機,kWh
312000971.0,GHEX-4 4F共用部系室外機,kWh
312000972.0,GHEX-5 5～6F共用部系統,kWh
312000973.0,EHP1-1 1F南東系統室外機,kWh
312000974.0,EHP1-2 1F北西系統室外機,kWh
312000975.0,EHP1-3 1F北東系統室外機,kWh
312000976.0,EHP2-1 2F南西系統室外機,kWh
312000977.0,EHP2-2 2F南東系統室外機,kWh
312000978.0,EHP2-3 2F北西系統室外機,kWh
312000979.0,EHP2-4 2F北東系統室外機,kWh
312000980.0,EHP2-5 2Fﾍﾟﾘ北西 室外機,kWh
312000981.0,EHP2-6 2Fﾍﾟﾘ南西 室外機,kWh
312000982.0,EHP3-1 3F南西系統室外機,kWh
312000983.0,EHP3-2 3F南東系統室外機,kWh
312000984.0,EHP3-3 3F北西系統室外機,kWh
312000985.0,EHP3-4 3F北東系統室外機,kWh
312000986.0,EHP3-5 3Fﾍﾟﾘ北西 室外機,kWh
312000987.0,EHP3-6 3Fﾍﾟﾘ南西 室外機,kWh
312000988.0,EHP4-1 4F南西系統室外機,kWh
312000989.0,EHP4-2 4F南東系統室外機,kWh
312000990.0,EHP4-3 4F北西系統室外機,kWh
312000991.0,EHP4-4 4F北東系統室外機,kWh
312000992.0,EHP4-5 4Fﾍﾟﾘ北西 室外機,kWh
312000993.0,EHP4-6 4Fﾍﾟﾘ南西 室外機,kWh
312000994.0,EHP5-1 5F南西系統室外機,kWh
312000995.0,EHP5-2 5F南東系統室外機,kWh
312000996.0,EHP5-3 5Fﾍﾟﾘ南西系統室,kWh
312000997.0,EHP6-1 6F南西系統室外機,kWh
312000998.0,EHP6-2 6F南東系統室外機,kWh
312000999.0,EHP6-3 6Fﾍﾟﾘ南西系統室,kWh
312001000.0,1F北系統室内機,kWh
312001001.0,1F南系統室内機,kWh
312001002.0,1F共用部系統室内機,kWh
312001003.0,2F北系統室内機,kWh
312001004.0,2F南系統室内機,kWh
312001005.0,2F共用部系統室内機,kWh
312001006.0,3F北系統室内機,kWh
312001007.0,3F南系統室内機,kWh
312001008.0,3F共用部室内機,kWh
312001009.0,4F北系統室内機,kWh
312001010.0,4F南系統室内機,kWh
312001011.0,4F共用部系統室内機,kWh
312001012.0,5F南系統室内機 電力量,kWh
312001013.0,5F共用部室内機 電力量,kWh
312001014.0,6F南系統室内機 電力量,kWh
312001015.0,6F共用部室内機 電力量,kWh
312001016.0,1F 南側電灯電力量1,kWh
312001017.0,1F 南側電灯電力量2,kWh
312001018.0,1F 南側OA電力量1,kWh
312001019.0,1F 南側OA電力量2,kWh
312001020.0,1F 北側電灯電力量1,kWh
312001021.0,1F 北側電灯電力量2,kWh
312001022.0,1F 北側電灯電力量3,kWh
312001023.0,1F 北側OA電力量1,kWh
312001024.0,1F 北側OA電力量2,kWh
312001025.0,1F 北側OA電力量3,kWh
312001026.0,1F ｴﾝﾄﾗﾝｽ 屋外機電力量,kWh
312001027.0,1F 事務室1 屋外機電力量,kWh
312001028.0,1F 事務室2 屋外機電力量,kWh
312001029.0,1F ｺﾝﾋﾟｭｰﾀ室 屋外機電力,kWh
312001030.0,1F 倉庫3　電力量,kWh
312001031.0,1F ｺﾝﾋﾟｭｰﾀ室 電力量,kWh
312001032.0,1F ﾏｲｸﾛﾊﾞｯｸｽ室電力量,kWh
312001033.0,1F ｺﾝﾋﾟｭｰﾀ室UPS電力量,kWh
312001034.0,2F 南側電灯電力量1,kWh
312001035.0,2F 南側電灯電力量2,kWh
312001036.0,2F 南側電灯電力量3,kWh
312001037.0,2F 南側電灯電力量4,kWh
