リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
24,24.8,0,0,24,25.5,5,0,26,26.9,0,0,26,27.4,0,0,25,26.7,0,0
24,24.9,0,0,24,25.7,6,0,26,26.9,0,0,26,27.4,0,0,25,26.8,0,0
24,25.1,0,0,24,26,0,0,26,26.9,0,0,26,27.4,0,0,25,26.9,0,0
24,25.2,0,0,24,26.1,0,0,26,26.9,0,0,26,27.5,0,0,25,26.9,0,0
24,25.3,0,0,24,26.1,0,0,26,26.9,0,0,26,27.5,0,0,25,26.9,0,0
24,25.5,0,0,24,26.2,0,0,26,26.9,0,0,26,27.5,0,0,25,27,0,0
24,25.6,0,0,24,26.2,0,0,26,26.9,0,0,26,27.6,0,0,25,27,0,0
24,25.6,0,0,24,26.3,0,0,26,27,0,0,26,27.6,0,0,25,27,0,0
24,23.7,47,47,24,25,47,46,26,27,0,0,26,27.5,0,0,25,27,0,0
24,22.9,60,50,24,24.7,60,35,26,27,0,0,26,27.7,0,0,25,26.6,0,0
24,23.2,60,43,24,24.9,60,27,26,26.2,0,0,26,27.4,0,0,25,25.7,0,0
25,23.7,60,33,25,25.5,60,16,26,25.9,0,0,26,27.4,0,0,25,24.9,0,0
26,24.8,60,14,26,26.1,60,19,26,26.5,0,0,26,27.8,0,0,25,25.9,0,0
26,24.1,60,51,26,26.2,60,27,26,27.1,0,0,26,28,0,0,25,26.3,0,0
26,23.8,60,60,26,26.2,60,9,26,27.3,0,0,26,28.1,0,0,25,26.5,0,0
26,24.2,60,38,26,26.1,60,29,26,27.4,0,0,26,28.3,0,0,25,26.6,0,0
24,23.1,60,60,24,24.8,60,60,26,27.6,0,0,26,28.5,0,0,25,26.5,0,0
24,23.1,60,60,24,24.9,60,60,26,27.5,0,0,26,28.4,0,0,25,26.6,0,0
24,23.3,60,50,24,24.5,60,50,26,24,47,24,26,26.3,47,47,25,24.3,47,47
25,23.9,60,35,25,24.6,60,27,26,23,60,0,26,25.5,60,12,25,22.8,60,60
25,23.4,60,60,25,24.8,60,12,25,23.3,33,0,25,27.2,33,0,25,23.2,49,49
25,23.5,60,60,25,24.2,60,22,25,24.6,0,0,25,27.3,0,0,25,22.6,60,60
25,23.8,0,0,25,24.6,0,0,25,23.6,0,0,25,26.3,0,0,25,22.4,0,0
25,24.8,0,0,25,26.3,0,0,25,25.6,0,0,25,27,0,0,25,24.5,0,0
25,25,0,0,25,26.3,0,0,25,26.2,0,0,25,27.3,0,0,25,25.3,0,0
25,25.2,0,0,25,26.3,0,0,25,26.4,0,0,25,27.4,0,0,25,25.9,0,0
25,25.3,0,0,25,26.4,0,0,25,26.6,0,0,25,27.6,0,0,25,26.2,0,0
25,25.4,0,0,25,26.4,0,0,25,26.8,0,0,25,27.6,0,0,25,26.3,0,0
25,25.5,0,0,25,26.4,0,0,25,26.9,0,0,25,27.7,0,0,25,26.4,0,0
25,25.7,0,0,25,26.5,0,0,25,26.9,0,0,25,27.8,0,0,25,26.6,0,0
25,25.8,0,0,25,26.5,0,0,25,27,0,0,25,27.8,0,0,25,26.7,0,0
23,24.4,35,35,23,25.5,35,35,25,27,0,0,25,27.7,0,0,25,26.8,0,0
23,23.6,60,60,23,25,60,60,25,25.2,16,16,25,26.9,16,16,25,25.4,16,16
23,23.2,60,60,23,24.2,60,60,25,22.8,60,20,25,25.1,60,60,25,23,60,60
23,23.2,60,60,23,24.2,60,60,23,23,60,58,23,25.5,60,60,23,23.2,60,60
23,23.4,60,53,23,24.2,60,60,23,22.5,60,60,23,25.4,60,60,23,23,60,60
25,24.4,60,43,23,24.3,60,60,23,22.4,60,60,22,25.4,60,60,22,23.1,60,60
25,24.4,60,60,23,24.7,60,60,22,23.3,60,60,22,26,60,60,22,23.7,60,60
23,24.7,60,60,23,25,60,60,22,23.9,60,60,21,26.5,60,60,22,24.2,60,60
20,24.3,60,60,20,24.4,60,60,20,23.1,60,60,20,25.6,60,60,20,23.6,60,60
20,23.8,60,60,20,24,60,60,20,22.8,60,60,20,25.1,60,60,20,23.3,60,60
20,23.7,60,60,20,23.9,60,60,20,22.5,60,60,20,24.8,60,60,20,23,60,60
20,23.9,60,60,20,24.3,60,60,20,22.4,21,21,20,24.4,21,21,20,22.7,21,21
20,23.9,60,60,20,25,60,60,23,23.7,0,0,23,24.6,0,0,23,24.3,0,0
20,23.5,60,60,20,24.9,60,60,23,24.5,0,0,23,25.4,0,0,23,25.5,0,0
20,23.4,22,22,20,24.9,22,22,23,24.4,0,0,23,25.3,0,0,23,25.9,0,0
20,24.3,0,0,20,25.3,0,0,23,25.6,0,0,23,26.3,0,0,23,26,0,0
20,24.7,0,0,20,25.5,0,0,23,25.8,0,0,23,26.5,0,0,23,26.2,0,0
20,24.9,0,0,20,25.6,0,0,23,26.1,0,0,23,26.8,0,0,23,26.2,0,0
20,25.1,0,0,20,25.7,0,0,23,26.2,0,0,23,27,0,0,23,26.3,0,0
20,25.2,0,0,20,25.8,0,0,23,26.2,0,0,23,27.1,0,0,23,26.4,0,0
20,25.3,0,0,20,25.9,0,0,23,26.3,0,0,23,27.1,0,0,23,26.5,0,0
20,25.4,0,0,20,26.1,0,0,23,26.4,0,0,23,27.2,0,0,23,26.6,0,0
20,25.5,0,0,20,26.2,0,0,23,26.5,0,0,23,27.2,0,0,23,26.7,0,0
20,25.7,0,0,20,26.2,0,0,23,26.5,0,0,23,27.3,0,0,23,26.8,0,0
22,24.6,33,33,22,25.4,33,33,23,26.2,0,0,23,27.1,0,0,23,26.8,0,0
22,23.7,60,60,22,24.3,60,60,23,23.4,54,54,23,25,54,54,23,24,54,54
22,23.1,60,60,22,23.7,60,60,24,22.3,60,60,24,24.2,60,60,24,22.7,60,60
25,23.9,60,31,25,24.3,60,15,22,22.4,60,60,22,24.6,60,60,21,22.8,60,60
25,24,60,60,27,25.5,60,0,22,21.6,60,60,22,24.4,60,60,21,22.4,60,60
25,23.4,60,52,27,25,60,21,23,21.4,60,60,23,24.3,60,60,24,22.2,60,60
25,24,60,48,27,25.1,60,0,24,21.4,60,60,24,24.2,60,60,24,22.1,60,60
25,24,60,60,27,25.5,60,0,24,21.4,60,60,24,24.2,60,60,24,22.2,60,60
25,23.8,60,60,27,26,60,0,24,21.3,60,60,24,24,60,60,24,22,60,60
25,23.7,60,60,27,25.5,60,6,24,21.9,60,7,24,23.9,60,60,24,22.1,60,60
25,24,60,60,27,25.6,60,0,24,22.2,15,0,24,23.6,15,15,24,21.9,15,15
25,24.2,60,60,27,25.9,60,0,24,25.5,0,0,24,25.9,0,0,24,24.5,0,0
25,23.9,60,60,25,25,60,60,24,25.6,0,0,24,26,0,0,24,24.8,0,0
25,23.8,60,60,25,24.8,60,44,24,25.7,0,0,24,26.2,0,0,24,25.3,0,0
25,24,26,26,25,25.3,26,11,24,25.9,0,0,24,26.4,0,0,24,25.6,0,0
25,24.5,0,0,25,25.6,0,0,24,25.2,0,0,24,25.6,0,0,24,24.1,0,0
25,24.8,0,0,25,25.7,0,0,24,25.3,0,0,24,26,0,0,24,24.7,0,0
25,25,0,0,25,26,0,0,24,25.6,0,0,24,26.3,0,0,24,25.3,0,0
25,25.2,0,0,25,26.2,0,0,24,25.7,0,0,24,26.5,0,0,24,25.6,0,0
25,25.4,0,0,25,26.2,0,0,24,25.9,0,0,24,26.6,0,0,24,25.8,0,0
25,25.5,0,0,25,26.2,0,0,24,26,0,0,24,26.7,0,0,24,26,0,0
25,25.6,0,0,25,26.3,0,0,24,26.1,0,0,24,26.9,0,0,24,26.2,0,0
25,25.7,0,0,25,26.4,0,0,24,26.1,0,0,24,27,0,0,24,26.2,0,0
25,25.9,0,0,25,26.4,0,0,24,26.2,0,0,24,27.1,0,0,24,26.3,0,0
25,26,0,0,25,26.5,0,0,24,26.3,0,0,24,27.2,0,0,24,26.5,0,0
26,24.6,40,17,25,25,40,40,24,26.2,0,0,24,27,0,0,24,26.2,0,0
26,24.8,60,0,25,24.9,60,60,24,26.1,0,0,24,27,0,0,24,26.3,0,0
26,24.9,60,0,25,24.9,60,60,24,26.2,0,0,24,27,0,0,24,26.6,0,0
26,25.1,60,0,25,25.2,60,30,24,26.2,0,0,24,27.1,0,0,24,26.7,0,0
26,24.9,60,0,25,24.9,60,27,24,26.2,0,0,24,27.1,0,0,24,26.8,0,0
26,25.1,60,0,25,24.5,60,32,24,23.3,57,57,24,24.7,57,57,24,23.7,57,57
26,25.1,60,0,25,24.2,60,34,24,21.6,60,27,24,23.4,60,60,24,22.1,60,60
26,25.2,60,4,25,24.4,60,49,24,22.2,60,4,24,23.6,60,60,24,22,60,60
26,24.9,60,3,25,24,60,60,24,22,46,3,24,23.5,46,46,24,21.9,46,46
24,24.5,60,49,24,24.4,60,60,24,25.2,0,0,24,25.3,0,0,24,23.9,0,0
24,23.9,60,60,24,24.5,60,60,24,23.9,20,20,24,24.9,20,20,24,24,23,23
24,23,60,60,24,23.5,60,48,24,21.7,60,60,24,23.2,60,60,24,22.1,60,56
24,23.3,60,60,24,24.1,60,42,24,23.3,60,60,24,23,60,60,24,23.5,60,0
24,23.4,60,60,24,24.2,60,39,24,24.2,60,10,24,23.2,60,60,24,24.4,60,0
24,23.5,0,0,24,24.2,0,0,24,24.8,0,0,24,23.6,0,0,24,24.8,0,0
24,24.7,0,0,24,25.2,0,0,24,25.8,0,0,24,25.4,0,0,24,25.8,0,0
24,25.2,0,0,24,25.5,0,0,24,25.9,0,0,24,25.7,0,0,24,25.9,0,0
24,25.5,0,0,24,25.9,0,0,24,25.9,0,0,24,26,0,0,24,26,0,0
24,25.7,0,0,24,26,0,0,24,26,0,0,24,26.1,0,0,24,26,0,0
24,25.8,0,0,24,26.1,0,0,24,26,0,0,24,26.2,0,0,24,26.1,0,0
24,25.9,0,0,24,26.1,0,0,24,26,0,0,24,26.2,0,0,24,26.2,0,0
24,26,0,0,24,26.2,0,0,24,26.1,0,0,24,26.3,0,0,24,26.2,0,0
24,26,0,0,24,26.2,0,0,24,26.2,0,0,24,26.3,0,0,24,26.2,0,0
24,26.1,0,0,24,26.2,0,0,24,26.2,0,0,24,26.4,0,0,24,26.2,0,0
25,24.4,44,29,25,24.6,44,28,24,23.1,50,50,24,24.1,50,50,24,23.6,50,50
25,24.3,60,48,25,25,60,7,24,22.2,60,60,24,23.6,60,60,24,22.5,60,60
25,23.9,60,47,25,25,60,13,24,22.2,60,51,24,24.2,60,60,24,22.5,60,60
25,23.9,60,40,25,24.9,60,18,24,22.5,60,5,23,24,60,60,23,22.4,60,60
25,24,60,25,25,24.6,60,7,24,21.9,60,60,23,23.8,60,60,23,22.2,60,60
25,23.7,60,60,25,25.1,60,1,24,21.8,60,60,23,23.5,60,60,23,22.2,60,60
25,23.7,60,60,25,25,60,12,24,22.2,60,60,23,23.6,60,60,23,22.5,60,60
25,23.7,60,60,25,25.1,60,0,24,21.9,60,60,23,23.3,60,60,23,22.3,60,60
25,23.8,60,60,25,24.7,60,37,24,22,60,22,23,23.4,60,60,23,22.3,60,60
24,23.8,60,60,24,24.1,60,60,24,22.6,60,27,23,23.4,60,60,23,22.4,60,60
24,23.5,60,60,24,23.9,60,60,24,21.8,60,60,23,22.5,60,60,23,22,60,60
24,23.3,60,60,24,23.8,60,60,24,21.8,60,17,23,22.3,60,60,23,21.8,60,60
24,23.4,60,60,24,23.9,60,60,24,22,10,0,24,22.5,10,10,24,21.8,10,10
24,23.5,60,60,24,24,60,60,24,25,0,0,24,24.6,0,0,24,24.4,0,0
24,23.4,0,0,24,24,0,0,24,25,0,0,24,24.6,0,0,24,24.4,0,0
24,24.8,0,0,24,25.4,0,0,24,25.2,0,0,24,24.9,0,0,24,24.7,0,0
24,25.1,0,0,24,25.6,0,0,24,25.3,0,0,24,25.1,0,0,24,25,0,0
24,25.3,0,0,24,25.8,0,0,24,25.3,0,0,24,25.2,0,0,24,25.2,0,0
24,25.4,0,0,24,25.9,0,0,24,25.4,0,0,24,25.3,0,0,24,25.3,0,0
24,25.6,0,0,24,26,0,0,24,25.4,0,0,24,25.4,0,0,24,25.4,0,0
24,25.6,0,0,24,26,0,0,24,25.4,0,0,24,25.5,0,0,24,25.5,0,0
24,25.8,0,0,24,26.1,0,0,24,25.6,0,0,24,25.6,0,0,24,25.7,0,0
24,25.9,0,0,24,26.2,0,0,24,25.6,0,0,24,25.7,0,0,24,25.8,0,0
24,25.9,0,0,24,26.2,0,0,24,25.6,0,0,24,25.7,0,0,24,25.8,0,0
26,24.8,39,13,26,24.9,39,11,24,23,49,49,24,23.8,49,49,24,23.5,49,49
26,25.1,60,13,26,25.1,60,0,24,22.6,60,60,24,22.9,60,60,24,22.9,60,35
26,24.2,60,60,26,25.4,60,0,24,22.3,60,60,24,23.4,60,60,24,22.8,60,60
26,24,60,60,26,25.2,60,0,24,21.8,60,60,24,23.3,60,60,24,22.2,60,60
26,23.5,60,60,26,24.8,60,0,24,21.8,60,60,24,23.4,60,60,24,22.4,60,60
26,23.9,60,35,26,25,60,0,24,22.6,60,49,24,23.4,60,60,24,22.7,60,45
26,25,60,0,26,25.5,60,0,25,23.2,60,56,25,23.4,60,60,25,23.6,60,29
26,25.2,60,23,26,25.5,60,0,25,22.7,60,0,25,23.4,60,60,25,22.6,60,60
26,24.5,60,19,26,25.3,60,7,25,22.9,53,7,25,23.6,53,53,25,22.9,53,53
26,24.8,60,60,26,25.7,60,0,25,25,0,0,25,24.7,0,0,25,24.5,0,0
26,24.4,60,60,26,25.5,60,11,25,25.5,0,0,25,25.2,0,0,25,25.2,0,0
26,24.4,60,60,26,25.7,60,0,25,25.6,0,0,25,25.3,0,0,25,25.4,0,0
26,24.3,60,60,26,25.6,60,6,25,25.5,0,0,25,25.5,0,0,25,25.7,0,0
24,24.4,60,34,24,25,60,21,25,24.7,0,0,25,24.6,0,0,25,24.5,0,0
27,25.1,0,0,27,25.6,0,0,25,24.7,0,0,25,24.6,0,0,25,24.4,0,0
27,25.8,0,0,27,26.5,0,0,25,25.1,0,0,25,24.9,0,0,25,24.9,0,0
27,26,0,0,27,26.6,0,0,25,25.3,0,0,25,25.1,0,0,25,25.3,0,0
27,26,0,0,27,26.5,0,0,25,25.3,0,0,25,25.2,0,0,25,25.4,0,0
27,26,0,0,27,26.4,0,0,25,25.4,0,0,25,25.3,0,0,25,25.5,0,0
27,26,0,0,27,26.4,0,0,25,25.5,0,0,25,25.3,0,0,25,25.7,0,0
27,26,0,0,27,26.4,0,0,25,25.5,0,0,25,25.4,0,0,25,25.7,0,0
27,26,0,0,27,26.3,0,0,25,25.5,0,0,25,25.5,0,0,25,25.9,0,0
27,26,0,0,27,26.4,0,0,25,25.6,0,0,25,25.6,0,0,25,25.9,0,0
27,26.1,0,0,27,26.4,0,0,25,25.6,0,0,25,25.7,0,0,25,26,0,0
26,25,46,29,27,25.7,46,0,25,25.6,0,0,25,25.7,0,0,25,26.1,0,0
26,24.3,60,56,27,25.6,60,0,25,23.5,32,32,25,24.2,32,32,25,24.1,32,29
26,24.9,60,0,27,25.7,60,0,25,24.2,60,2,25,23.4,60,60,25,24.3,60,0
26,25,60,44,27,26.1,60,0,25,24.9,60,26,25,23.8,60,60,25,25.2,60,0
26,24,60,26,27,24.9,60,6,25,24,60,27,25,23.4,60,60,25,24.5,60,7
26,25.1,60,17,27,25.8,60,0,25,24.9,60,0,25,23.7,60,60,25,25.2,60,0
26,24.3,60,60,27,25.7,60,0,25,23.9,60,26,25,23.4,60,60,25,24.2,60,23
26,24.6,60,23,27,25.8,60,0,25,24.7,60,0,25,23.5,60,60,25,24.9,60,0
26,24.2,60,60,27,25.8,60,0,25,24.9,60,0,25,23.7,60,60,25,25,60,0
23,24,60,60,23,24.9,60,53,25,24.1,60,17,25,23.5,60,60,25,24.3,60,13
23,23.5,60,60,23,24.3,60,60,25,24.7,25,0,25,23.7,25,25,25,24.8,25,0
23,23.3,60,60,23,24.2,60,60,25,25.8,0,0,25,24.8,0,0,25,26,0,0
23,23.1,60,56,23,24.1,60,56,25,25.8,0,0,25,25.1,0,0,25,26.2,0,0
26,24.4,59,0,26,25,60,0,25,25.8,0,0,25,25.2,0,0,25,26.2,0,0
26,25.5,0,0,26,25.9,0,0,25,25.8,0,0,25,25.3,0,0,25,26.2,0,0
26,26.1,0,0,26,26.5,0,0,25,25.7,0,0,25,25.3,0,0,25,26.2,0,0
26,26.1,0,0,26,26.4,0,0,25,25.7,0,0,25,25.3,0,0,25,26.2,0,0
26,26,0,0,26,26.3,0,0,25,25.8,0,0,25,25.4,0,0,25,26.2,0,0
26,25.9,0,0,26,26.3,0,0,25,25.8,0,0,25,25.5,0,0,25,26.2,0,0
26,25.9,0,0,26,26.2,0,0,25,25.8,0,0,25,25.4,0,0,25,26.2,0,0
26,26,0,0,26,26.2,0,0,25,25.8,0,0,25,25.5,0,0,25,26.2,0,0
26,26,0,0,26,26.3,0,0,25,25.8,0,0,25,25.6,0,0,25,26.2,0,0
26,26,0,0,26,26.3,0,0,25,25.8,0,0,25,25.7,0,0,25,26.2,0,0
26,26,0,0,26,26.3,0,0,25,25.9,0,0,25,25.7,0,0,25,26.2,0,0
26,25.3,49,17,26,25.7,49,0,25,25.8,0,0,25,25.8,0,0,25,26.2,0,0
26,24.4,60,44,26,25.5,60,5,25,25.9,0,0,25,25.8,0,0,25,26.3,0,0
26,25.1,60,1,26,25.7,60,0,25,25.2,0,0,25,25.2,0,0,25,25.1,0,0
26,24.5,60,49,26,25.7,60,0,25,25.3,0,0,25,25.3,0,0,25,25.3,0,0
26,24.9,60,0,26,25.4,60,0,25,24.5,18,18,25,25.3,18,18,25,24.9,18,18
26,24.9,60,39,26,25.3,60,0,25,22.9,60,60,25,23.7,60,60,25,23.2,60,43
26,24.9,60,10,26,25.6,60,0,25,24.1,60,33,25,23.4,60,60,25,24.6,60,0
26,24.4,60,60,26,25.4,60,0,25,22.9,60,40,25,23.6,60,60,25,23.2,60,56
26,24.8,60,6,26,25.5,60,6,25,22.8,60,7,25,23.3,60,60,25,22.7,60,41
26,25.1,60,29,26,25.3,60,0,24,23.4,26,25,24,23.7,26,26,24,23.5,26,25
26,24.6,60,60,26,25.5,60,13,24,22.5,42,42,24,23.2,42,42,24,22.7,42,31
26,24.5,60,60,26,25.4,60,0,24,24.2,0,0,24,24.4,0,0,24,24.4,0,0
26,24.4,60,60,26,25.7,60,0,24,24.9,0,0,24,24.9,0,0,24,25.3,0,0
26,24.4,59,59,26,25.6,59,6,24,25.1,0,0,24,25.1,0,0,24,25.5,0,0
26,24.4,0,0,26,25.4,0,0,24,24.6,0,0,24,24.5,0,0,24,24.5,0,0
26,25.3,0,0,26,26.6,0,0,24,24.6,0,0,24,24.5,0,0,24,24.2,0,0
26,25.5,0,0,26,26.5,0,0,24,24.9,0,0,24,24.8,0,0,24,24.9,0,0
26,25.6,0,0,26,26.5,0,0,24,25.2,0,0,24,25,0,0,24,25.2,0,0
26,25.7,0,0,26,26.4,0,0,24,25.3,0,0,24,25.1,0,0,24,25.4,0,0
26,25.8,0,0,26,26.4,0,0,24,25.4,0,0,24,25.3,0,0,24,25.6,0,0
26,25.9,0,0,26,26.4,0,0,24,25.5,0,0,24,25.3,0,0,24,25.7,0,0
26,25.9,0,0,26,26.3,0,0,24,25.6,0,0,24,25.4,0,0,24,25.8,0,0
26,26,0,0,26,26.3,0,0,24,25.7,0,0,24,25.6,0,0,24,25.9,0,0
24,24.4,33,33,24,24.8,33,33,24,25.5,0,0,24,25.4,0,0,24,25.9,0,0
24,23.6,60,60,24,24.3,60,60,24,23,28,28,24,24,29,29,24,23.4,29,29
