リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
20,26.4,0,0,20,26.2,0,0,24,27.2,0,0,24,26.3,0,0,24,26.1,0,0,24,26.2,0,0,23,27.2,0,0,25,27.2,0,0,25,27.2,0,0
20,26.4,0,0,20,26.3,0,0,24,27.2,0,0,24,26.3,0,0,24,26.1,0,0,24,26.2,0,0,23,27.2,0,0,25,27.2,0,0,25,27.2,0,0
20,26.5,0,0,20,26.4,0,0,24,27.2,0,0,24,26.4,0,0,24,26.1,0,0,24,26.2,0,0,23,27.2,0,0,25,27.2,0,0,25,27.1,0,0
20,26.5,0,0,20,26.4,0,0,24,27.2,0,0,24,26.4,0,0,24,26.2,0,0,24,26.2,0,0,23,27.2,0,0,25,27.2,0,0,25,27.2,0,0
20,26.6,0,0,20,26.4,0,0,24,27.2,0,0,24,26.5,0,0,24,26.2,0,0,24,26.3,0,0,23,27.2,0,0,25,27.2,0,0,25,27.1,0,0
20,26.6,0,0,20,26.5,0,0,24,27.2,0,0,24,26.5,0,0,24,26.2,0,0,24,26.3,0,0,23,27.3,0,0,25,27.2,0,0,25,27.2,0,0
20,26.7,0,0,20,26.5,0,0,24,27.2,0,0,24,26.5,0,0,24,26.2,0,0,24,26.3,0,0,23,27.4,0,0,25,27.2,0,0,25,27.2,0,0
20,26.7,0,0,20,26.6,0,0,24,27.2,0,0,24,26.5,0,0,24,26.2,0,0,24,26.2,0,0,23,27.4,0,0,25,27.3,0,0,25,27.2,0,0
20,25.7,28,28,20,25.7,28,28,24,27.3,28,0,24,26,28,0,24,26.2,28,28,24,26.6,28,28,23,26.5,28,28,25,26.2,17,16,25,27.5,17,17
20,25.4,60,60,20,23.9,60,60,24,26.7,60,0,24,25.8,60,0,24,24.9,60,60,24,24.2,60,60,23,24.5,60,60,25,25.4,60,60,25,24.8,60,33
20,25.1,60,60,20,23.6,60,60,24,26.6,60,0,24,25.6,60,0,24,24.5,60,60,24,24.3,60,60,23,23.9,60,60,25,24.9,60,40,25,24.8,60,7
20,25,60,60,20,23.6,60,60,24,26.6,60,0,24,25.6,60,0,24,24.5,60,60,24,24.1,60,60,23,23.6,60,60,25,25,60,31,25,25.1,60,33
20,25,60,60,20,23.7,60,60,24,26.6,60,0,24,25.6,60,0,24,24.5,60,60,24,24,60,60,23,23.6,60,60,25,25,60,22,25,25,60,31
20,25,60,60,20,23.6,60,60,24,26.5,60,0,24,25.6,60,0,24,24.5,60,60,24,24,60,60,23,23.3,60,60,25,25.1,60,21,25,25.3,60,38
20,24.8,60,60,20,23.4,60,60,24,26.2,60,27,24,25.2,60,27,24,24.3,60,60,24,24,60,60,23,23.5,60,60,25,25.1,60,16,25,25.1,60,33
20,24.3,60,60,20,23,60,60,24,25,60,60,24,23.9,60,29,24,24,60,60,24,23.8,60,49,23,23.3,60,35,25,25.3,60,19,25,25.1,60,47
20,24.2,60,60,20,22.6,60,60,24,25.1,60,60,24,23.7,60,28,24,23.9,60,60,24,23.5,60,6,23,24.8,60,7,25,24.9,60,44,25,23.9,60,6
20,24.3,60,60,20,22.9,60,60,24,25.4,60,60,24,24,60,24,24,24.3,60,60,24,23.8,60,0,23,25.5,60,0,25,25,60,60,25,23.9,60,0
20,24.3,0,0,20,22.8,0,0,24,25.6,0,0,24,24.5,0,0,24,24.4,0,0,24,23.8,0,0,23,25.7,0,0,25,24.9,0,0,25,23.3,0,0
20,25.1,0,0,20,24.4,0,0,24,26.2,0,0,24,26.3,0,0,24,24.8,0,0,24,25.8,0,0,23,27,0,0,25,26,0,0,25,26.9,0,0
20,25.8,0,0,20,25.3,0,0,24,26.9,0,0,24,26.6,0,0,24,25.3,0,0,24,25.9,0,0,23,27.1,0,0,25,26.7,0,0,25,27.5,0,0
20,26.2,0,0,20,25.8,0,0,24,27.2,0,0,24,26.8,0,0,24,25.6,0,0,24,26,0,0,23,27.1,0,0,25,27.1,0,0,25,27.6,0,0
20,26.4,0,0,20,26.1,0,0,24,27.3,0,0,24,26.7,0,0,24,25.9,0,0,24,26,0,0,23,27,0,0,25,27.2,0,0,25,27.6,0,0
20,26.4,0,0,20,26.2,0,0,24,27.3,0,0,24,26.6,0,0,24,26,0,0,24,26.1,0,0,23,27,0,0,25,27.2,0,0,25,27.4,0,0
20,26.5,0,0,20,26.3,0,0,24,27.4,0,0,24,26.6,0,0,24,26.1,0,0,24,26.1,0,0,23,27.1,0,0,25,27.3,0,0,25,27.3,0,0
20,26.5,0,0,20,26.4,0,0,24,27.3,0,0,24,26.6,0,0,24,26.1,0,0,24,26.2,0,0,23,27.1,0,0,25,27.3,0,0,25,27.2,0,0
20,26.6,0,0,20,26.5,0,0,24,27.3,0,0,24,26.6,0,0,24,26.2,0,0,24,26.2,0,0,23,27.1,0,0,25,27.3,0,0,25,27.2,0,0
20,26.6,0,0,20,26.5,0,0,24,27.4,0,0,24,26.6,0,0,24,26.2,0,0,24,26.2,0,0,23,27.2,0,0,25,27.4,0,0,25,27.2,0,0
20,26.7,0,0,20,26.5,0,0,24,27.4,0,0,24,26.6,0,0,24,26.2,0,0,24,26.3,0,0,23,27.2,0,0,25,27.4,0,0,25,27.3,0,0
20,26.8,0,0,20,26.6,0,0,24,27.4,0,0,24,26.7,0,0,24,26.3,0,0,24,26.3,0,0,23,27.2,0,0,25,27.4,0,0,25,27.3,0,0
20,26.8,0,0,20,26.7,0,0,24,27.5,0,0,24,26.7,0,0,24,26.3,0,0,24,26.3,0,0,23,27.2,0,0,25,27.5,0,0,25,27.3,0,0
20,25.8,31,31,20,25.5,31,31,24,25.8,31,31,24,25.6,31,31,22,25.2,31,31,22,24.9,31,31,23,25.3,31,31,23,25.8,31,31,23,25.3,31,31
20,25.2,60,60,20,23.9,60,60,24,24.9,60,60,24,24.4,60,60,22,24.3,60,60,22,23.8,60,60,23,23.9,60,60,24,24.9,60,60,24,24,60,18
20,24.8,60,60,20,23.5,60,60,24,24.9,60,60,24,24.1,60,60,22,24.4,60,60,22,24,60,60,23,23.7,60,60,24,25.1,60,60,24,24.5,60,60
20,24.6,60,60,20,23.4,60,60,24,24.8,60,60,24,23.9,60,60,22,24,60,60,22,23.6,60,60,23,23.6,60,60,24,24.8,60,60,24,24,60,60
20,24.5,60,60,20,23.5,60,60,24,24.8,60,60,24,23.8,60,60,22,23.9,60,60,22,23.4,60,60,23,23.6,60,60,24,24.7,60,60,24,24,60,60
20,24.5,60,60,20,23.5,60,60,24,24.7,60,60,24,23.8,60,60,22,23.8,60,60,22,23.3,60,60,23,23.6,60,60,24,24.6,60,60,24,23.9,60,60
20,24.4,60,60,20,23.4,60,60,24,24.7,60,60,24,23.8,60,60,22,23.7,60,60,22,23.2,60,60,23,23.4,60,60,24,24.5,60,60,24,23.7,60,60
20,24.3,60,60,20,23.1,60,60,24,24.5,60,60,24,23.7,60,54,22,23.6,60,60,22,23.3,60,60,23,23.2,60,60,24,24.2,60,60,24,23.7,60,1
20,24.3,60,60,20,22.7,60,60,24,24.7,60,60,24,23.9,60,26,22,23.5,60,60,22,23.2,60,60,23,22.8,60,60,24,24,60,42,24,23.4,60,9
20,24.2,60,60,20,22.4,60,60,24,24.7,60,60,24,24,60,23,22,23.3,60,60,22,23,60,60,23,22.6,60,32,24,24.1,60,45,24,23.6,60,13
20,24.1,9,9,20,22.2,9,9,24,24.7,9,9,24,24.2,9,8,22,23.3,9,9,22,22.8,9,9,23,23.5,9,0,24,23.9,9,9,24,22.8,9,0
20,20.5,0,0,20,20.8,0,0,24,23.1,0,0,24,22.5,0,0,22,23.3,0,0,22,22.8,0,0,23,25.5,0,0,24,23.9,0,0,24,26.4,0,0
20,24.9,0,0,20,24.5,0,0,24,25.6,0,0,24,25.4,0,0,22,24.9,0,0,22,24.8,0,0,23,26.3,0,0,24,25.6,0,0,24,26.8,0,0
20,25.7,0,0,20,25.3,0,0,24,26.2,0,0,24,25.9,0,0,22,25.4,0,0,22,25.3,0,0,23,26.5,0,0,24,26.2,0,0,24,26.8,0,0
20,26,0,0,20,25.8,0,0,24,26.7,0,0,24,26,0,0,22,25.6,0,0,22,25.7,0,0,23,26.6,0,0,24,26.6,0,0,24,26.8,0,0
20,26.2,0,0,20,26,0,0,24,26.8,0,0,24,26.2,0,0,22,25.7,0,0,22,25.9,0,0,23,26.7,0,0,24,26.7,0,0,24,26.8,0,0
20,26.3,0,0,20,26.1,0,0,24,26.9,0,0,24,26.2,0,0,22,25.8,0,0,22,25.9,0,0,23,26.8,0,0,24,26.8,0,0,24,26.8,0,0
20,26.4,0,0,20,26.2,0,0,24,26.9,0,0,24,26.2,0,0,22,25.9,0,0,22,26,0,0,23,26.9,0,0,24,26.9,0,0,24,26.9,0,0
20,26.5,0,0,20,26.2,0,0,24,27,0,0,24,26.2,0,0,22,26,0,0,22,26,0,0,23,26.9,0,0,24,26.9,0,0,24,26.9,0,0
20,26.5,0,0,20,26.2,0,0,24,27,0,0,24,26.3,0,0,22,26,0,0,22,26.1,0,0,23,26.9,0,0,24,27,0,0,24,26.9,0,0
