リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
20,28.2,0,0,20,28.5,0,0,20,27.2,0,0,20,28.1,0,0,20,26.5,0,0,20,28,0,0,20,26.5,0,0,20,27,0,0
20,28.2,0,0,20,28.5,0,0,20,27.2,0,0,20,28.1,0,0,20,26.6,0,0,20,28,0,0,20,26.6,0,0,20,27.1,0,0
20,28.3,0,0,20,28.5,0,0,20,27.4,0,0,20,28.1,0,0,20,26.7,0,0,20,28,0,0,20,26.7,0,0,20,27.2,0,0
20,28.4,0,0,20,28.6,0,0,20,27.4,0,0,20,28.1,0,0,20,26.8,0,0,20,28.1,0,0,20,26.8,0,0,20,27.2,0,0
20,28.5,0,0,20,28.6,0,0,20,27.5,0,0,20,28.1,0,0,20,26.9,0,0,20,28.1,0,0,20,26.9,0,0,20,27.3,0,0
20,28.6,0,0,20,28.7,0,0,20,27.7,0,0,20,28.1,0,0,20,27,0,0,20,28.1,0,0,20,27,0,0,20,27.4,0,0
20,28.7,0,0,20,28.7,0,0,20,27.8,0,0,20,28.2,0,0,20,27.1,0,0,20,28.2,0,0,20,27.1,0,0,20,27.5,0,0
20,26.7,30,30,20,27.5,30,30,20,26,30,30,20,26.8,30,30,20,25.3,30,30,20,27.2,30,30,20,25.7,30,30,20,25.6,30,30
20,24,60,60,20,26,60,60,20,24,60,60,20,25.3,60,60,20,23.4,60,60,20,25.7,60,60,20,23.7,60,60,20,22.9,60,60
20,23.6,60,60,20,25.5,60,60,20,23.8,60,60,20,25,60,60,20,23.1,60,60,20,25.1,60,60,20,23.2,60,60,20,22.5,60,60
20,24.1,60,60,20,25.9,60,60,20,24.5,60,60,20,25.3,60,60,20,23.5,60,60,20,25.2,60,60,20,23.4,60,60,20,23.3,60,60
20,25,60,60,20,26.1,60,60,20,25.2,60,60,20,25.4,60,60,20,23.9,60,60,20,25.1,60,60,20,23.9,60,60,20,23.8,60,60
20,25.7,60,60,20,26.4,60,60,20,25.6,60,60,20,25.8,60,60,20,24.1,60,60,20,25.3,60,60,20,24,60,60,20,24,60,60
20,25.5,60,60,20,26.6,60,60,20,25.6,60,60,20,25.9,60,60,20,24.3,60,60,20,25.4,60,60,20,24.1,60,60,20,24.2,60,60
20,25.7,60,60,20,26.8,60,60,20,25.9,60,60,20,26.1,60,60,20,24.6,60,60,20,25.6,60,60,20,24.3,60,60,20,24.4,60,60
20,26.2,60,60,20,27,60,60,20,26,60,60,20,26.3,60,60,20,24.8,60,60,20,25.8,60,60,20,24.3,60,60,20,24.5,60,60
20,25.8,60,60,20,27.1,60,60,20,25.9,60,60,20,26.5,60,60,20,24.8,60,60,20,26.4,60,60,20,24.3,60,60,20,24.4,60,60
20,25.5,60,60,20,26.9,60,60,20,25.7,60,60,20,26.2,60,60,20,24.5,60,60,20,25.7,60,60,20,24.2,60,60,20,24.5,60,60
20,25.3,0,0,20,26.7,0,0,20,25.3,0,0,20,25.7,0,0,20,24,0,0,20,25,0,0,20,23.9,0,0,20,24.2,0,0
20,27.2,0,0,20,27.5,0,0,20,26.1,0,0,20,27,0,0,20,25.5,0,0,20,26.9,0,0,20,25.4,0,0,20,26.6,0,0
20,27.8,0,0,20,28.1,0,0,20,26.6,0,0,20,27.5,0,0,20,26,0,0,20,27.4,0,0,20,26,0,0,20,26.9,0,0
20,27.9,0,0,20,28.2,0,0,20,26.7,0,0,20,27.6,0,0,20,26.2,0,0,20,27.6,0,0,20,26.2,0,0,20,26.9,0,0
20,28,0,0,20,28.2,0,0,20,26.8,0,0,20,27.7,0,0,20,26.2,0,0,20,27.7,0,0,20,26.3,0,0,20,26.9,0,0
20,28.1,0,0,20,28.2,0,0,20,27,0,0,20,27.8,0,0,20,26.4,0,0,20,27.7,0,0,20,26.4,0,0,20,27,0,0
20,28.1,0,0,20,28.3,0,0,20,27.1,0,0,20,27.8,0,0,20,26.4,0,0,20,27.8,0,0,20,26.5,0,0,20,27,0,0
20,28.2,0,0,20,28.4,0,0,20,27.2,0,0,20,27.8,0,0,20,26.4,0,0,20,27.8,0,0,20,26.6,0,0,20,27.1,0,0
20,28.2,0,0,20,28.4,0,0,20,27.2,0,0,20,27.9,0,0,20,26.5,0,0,20,27.8,0,0,20,26.7,0,0,20,27.2,0,0
20,28.4,0,0,20,28.4,0,0,20,27.2,0,0,20,27.9,0,0,20,26.6,0,0,20,27.9,0,0,20,26.8,0,0,20,27.2,0,0
20,28.5,0,0,20,28.5,0,0,20,27.4,0,0,20,27.9,0,0,20,26.8,0,0,20,28,0,0,20,26.9,0,0,20,27.2,0,0
20,28.6,0,0,20,28.5,0,0,20,27.5,0,0,20,28,0,0,20,26.9,0,0,20,28.1,0,0,20,27,0,0,20,27.4,0,0
20,28.7,0,0,20,28.6,0,0,20,27.8,0,0,20,28.1,0,0,20,27.1,0,0,20,28.2,0,0,20,27.2,0,0,20,27.5,0,0
20,28.8,0,0,20,28.7,0,0,20,27.9,0,0,20,28.1,0,0,20,27.2,0,0,20,28.3,0,0,20,27.2,0,0,20,27.7,0,0
