リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,27.1,0,0,26,27.3,0,0,26,28,0,0,26,27.6,0,0,26,27.1,0,0,26,27.4,0,0
26,27.2,0,0,26,27.6,0,0,26,28.1,0,0,26,27.7,0,0,26,27.2,0,0,26,27.7,0,0
26,27.2,0,0,26,27.7,0,0,26,28.2,0,0,26,27.6,0,0,26,27.3,0,0,26,27.7,0,0
26,27.3,0,0,26,27.7,0,0,26,28.1,0,0,26,27.7,0,0,26,27.2,0,0,26,27.7,0,0
26,27.2,0,0,26,27.8,0,0,26,28.2,0,0,26,27.6,0,0,26,27.3,0,0,26,27.7,0,0
26,27.3,0,0,26,27.8,0,0,26,28.3,0,0,26,27.7,0,0,26,27.3,0,0,26,27.8,0,0
26,27.4,0,0,26,27.8,0,0,26,28.3,0,0,26,27.8,0,0,26,27.3,0,0,26,27.8,0,0
26,26.3,36,26,26,26.6,36,36,26,27,36,36,26,26.7,36,36,26,26.3,36,36,26,26.5,36,35
26,25.5,60,7,26,25.9,60,27,26,26,60,34,26,25.8,60,29,26,25.5,60,11,26,25.7,60,8
26,26,60,14,26,26.1,60,22,26,26.1,60,30,26,26.1,60,34,26,26.2,60,0,26,26.3,60,22
26,26,60,19,26,25.8,60,28,26,26.1,60,27,26,26.1,60,28,26,26,60,10,26,25.9,60,15
26,26.1,60,15,26,26,60,26,26,26,60,34,26,26,60,31,26,26.3,60,0,26,26,60,28
26,26,60,29,26,26.1,60,29,26,26.2,60,39,26,26.2,60,45,26,26,60,10,26,26.1,60,31
26,26,60,21,26,26,60,18,26,26.2,60,30,26,26.1,60,37,26,26,60,18,26,26,60,21
26,25.9,60,20,26,25.9,60,30,26,26,60,33,26,26,60,33,26,26.1,60,9,26,25.9,60,29
26,26,60,13,26,26.1,60,20,26,25.9,60,52,26,26.2,60,40,26,26.2,60,0,26,26.1,60,20
26,26.1,60,9,26,26,60,20,26,26.1,60,30,26,26.1,60,24,26,26,60,9,26,25.7,60,21
26,26,60,8,26,26,60,26,26,26,60,46,26,26,60,39,26,26.1,60,0,26,25.9,60,23
26,26,0,0,26,26.2,0,0,26,25.8,0,0,26,25.5,0,0,26,26,0,0,26,25.4,0,0
26,27.6,0,0,26,26.1,0,0,26,25.4,0,0,26,24.6,0,0,26,27.3,0,0,26,26.2,0,0
26,27.3,0,0,26,26.7,0,0,26,26.3,0,0,26,25.2,0,0,26,27.2,0,0,26,27.1,0,0
26,27.5,0,0,26,26.7,0,0,26,25.2,0,0,26,24,0,0,26,27.5,0,0,26,27.5,0,0
26,27.4,0,0,26,27.2,0,0,26,26.4,0,0,26,25.3,0,0,26,27.4,0,0,26,27.5,0,0
26,27.6,0,0,26,27.7,0,0,26,27.4,0,0,26,26.4,0,0,26,27.5,0,0,26,27.7,0,0
26,27.6,0,0,26,27.7,0,0,26,27.7,0,0,26,27,0,0,26,27.5,0,0,26,27.7,0,0
26,27.5,0,0,26,27.7,0,0,26,27.9,0,0,26,27.2,0,0,26,27.5,0,0,26,27.8,0,0
26,27.5,0,0,26,27.8,0,0,26,28.1,0,0,26,27.2,0,0,26,27.5,0,0,26,27.8,0,0
26,27.5,0,0,26,27.9,0,0,26,28.1,0,0,26,27.5,0,0,26,27.5,0,0,26,27.8,0,0
26,27.5,0,0,26,27.9,0,0,26,28.1,0,0,26,27.6,0,0,26,27.5,0,0,26,27.9,0,0
26,27.6,0,0,26,28,0,0,26,28.1,0,0,26,27.7,0,0,26,27.6,0,0,26,27.9,0,0
26,27.6,0,0,26,28,0,0,26,28.2,0,0,26,27.7,0,0,26,27.6,0,0,26,27.9,0,0
26,27.6,0,0,26,28.1,0,0,26,28.3,0,0,26,27.8,0,0,26,27.6,0,0,26,28,0,0
26,28,0,0,26,27.7,0,0,26,28.3,0,0,26,26.5,0,0,26,27.7,0,0,26,28.2,0,0
26,28.1,0,0,26,27.3,0,0,26,25.9,0,0,26,24.4,0,0,26,27.5,0,0,26,28.4,0,0
26,28.1,0,0,26,27.3,0,0,26,26.3,0,0,26,25.5,0,0,26,27.5,0,0,26,28.5,0,0
26,28.1,0,0,26,27.4,0,0,26,26.7,0,0,26,26.5,0,0,26,27.5,0,0,26,28.6,0,0
26,28.3,0,0,26,27.7,0,0,26,27.5,0,0,26,27.6,0,0,26,27.6,0,0,26,28.8,0,0
26,28.2,0,0,26,27.7,0,0,26,27.8,0,0,26,28.1,0,0,26,27.6,0,0,26,28.7,0,0
26,28.1,0,0,26,27.7,0,0,26,27.9,0,0,26,28.1,0,0,26,27.5,0,0,26,28.5,0,0
26,28,0,0,26,27.6,0,0,26,27.8,0,0,26,27.9,0,0,26,27.4,0,0,26,28.2,0,0
26,27.7,0,0,26,27.5,0,0,26,27.8,0,0,26,27.6,0,0,26,27.2,0,0,26,28.1,0,0
26,27.5,0,0,26,27.3,0,0,26,27.7,0,0,26,27.4,0,0,26,27.1,0,0,26,27.9,0,0
26,27.4,0,0,26,27.6,0,0,26,28.1,0,0,26,27.7,0,0,26,27.2,0,0,26,27.8,0,0
26,27.9,0,0,26,27.7,0,0,26,28.3,0,0,26,28.1,0,0,26,27.8,0,0,26,28.2,0,0
26,27.1,30,30,26,27.2,30,30,26,24.9,0,0,26,25.3,0,0,26,26.2,0,0,26,26.5,0,0
26,26.2,40,40,26,26.5,40,40,26,23.9,0,0,26,24.4,0,0,26,24.9,0,0,26,24.8,0,0
26,26.7,0,0,26,27.1,0,0,26,26.9,0,0,26,26.4,0,0,26,26.2,0,0,26,26.5,0,0
26,27.1,0,0,26,27.5,0,0,26,28,0,0,26,27.3,0,0,26,27,0,0,26,27.3,0,0
26,27.7,0,0,26,28,0,0,26,28.4,0,0,26,28,0,0,26,27.4,0,0,26,27.6,0,0
26,27.9,0,0,26,28.1,0,0,26,28.7,0,0,26,28.2,0,0,26,27.5,0,0,26,28,0,0
26,28,0,0,26,28.2,0,0,26,28.8,0,0,26,28.3,0,0,26,27.6,0,0,26,28.1,0,0
26,28,0,0,26,28.2,0,0,26,28.9,0,0,26,28.4,0,0,26,27.7,0,0,26,28.1,0,0
26,28,0,0,26,28.2,0,0,26,28.9,0,0,26,28.4,0,0,26,27.7,0,0,26,28.1,0,0
26,28,0,0,26,28.3,0,0,26,28.9,0,0,26,28.4,0,0,26,27.8,0,0,26,28.1,0,0
26,28,0,0,26,28.3,0,0,26,29,0,0,26,28.5,0,0,26,27.8,0,0,26,28.2,0,0
26,28.1,0,0,26,28.3,0,0,26,29,0,0,26,28.5,0,0,26,27.9,0,0,26,28.2,0,0
26,28.1,0,0,26,28.4,0,0,26,29,0,0,26,28.5,0,0,26,27.9,0,0,26,28.2,0,0
26,27.2,56,56,26,26.9,56,56,26,27.8,10,10,26,27.3,10,10,26,26.8,10,10,26,27.3,10,10
26,26.3,60,47,26,26.3,60,51,26,27.1,1,1,26,26.5,1,1,26,25.6,32,10,26,25.8,32,31
26,25.9,60,60,26,26,60,60,26,21.6,0,0,26,26.6,0,0,26,26.1,60,10,26,25.9,60,54
26,25.8,60,60,26,25.9,60,60,26,23.7,0,0,26,26.7,0,0,26,26.1,60,9,26,26,60,28
26,25.7,60,60,26,25.8,60,60,26,24.8,0,0,26,26,0,0,26,26.1,53,0,26,25.9,53,24
26,26.2,60,60,26,25.7,60,60,26,20,0,0,26,19.8,0,0,26,19.5,0,0,26,13.2,0,0
26,26.4,60,60,26,25.7,60,60,26,25.8,0,0,26,26.2,0,0,26,25.3,0,0,26,21,0,0
26,26.3,60,60,26,25.7,60,60,26,21.4,0,0,26,20.7,0,0,26,20,0,0,26,19.2,0,0
26,26.3,60,60,26,25.7,60,60,26,26.9,0,0,26,26.7,0,0,26,25.6,0,0,26,21.3,0,0
26,26.2,0,0,26,25.7,0,0,26,18.6,0,0,26,18,0,0,26,17.5,0,0,26,15.2,0,0
26,26.9,0,0,26,27.3,0,0,26,27.2,0,0,26,26.9,0,0,26,26.1,0,0,26,25.8,0,0
26,27.8,0,0,26,28.1,0,0,26,28.7,0,0,26,28.4,0,0,26,27.4,0,0,26,27.7,0,0
26,28.1,0,0,26,28.2,0,0,26,29.1,0,0,26,28.6,0,0,26,27.7,0,0,26,28.1,0,0
