リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,31.3,0,0,26,32,0,0,26,29.7,0,0
26,31.6,0,0,26,32.2,0,0,26,30.4,0,0
26,31.8,0,0,26,32.3,0,0,26,30.6,0,0
26,31.8,0,0,26,32.4,0,0,26,30.8,0,0
26,31.9,0,0,26,32.4,0,0,26,30.9,0,0
26,32,0,0,26,32.6,0,0,26,31.1,0,0
26,32.2,0,0,26,32.7,0,0,26,31.3,0,0
26,32.8,1,1,26,33.4,1,1,26,31.9,1,1
26,27.3,60,46,26,27.9,60,60,26,27.7,60,60
26,26,60,28,26,26.8,60,60,26,26.1,60,60
26,26,60,30,26,26.8,60,60,26,25.6,60,60
26,26,60,34,26,26.6,60,60,26,25.3,60,60
26,25.9,60,30,26,26.5,60,60,26,25.8,60,60
26,25.9,60,31,26,26.5,60,60,26,26.1,60,60
26,26,60,37,26,26.6,60,60,26,26,60,60
26,25.8,60,54,26,26.7,60,60,26,26.7,60,60
26,26,60,28,26,26.5,60,60,26,26.6,60,60
26,25.9,60,29,26,26.5,60,60,26,25.9,60,60
26,26.8,53,53,26,26.3,53,21,26,20.7,0,0
26,26.6,60,60,26,26,60,16,26,20.7,0,0
26,26.5,0,0,26,25.3,0,0,26,20.7,0,0
26,30,0,0,26,30.7,0,0,26,27.5,0,0
26,31.2,0,0,26,32,0,0,26,29.5,0,0
26,31.7,0,0,26,32.2,0,0,26,30.2,0,0
26,31.9,0,0,26,32.4,0,0,26,30.6,0,0
26,31.9,0,0,26,32.6,0,0,26,30.8,0,0
26,32,0,0,26,32.6,0,0,26,30.9,0,0
26,32,0,0,26,32.7,0,0,26,31,0,0
26,32.1,0,0,26,32.8,0,0,26,31.1,0,0
26,32.2,0,0,26,32.8,0,0,26,31.2,0,0
26,32.3,0,0,26,32.8,0,0,26,31.4,0,0
26,32.4,0,0,26,33,0,0,26,31.7,0,0
26,32.6,0,0,26,33.1,0,0,26,31.8,0,0
26,32.6,0,0,26,33.1,0,0,26,31.9,0,0
26,32.6,0,0,26,32.7,0,0,26,31.9,0,0
26,32.6,0,0,26,32.7,0,0,26,31.9,0,0
26,30.7,0,0,26,31.6,0,0,26,29.5,0,0
26,29.4,0,0,26,31.5,0,0,26,28.9,0,0
26,27.8,0,0,26,31.8,0,0,26,28.4,0,0
26,27.2,0,0,26,31.9,0,0,26,29.1,0,0
26,27.4,0,0,26,32,0,0,26,29.9,0,0
26,28.1,0,0,26,32.4,0,0,26,30.9,0,0
26,29.5,0,0,26,32.5,0,0,26,31,0,0
26,31.4,0,0,26,33,0,0,26,31.4,0,0
26,31,0,0,26,32.8,0,0,26,31.2,0,0
26,32.3,0,0,26,33.4,0,0,26,31.6,0,0
26,32.4,0,0,26,33.4,0,0,26,31.5,0,0
26,32.8,0,0,26,33.5,0,0,26,31.7,0,0
26,32.8,0,0,26,33.7,0,0,26,31.9,0,0
26,32.8,0,0,26,33.8,0,0,26,32,0,0
26,32.9,0,0,26,33.8,0,0,26,32,0,0
26,32.9,0,0,26,33.8,0,0,26,32.1,0,0
26,32.9,0,0,26,33.9,0,0,26,32.2,0,0
26,33,0,0,26,33.8,0,0,26,32.3,0,0
26,31,20,20,26,31.6,20,20,26,30.6,20,20
26,28.3,60,60,26,29.2,60,60,26,27.4,60,60
26,26.6,60,49,26,27.6,60,60,26,26.2,60,60
26,25.9,60,25,26,26.1,60,60,26,26,60,59
26,25.8,60,37,26,25.9,60,46,26,26.3,60,24
26,25.8,60,27,26,26.3,60,60,26,26,60,60
26,26,60,29,26,26.5,60,60,26,25.6,60,60
26,26,60,34,26,26.4,60,60,26,25.5,60,60
26,25.9,60,26,26,26.2,60,60,26,25.1,60,60
26,25.8,60,29,26,26.2,60,54,26,25.2,60,60
26,26,60,32,26,26.4,60,60,26,25,60,60
26,25.8,60,24,26,26.3,60,60,26,24.9,60,60
26,26.7,56,56,26,26.8,56,56,26,21.2,0,0
25,26.6,60,60,25,26.2,60,60,26,21.3,0,0
25,26.4,0,0,25,25.2,0,0,26,17.2,0,0
25,29.5,0,0,25,30,0,0,26,27.3,0,0
25,30.6,0,0,25,31.1,0,0,26,29.4,0,0
25,31,0,0,25,31.3,0,0,26,30.1,0,0
25,31.2,0,0,25,31.4,0,0,26,30.5,0,0
25,31.2,0,0,25,31.5,0,0,26,30.8,0,0
25,31.2,0,0,25,31.6,0,0,26,31,0,0
25,31.3,0,0,25,31.6,0,0,26,31.1,0,0
25,31.3,0,0,25,31.6,0,0,26,31.1,0,0
25,31.3,0,0,25,31.7,0,0,26,31.2,0,0
25,29.5,14,14,25,29.7,14,14,26,29.9,14,14
25,25.5,60,52,25,26.1,60,60,26,26.8,60,60
