リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,27.3,0,0,26,28.3,0,0
26,27.5,0,0,26,28.2,0,0
26,27.7,0,0,26,28.1,0,0
26,28,0,0,26,28,0,0
26,27.9,0,0,26,28.1,0,0
26,28.1,0,0,26,28.1,0,0
26,28.1,0,0,26,28.1,0,0
26,26.8,35,35,26,26.5,35,21
26,26,60,22,26,26,60,21
26,26.1,60,27,26,26.1,60,35
26,26,60,17,26,26.2,60,32
26,26,60,30,26,26,60,25
26,26.1,60,26,26,26.1,60,35
26,26,60,19,26,26.2,60,40
26,26,60,30,26,26.1,60,33
25,25.7,60,30,25,25.6,60,47
26,26.1,60,31,26,26.1,60,37
26,26.2,60,11,26,26.1,60,35
26,26.4,36,36,26,26.9,36,36
26,25.8,60,60,26,26.2,60,60
26,26.5,20,20,26,27,20,20
26,26,54,54,26,26.4,54,54
26,26.1,0,0,26,26.2,0,0
26,27.4,0,0,26,27.2,0,0
26,28.1,0,0,26,27.6,0,0
26,28.2,0,0,26,27.8,0,0
26,28.3,0,0,26,27.9,0,0
26,28.3,0,0,26,28,0,0
26,28.1,0,0,26,28.1,0,0
26,27.9,0,0,26,28.1,0,0
26,27.9,0,0,26,27.9,0,0
26,28.1,0,0,26,27.7,0,0
26,27.8,8,8,26,27.6,8,8
26,26.8,60,60,26,27.1,60,60
26,26.2,60,60,26,26.6,60,60
26,26.2,60,60,26,26.5,60,60
26,26.1,60,60,26,26.5,60,60
26,26.1,60,60,26,26.5,60,60
26,26.1,60,60,26,26.5,60,60
26,25.9,60,60,26,26.3,60,60
26,25.8,60,60,26,26.2,60,60
26,25.7,60,60,26,26,60,60
26,26.7,17,17,26,27.2,17,17
26,26.4,60,60,26,26.9,60,60
26,26.3,0,0,26,26.5,0,0
26,26.2,0,0,26,26.8,0,0
26,26.9,0,0,26,27,0,0
26,27.6,0,0,26,27.4,0,0
26,27.8,0,0,26,27.4,0,0
26,27.8,0,0,26,27.4,0,0
26,27.7,0,0,26,27.5,0,0
26,27.8,0,0,26,27.6,0,0
26,28,0,0,26,27.7,0,0
26,28,0,0,26,27.6,0,0
26,28,0,0,26,27.7,0,0
26,28.1,0,0,26,27.7,0,0
26,28.1,3,3,26,27.7,3,3
26,26.4,60,41,26,26.3,60,33
26,26,60,47,26,25.9,60,30
26,26,60,36,26,26.2,60,6
26,26.1,60,36,26,26.2,60,12
26,26.2,60,30,26,26.2,60,9
26,26.1,60,28,26,26.2,60,0
26,26,60,24,26,26.3,60,0
26,26.2,60,17,26,26.2,60,0
26,26.2,60,29,26,26.2,60,0
26,26.9,0,0,26,27.3,0,0
26,28.9,0,0,26,28.8,0,0
26,29.5,0,0,26,29.2,0,0
26,29.5,0,0,26,29.2,0,0
26,29.3,0,0,26,29.2,0,0
26,29.1,0,0,26,29,0,0
26,29,0,0,26,29,0,0
26,28.9,0,0,26,29,0,0
26,29,0,0,26,29,0,0
26,29,0,0,26,29,0,0
26,29.1,0,0,26,29,0,0
26,29.2,0,0,26,29.1,0,0
26,29.3,0,0,26,29.1,0,0
26,27.7,34,34,26,27.8,34,34
26,25.9,60,60,26,25.8,60,16
26,25.7,60,60,26,26.3,60,2
26,25.9,60,36,26,26,60,34
26,25.9,60,34,26,26,60,27
26,25.9,60,34,26,26,60,19
26,25.7,60,35,26,25.8,60,14
26,26.1,60,22,26,26,60,36
26,26,60,31,26,25.9,60,23
26,26,60,17,26,26,60,23
26,26.1,60,19,26,25.9,60,38
26,26.7,0,0,26,26.3,0,0
26,26.4,0,0,26,25.6,0,0
26,28,0,0,26,25.3,0,0
26,28.6,0,0,26,27.4,0,0
26,28.8,0,0,26,28,0,0
26,28.9,0,0,26,28.4,0,0
26,28.9,0,0,26,28.5,0,0
26,28.8,0,0,26,28.4,0,0
26,28.7,0,0,26,28.4,0,0
26,28.7,0,0,26,28.4,0,0
26,28.7,0,0,26,28.4,0,0
26,28.8,0,0,26,28.3,0,0
26,28.9,0,0,26,28.6,0,0
27,27,38,16,27,26.8,38,14
27,27,60,0,27,26.7,60,0
26,27.2,60,22,26,26.9,60,35
26,26.4,60,60,26,26.2,60,60
26,26.1,60,60,26,25.7,60,41
26,26.1,60,60,26,26,60,50
26,25.9,60,49,26,26,60,35
26,26.1,60,43,26,26,60,36
26,25.8,60,60,26,25.9,60,35
26,25.7,60,45,26,26.1,60,19
26,26.3,60,19,26,26,60,32
26,26,54,51,26,26.2,54,28
26,25.6,60,56,26,26,60,45
26,26.2,45,39,26,26.6,45,43
26,26,60,60,26,26.3,60,60
26,25.9,0,0,26,26.2,0,0
26,26.9,0,0,26,26.9,0,0
26,27.4,0,0,26,27.1,0,0
26,27.3,0,0,26,27.2,0,0
26,27.3,0,0,26,27.2,0,0
26,27.2,0,0,26,27.2,0,0
26,27.3,0,0,26,27.2,0,0
26,27.2,0,0,26,27.2,0,0
26,27.5,0,0,26,27.3,0,0
26,27.6,0,0,26,27.4,0,0
26,25.9,9,5,26,26.4,9,7
26,26.1,60,60,26,26.1,60,34
26,25.7,60,52,26,25.8,60,34
26,26.2,60,38,26,26.1,60,53
26,25.8,60,59,26,25.8,60,59
26,26.1,60,27,26,25.9,60,30
26,25.8,60,20,26,26.1,60,29
25,26.2,60,35,26,26,60,43
25,25.1,60,50,26,25.1,60,17
25,25.4,60,27,26,25.5,60,32
26,26,56,56,26,26.5,56,56
26,26,60,60,26,26.2,60,60
26,26.2,50,36,26,26.5,50,48
