リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
21,27.7,0,0,25,27.2,0,0,25,26.6,0,0,25,27.5,0,0,24,27,0,0,25,28.6,0,0
21,27.6,0,0,25,27.2,0,0,25,26.8,0,0,25,28,0,0,24,27.2,0,0,25,28.8,0,0
21,27.7,0,0,25,27.2,0,0,25,27,0,0,25,28.1,0,0,24,27.9,0,0,25,28.8,0,0
21,27.7,0,0,25,27.3,0,0,25,27.2,0,0,25,28.3,0,0,24,27.8,0,0,25,29,0,0
21,28,0,0,25,27.3,0,0,25,27.3,0,0,25,28.2,0,0,24,27.5,0,0,25,29,0,0
21,28,0,0,25,27.5,0,0,25,27.6,0,0,25,28.1,0,0,24,27.7,0,0,25,29.2,0,0
21,28.1,0,0,23,23.1,46,33,25,27.3,0,0,25,28.3,0,0,24,27.5,0,0,25,29,0,0
21,27.7,28,28,23,22,60,24,25,27.1,0,0,25,28.1,0,0,24,27.5,0,0,25,28.7,0,0
21,25,60,60,23,22.2,60,15,25,26.3,60,60,25,27.6,0,0,24,20.8,0,0,25,26.3,60,60
21,24.2,60,60,23,22.4,60,18,25,25.9,60,60,25,25.7,60,60,24,24.3,60,59,25,26.1,60,60
21,24,60,60,23,22,18,4,25,26.1,60,60,25,25.5,60,60,24,24.4,60,60,25,26.4,60,60
21,23.9,60,60,23,26.4,0,0,25,26.5,60,60,25,25.5,60,60,24,24.4,60,60,25,26.7,60,60
21,24.2,60,60,23,26.7,0,0,25,27,60,60,25,26,60,60,24,24.6,60,60,25,26.6,60,60
21,24.2,60,60,23,27.1,0,0,25,25.6,60,60,25,25.9,60,60,24,24.7,60,60,25,26.9,60,60
21,24.2,60,60,23,27.5,0,0,25,25.3,60,60,25,25.6,60,60,24,24.5,60,60,25,26.6,60,60
21,23.9,60,60,23,27.8,0,0,25,24.7,0,0,25,26.6,0,0,24,24.3,60,60,25,28.4,0,0
21,23.6,56,56,23,26.7,0,0,25,23.1,0,0,25,28,0,0,24,24.1,60,60,25,28.8,0,0
21,23.8,0,0,23,26.7,0,0,25,25.3,0,0,25,28.2,0,0,24,24.2,0,0,25,28.9,0,0
21,26.4,0,0,23,27,0,0,25,25.7,0,0,25,28,0,0,24,22.9,0,0,25,28.4,0,0
21,26.8,0,0,23,27.2,0,0,25,25.9,0,0,25,28.1,0,0,24,26.2,0,0,25,28.2,0,0
21,26.8,0,0,23,27.4,0,0,25,25.9,0,0,25,27.8,0,0,24,26.6,0,0,25,28,0,0
21,27.1,0,0,23,27.8,0,0,25,26.4,0,0,25,27.5,0,0,24,26.6,0,0,25,28.1,0,0
21,27,0,0,23,27.8,0,0,25,26.4,0,0,25,27.6,0,0,24,26.6,0,0,25,28.1,0,0
21,27.1,0,0,23,28,0,0,25,26.6,0,0,25,27.8,0,0,24,26.6,0,0,25,28.2,0,0
21,27.2,0,0,23,28.1,0,0,25,26.7,0,0,25,27.3,0,0,24,26.7,0,0,25,28.1,0,0
21,27.3,0,0,23,28.1,0,0,25,27,0,0,25,27.5,0,0,24,27,0,0,25,28.6,0,0
21,27.3,0,0,23,28.2,0,0,25,27.2,0,0,25,27.4,0,0,24,26.9,0,0,25,28.5,0,0
