リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
25,27.6,0,0,25,28.1,0,0,25,28.3,0,0
25,27.5,0,0,25,28.1,0,0,25,28.7,0,0
25,27.3,0,0,25,28.1,0,0,25,28.8,0,0
25,27.3,0,0,25,28.1,0,0,25,28.8,0,0
25,27.2,0,0,25,28,0,0,25,28.8,0,0
25,27.2,0,0,25,28,0,0,25,29,0,0
25,27.2,0,0,25,28.1,0,0,25,29.1,0,0
25,26.8,0,0,25,28.5,0,0,25,29.4,0,0
25,26.2,0,0,25,23.6,0,0,25,25.7,60,60
25,24.5,60,60,25,23.7,60,60,25,25.4,60,60
25,24,60,60,25,23.3,60,60,25,25.2,60,60
25,24.2,60,60,25,23.9,60,60,25,25.6,60,60
25,24.6,60,60,25,24,60,60,25,25.7,60,60
25,24,60,60,25,23.5,60,60,25,25.2,60,60
25,23.7,60,60,25,23.5,60,60,25,25.3,60,60
25,22.6,0,0,25,23.3,60,60,25,29.8,0,0
25,19.6,0,0,25,23.2,60,60,25,20,0,0
25,18.9,0,0,25,23.6,0,0,25,19.5,0,0
25,22.2,0,0,25,23,0,0,25,26.2,0,0
25,26,0,0,25,25.6,0,0,25,27.3,0,0
25,26.1,0,0,25,26,0,0,25,27.3,0,0
25,26.3,0,0,25,26.6,0,0,25,27.2,0,0
25,26.9,0,0,25,27.3,0,0,25,27.7,0,0
25,27.2,0,0,25,27.3,0,0,25,28.1,0,0
25,27.3,0,0,25,27.9,0,0,25,28.2,0,0
25,27.5,0,0,25,28.1,0,0,25,28.3,0,0
25,27.6,0,0,25,28,0,0,25,28.4,0,0
25,27.5,0,0,25,27.9,0,0,25,28.7,0,0
25,27.2,0,0,25,27.8,0,0,25,28.8,0,0
25,27.4,0,0,25,28,0,0,25,29,0,0
25,27.7,0,0,25,28.2,0,0,25,29.4,0,0
25,28,0,0,25,28.7,0,0,25,29.8,0,0
25,27.8,0,0,25,28.6,0,0,25,30.1,0,0
25,27.4,0,0,25,24.2,60,60,25,29.7,0,0
25,27.2,0,0,25,23.2,60,60,25,30,0,0
25,26.9,0,0,25,23,60,60,25,29.7,0,0
25,27.1,0,0,25,22.8,60,60,25,29.8,0,0
25,27.2,0,0,25,22.9,60,60,25,29.4,0,0
25,27.2,0,0,25,22.8,60,60,25,29.5,0,0
25,26.2,0,0,25,22.8,60,60,25,28.8,0,0
25,26,0,0,25,22.5,60,60,25,28.5,0,0
25,26,0,0,25,25.4,0,0,25,28.2,0,0
25,26.1,0,0,25,26.2,0,0,25,28.2,0,0
25,26.6,0,0,25,26.7,0,0,25,28.7,0,0
25,26.6,0,0,25,26.7,0,0,25,28.8,0,0
25,26.9,0,0,25,27.2,0,0,25,28.9,0,0
25,27.2,0,0,25,27.5,0,0,25,28.8,0,0
25,27.3,0,0,25,27.7,0,0,25,29,0,0
25,27.5,0,0,25,28.1,0,0,25,29.2,0,0
25,27.7,0,0,25,28.1,0,0,25,29.4,0,0
25,27.7,0,0,25,28.1,0,0,25,29.5,0,0
25,27.7,0,0,25,28.1,0,0,25,29.6,0,0
25,27.6,0,0,25,28.1,0,0,25,29.7,0,0
25,27.6,0,0,25,28,0,0,25,29.7,0,0
25,27.8,0,0,25,28.1,0,0,25,29.9,0,0
25,28,0,0,25,28.5,0,0,25,29.5,0,0
25,28,0,0,25,26.6,0,0,25,29.5,0,0
25,26.4,11,11,25,26.4,11,11,25,27.9,11,11
25,27.1,0,0,25,27.4,0,0,25,28.8,0,0
25,27,0,0,25,27.4,0,0,25,28.8,0,0
25,26.6,0,0,25,27.8,0,0,25,28.3,0,0
25,27.1,0,0,25,28,0,0,25,28.2,0,0
