リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,26.8,0,0,26,27.1,0,0,26,27.2,0,0
26,27,0,0,26,27.2,0,0,26,27.2,0,0
26,27.1,0,0,26,27.4,0,0,26,27.2,0,0
26,27,0,0,26,27.4,0,0,26,27.2,0,0
26,27,0,0,26,27.5,0,0,26,27.1,0,0
26,27,0,0,26,27.7,0,0,26,27.2,0,0
26,27.1,0,0,26,27.9,0,0,26,27.2,0,0
26,27.1,0,0,26,27.9,0,0,26,27.2,0,0
26,26.1,60,53,26,29.4,60,57,26,25.4,60,11
26,26.4,60,60,26,30.2,60,60,26,25.1,60,11
26,26.7,60,60,26,31.1,60,60,26,25.6,60,11
26,27,60,60,26,31.9,60,60,26,25.3,60,6
26,27.3,60,60,26,32.8,60,60,26,26.4,60,6
26,27.1,60,60,26,32.9,60,60,26,25.4,60,7
26,26,60,60,26,32.5,60,60,26,25.3,60,10
26,26.6,60,60,26,32.2,60,60,26,25,60,10
26,26.7,60,60,26,31.6,60,60,26,24.5,60,14
26,26.3,0,0,26,31.1,0,0,26,27.2,60,15
26,17,0,0,26,28,0,0,26,26.7,0,0
26,22.4,0,0,26,28.8,0,0,26,28,0,0
26,25.3,0,0,26,27.7,0,0,26,27.8,0,0
26,26.4,0,0,26,27.2,0,0,26,27.3,0,0
26,26.6,0,0,26,27.2,0,0,26,27.1,0,0
26,26.7,0,0,26,26.8,0,0,26,27,0,0
26,26.9,0,0,26,26.6,0,0,26,27.2,0,0
26,27,0,0,26,26.9,0,0,26,27.1,0,0
26,27,0,0,26,27,0,0,26,27.1,0,0
26,27,0,0,26,27.1,0,0,26,27,0,0
26,27,0,0,26,27.2,0,0,26,27.1,0,0
26,27.2,0,0,26,27.2,0,0,26,27.2,0,0
26,27.3,0,0,26,27.3,0,0,26,27.3,0,0
26,27.2,0,0,26,27.3,0,0,26,27.2,0,0
26,26.5,0,0,26,28.2,0,0,26,27.6,0,0
26,26.6,0,0,26,28.8,0,0,26,27.7,0,0
26,26.5,0,0,26,28.7,0,0,26,27.3,0,0
26,26.6,0,0,26,28.6,0,0,26,27.2,0,0
26,26.5,0,0,26,28.2,0,0,26,27,0,0
26,26.5,0,0,26,27.8,0,0,26,26.7,0,0
26,26.5,0,0,26,28,0,0,26,26.8,0,0
26,26.4,0,0,26,28,0,0,26,26.5,0,0
26,26.6,0,0,26,28,0,0,26,26.5,0,0
26,26.5,0,0,26,28,0,0,26,26.5,0,0
26,26.4,0,0,26,28.1,0,0,26,26.5,0,0
26,26.5,0,0,26,27.9,0,0,26,26.6,0,0
26,26.5,0,0,26,27.7,0,0,26,26.4,0,0
26,26.5,0,0,26,27.8,0,0,26,26.4,0,0
26,26.7,0,0,26,27.8,0,0,26,26.5,0,0
26,26.6,0,0,26,28,0,0,26,26.6,0,0
26,26.7,0,0,26,28.1,0,0,26,26.7,0,0
26,26.8,0,0,26,28.1,0,0,26,26.8,0,0
26,26.8,0,0,26,28.2,0,0,26,27,0,0
26,26.8,0,0,26,28.3,0,0,26,27,0,0
26,27,0,0,26,28.2,0,0,26,27,0,0
26,27,0,0,26,28.4,0,0,26,27.1,0,0
26,27,0,0,26,28.5,0,0,26,27.2,0,0
26,27.1,0,0,26,28.6,0,0,26,27.2,0,0
26,27,0,0,26,29,0,0,26,26.8,0,0
26,27.1,0,0,26,29.4,0,0,26,26.7,0,0
26,26.8,0,0,26,29.5,0,0,26,28,0,0
