リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算
26,27.7,0,0,0
26,28,0,0,0
26,28.4,0,0,0
26,28.4,0,0,0
26,28.7,0,0,0
26,28.7,0,0,0
26,28.6,0,0,0
26,28.5,0,0,0
26,28.3,60,57,57
26,28.1,60,60,60
26,28.2,60,60,60
26,28.5,60,60,60
26,28.8,60,60,60
26,28.8,60,60,60
26,28.7,60,60,60
26,28.6,60,60,60
26,28.3,60,60,60
26,28,60,60,60
26,26,0,0,0
26,29.7,0,0,0
26,28.7,0,0,0
26,27.9,0,0,0
26,27.6,0,0,0
26,27.4,0,0,0
26,27.2,0,0,0
26,27.1,0,0,0
26,27.4,0,0,0
26,27.3,0,0,0
26,27.4,0,0,0
26,27.7,0,0,0
26,28.1,0,0,0
26,28.7,0,0,0
26,30,0,0,0
26,30,0,0,0
26,30,0,0,0
26,30.5,0,0,0
26,30.4,0,0,0
26,30.4,0,0,0
26,30.7,0,0,0
26,30.8,0,0,0
26,30.9,0,0,0
26,30.8,0,0,0
26,30,0,0,0
26,29.3,0,0,0
26,28.9,0,0,0
26,28.4,0,0,0
26,28.5,0,0,0
26,28.5,0,0,0
26,28.8,0,0,0
26,28.9,0,0,0
26,28.8,0,0,0
26,28.8,0,0,0
26,28.9,0,0,0
26,28.9,0,0,0
26,28.9,0,0,0
26,29.1,0,0,0
26,28.7,25,25,25
26,29.3,0,0,0
26,29,0,0,0
26,29.4,0,0,0
26,29,0,0,0
26,28.5,0,0,0
26,28.4,0,0,0
26,28.2,0,0,0
26,28.1,0,0,0
26,28.5,0,0,0
26,28.4,0,0,0
26,28.1,0,0,0
26,28.1,0,0,0
26,28.1,0,0,0
26,27.9,0,0,0
26,28,0,0,0
26,28.1,0,0,0
26,28.1,0,0,0
26,28.2,0,0,0
26,28.5,0,0,0
26,28.5,0,0,0
26,28.5,0,0,0
26,28.6,0,0,0
26,28.7,0,0,0
26,27.8,60,57,57
26,27,60,60,60
26,26.9,60,60,60
26,26.9,60,60,60
26,26.8,60,60,60
26,27,60,60,60
26,27,60,60,60
26,27.1,60,60,60
26,27,60,60,60
26,26.9,60,60,60
26,25.6,0,0,0
26,27.7,0,0,0
26,27.5,0,0,0
26,27.3,0,0,0
26,27.2,0,0,0
26,27,0,0,0
26,26.5,0,0,0
26,26.7,0,0,0
26,26.7,0,0,0
26,27.1,0,0,0
26,26.7,0,0,0
26,26.7,0,0,0
26,26.8,0,0,0
26,27,0,0,0
