リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,30.2,0,0,26,30.2,0,0
26,30.2,0,0,26,30.2,0,0
26,30.3,0,0,26,30.3,0,0
26,30.3,0,0,26,30.4,0,0
26,30.2,0,0,26,30.4,0,0
26,30.2,0,0,26,30.2,0,0
26,30.3,0,0,26,30.3,0,0
26,30.2,0,0,26,30.2,0,0
26,26.7,60,28,26,29.7,60,56
26,25.9,60,28,26,29.2,60,60
26,26.6,60,22,26,29.5,60,49
26,27.1,60,25,26,30.4,60,11
26,27.4,60,27,26,30.4,60,43
26,25.9,60,33,26,29.7,60,60
26,26.3,60,34,26,29.7,60,43
26,27,60,25,26,30.4,60,36
26,26.1,60,34,26,29.4,60,60
26,25.8,60,34,26,29.2,60,49
26,26.9,0,0,26,26.2,0,0
26,30.3,0,0,26,31,0,0
26,29.8,0,0,26,29.6,0,0
26,29.4,0,0,26,27.6,0,0
26,29.4,0,0,26,28.7,0,0
26,29.4,0,0,26,28.8,0,0
26,29.4,0,0,26,29.1,0,0
26,29.2,0,0,26,29.4,0,0
26,29.4,0,0,26,29.4,0,0
26,29.2,0,0,26,29.5,0,0
26,29.4,0,0,26,29.7,0,0
26,29.7,0,0,26,29.9,0,0
26,29.9,0,0,26,30,0,0
26,30.1,0,0,26,30.3,0,0
26,30.2,0,0,26,30.6,0,0
26,30.5,0,0,26,30.7,0,0
26,30.7,0,0,26,30.6,0,0
26,31,0,0,26,30.7,0,0
26,31,0,0,26,30.2,0,0
26,30.9,0,0,26,30,0,0
26,31,0,0,26,30.2,0,0
26,30.9,0,0,26,30.1,0,0
26,31,0,0,26,29.7,0,0
26,31.1,0,0,26,30,0,0
26,31,0,0,26,30.2,0,0
26,30.9,0,0,26,30,0,0
26,30.6,0,0,26,30,0,0
26,30.1,0,0,26,29.9,0,0
26,30.1,0,0,26,30.1,0,0
26,30.1,0,0,26,30.1,0,0
26,30.2,0,0,26,30.3,0,0
26,30.4,0,0,26,30.5,0,0
26,30.2,0,0,26,30.7,0,0
26,30.3,0,0,26,30.9,0,0
26,30.2,0,0,26,30.8,0,0
26,30.3,0,0,26,30.8,0,0
26,30.3,0,0,26,30.9,0,0
26,30.3,0,0,26,31,0,0
26,31,1,1,26,31.2,1,1
26,28.1,9,9,26,30.8,9,9
26,30.3,0,0,26,31,0,0
