ì˙éû,äOãCâ∑,ç~êÖó ,ì˙è∆éûä‘,ïóë¨,ì˙éÀó ,ëäëŒéºìx,ãCà≥,åé,ì˙,éûä‘,èjì˙,ójì˙_ìyójì˙,ójì˙_ì˙ójì˙,ójì˙_åéójì˙,ójì˙_ñÿójì˙,ójì˙_êÖójì˙,ójì˙_âŒójì˙,ójì˙_ã‡ójì˙
2016/4/1 0:00,6,0.5,0,3.5,0,93,8.7,4,1,0,1,0,0,0,0,0,0,1
2016/4/1 1:00,5.8,0,0,2.6,0,92,8.5,4,1,1,1,0,0,0,0,0,0,1
2016/4/1 2:00,5.7,0.5,0,2.8,0,92,8.4,4,1,2,1,0,0,0,0,0,0,1
2016/4/1 3:00,5.8,0.5,0,2.7,0,91,8.4,4,1,3,1,0,0,0,0,0,0,1
2016/4/1 4:00,5.9,0,0,2.4,0,89,8.3,4,1,4,1,0,0,0,0,0,0,1
2016/4/1 5:00,5.9,0,0,0.7,0,89,8.3,4,1,5,1,0,0,0,0,0,0,1
2016/4/1 6:00,6.3,0,0,0.9,0,86,8.2,4,1,6,1,0,0,0,0,0,0,1
2016/4/1 7:00,6.5,0,0,1.9,0.07,86,8.3,4,1,7,1,0,0,0,0,0,0,1
2016/4/1 8:00,7.2,0,0,2.3,0.29,85,8.6,4,1,8,1,0,0,0,0,0,0,1
2016/4/1 9:00,7.6,0,0,1.8,0.55,80,8.4,4,1,9,1,0,0,0,0,0,0,1
2016/4/1 10:00,8.6,0,0,0.6,0.65,72,8,4,1,10,1,0,0,0,0,0,0,1
2016/4/1 11:00,9.9,0,0,2.8,1.3,60,7.3,4,1,11,1,0,0,0,0,0,0,1
2016/4/1 12:00,10.6,0,0.3,1.4,1.85,53,6.8,4,1,12,1,0,0,0,0,0,0,1
2016/4/1 13:00,11.2,0,0.1,2.6,1.1,48,6.4,4,1,13,1,0,0,0,0,0,0,1
2016/4/1 14:00,11.3,0,0.1,3.6,1.31,48,6.4,4,1,14,1,0,0,0,0,0,0,1
2016/4/1 15:00,12.5,0,0.3,3.5,1.81,44,6.4,4,1,15,1,0,0,0,0,0,0,1
2016/4/1 16:00,11.5,0,0.4,3.2,1.27,45,6.1,4,1,16,1,0,0,0,0,0,0,1
2016/4/1 17:00,11.5,0,0.8,2.9,0.98,45,6.1,4,1,17,1,0,0,0,0,0,0,1
2016/4/1 18:00,11.2,0,0.9,3.7,0.35,46,6.1,4,1,18,1,0,0,0,0,0,0,1
2016/4/1 19:00,10,0,0,3.9,0.01,48,5.9,4,1,19,1,0,0,0,0,0,0,1
2016/4/1 20:00,8.9,0,0,5,0,53,6,4,1,20,1,0,0,0,0,0,0,1
2016/4/1 21:00,8.3,0,0,4.7,0,55,6,4,1,21,1,0,0,0,0,0,0,1
2016/4/1 22:00,7.7,0,0,2.6,0,59,6.2,4,1,22,1,0,0,0,0,0,0,1
2016/4/1 23:00,7.3,0,0,1.3,0,62,6.3,4,1,23,1,0,0,0,0,0,0,1
2016/4/2 0:00,6.8,0,0,1.6,0,66,6.5,4,2,0,0,1,0,0,0,0,0,0
2016/4/2 1:00,6.5,0,0,1.4,0,69,6.7,4,2,1,0,1,0,0,0,0,0,0
2016/4/2 2:00,6.6,0,0,0.3,0,69,6.7,4,2,2,0,1,0,0,0,0,0,0
2016/4/2 3:00,6,0,0,1.1,0,70,6.5,4,2,3,0,1,0,0,0,0,0,0
2016/4/2 4:00,6,0,0,1,0,69,6.5,4,2,4,0,1,0,0,0,0,0,0
2016/4/2 5:00,6.1,0,0,1.3,0,66,6.2,4,2,5,0,1,0,0,0,0,0,0
2016/4/2 6:00,5.2,0,0,1,0.01,72,6.4,4,2,6,0,1,0,0,0,0,0,0
2016/4/2 7:00,6.4,0,1,0.7,0.38,64,6.2,4,2,7,0,1,0,0,0,0,0,0
2016/4/2 8:00,7.3,0,1,2.9,1.13,59,6,4,2,8,0,1,0,0,0,0,0,0
2016/4/2 9:00,9,0,1,2,1.9,54,6.2,4,2,9,0,1,0,0,0,0,0,0
2016/4/2 10:00,10.5,0,1,2.4,2.56,44,5.6,4,2,10,0,1,0,0,0,0,0,0
2016/4/2 11:00,12.5,0,1,2.2,3.04,39,5.7,4,2,11,0,1,0,0,0,0,0,0
2016/4/2 12:00,13.3,0,1,3,3.29,35,5.3,4,2,12,0,1,0,0,0,0,0,0
2016/4/2 13:00,15.3,0,1,2.7,3.3,30,5.2,4,2,13,0,1,0,0,0,0,0,0
2016/4/2 14:00,15.8,0,1,2.8,3.04,32,5.7,4,2,14,0,1,0,0,0,0,0,0
2016/4/2 15:00,15.7,0,1,2.7,2.57,30,5.4,4,2,15,0,1,0,0,0,0,0,0
2016/4/2 16:00,15,0,1,3,1.92,37,6.3,4,2,16,0,1,0,0,0,0,0,0
2016/4/2 17:00,14.3,0,1,4.7,1.17,28,4.6,4,2,17,0,1,0,0,0,0,0,0
2016/4/2 18:00,13,0,1,5.1,0.41,29,4.3,4,2,18,0,1,0,0,0,0,0,0
2016/4/2 19:00,11.2,0,0.1,5.5,0.02,36,4.8,4,2,19,0,1,0,0,0,0,0,0
