,日平均設定温度,日最大設定温度,日最小設定温度
2021-06-01,24.32414351851852,25.266666666666666,22.666666666666668
2021-06-02,24.33726851851852,25.266666666666666,22.766666666666666
2021-06-03,24.431388888888893,25.4,22.9
2021-06-04,24.44006944444444,25.366666666666667,22.833333333333332
2021-06-05,24.459189814814817,25.4,22.766666666666666
2021-06-06,24.50045138888889,25.4,23.033333333333335
2021-06-07,24.615925925925925,25.5,22.966666666666665
2021-06-08,24.540092592592593,25.4,22.8
2021-06-09,24.60655092592593,25.4,23.033333333333335
2021-06-10,24.65449074074074,25.366666666666667,22.966666666666665
2021-06-11,24.61851851851851,25.366666666666667,23.066666666666666
2021-06-12,24.55506944444444,25.266666666666666,23.133333333333333
2021-06-13,24.603194444444444,25.533333333333335,23.1
2021-06-14,24.762106481481474,25.633333333333333,22.966666666666665
2021-06-15,24.729224537037034,25.7,23.066666666666666
2021-06-16,24.745243055555555,25.566666666666666,23.0
2021-06-17,24.7719212962963,25.566666666666666,23.2
2021-06-18,24.72697916666666,25.6,23.066666666666666
2021-06-19,24.737916666666667,25.533333333333335,23.233333333333334
2021-06-20,24.695034722222225,25.466666666666665,23.133333333333333
2021-06-21,24.64862268518518,25.4,23.1
2021-06-22,24.576284722222226,25.233333333333334,22.866666666666667
2021-06-23,24.589675925925924,25.433333333333334,23.166666666666668
2021-06-24,24.653171296296293,25.433333333333334,23.2
2021-06-25,24.600069444444443,25.266666666666666,23.1
2021-06-26,24.472997685185184,25.266666666666666,22.766666666666666
2021-06-27,24.449722222222224,25.2,22.866666666666667
2021-06-28,24.56989583333333,25.5,22.9
2021-06-29,24.631504629629628,25.733333333333334,22.866666666666667
2021-06-30,24.62388888888889,25.466666666666665,22.966666666666665
2021-07-01,24.642800925925922,25.466666666666665,23.0
2021-07-02,24.659953703703707,25.533333333333335,22.966666666666665
2021-07-03,24.633495370370373,25.6,23.033333333333335
2021-07-04,24.675555555555555,25.533333333333335,23.166666666666668
2021-07-05,24.60887731481482,25.5,23.0
2021-07-06,24.537812500000005,25.3,22.766666666666666
2021-07-07,24.492824074074072,25.4,22.733333333333334
2021-07-08,24.534583333333337,25.433333333333334,22.966666666666665
2021-07-09,24.60774305555556,25.4,23.1
2021-07-10,24.519826388888887,25.366666666666667,22.666666666666668
2021-07-11,24.52798611111111,25.266666666666666,22.933333333333334
2021-07-12,24.539675925925923,25.333333333333332,22.866666666666667
2021-07-13,24.550972222222217,25.433333333333334,22.833333333333332
2021-07-14,24.588842592592595,25.333333333333332,23.0
2021-07-15,24.634918981481476,25.4,22.9
2021-07-16,24.59167824074074,25.266666666666666,22.966666666666665
2021-07-17,24.47210648148148,25.333333333333332,22.7
2021-07-18,24.563125,25.433333333333334,23.0
2021-07-19,24.53362268518519,25.533333333333335,22.766666666666666
2021-07-20,24.408032407407404,25.3,22.566666666666666
2021-07-21,24.389652777777776,25.233333333333334,22.666666666666668
2021-07-22,24.463958333333334,25.3,23.066666666666666
2021-07-23,24.435590277777774,25.3,22.966666666666665
2021-07-24,24.518558776167474,25.533333333333335,22.933333333333334
2021-07-25,24.502534722222222,25.366666666666667,22.733333333333334
2021-07-26,24.500127314814815,25.466666666666665,22.566666666666666
2021-07-27,24.467418981481483,25.4,22.666666666666668
2021-07-28,24.50726851851852,25.3,23.0
2021-07-29,24.5027662037037,25.366666666666667,22.733333333333334
2021-07-30,24.410138888888888,25.233333333333334,22.433333333333334
2021-07-31,24.41370370370371,25.266666666666666,22.6
2021-08-01,24.40666666666667,25.333333333333332,22.7
2021-08-02,24.368483796296296,25.333333333333332,22.466666666666665
2021-08-03,24.368935185185187,25.366666666666667,22.366666666666667
2021-08-04,24.378032407407407,25.233333333333334,22.766666666666666
2021-08-05,24.465196759259257,25.3,22.9
