,日平均設定温度,日最大設定温度,日最小設定温度
2021-12-01,23.55986111111111,24.533333333333335,21.533333333333335
2021-12-02,23.557314814814813,24.7,21.766666666666666
2021-12-03,23.617106481481482,24.8,21.6
2021-12-04,23.635694444444443,24.666666666666668,21.666666666666668
2021-12-05,23.68063657407407,24.733333333333334,21.833333333333332
2021-12-06,23.648171296296297,25.266666666666666,21.566666666666666
2021-12-07,23.466828703703705,24.733333333333334,21.466666666666665
2021-12-08,23.32351851851852,24.533333333333335,21.233333333333334
2021-12-09,23.32825231481481,24.733333333333334,21.266666666666666
2021-12-10,23.323425925925925,24.866666666666667,21.0
2021-12-11,23.686921296296294,25.066666666666666,21.466666666666665
2021-12-12,23.843333333333337,25.066666666666666,21.9
2021-12-13,23.82146990740741,25.833333333333332,21.666666666666668
2021-12-14,23.945092592592587,25.533333333333335,21.466666666666665
2021-12-15,23.682916666666667,25.266666666666666,21.433333333333334
2021-12-16,23.58499999999999,25.433333333333334,21.333333333333332
2021-12-17,23.443622685185183,25.033333333333335,21.133333333333333
2021-12-18,23.48258101851852,24.966666666666665,21.266666666666666
2021-12-19,23.63256944444445,25.266666666666666,21.5
2021-12-20,23.4296875,25.233333333333334,20.966666666666665
2021-12-21,23.47365740740741,24.833333333333332,21.266666666666666
2021-12-22,23.334560185185182,24.666666666666668,20.933333333333334
2021-12-23,23.265949074074072,24.966666666666665,20.8
2021-12-24,23.458726851851846,25.166666666666668,20.9
2021-12-25,23.58914351851852,24.8,21.333333333333332
2021-12-26,23.764699074074073,24.966666666666665,21.666666666666668
2021-12-27,23.869861111111113,25.366666666666667,21.566666666666666
2021-12-28,24.023541666666667,25.4,21.333333333333332
2021-12-29,24.13222222222223,25.466666666666665,21.933333333333334
2021-12-30,24.136805555555558,25.366666666666667,22.133333333333333
2021-12-31,24.15555555555556,25.333333333333332,22.133333333333333
2022-01-01,24.15555555555556,25.333333333333332,22.133333333333333
2022-01-02,24.15555555555556,25.333333333333332,22.133333333333333
2022-01-03,24.15555555555556,25.333333333333332,22.133333333333333
