,日平均設定温度,日最大設定温度,日最小設定温度
2021-04-01,24.151875,25.466666666666665,21.9
2021-04-02,24.073888888888884,25.2,22.133333333333333
2021-04-03,24.03168981481481,25.266666666666666,22.066666666666666
2021-04-04,24.005,25.233333333333334,22.1
2021-04-05,24.097615740740743,25.566666666666666,22.1
2021-04-06,24.14204861111111,25.566666666666666,22.0
2021-04-07,23.988703703703706,25.466666666666665,21.966666666666665
2021-04-08,23.877662037037037,25.366666666666667,21.733333333333334
2021-04-09,23.820787037037032,25.166666666666668,21.866666666666667
2021-04-10,23.867291666666667,25.3,21.933333333333334
2021-04-11,23.87298611111111,25.266666666666666,21.866666666666667
2021-04-12,23.99618055555555,25.333333333333332,21.966666666666665
2021-04-13,24.080069444444444,25.366666666666667,22.133333333333333
2021-04-14,24.066435185185178,25.433333333333334,22.1
2021-04-15,24.086666666666666,25.4,22.1
2021-04-16,24.152060185185178,25.566666666666666,22.133333333333333
2021-04-17,24.262569444444445,25.566666666666666,22.333333333333332
2021-04-18,24.095416666666665,25.4,22.166666666666668
2021-04-19,24.12077546296296,25.466666666666665,22.066666666666666
2021-04-20,24.22381944444444,25.366666666666667,22.5
2021-04-21,24.175706018518515,25.4,22.433333333333334
2021-04-22,24.090775462962963,25.366666666666667,22.333333333333332
2021-04-23,24.16229166666666,25.233333333333334,22.6
2021-04-24,24.241041666666664,25.266666666666666,22.6
2021-04-25,24.237847222222218,25.266666666666666,22.766666666666666
2021-04-26,24.196817129629625,25.266666666666666,22.6
2021-04-27,24.178611111111106,25.166666666666668,22.7
2021-04-28,24.13201388888889,25.166666666666668,22.633333333333333
2021-04-29,24.082638888888887,25.1,22.6
2021-04-30,24.096516203703697,25.2,22.6
2021-05-01,24.118703703703705,25.1,22.6
2021-05-02,24.088749999999997,25.0,22.666666666666668
2021-05-03,24.069236111111106,25.1,22.6
2021-05-04,24.07388888888889,25.1,22.6
2021-05-05,24.102500000000003,25.133333333333333,22.6
2021-05-06,24.15446759259259,25.233333333333334,22.6
2021-05-07,24.113125,25.033333333333335,22.7
2021-05-08,24.087222222222223,24.933333333333334,22.7
2021-05-09,24.142013888888886,25.133333333333333,22.633333333333333
2021-05-10,24.227708333333332,25.2,22.566666666666666
2021-05-11,24.22861111111111,25.166666666666668,22.666666666666668
2021-05-12,24.243055555555554,25.266666666666666,22.733333333333334
2021-05-13,24.174375,25.166666666666668,22.6
2021-05-14,24.291909722222226,25.3,22.6
2021-05-15,24.388541666666665,25.266666666666666,22.666666666666668
2021-05-16,24.367430555555554,25.266666666666666,22.7
2021-05-17,24.37564814814815,25.333333333333332,22.7
2021-05-18,24.34019675925926,25.366666666666667,22.6
2021-05-19,24.365960648148146,25.233333333333334,22.866666666666667
2021-05-20,24.33347222222222,25.1,22.966666666666665
2021-05-21,24.349791666666665,25.166666666666668,22.733333333333334
2021-05-22,24.34675925925926,25.1,22.833333333333332
2021-05-23,24.342326388888885,25.233333333333334,22.933333333333334
2021-05-24,24.391805555555557,25.2,23.0
2021-05-25,24.383518518518525,25.266666666666666,22.766666666666666
2021-05-26,24.37332175925926,25.166666666666668,22.966666666666665
2021-05-27,24.40252314814815,25.166666666666668,23.0
2021-05-28,24.382222222222218,25.266666666666666,22.766666666666666
2021-05-29,24.3803125,25.366666666666667,22.9
2021-05-30,24.427812499999998,25.266666666666666,22.9
2021-05-31,24.39424768518519,25.333333333333332,23.0
2021-06-01,24.32414351851852,25.266666666666666,22.666666666666668
2021-06-02,24.33726851851852,25.266666666666666,22.766666666666666
2021-06-03,24.431388888888893,25.4,22.9
2021-06-04,24.44006944444444,25.366666666666667,22.833333333333332
2021-06-05,24.459189814814817,25.4,22.766666666666666
2021-06-06,24.50045138888889,25.4,23.033333333333335
2021-06-07,24.615925925925925,25.5,22.966666666666665
2021-06-08,24.540092592592593,25.4,22.8
2021-06-09,24.60655092592593,25.4,23.033333333333335
2021-06-10,24.65449074074074,25.366666666666667,22.966666666666665
2021-06-11,24.61851851851851,25.366666666666667,23.066666666666666
2021-06-12,24.55506944444444,25.266666666666666,23.133333333333333
2021-06-13,24.603194444444444,25.533333333333335,23.1
2021-06-14,24.762106481481474,25.633333333333333,22.966666666666665
2021-06-15,24.729224537037034,25.7,23.066666666666666
2021-06-16,24.745243055555555,25.566666666666666,23.0
2021-06-17,24.7719212962963,25.566666666666666,23.2
2021-06-18,24.72697916666666,25.6,23.066666666666666
2021-06-19,24.737916666666667,25.533333333333335,23.233333333333334
2021-06-20,24.695034722222225,25.466666666666665,23.133333333333333
2021-06-21,24.64862268518518,25.4,23.1
2021-06-22,24.576284722222226,25.233333333333334,22.866666666666667
2021-06-23,24.589675925925924,25.433333333333334,23.166666666666668
2021-06-24,24.653171296296293,25.433333333333334,23.2
2021-06-25,24.600069444444443,25.266666666666666,23.1
2021-06-26,24.472997685185184,25.266666666666666,22.766666666666666
2021-06-27,24.449722222222224,25.2,22.866666666666667
2021-06-28,24.56989583333333,25.5,22.9
2021-06-29,24.631504629629628,25.733333333333334,22.866666666666667
2021-06-30,24.62388888888889,25.466666666666665,22.966666666666665
2021-07-01,24.642800925925922,25.466666666666665,23.0
2021-07-02,24.659953703703707,25.533333333333335,22.966666666666665
2021-07-03,24.633495370370373,25.6,23.033333333333335
2021-07-04,24.675555555555555,25.533333333333335,23.166666666666668
2021-07-05,24.60887731481482,25.5,23.0
2021-07-06,24.537812500000005,25.3,22.766666666666666
2021-07-07,24.492824074074072,25.4,22.733333333333334
2021-07-08,24.534583333333337,25.433333333333334,22.966666666666665
2021-07-09,24.60774305555556,25.4,23.1
2021-07-10,24.519826388888887,25.366666666666667,22.666666666666668
2021-07-11,24.52798611111111,25.266666666666666,22.933333333333334
2021-07-12,24.539675925925923,25.333333333333332,22.866666666666667
2021-07-13,24.550972222222217,25.433333333333334,22.833333333333332
2021-07-14,24.588842592592595,25.333333333333332,23.0
2021-07-15,24.634918981481476,25.4,22.9
2021-07-16,24.59167824074074,25.266666666666666,22.966666666666665
2021-07-17,24.47210648148148,25.333333333333332,22.7
2021-07-18,24.563125,25.433333333333334,23.0
2021-07-19,24.53362268518519,25.533333333333335,22.766666666666666
2021-07-20,24.408032407407404,25.3,22.566666666666666
2021-07-21,24.389652777777776,25.233333333333334,22.666666666666668
2021-07-22,24.463958333333334,25.3,23.066666666666666
2021-07-23,24.435590277777774,25.3,22.966666666666665
2021-07-24,24.518558776167474,25.533333333333335,22.933333333333334
2021-07-25,24.502534722222222,25.366666666666667,22.733333333333334
2021-07-26,24.500127314814815,25.466666666666665,22.566666666666666
2021-07-27,24.467418981481483,25.4,22.666666666666668
2021-07-28,24.50726851851852,25.3,23.0
2021-07-29,24.5027662037037,25.366666666666667,22.733333333333334
2021-07-30,24.410138888888888,25.233333333333334,22.433333333333334
2021-07-31,24.41370370370371,25.266666666666666,22.6
2021-08-01,24.40666666666667,25.333333333333332,22.7
2021-08-02,24.368483796296296,25.333333333333332,22.466666666666665
2021-08-03,24.368935185185187,25.366666666666667,22.366666666666667
2021-08-04,24.378032407407407,25.233333333333334,22.766666666666666
2021-08-05,24.465196759259257,25.3,22.9
2021-08-06,24.482048611111114,25.233333333333334,22.966666666666665
2021-08-07,24.513680555555553,25.333333333333332,22.866666666666667
2021-08-08,24.617430555555554,25.5,22.933333333333334
2021-08-09,24.606944444444444,25.466666666666665,22.933333333333334
2021-08-10,24.53472222222222,25.366666666666667,22.766666666666666
2021-08-11,24.478449074074078,25.333333333333332,22.7
2021-08-12,24.542048611111113,25.366666666666667,22.566666666666666
2021-08-13,24.631574074074077,25.433333333333334,22.833333333333332
2021-08-14,24.776041666666668,25.4,23.2
2021-08-15,24.820138888888888,25.433333333333334,23.233333333333334
2021-08-16,24.75067129629629,25.533333333333335,23.2
2021-08-17,24.611319444444444,25.366666666666667,22.866666666666667
2021-08-18,24.50111111111111,25.333333333333332,22.766666666666666
2021-08-19,24.508784722222224,25.433333333333334,23.0
2021-08-20,24.457407407407405,25.3,22.866666666666667
2021-08-21,24.51145833333333,25.433333333333334,22.8
2021-08-22,24.557222222222222,25.433333333333334,23.266666666666666
2021-08-23,24.555428240740742,25.5,22.933333333333334
2021-08-24,24.60857638888889,25.433333333333334,22.966666666666665
2021-08-25,24.561157407407407,25.366666666666667,22.9
2021-08-26,24.568252314814814,25.3,23.0
2021-08-27,24.461018518518518,25.266666666666666,23.066666666666666
2021-08-28,24.387291666666666,25.166666666666668,22.866666666666667
2021-08-29,24.443194444444444,25.3,22.9
2021-08-30,24.458553240740738,25.3,22.866666666666667
2021-08-31,24.514837962962968,25.466666666666665,22.733333333333334
2021-09-01,24.677245370370375,25.466666666666665,23.0
2021-09-02,24.843993055555554,25.666666666666668,23.033333333333335
2021-09-03,24.845659722222226,25.633333333333333,23.1
2021-09-04,24.87197916666667,25.633333333333333,23.133333333333333
2021-09-05,24.960104166666667,25.666666666666668,23.433333333333334
2021-09-06,24.868055555555554,25.666666666666668,23.166666666666668
2021-09-07,24.81256944444444,25.566666666666666,23.133333333333333
2021-09-08,24.788194444444446,25.5,23.233333333333334
2021-09-09,24.774629629629626,25.466666666666665,23.2
2021-09-10,24.723368055555557,25.5,23.1
2021-09-11,24.700625,25.366666666666667,23.233333333333334
2021-09-12,24.778020833333326,25.433333333333334,23.266666666666666
2021-09-13,24.75564814814815,25.466666666666665,23.0
2021-09-14,24.749502314814816,25.6,22.8
2021-09-15,24.727476851851854,25.533333333333335,23.1
2021-09-16,24.712118055555553,25.466666666666665,23.133333333333333
2021-09-17,24.747071759259256,25.433333333333334,23.066666666666666
2021-09-18,24.71118055555556,25.433333333333334,23.1
2021-09-19,24.670277777777773,25.466666666666665,23.133333333333333
2021-09-20,24.675960648148145,25.533333333333335,23.066666666666666
2021-09-21,24.631504629629628,25.533333333333335,23.1
2021-09-22,24.634004629629626,25.433333333333334,23.066666666666666
2021-09-23,24.649687500000006,25.4,22.8
2021-09-24,24.66179398148148,25.433333333333334,22.9
2021-09-25,24.755243055555557,25.433333333333334,23.1
2021-09-26,24.79111111111111,25.533333333333335,23.266666666666666
2021-09-27,24.748703703703704,25.533333333333335,23.133333333333333
2021-09-28,24.677371632996635,25.433333333333334,23.133333333333333
2021-09-29,24.701087962962966,25.4,23.133333333333333
2021-09-30,24.672280092592594,25.366666666666667,23.066666666666666
2021-10-01,24.76011574074074,25.466666666666665,23.1
2021-10-02,24.699861111111108,25.466666666666665,22.966666666666665
2021-10-03,24.65173611111111,25.5,23.166666666666668
2021-10-04,24.69122685185185,25.5,23.066666666666666
2021-10-05,24.71553240740741,25.533333333333335,22.966666666666665
2021-10-06,24.67657407407408,25.5,23.033333333333335
2021-10-07,24.698877314814816,25.533333333333335,23.1
2021-10-08,24.683564814814815,25.466666666666665,22.966666666666665
2021-10-09,24.67507575757576,25.333333333333332,23.166666666666668
2021-10-10,24.71073099415204,25.433333333333334,23.266666666666666
2021-10-11,24.646504629629632,25.4,23.1
2021-10-12,24.7106712962963,25.466666666666665,23.1
2021-10-13,24.71614583333333,25.5,23.3
2021-10-14,24.685671296296295,25.466666666666665,22.966666666666665
2021-10-15,24.661111111111108,25.4,23.033333333333335
2021-10-16,24.63077546296296,25.366666666666667,23.133333333333333
2021-10-17,24.50923611111111,25.466666666666665,22.766666666666666
2021-10-18,24.60274305555555,25.633333333333333,22.866666666666667
2021-10-19,24.43479166666667,25.533333333333335,22.5
2021-10-20,24.24555555555555,25.133333333333333,22.6
2021-10-21,24.242986111111108,25.2,22.566666666666666
2021-10-22,24.13270833333333,25.333333333333332,21.866666666666667
2021-10-23,24.15606481481482,25.433333333333334,22.2
2021-10-24,24.2265625,25.366666666666667,22.566666666666666
2021-10-25,24.18069444444445,25.266666666666666,22.4
2021-10-26,24.160868055555557,25.066666666666666,22.533333333333335
2021-10-27,24.1353125,25.2,22.333333333333332
2021-10-28,23.92886574074074,25.1,21.766666666666666
2021-10-29,23.881875,25.233333333333334,21.666666666666668
2021-10-30,23.80990740740741,24.733333333333334,22.066666666666666
2021-10-31,23.849583333333335,24.866666666666667,22.0
2021-11-01,23.898090277777776,24.933333333333334,22.133333333333333
2021-11-02,24.096249999999994,25.166666666666668,22.166666666666668
2021-11-03,24.130902777777774,25.2,22.366666666666667
2021-11-04,24.071527777777778,25.1,22.3
2021-11-05,24.128888888888888,25.233333333333334,22.3
2021-11-06,23.98597222222222,25.433333333333334,21.533333333333335
2021-11-07,23.87788194444444,25.266666666666666,22.066666666666666
2021-11-08,23.91212962962963,25.1,22.0
2021-11-09,23.969652777777775,25.066666666666666,21.966666666666665
2021-11-10,24.07076388888889,25.233333333333334,22.2
2021-11-11,24.090462962962967,25.266666666666666,22.2
2021-11-12,24.11159722222222,25.3,21.933333333333334
2021-11-13,23.938055555555554,25.133333333333333,21.9
2021-11-14,23.93815972222222,25.233333333333334,21.933333333333334
2021-11-15,24.068958333333335,25.4,21.866666666666667
2021-11-16,23.997361111111108,25.233333333333334,21.7
2021-11-17,24.01967592592593,25.233333333333334,21.9
2021-11-18,23.90116898148148,25.266666666666666,21.766666666666666
2021-11-19,23.97060185185185,25.3,21.8
2021-11-20,24.010740740740744,25.266666666666666,22.0
2021-11-21,24.055208333333333,25.666666666666668,22.0
2021-11-22,23.84136574074075,25.566666666666666,21.7
2021-11-23,23.60636574074074,24.733333333333334,21.666666666666668
2021-11-24,23.46493055555555,24.666666666666668,21.333333333333332
2021-11-25,23.331296296296294,24.266666666666666,21.5
2021-11-26,23.356805555555564,24.266666666666666,21.6
2021-11-27,23.373125,24.333333333333332,21.333333333333332
2021-11-28,23.429340277777776,24.7,21.5
2021-11-29,23.62990740740741,24.8,21.366666666666667
2021-11-30,23.55488425925926,24.833333333333332,21.433333333333334
2021-12-01,23.55986111111111,24.533333333333335,21.533333333333335
2021-12-02,23.557314814814813,24.7,21.766666666666666
2021-12-03,23.617106481481482,24.8,21.6
2021-12-04,23.635694444444443,24.666666666666668,21.666666666666668
2021-12-05,23.68063657407407,24.733333333333334,21.833333333333332
2021-12-06,23.648171296296297,25.266666666666666,21.566666666666666
2021-12-07,23.466828703703705,24.733333333333334,21.466666666666665
2021-12-08,23.32351851851852,24.533333333333335,21.233333333333334
2021-12-09,23.32825231481481,24.733333333333334,21.266666666666666
2021-12-10,23.323425925925925,24.866666666666667,21.0
2021-12-11,23.686921296296294,25.066666666666666,21.466666666666665
2021-12-12,23.843333333333337,25.066666666666666,21.9
2021-12-13,23.82146990740741,25.833333333333332,21.666666666666668
2021-12-14,23.945092592592587,25.533333333333335,21.466666666666665
2021-12-15,23.682916666666667,25.266666666666666,21.433333333333334
2021-12-16,23.58499999999999,25.433333333333334,21.333333333333332
2021-12-17,23.443622685185183,25.033333333333335,21.133333333333333
2021-12-18,23.48258101851852,24.966666666666665,21.266666666666666
2021-12-19,23.63256944444445,25.266666666666666,21.5
2021-12-20,23.4296875,25.233333333333334,20.966666666666665
2021-12-21,23.47365740740741,24.833333333333332,21.266666666666666
2021-12-22,23.334560185185182,24.666666666666668,20.933333333333334
2021-12-23,23.265949074074072,24.966666666666665,20.8
