,日平均室内温度,日最大室内温度,日最小室内温度
2021/12/1,20.446874997500004,25.049999999999997,17.7
2021/12/2,20.125694445,25.874999999999996,16.325
2021/12/3,19.818402777500005,25.2,16.1
2021/12/4,18.74045139,20.35,16.225
2021/12/5,17.490625,19.35,15.024999999999999
2021/12/6,18.93888889,25.2,15.125000000000002
2021/12/7,19.7454861125,25.6,16.85
2021/12/8,19.223958335,25.275,15.724999999999998
2021/12/9,19.455729165,25.725,16.049999999999997
2021/12/10,19.4428819425,26.025,15.875
2021/12/11,18.3651041675,20.275,16.225
2021/12/12,18.5539930575,20.475,16.625
2021/12/13,19.180208335,25.349999999999998,15.100000000000001
2021/12/14,18.1612847225,24.15,13.875
2021/12/15,19.2651041675,26.075,14.4
2021/12/16,19.5515625,25.55,14.899999999999999
2021/12/17,19.669618055,26.5,14.9
2021/12/18,17.002604167500003,19.825000000000003,13.149999999999999
2021/12/19,16.502430555,19.1,13.55
2021/12/20,18.2836805575,25.625,12.975
2021/12/21,19.2065972225,26.325,14.3
2021/12/22,18.878645832500002,24.775,14.825
2021/12/23,18.5831597225,26.099999999999998,12.225000000000001
2021/12/24,19.051041667499998,25.700000000000003,14.2
2021/12/25,17.4770833325,19.75,13.549999999999999
2021/12/26,15.899131944999997,18.725,12.025
2021/12/27,17.221180557500002,24.575000000000003,11.999999999999998
2021/12/28,17.4178819425,24.674999999999997,12.15
2021/12/29,15.635763887500001,18.475,12.375
2021/12/30,15.4437499975,17.5,12.649999999999999
2021/12/31,14.3024305575,16.55,11.275
2022/1/1,13.332118054999999,15.325,10.649999999999999
2022/1/2,13.1015624975,14.875,10.75
2022/1/3,13.045486109999999,14.825,10.825
2022/1/4,15.2340277775,21.425,11.05
2022/1/5,15.660416665,23.5,10.875
2022/1/6,15.689930557499999,23.424999999999997,10.225
2022/1/7,16.2041666675,23.949999999999996,10.65
2022/1/8,15.234375,17.875,12.3
2022/1/9,15.334027775000001,17.5,13.0
2022/1/10,15.453993055,17.925,13.125
2022/1/11,17.4440972225,24.75,13.200000000000001
2022/1/12,17.477256945,24.85,12.625
2022/1/13,18.0072916675,25.400000000000002,12.45
2022/1/14,17.759027777500002,24.775,12.975000000000001
2022/1/15,16.236805555,18.700000000000003,13.549999999999999
2022/1/16,16.0458333325,18.475,13.325000000000001
2022/1/17,17.886458332500002,24.975,13.325
2022/1/18,17.40190972,23.9,12.475
2022/1/19,17.64253472,24.575000000000003,12.675
2022/1/20,17.51996528,24.599999999999998,12.375
2022/1/21,17.36354167,24.0,12.424999999999999
2022/1/22,16.052083332499997,18.85,12.950000000000001
2022/1/23,15.5468750025,18.200000000000003,12.275
2022/1/24,17.6253472225,24.674999999999997,13.024999999999999
2022/1/25,17.7427083325,24.95,12.750000000000002
2022/1/26,18.055555554999998,25.325,13.125
2022/1/27,18.2647569425,25.525,14.0
2022/1/28,17.988888887499996,25.150000000000002,13.35
2022/1/29,16.8347222225,19.225,14.025000000000002
2022/1/30,16.038194445000002,18.725,12.975
2022/1/31,17.1006944475,24.425,12.225
2022/2/1,17.8138888875,24.875,12.45
2022/2/2,18.0595486125,24.85,13.5
2022/2/3,18.218055555,25.525,12.725000000000001
2022/2/4,18.22465278,25.599999999999998,13.075
2022/2/5,16.290277777500002,19.3,12.825
2022/2/6,15.461284725,18.55,12.25
2022/2/7,16.9605902775,24.599999999999998,11.775
2022/2/8,17.4234375025,25.2,12.425
2022/2/9,17.763541665,24.85,12.55
2022/2/10,16.7171875,24.3,10.225
2022/2/11,15.1706597225,18.475,11.425
2022/2/12,15.508159720000002,18.45,12.175
2022/2/13,14.980555554999999,18.200000000000003,11.4
2022/2/14,16.61423611,25.0,10.85
2022/2/15,17.6512152775,25.0,12.725
2022/2/16,17.720486109999996,25.049999999999997,12.924999999999999
2022/2/17,17.572743055,25.075,12.75
2022/2/18,18.039583335,25.124999999999996,13.125
2022/2/19,16.241145835,18.975,12.95
2022/2/20,15.579166664999999,18.325,12.075000000000001
2022/2/21,16.79670139,24.4,11.350000000000001
2022/2/22,17.279340277499998,24.400000000000002,12.375
2022/2/23,15.984201389999999,18.9,12.375
2022/2/24,17.2064236125,24.85,11.525
2022/2/25,17.966319445,25.425,12.225
2022/2/26,16.9833333325,19.475,14.55
2022/2/27,16.844097222499997,19.175,14.525
2022/2/28,19.06892361,25.75,14.625
2022/3/1,19.3994791675,25.625,15.3
2022/3/2,19.8204861125,25.625,16.475
2022/3/3,19.625520835,25.825,15.85
2022/3/4,19.5927083325,25.95,15.3
2022/3/5,18.7503472225,20.9,16.6
2022/3/6,17.733333335,19.95,15.15
2022/3/7,19.1673611125,25.825,15.4
2022/3/8,18.581597222499997,25.224999999999998,14.200000000000001
2022/3/9,19.1739583325,26.174999999999997,14.525
2022/3/10,19.7114583325,26.1,15.475
2022/3/11,19.9671875,24.875,16.125
2022/3/12,19.605208332500002,21.2,17.55
2022/3/13,19.8802083325,21.599999999999998,18.075000000000003
2022/3/14,21.360937502499997,24.449999999999996,18.325
2022/3/15,20.7524305575,25.4,17.45
2022/3/16,21.2826388875,25.775,18.025
2022/3/17,21.30920139,24.975,18.55
2022/3/18,19.3828125,25.775000000000002,14.250000000000002
2022/3/19,18.769270832500002,21.025,16.225
2022/3/20,18.3355902775,20.299999999999997,16.325
2022/3/21,18.4227430575,20.25,16.6
2022/3/22,17.511805555000002,23.125,11.65
2022/3/23,17.403125,28.799999999999997,13.1
2022/3/24,18.8145833325,25.575,14.0
2022/3/25,19.402083335,23.575,16.175
2022/3/26,19.341145832499997,20.799999999999997,18.0
2022/3/27,19.5010416675,20.55,17.95
