,電力消費量,日平均入力比,日最大入力比,日最小入力比,日空調時間数,日全負荷運転時間数,日平均設定温度,日最大設定温度,日最小設定温度,日平均室内温度,日最大室内温度,日最小室内温度,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,降水量(mm),日照時間(時間),日射量(MJ/㎡),風速(m/s),相対湿度(％),平均外気温度,最高外気温度,最低外気温度
2021-12-01,2.0,0.013333333333333334,0.16,0.0,2,0,24.0,25.0,23.0,26.11770833333333,53.0,17.8,2021,12,1,2,0,0,1,0,0,0,0,79.0,6.1,9.089999999999998,1.6999999999999995,69.83333333333333,16.21666666666667,20.5,10.2
2021-12-02,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,22.85625,39.0,18.2,2021,12,2,3,0,0,0,1,0,0,0,0.0,9.299999999999999,12.32,1.2,43.416666666666664,11.195833333333333,15.1,7.2
2021-12-03,6.0,0.03958333333333334,0.47,0.0,3,0,24.0,25.0,23.0,23.190624999999997,34.0,17.6,2021,12,3,4,0,0,0,0,1,0,0,0.0,9.2,11.600000000000001,0.8208333333333334,58.25,10.983333333333334,15.8,5.8
2021-12-04,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,22.817708333333332,34.0,17.3,2021,12,4,5,0,0,0,0,0,1,0,0.0,9.2,11.33,1.091666666666667,56.125,11.345833333333333,16.2,6.9
2021-12-05,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,21.78125,33.0,16.7,2021,12,5,6,0,0,0,0,0,0,1,0.0,9.2,11.03,2.095833333333333,50.166666666666664,9.183333333333334,12.1,6.1
2021-12-06,16.0,0.10541666666666666,0.47,0.0,7,0,24.0,25.0,23.0,23.501041666666666,37.0,16.5,2021,12,6,0,1,0,0,0,0,0,0,0.0,0.0,4.029999999999999,1.754166666666667,64.75,8.779166666666667,10.1,6.7
2021-12-07,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,25.43645833333333,50.0,17.0,2021,12,7,1,0,1,0,0,0,0,0,5.0,0.5,3.4999999999999996,2.0416666666666665,85.04166666666667,11.941666666666665,14.8,9.6
2021-12-08,15.0,0.09916666666666668,0.47,0.0,8,0,24.0,25.0,23.0,27.107291666666665,50.0,17.0,2021,12,8,2,0,0,1,0,0,0,0,34.0,0.0,2.2599999999999993,3.370833333333334,92.75,9.995833333333332,11.3,8.4
2021-12-09,12.0,0.07958333333333334,0.47,0.0,6,0,24.0,25.0,23.0,25.575000000000006,46.0,16.4,2021,12,9,3,0,0,0,1,0,0,0,0.0,7.0,10.269999999999998,2.029166666666667,67.33333333333333,10.416666666666666,14.3,8.4
2021-12-10,12.0,0.07916666666666666,0.47,0.0,6,0,24.0,25.0,23.0,24.665625000000002,39.0,17.2,2021,12,10,4,0,0,0,0,1,0,0,0.0,3.6,8.469999999999999,1.25,68.04166666666667,9.237499999999999,11.9,7.3
2021-12-11,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,23.632291666666664,41.0,16.5,2021,12,11,5,0,0,0,0,0,1,0,0.0,9.1,10.949999999999998,0.5708333333333333,73.54166666666667,10.891666666666666,15.9,5.3
2021-12-12,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,23.691666666666666,42.0,16.3,2021,12,12,6,0,0,0,0,0,0,1,0.0,7.5,8.829999999999998,0.6958333333333332,71.79166666666667,12.220833333333337,16.9,8.0
2021-12-13,14.0,0.09291666666666669,0.63,0.0,7,0,24.0,25.0,23.0,23.421875,42.0,16.7,2021,12,13,0,1,0,0,0,0,0,0,0.0,9.2,11.709999999999999,3.420833333333333,47.125,9.779166666666667,13.3,5.8
2021-12-14,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,22.144791666666666,37.0,15.5,2021,12,14,1,0,1,0,0,0,0,0,4.5,0.1,2.53,1.3083333333333333,74.79166666666667,5.441666666666666,6.9,4.4
2021-12-15,18.0,0.11875000000000001,0.79,0.0,8,0,24.0,25.0,23.0,23.27916666666667,37.0,14.5,2021,12,15,2,0,0,1,0,0,0,0,0.0,9.2,11.29,0.425,74.20833333333333,9.345833333333333,14.2,3.3
2021-12-16,7.0,0.04666666666666666,0.32,0.0,4,0,24.0,25.0,23.0,23.417708333333334,39.0,16.0,2021,12,16,3,0,0,0,1,0,0,0,0.0,8.1,10.600000000000001,0.7250000000000001,67.91666666666667,10.520833333333334,14.7,5.0
2021-12-17,14.0,0.09208333333333334,0.47,0.0,6,0,24.0,25.0,23.0,25.35625,44.0,16.8,2021,12,17,4,0,0,0,0,1,0,0,4.0,0.8999999999999999,3.4200000000000004,1.695833333333333,80.45833333333333,9.233333333333333,12.0,5.2
2021-12-18,2.0,0.013333333333333334,0.16,0.0,2,0,24.0,25.0,23.0,21.684375,39.0,15.3,2021,12,18,5,0,0,0,0,0,1,0,0.0,9.3,11.759999999999998,2.779166666666667,39.875,5.187499999999999,9.5,2.4
2021-12-19,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,19.309374999999996,31.0,13.5,2021,12,19,6,0,0,0,0,0,0,1,0.0,9.2,11.239999999999997,0.7041666666666667,51.541666666666664,5.745833333333334,10.4,1.0
2021-12-20,19.0,0.125,0.79,0.0,7,0,24.0,25.0,23.0,21.857291666666665,34.0,13.2,2021,12,20,0,1,0,0,0,0,0,0,0.0,9.2,11.09,0.6458333333333333,60.708333333333336,7.629166666666667,12.4,1.8
2021-12-21,14.0,0.09208333333333334,0.47,0.0,6,0,24.0,25.0,23.0,23.15625,37.0,15.0,2021,12,21,1,0,1,0,0,0,0,0,0.0,9.100000000000001,11.089999999999996,0.5124999999999998,65.75,9.9125,15.2,4.4
2021-12-22,13.0,0.08625,0.63,0.0,8,0,24.0,25.0,23.0,22.855208333333326,37.0,16.4,2021,12,22,2,0,0,1,0,0,0,0,0.0,8.6,10.529999999999998,3.016666666666666,51.125,9.0375,13.3,5.6
2021-12-23,13.0,0.08583333333333333,0.47,0.0,6,0,24.0,25.0,23.0,21.714583333333334,32.0,15.8,2021,12,23,3,0,0,0,1,0,0,0,0.0,8.700000000000001,11.25,2.779166666666667,40.833333333333336,8.720833333333333,12.4,4.9
2021-12-24,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,21.729166666666668,32.0,16.1,2021,12,24,4,0,0,0,0,1,0,0,0.0,8.899999999999999,11.36,0.8666666666666667,57.041666666666664,8.745833333333332,12.7,3.6
2021-12-25,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,21.779166666666665,35.0,16.2,2021,12,25,5,0,0,0,0,0,1,0,2.0,4.999999999999999,8.510000000000002,1.9666666666666666,70.41666666666667,9.045833333333333,15.3,4.5
2021-12-26,2.0,0.013333333333333334,0.16,0.0,2,0,24.0,25.0,23.0,19.456249999999997,30.0,14.4,2021,12,26,6,0,0,0,0,0,0,1,0.0,8.5,11.129999999999999,3.4791666666666674,35.25,3.883333333333333,8.6,0.4
2021-12-27,21.0,0.1383333333333333,1.11,0.0,6,1,24.0,25.0,23.0,19.15520833333333,26.1,13.1,2021,12,27,0,1,0,0,0,0,0,0,0.0,9.3,11.44,1.0708333333333333,39.541666666666664,3.9583333333333326,9.5,-0.8
2021-12-28,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,18.50208333333333,25.0,13.6,2021,12,28,1,0,1,0,0,0,0,0,0.0,9.200000000000001,11.690000000000001,1.4333333333333333,48.666666666666664,4.645833333333334,9.3,0.2
2021-12-29,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,17.479166666666668,26.0,12.4,2021,12,29,2,0,0,1,0,0,0,0,0.0,8.0,10.450000000000001,0.7083333333333335,54.041666666666664,4.883333333333334,8.5,1.6
2021-12-30,2.0,0.013333333333333334,0.16,0.0,2,0,24.0,25.0,23.0,17.45104166666667,28.0,12.0,2021,12,30,3,0,0,0,1,0,0,0,0.0,8.0,10.98,1.1416666666666668,52.916666666666664,7.225000000000001,13.5,1.5
2021-12-31,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,17.008333333333336,28.0,11.4,2021,12,31,4,0,0,0,0,1,0,0,0.0,3.8,6.3,2.3708333333333336,51.25,3.6041666666666665,7.9,0.3
2022-01-01,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,14.970833333333331,25.0,9.9,2022,1,1,5,0,0,0,0,0,1,0,0.0,9.4,12.17,2.420833333333333,32.666666666666664,3.595833333333333,7.8,-0.7
2022-01-02,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,14.673958333333331,26.0,9.3,2022,1,2,6,0,0,0,0,0,0,1,0.0,6.3,10.14,1.1375000000000004,51.041666666666664,4.1875,7.9,0.8
2022-01-03,2.0,0.013333333333333334,0.16,0.0,2,0,24.0,25.0,23.0,15.522916666666667,29.0,9.7,2022,1,3,0,1,0,0,0,0,0,0,0.0,9.100000000000001,11.110000000000001,1.229166666666667,55.291666666666664,6.3875,10.8,2.7
2022-01-04,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,18.417708333333337,36.0,10.3,2022,1,4,1,0,1,0,0,0,0,0,0.0,9.100000000000001,11.759999999999998,2.2416666666666667,56.958333333333336,5.779166666666668,13.2,2.2
2022-01-05,23.0,0.15125,1.11,0.0,7,1,24.0,25.0,23.0,19.382291666666667,31.0,11.3,2022,1,5,2,0,0,1,0,0,0,0,0.0,9.3,12.129999999999999,2.858333333333334,36.291666666666664,4.499999999999999,8.5,1.6
2022-01-06,26.0,0.17125,0.95,0.0,7,0,24.0,25.0,23.0,19.980208333333334,34.0,12.6,2022,1,6,3,0,0,0,1,0,0,0,4.0,0.0,1.84,1.1750000000000003,71.75,0.804166666666667,2.2,-1.0
2022-01-07,23.0,0.15125,0.79,0.0,6,0,24.0,25.0,23.0,20.290625000000002,33.0,11.7,2022,1,7,4,0,0,0,0,1,0,0,0.0,9.3,12.18,2.3541666666666665,65.58333333333333,3.1374999999999997,8.1,-2.1
2022-01-08,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,18.525000000000002,32.0,12.5,2022,1,8,5,0,0,0,0,0,1,0,0.0,9.3,11.84,0.9083333333333333,51.583333333333336,5.808333333333333,9.9,1.5
2022-01-09,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,18.95520833333333,37.0,12.2,2022,1,9,6,0,0,0,0,0,0,1,0.0,8.4,11.36,0.6208333333333332,53.791666666666664,7.8999999999999995,14.0,1.7
2022-01-10,2.0,0.013333333333333334,0.16,0.0,2,0,24.0,25.0,23.0,19.31145833333333,37.0,12.7,2022,1,10,0,1,0,0,0,0,0,0,0.0,2.2,3.5999999999999996,1.3291666666666668,60.083333333333336,7.937499999999999,9.5,6.8
2022-01-11,1.0,0.006666666666666667,0.16,0.0,1,0,24.0,25.0,23.0,22.018749999999997,46.0,12.6,2022,1,11,1,0,1,0,0,0,0,0,12.5,0.0,1.54,1.0458333333333334,90.0,6.1916666666666655,7.6,4.8
2022-01-12,24.0,0.15791666666666668,0.95,0.0,8,0,24.0,25.0,23.0,21.727083333333336,44.0,12.4,2022,1,12,2,0,0,1,0,0,0,0,0.0,9.5,12.63,2.475000000000001,48.791666666666664,5.737500000000001,8.9,3.4
