,電力消費量,日平均入力比,日最大入力比,日最小入力比,日空調時間数,日全負荷運転時間数,日平均設定温度,日最大設定温度,日最小設定温度,日平均室内温度,日最大室内温度,日最小室内温度,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,降水量(mm),日照時間(時間),日射量(MJ/㎡),風速(m/s),相対湿度(％),平均外気温度,最高外気温度,最低外気温度
2021/12/1,4,0.043333333,0.52,0,3,0,23.55986111,24.53333333,21.53333333,19.725,22.1,16.9,2021,12,1,2,0,0,1,0,0,0,0,79,6.1,9.09,1.7,69.83333333,16.21666667,20.5,10.2
2021/12/2,10,0.108333333,0.52,0,8,0,23.55731481,24.7,21.76666667,19.66041667,21.8,17.2,2021,12,2,3,0,0,0,1,0,0,0,0,9.3,12.32,1.2,43.41666667,11.19583333,15.1,7.2
2021/12/3,6,0.065,0.52,0,5,0,23.61710648,24.8,21.6,19.4125,21.8,17,2021,12,3,4,0,0,0,0,1,0,0,0,9.2,11.6,0.820833333,58.25,10.98333333,15.8,5.8
2021/12/4,1,0.010833333,0.26,0,1,0,23.63569444,24.66666667,21.66666667,18.2375,20,16.4,2021,12,4,5,0,0,0,0,0,1,0,0,9.2,11.33,1.091666667,56.125,11.34583333,16.2,6.9
2021/12/5,1,0.010833333,0.26,0,1,0,23.68063657,24.73333333,21.83333333,17.56875,19.2,15.8,2021,12,5,6,0,0,0,0,0,0,1,0,9.2,11.03,2.095833333,50.16666667,9.183333333,12.1,6.1
2021/12/6,18,0.195,0.52,0,12,0,23.6481713,25.26666667,21.56666667,18.72083333,21.8,15.6,2021,12,6,0,1,0,0,0,0,0,0,0,0,4.03,1.754166667,64.75,8.779166667,10.1,6.7
2021/12/7,12,0.13,0.52,0,9,0,23.4668287,24.73333333,21.46666667,19.3125,22.4,16.3,2021,12,7,1,0,1,0,0,0,0,0,5,0.5,3.5,2.041666667,85.04166667,11.94166667,14.8,9.6
2021/12/8,16,0.173333333,0.52,0,10,0,23.32351852,24.53333333,21.23333333,19.2125,21.7,15.8,2021,12,8,2,0,0,1,0,0,0,0,34,0,2.26,3.370833333,92.75,9.995833333,11.3,8.4
2021/12/9,15,0.1625,0.52,0,11,0,23.32825231,24.73333333,21.26666667,19.49166667,22.4,16.4,2021,12,9,3,0,0,0,1,0,0,0,0,7,10.27,2.029166667,67.33333333,10.41666667,14.3,8.4
2021/12/10,17,0.184166667,0.52,0,11,0,23.32342593,24.86666667,21,19.33125,22.5,16.5,2021,12,10,4,0,0,0,0,1,0,0,0,3.6,8.47,1.25,68.04166667,9.2375,11.9,7.3
2021/12/11,1,0.010833333,0.26,0,1,0,23.6869213,25.06666667,21.46666667,17.85208333,19.5,16,2021,12,11,5,0,0,0,0,0,1,0,0,9.1,10.95,0.570833333,73.54166667,10.89166667,15.9,5.3
2021/12/12,2,0.021666667,0.26,0,2,0,23.84333333,25.06666667,21.9,17.58541667,19.4,15.8,2021,12,12,6,0,0,0,0,0,0,1,0,7.5,8.83,0.695833333,71.79166667,12.22083333,16.9,8
2021/12/13,16,0.173333333,0.52,0,10,0,23.82146991,25.83333333,21.66666667,18.83125,21.3,15.7,2021,12,13,0,1,0,0,0,0,0,0,0,9.2,11.71,3.420833333,47.125,9.779166667,13.3,5.8
2021/12/14,18,0.195,0.52,0,12,0,23.94509259,25.53333333,21.46666667,18.25833333,21.4,15.8,2021,12,14,1,0,1,0,0,0,0,0,4.5,0.1,2.53,1.308333333,74.79166667,5.441666667,6.9,4.4
2021/12/15,13,0.140833333,0.52,0,9,0,23.68291667,25.26666667,21.43333333,18.8125,22.8,15.4,2021,12,15,2,0,0,1,0,0,0,0,0,9.2,11.29,0.425,74.20833333,9.345833333,14.2,3.3
2021/12/16,10,0.108333333,0.52,0,7,0,23.585,25.43333333,21.33333333,18.70833333,21.5,15.5,2021,12,16,3,0,0,0,1,0,0,0,0,8.1,10.6,0.725,67.91666667,10.52083333,14.7,5
2021/12/17,14,0.151666667,0.52,0,10,0,23.44362269,25.03333333,21.13333333,19.0625,23.7,14.9,2021,12,17,4,0,0,0,0,1,0,0,4,0.9,3.42,1.695833333,80.45833333,9.233333333,12,5.2
2021/12/18,1,0.010833333,0.26,0,1,0,23.48258102,24.96666667,21.26666667,16.73541667,18.5,13.3,2021,12,18,5,0,0,0,0,0,1,0,0,9.3,11.76,2.779166667,39.875,5.1875,9.5,2.4
2021/12/19,2,0.021666667,0.26,0,2,0,23.63256944,25.26666667,21.5,15.95,17.9,13.7,2021,12,19,6,0,0,0,0,0,0,1,0,9.2,11.24,0.704166667,51.54166667,5.745833333,10.4,1
2021/12/20,17,0.184166667,0.52,0,10,0,23.4296875,25.23333333,20.96666667,17.575,21.5,13.5,2021,12,20,0,1,0,0,0,0,0,0,0,9.2,11.09,0.645833333,60.70833333,7.629166667,12.4,1.8
2021/12/21,16,0.173333333,0.52,0,11,0,23.47365741,24.83333333,21.26666667,18.4375,23.2,14.1,2021,12,21,1,0,1,0,0,0,0,0,0,9.1,11.09,0.5125,65.75,9.9125,15.2,4.4
2021/12/22,17,0.184166667,0.52,0,10,0,23.33456019,24.66666667,20.93333333,18.16666667,21,14.7,2021,12,22,2,0,0,1,0,0,0,0,0,8.6,10.53,3.016666667,51.125,9.0375,13.3,5.6
2021/12/23,17,0.184166667,0.52,0,11,0,23.26594907,24.96666667,20.8,18.24375,22.7,12.8,2021,12,23,3,0,0,0,1,0,0,0,0,8.7,11.25,2.779166667,40.83333333,8.720833333,12.4,4.9
2021/12/24,18,0.195,0.52,0,12,0,23.45872685,25.16666667,20.9,18.39791667,21.4,15.2,2021,12,24,4,0,0,0,0,1,0,0,0,8.9,11.36,0.866666667,57.04166667,8.745833333,12.7,3.6
2021/12/25,1,0.010833333,0.26,0,1,0,23.58914352,24.8,21.33333333,16.875,18.7,14.9,2021,12,25,5,0,0,0,0,0,1,0,2,5,8.51,1.966666667,70.41666667,9.045833333,15.3,4.5
2021/12/26,1,0.010833333,0.26,0,1,0,23.76469907,24.96666667,21.66666667,16.02916667,17.8,14.1,2021,12,26,6,0,0,0,0,0,0,1,0,8.5,11.13,3.479166667,35.25,3.883333333,8.6,0.4
2021/12/27,19,0.205833333,0.52,0,12,0,23.86986111,25.36666667,21.56666667,16.84791667,19.6,13.4,2021,12,27,0,1,0,0,0,0,0,0,0,9.3,11.44,1.070833333,39.54166667,3.958333333,9.5,-0.8
