,型番名,型番,方角,方角(cos),方角(sin),方角(tan),フロア,用途名,用途,冷房定格電力kW,50%容量時定格冷房電力kW,暖房定格電力kW,冷房定格能力kW,50%容量時冷房能力kW,暖房定格能力kW,処理面積,定格5%発揮時間数(暖房),全負荷運転時間数(暖房),冬期平均設定温度,冬期最高設定温度,冬期最低設定温度,冬期最高設定温度-冬期平均設定温度,冬期平均設定温度-冬期最低設定温度,冬期最高設定温度-冬期最低設定温度,冬期平均室内温度,冬期最高室内温度,冬期最低室内温度,冬期最高室内温度-冬期平均室内温度,冬期平均室内温度-冬期最低室内温度,冬期最高室内温度-冬期最低室内温度,冬期入力比
EHPK-1,RXYP450AA,1,共用,0,0,0,1,共用,0,13.6,6.23,13.5,45,22.5,50,331,1287,0,26.19206267,27.08333333,24.66666667,0.891270661,1.525396006,2.416666667,20.9021522,30.76666667,13.53333333,9.864514463,7.368818871,17.23333333,0.007908632
EHPK-2,RXYP224AA,2,共用,0,0,0,2,共用,0,5.24,2.29,6.33,22.4,11.2,25,78,174,0,25,25,25,0,0,0,20.41509412,27.26666667,13.4,6.851572544,7.015094123,13.86666667,0.001514499
EHPK-3,RXYP224AA,2,共用,0,0,0,5,共用,0,5.24,2.29,6.33,22.4,11.2,25,77,153,0,25,25,25,0,0,0,17.98643251,26.9,11.66666667,8.913567493,6.31976584,15.23333333,0.001331714
GHEX-1,RXYP224AA,2,共用,0,0,0,1,外気処理,0,5.24,2.29,6.33,22.4,11.2,25,282,789,0,23.96448957,26.90432099,20.8275,2.939831421,3.136989566,6.076820988,18.07848944,30.2,10.96666667,12.12151056,7.111822773,19.23333333,0.017657184
GHEX-2,RXYP140AA,3,共用,0,0,0,2,外気処理,0,3.36,1.54,3.88,14,7,16,151,792,0,23.96448957,26.90432099,20.8275,2.939831421,3.136989566,6.076820988,17.34834711,24.5,10.65,7.151652893,6.698347107,13.85,0.029048983
GHEX-3,RXYP140AA,3,共用,0,0,0,2,外気処理,0,3.36,1.54,3.88,14,7,16,151,776,0,23.96448957,26.90432099,20.8275,2.939831421,3.136989566,6.076820988,18.50891873,24,11.95,5.491081267,6.558918733,12.05,0.030697971
GHEX-4,RXYP140AA,3,共用,0,0,0,4,外気処理,0,3.36,1.54,3.88,14,7,16,151,158,0,23.96448957,26.90432099,20.8275,2.939831421,3.136989566,6.076820988,17.82128386,26.9875,10.75416667,9.166216139,7.067117195,16.23333333,0.003645878
GHEX-5,RXYP140AA,3,共用,0,0,0,5,外気処理,0,3.36,1.54,3.88,14,7,16,156,801,0,23.96448957,26.90432099,20.8275,2.939831421,3.136989566,6.076820988,17.34938017,29.25,9.45,11.90061983,7.899380165,19.8,0.028888345
EHP1-1,RXYP690AA,4,南東,0.707106,-0.707106,-1,1,研修室,1,19.5,8.93,21,69,34.5,77.5,313,1380,0,27.37325982,30,20.6,2.626740179,6.773259821,9.4,24.08884986,37.94,0,13.85115014,24.08884986,37.94,0.007568871
EHP1-2,RXYP450AA,1,北西,-0.707106,0.707106,-1,1,応接室,1,13.6,6.23,13.5,45,22.5,50,225,1788,1,27.20738636,30,21.75,2.792613636,5.457386364,8.25,24.02766873,33.85,14,9.822331267,10.02766873,19.85,0.016230232
EHP1-3,RXYP500AA,5,北東,0.707106,0.707106,1,1,受付,1,15.9,7.28,16.6,50,25,56,250,2773,0,28.28753444,30,23.5,1.712465565,4.787534435,6.5,23.92521522,30.875,14.675,6.94978478,9.25021522,16.2,0.012160211
EHP2-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,2,事務室,1,13.6,6.23,13.5,45,22.5,50,263,1216,2,24.72222222,28,20,3.277777778,4.722222222,8,24.24753214,39.86666667,10.23333333,15.61913453,14.01419881,29.63333333,0.009376084
EHP2-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,2,事務室,1,21.4,9.8,23.7,73,36.5,82.5,450,812,1,24.92720386,28.8,20,3.872796143,4.927203857,8.8,24.65852617,41.32,15.7,16.66147383,8.958526171,25.62,0.004296416
EHP2-3,RXYP335AA,7,北西,-0.707106,0.707106,-1,2,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,175,1132,1,24.53443526,25,22.5,0.465564738,2.034435262,2.5,23.51716598,39.6,8.2,16.08283402,15.31716598,31.4,0.010963369
EHP2-4,RXYP615AA,8,北東,0.707106,0.707106,1,2,事務室,1,16.3,7.47,18,61.5,30.75,69,351,1404,4,21.2049759,26,16.25,4.795024105,4.954975895,9.75,23.76850034,35.7,14.65,11.93149966,9.118500344,21.05,0.005362909
EHP2-5,RXYP335AA,7,北西,-0.707106,0.707106,-1,2,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,128,1136,0,24.14927686,25,20.5,0.85072314,3.64927686,4.5,23.4981405,40.35,4.9,16.8518595,18.5981405,35.45,0.010666748
EHP2-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,2,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,879,12,24.94180441,30,18,5.058195592,6.941804408,12,22.36501377,28.1,1.5,5.734986226,20.86501377,26.6,0.018695682
EHP3-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,3,事務室,1,13.6,6.23,13.5,45,22.5,50,263,126,0,22.06680441,26,20,3.933195592,2.066804408,6,22.74877181,31.4,18.76666667,8.651228191,3.982105142,12.63333333,0.000465004
EHP3-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,3,事務室,1,21.4,9.8,23.7,73,36.5,82.5,450,476,0,19.46081267,27,16,7.539187328,3.460812672,11,22.32763774,36.42,14.28,14.09236226,8.047637741,22.14,0.001573415
