,電力消費量,日平均入力比,日最大入力比,日最小入力比,日空調時間数,日全負荷運転時間数,日平均設定温度,日最大設定温度,日最小設定温度,日平均室内温度,日最大室内温度,日最小室内温度,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,降水量(mm),日照時間(時間),日射量(MJ/㎡),風速(m/s),相対湿度(％),平均外気温度,最高外気温度,最低外気温度
2021/6/1,1,0.007916667,0.19,0,1,0,24.32414352,25.26666667,22.66666667,24.69305556,27.5,22.3,2021,6,1,1,0,1,0,0,0,0,0,5,9,25.87,1.15,74.91666667,21.25416667,25.4,16.6
2021/6/2,2,0.015833333,0.19,0,2,0,24.33726852,25.26666667,22.76666667,25.15694444,27.7,23.2,2021,6,2,2,0,0,1,0,0,0,0,0,2.5,15.24,1.108333333,70.41666667,22.97083333,27.1,20.3
2021/6/3,4,0.031666667,0.19,0,4,0,24.43138889,25.4,22.9,25.25277778,27.3,23,2021,6,3,3,0,0,0,1,0,0,0,0.5,6.4,23.23,0.979166667,71.79166667,22.925,26,20.2
2021/6/4,2,0.015833333,0.19,0,2,0,24.44006944,25.36666667,22.83333333,24.93472222,27.1,23.5,2021,6,4,4,0,0,0,0,1,0,0,15.5,0,2.75,1.8875,96.75,21.475,24.1,20
2021/6/5,1,0.007916667,0.19,0,1,0,24.45918981,25.4,22.76666667,24.36944444,25.3,23.2,2021,6,5,5,0,0,0,0,0,1,0,0,1,18.39,0.520833333,78.29166667,22.73333333,25.1,20.9
2021/6/6,1,0.007916667,0.19,0,1,0,24.50045139,25.4,23.03333333,24.66805556,26.2,23,2021,6,6,6,0,0,0,0,0,0,1,0.5,0.6,9.1,0.570833333,82.375,22.725,24.7,21.5
2021/6/7,7,0.055416667,0.38,0,6,0,24.61592593,25.5,22.96666667,25.35,27.4,22.9,2021,6,7,0,1,0,0,0,0,0,0,0,4.4,15.89,0.770833333,71.75,24.6,28.9,21.3
2021/6/8,12,0.095,0.38,0,10,0,24.54009259,25.4,22.8,25.51944444,28.7,21.9,2021,6,8,1,0,1,0,0,0,0,0,0.5,8.8,22.35,1.029166667,64.70833333,26.5875,33.2,21.6
2021/6/9,10,0.079166667,0.38,0,8,0,24.60655093,25.4,23.03333333,25.63888889,28.9,23.2,2021,6,9,2,0,0,1,0,0,0,0,0,13.6,28.67,1.2,55.58333333,26.4,31.7,21.1
2021/6/10,10,0.079166667,0.38,0,8,0,24.65449074,25.36666667,22.96666667,25.27222222,28.1,15.7,2021,6,10,3,0,0,0,1,0,0,0,0,13.8,28.59,0.8875,63.41666667,25.9875,30,21.5
2021/6/11,9,0.07125,0.38,0,8,0,24.61851852,25.36666667,23.06666667,25.07361111,27.7,14.8,2021,6,11,4,0,0,0,0,1,0,0,0,9.9,24.17,1.1375,68.375,25.0875,30.4,21.9
2021/6/12,2,0.015833333,0.19,0,2,0,24.55506944,25.26666667,23.13333333,25.1125,25.9,23.7,2021,6,12,5,0,0,0,0,0,1,0,0,7.1,18.76,1.345833333,72.91666667,24.63333333,28.8,21.4
2021/6/13,1,0.007916667,0.19,0,1,0,24.60319444,25.53333333,23.1,25.60555556,27.1,24.4,2021,6,13,6,0,0,0,0,0,0,1,0,2.3,15.8,0.808333333,68.41666667,25.62916667,29.6,22.7
2021/6/14,2,0.015833333,0.19,0,2,0,24.76210648,25.63333333,22.96666667,25.58888889,28.3,20.9,2021,6,14,0,1,0,0,0,0,0,0,5,0,9.24,0.491666667,90.91666667,22.85833333,25.1,21.5
