,電力消費量,日平均入力比,日最大入力比,日最小入力比,日空調時間数,日全負荷運転時間数,日平均設定温度,日最大設定温度,日最小設定温度,日平均室内温度,日最大室内温度,日最小室内温度,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,降水量(mm),日照時間(時間),日射量(MJ/㎡),風速(m/s),相対湿度(％),平均外気温度,最高外気温度,最低外気温度
2021-04-01,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,25.017187500000002,26.8,21.9,2021,4,1,3,0,0,0,1,0,0,0,0.0,7.0,18.050000000000004,1.325,60.291666666666664,17.366666666666664,21.2,14.8
2021-04-02,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,24.97708333333333,26.8,22.2,2021,4,2,4,0,0,0,0,1,0,0,0.0,1.0,10.209999999999999,1.5333333333333334,63.083333333333336,16.662499999999998,19.9,14.5
2021-04-03,1.0,0.0025,0.06,0.0,1,0,24.0,30.0,15.0,24.519791666666666,25.9,23.0,2021,4,3,5,0,0,0,0,0,1,0,0.0,8.5,20.63,1.2375000000000003,62.625,17.633333333333333,21.0,14.4
2021-04-04,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,24.684375000000003,26.1,23.5,2021,4,4,6,0,0,0,0,0,0,1,4.0,2.3,14.31,1.7875000000000003,74.125,18.758333333333336,22.4,16.0
2021-04-05,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,23.983333333333334,26.1,21.5,2021,4,5,0,1,0,0,0,0,0,0,9.0,0.0,3.0900000000000003,1.7124999999999997,90.0,13.508333333333328,17.1,9.4
2021-04-06,2.0,0.005,0.06,0.0,2,0,24.119791666666668,30.0,15.0,21.9578125,30.3,20.1,2021,4,6,1,0,1,0,0,0,0,0,0.5,1.7000000000000002,14.27,1.8041666666666665,65.08333333333333,11.020833333333334,14.5,7.4
2021-04-07,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,22.15625,30.2,19.8,2021,4,7,2,0,0,1,0,0,0,0,0.0,10.100000000000001,24.38,1.1,59.5,14.395833333333334,19.0,9.1
2021-04-08,1.0,0.0025,0.06,0.0,1,0,24.0,30.0,15.0,22.846874999999997,29.6,20.9,2021,4,8,3,0,0,0,1,0,0,0,0.0,9.1,20.82,1.6541666666666666,63.666666666666664,14.220833333333331,18.3,10.5
2021-04-09,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,22.65364583333333,30.1,20.5,2021,4,9,4,0,0,0,0,1,0,0,0.0,5.3999999999999995,17.78,2.2791666666666672,48.166666666666664,12.858333333333336,19.2,9.0
2021-04-10,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,22.001041666666666,23.6,19.9,2021,4,10,5,0,0,0,0,0,1,0,0.0,11.299999999999999,23.95,1.979166666666666,41.083333333333336,11.4,16.2,7.1
2021-04-11,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,22.369270833333335,25.4,20.4,2021,4,11,6,0,0,0,0,0,0,1,0.0,12.100000000000001,25.549999999999997,0.9499999999999997,56.583333333333336,13.458333333333336,17.3,7.9
2021-04-12,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,22.86093749999999,28.4,20.6,2021,4,12,0,1,0,0,0,0,0,0,0.0,8.600000000000001,23.53,1.1333333333333333,60.666666666666664,15.150000000000004,18.8,10.4
2021-04-13,5.0,0.012499999999999999,0.12,0.0,4,0,24.21875,30.0,15.0,22.9453125,26.1,20.4,2021,4,13,1,0,1,0,0,0,0,0,0.0,0.7,7.7,1.3458333333333332,78.25,16.095833333333328,18.8,14.1
2021-04-14,1.0,0.0025,0.06,0.0,1,0,24.0,30.0,15.0,22.383333333333336,24.4,20.7,2021,4,14,2,0,0,1,0,0,0,0,17.0,0.0,4.52,2.0166666666666666,95.625,15.41666666666667,19.1,8.6
2021-04-15,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,21.898958333333336,30.3,19.8,2021,4,15,3,0,0,0,1,0,0,0,0.0,10.200000000000001,25.500000000000004,1.2625000000000002,53.291666666666664,11.737499999999999,16.6,7.2
2021-04-16,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,22.048958333333335,29.6,20.5,2021,4,16,4,0,0,0,0,1,0,0,0.0,3.6999999999999997,14.329999999999998,1.0000000000000002,64.25,14.50416666666667,18.0,10.3
2021-04-17,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,21.729166666666668,23.1,20.5,2021,4,17,5,0,0,0,0,0,1,0,28.5,0.0,4.659999999999999,0.6,78.45833333333333,15.845833333333331,18.0,14.9
2021-04-18,2.0,0.005,0.06,0.0,2,0,24.0,30.0,15.0,21.659895833333334,23.6,19.8,2021,4,18,6,0,0,0,0,0,0,1,24.0,12.5,27.07,3.1249999999999996,53.625,17.4125,22.9,13.7
2021-04-19,4.0,0.01,0.06,0.0,4,0,24.546875,30.0,15.0,22.77447916666667,29.3,20.7,2021,4,19,0,1,0,0,0,0,0,0,0.0,12.200000000000001,26.31,1.7416666666666665,39.25,16.812500000000004,21.1,12.1
2021-04-20,1.0,0.0025,0.06,0.0,1,0,25.125,26.0,24.0,23.746354166666666,25.5,21.0,2021,4,20,1,0,1,0,0,0,0,0,0.0,12.200000000000001,25.54000000000001,1.0166666666666668,51.583333333333336,18.48333333333333,23.9,11.6
2021-04-21,6.0,0.015,0.12,0.0,5,0,25.098958333333332,26.0,23.0,24.761979166666666,27.2,22.1,2021,4,21,2,0,0,1,0,0,0,0,0.0,12.5,26.660000000000004,2.5041666666666664,37.125,20.320833333333333,26.2,15.6
2021-04-22,8.0,0.02,0.12,0.0,7,0,25.005208333333332,26.0,23.0,25.24010416666667,27.3,22.7,2021,4,22,3,0,0,0,1,0,0,0,0.0,7.499999999999999,22.65,3.0416666666666674,30.041666666666668,19.133333333333336,26.6,12.1
