,電力消費量,日平均入力比,日最大入力比,日最小入力比,日空調時間数,日全負荷運転時間数,日平均設定温度,日最大設定温度,日最小設定温度,日平均室内温度,日最大室内温度,日最小室内温度,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,降水量(mm),日照時間(時間),日射量(MJ/㎡),風速(m/s),相対湿度(％),平均外気温度,最高外気温度,最低外気温度
2021/4/1,1,0.011666667,0.28,0,1,0,24.151875,25.46666667,21.9,22.25625,25,19.6,2021,4,1,3,0,0,0,1,0,0,0,0,7,18.05,1.325,60.29166667,17.36666667,21.2,14.8
2021/4/2,2,0.023333333,0.28,0,2,0,24.07388889,25.2,22.13333333,21.86458333,24.7,19.4,2021,4,2,4,0,0,0,0,1,0,0,0,1,10.21,1.533333333,63.08333333,16.6625,19.9,14.5
2021/4/3,1,0.011666667,0.28,0,1,0,24.03168981,25.26666667,22.06666667,21.84583333,23,20.4,2021,4,3,5,0,0,0,0,0,1,0,0,8.5,20.63,1.2375,62.625,17.63333333,21,14.4
2021/4/4,1,0.011666667,0.28,0,1,0,24.005,25.23333333,22.1,22.3625,23.7,21.6,2021,4,4,6,0,0,0,0,0,0,1,4,2.3,14.31,1.7875,74.125,18.75833333,22.4,16
2021/4/5,1,0.011666667,0.28,0,1,0,24.09761574,25.56666667,22.1,20.85625,23.1,17.9,2021,4,5,0,1,0,0,0,0,0,0,9,0,3.09,1.7125,90,13.50833333,17.1,9.4
2021/4/6,8,0.0925,0.55,0,6,0,24.14204861,25.56666667,22,19.97708333,22.4,17.9,2021,4,6,1,0,1,0,0,0,0,0,0.5,1.7,14.27,1.804166667,65.08333333,11.02083333,14.5,7.4
2021/4/7,4,0.046666667,0.28,0,4,0,23.9887037,25.46666667,21.96666667,20.84583333,23.8,17.9,2021,4,7,2,0,0,1,0,0,0,0,0,10.1,24.38,1.1,59.5,14.39583333,19,9.1
2021/4/8,2,0.023333333,0.28,0,2,0,23.87766204,25.36666667,21.73333333,20.95208333,22.3,18.4,2021,4,8,3,0,0,0,1,0,0,0,0,9.1,20.82,1.654166667,63.66666667,14.22083333,18.3,10.5
2021/4/9,3,0.034583333,0.55,0,2,0,23.82078704,25.16666667,21.86666667,20.14583333,21.6,16.4,2021,4,9,4,0,0,0,0,1,0,0,0,5.4,17.78,2.279166667,48.16666667,12.85833333,19.2,9
2021/4/10,1,0.011666667,0.28,0,1,0,23.86729167,25.3,21.93333333,19.38333333,20.9,16.4,2021,4,10,5,0,0,0,0,0,1,0,0,11.3,23.95,1.979166667,41.08333333,11.4,16.2,7.1
2021/4/11,1,0.011666667,0.28,0,1,0,23.87298611,25.26666667,21.86666667,20.24583333,21,19.6,2021,4,11,6,0,0,0,0,0,0,1,0,12.1,25.55,0.95,56.58333333,13.45833333,17.3,7.9
2021/4/12,3,0.035,0.28,0,3,0,23.99618056,25.33333333,21.96666667,20.75625,22.2,18.5,2021,4,12,0,1,0,0,0,0,0,0,0,8.6,23.53,1.133333333,60.66666667,15.15,18.8,10.4
2021/4/13,1,0.011666667,0.28,0,1,0,24.08006944,25.36666667,22.13333333,21.06458333,23,19.2,2021,4,13,1,0,1,0,0,0,0,0,0,0.7,7.7,1.345833333,78.25,16.09583333,18.8,14.1
2021/4/14,1,0.011666667,0.28,0,1,0,24.06643519,25.43333333,22.1,21.03541667,23.2,19.4,2021,4,14,2,0,0,1,0,0,0,0,17,0,4.52,2.016666667,95.625,15.41666667,19.1,8.6
2021/4/15,7,0.080833333,0.55,0,5,0,24.08666667,25.4,22.1,20.53541667,23.1,17.8,2021,4,15,3,0,0,0,1,0,0,0,0,10.2,25.5,1.2625,53.29166667,11.7375,16.6,7.2
2021/4/16,4,0.04625,0.55,0,3,0,24.15206019,25.56666667,22.13333333,21.00208333,23.6,18.4,2021,4,16,4,0,0,0,0,1,0,0,0,3.7,14.33,1,64.25,14.50416667,18,10.3
2021/4/17,1,0.011666667,0.28,0,1,0,24.26256944,25.56666667,22.33333333,21.09791667,22,19.9,2021,4,17,5,0,0,0,0,0,1,0,28.5,0,4.66,0.6,78.45833333,15.84583333,18,14.9
2021/4/18,1,0.011666667,0.28,0,1,0,24.09541667,25.4,22.16666667,21.09375,22,20.1,2021,4,18,6,0,0,0,0,0,0,1,24,12.5,27.07,3.125,53.625,17.4125,22.9,13.7
2021/4/19,1,0.011666667,0.28,0,1,0,24.12077546,25.46666667,22.06666667,21.39166667,23.3,18.7,2021,4,19,0,1,0,0,0,0,0,0,0,12.2,26.31,1.741666667,39.25,16.8125,21.1,12.1
2021/4/20,1,0.011666667,0.28,0,1,0,24.22381944,25.36666667,22.5,22.34375,24.6,20.6,2021,4,20,1,0,1,0,0,0,0,0,0,12.2,25.54,1.016666667,51.58333333,18.48333333,23.9,11.6
2021/4/21,1,0.011666667,0.28,0,1,0,24.17570602,25.4,22.43333333,22.7875,25.6,19.1,2021,4,21,2,0,0,1,0,0,0,0,0,12.5,26.66,2.504166667,37.125,20.32083333,26.2,15.6
2021/4/22,2,0.023333333,0.28,0,2,0,24.09077546,25.36666667,22.33333333,22.96666667,26.6,21,2021,4,22,3,0,0,0,1,0,0,0,0,7.5,22.65,3.041666667,30.04166667,19.13333333,26.6,12.1
2021/4/23,1,0.011666667,0.28,0,1,0,24.16229167,25.23333333,22.6,21.86041667,24.6,18.3,2021,4,23,4,0,0,0,0,1,0,0,0,11.7,27.63,1.420833333,52.08333333,15.1375,19.5,9.9
2021/4/24,1,0.011666667,0.28,0,1,0,24.24104167,25.26666667,22.6,22.03541667,23,20.8,2021,4,24,5,0,0,0,0,0,1,0,0,11.9,24.19,0.991666667,56.58333333,16.8125,21.9,11.4
2021/4/25,1,0.011666667,0.28,0,1,0,24.23784722,25.26666667,22.76666667,22.11666667,24.2,19.6,2021,4,25,6,0,0,0,0,0,0,1,0,4.9,19.11,1.758333333,60.125,17.85416667,24.1,12.2
2021/4/26,1,0.011666667,0.28,0,1,0,24.19681713,25.26666667,22.6,20.93958333,24.3,17.3,2021,4,26,0,1,0,0,0,0,0,0,0,12.8,28.26,3.266666667,33.95833333,14.32916667,19,9.3
2021/4/27,1,0.011666667,0.28,0,1,0,24.17861111,25.16666667,22.7,21.63125,23.5,19.1,2021,4,27,1,0,1,0,0,0,0,0,0,9.6,24.54,1.225,53.29166667,15.5375,18.8,10.7
