,型番名,型番,方角,方角(cos),方角(sin),方角(tan),フロア,用途名,用途,冷房定格電力kW,50%容量時定格冷房電力kW,暖房定格電力kW,冷房定格能力kW,50%容量時冷房能力kW,暖房定格能力kW,処理面積,年平均設定温度,年最高設定温度,年最低設定温度,年最高設定温度-年平均設定温度,年平均設定温度-年最低設定温度,年最高設定温度-年最低設定温度,年平均室内温度,年最高室内温度,年最低室内温度,年最高室内温度-年平均室内温度,年平均室内温度-年最低室内温度,年最高室内温度-年最低室内温度,夏期定格5%発揮時間数,夏期全負荷運転時間数,冬期定格5%発揮時間数,冬期全負荷運転時間数,夏期平均室内温度,冬期平均設定温度
EHPK-1,RXYP450AA,1,共用,0,0,0,1,共用,0,13.6,6.23,13.5,45,22.5,50,331,25.4643646,28.58333333,23.33333333,3.118968735,2.131031265,5.25,23.43483447,31.63333333,0,8.198498858,23.43483447,31.63333333,1194,0,1287,0,26.13242828,26.19206267
EHPK-2,RXYP224AA,2,共用,0,0,0,2,共用,0,5.24,2.29,6.33,22.4,11.2,25,78,25.00019041,26.66666667,25,1.666476256,0.000190411,1.666666667,22.91141553,29.9,0,6.988584475,22.91141553,29.9,131,0,174,0,25.60471311,25
EHPK-3,RXYP224AA,2,共用,0,0,0,5,共用,0,5.24,2.29,6.33,22.4,11.2,25,77,25,25,25,0,0,0,22.58865677,32.8,0,10.21134323,22.58865677,32.8,130,0,153,0,27.24231557,25
GHEX-1,RXYP224AA,2,共用,0,0,0,1,外気処理,0,5.24,2.29,6.33,22.4,11.2,25,282,24.24342003,27.81583333,20.31222222,3.5724133,3.931197811,0,22.12582953,34.26666667,0,12.14083714,22.12582953,34.26666667,581,2,789,0,25.7744877,23.96448957
GHEX-2,RXYP140AA,3,共用,0,0,0,2,外気処理,0,3.36,1.54,3.88,14,7,16,151,24.24342003,27.81583333,20.31222222,3.5724133,3.931197811,0,21.72451484,31.95,0,10.22548516,21.72451484,31.95,517,0,792,0,25.75928962,23.96448957
GHEX-3,RXYP140AA,3,共用,0,0,0,2,外気処理,0,3.36,1.54,3.88,14,7,16,151,24.24342003,27.81583333,20.31222222,3.5724133,3.931197811,0,22.19189498,30.85,0,8.658105023,22.19189498,30.85,488,0,776,0,25.84354508,23.96448957
GHEX-4,RXYP140AA,3,共用,0,0,0,4,外気処理,0,3.36,1.54,3.88,14,7,16,151,24.24342003,27.81583333,20.31222222,3.5724133,3.931197811,0,22.13318683,32.50416667,0,10.37097983,22.13318683,32.50416667,373,0,158,0,26.22496158,23.96448957
GHEX-5,RXYP140AA,3,共用,0,0,0,5,外気処理,0,3.36,1.54,3.88,14,7,16,156,24.24342003,27.81583333,20.31222222,3.5724133,3.931197811,0,22.49050799,32.95,0,10.45949201,22.49050799,32.95,640,0,801,0,27.52252391,23.96448957
EHP1-1,RXYP690AA,4,南東,0.707106,-0.707106,-1,1,研修室,1,19.5,8.93,21,69,34.5,77.5,313,25.92293452,30,20,4.077065478,5.922934522,10,24.68791324,38.12,0,13.43208676,24.68791324,38.12,1117,5,1380,0,25.34743852,27.37325982
EHP1-2,RXYP450AA,1,北西,-0.707106,0.707106,-1,1,応接室,1,13.6,6.23,13.5,45,22.5,50,225,25.88452531,30,20,4.115474694,5.884525306,10,25.0680156,34.68333333,0,9.615317732,25.0680156,34.68333333,1432,0,1788,1,25.98343579,27.20738636
EHP1-3,RXYP500AA,5,北東,0.707106,0.707106,1,1,受付,1,15.9,7.28,16.6,50,25,56,250,26.6557466,30,21,3.344253399,5.655746601,9,24.71715753,31.2,0,6.482842466,24.71715753,31.2,2900,0,2773,0,25.70386783,28.28753444
EHP2-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,2,事務室,1,13.6,6.23,13.5,45,22.5,50,263,25.4148292,28,20,2.585170799,5.414829201,8,25.18616438,39.86666667,0,14.68050228,25.18616438,39.86666667,1137,0,1216,2,26.25894809,24.72222222
