,ãCâ∑(Åé),ç~êÖó (mm),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ëäëŒéºìx(Åì),ì˙éÀó (MJ/áu)
2021/3/31 1:00,16.8,0,,1,73,0
2021/3/31 2:00,16.5,0,,0.3,74,0
2021/3/31 3:00,16.7,0,,1.1,76,0
2021/3/31 4:00,16.3,0,,1.6,76,0
2021/3/31 5:00,15.6,0,,2.8,85,0
2021/3/31 6:00,15.5,0,0,2.5,78,0.01
2021/3/31 7:00,15.9,0,0.9,3,68,0.28
2021/3/31 8:00,17,0,1,4.2,46,1.12
2021/3/31 9:00,18,0,1,4.4,37,1.94
2021/3/31 10:00,18.8,0,1,3.9,27,2.55
2021/3/31 11:00,19.6,0,1,4.7,25,2.97
2021/3/31 12:00,20.2,0,1,3.8,30,3.13
2021/3/31 13:00,21,0,1,3.1,33,3.05
2021/3/31 14:00,21.2,0,1,1.4,32,2.75
2021/3/31 15:00,21.9,0,1,1.3,45,2.12
2021/3/31 16:00,21.2,0,0.8,1.2,46,1.41
2021/3/31 17:00,19.7,0,0.1,2,46,0.65
2021/3/31 18:00,18.6,0,0.1,1,52,0.12
2021/3/31 19:00,17.9,0,,1.1,51,0
2021/3/31 20:00,17.3,0,,0.9,54,0
2021/3/31 21:00,16.8,0,,1.2,60,0
2021/3/31 22:00,16.5,0,,0.6,58,0
2021/3/31 23:00,16.3,0,,0.6,63,0
2021/4/1 0:00,16.3,0,,0.9,65,0
2021/4/1 1:00,15.9,0,,0.8,64,0
2021/4/1 2:00,16,0,,0.5,65,0
2021/4/1 3:00,16.1,0,,0.6,61,0
2021/4/1 4:00,14.6,0,,2.3,64,0
2021/4/1 5:00,14.5,0,,1.7,62,0
2021/4/1 6:00,13.5,0,0,1.3,62,0.02
2021/4/1 7:00,14.3,0,0,1.4,57,0.32
2021/4/1 8:00,14.5,0,0,2,56,0.54
2021/4/1 9:00,15.2,0,0.2,1.6,55,1.4
2021/4/1 10:00,16.9,0,0.7,1.1,51,2.17
2021/4/1 11:00,18,0,1,1.7,56,2.36
2021/4/1 12:00,18.3,0,1,0.9,51,2.39
2021/4/1 13:00,19.8,0,1,1.1,51,2.06
2021/4/1 14:00,20.5,0,1,1.1,50,2.3
2021/4/1 15:00,21.5,0,1,0.8,47,2.22
2021/4/1 16:00,20.6,0,1,1.3,54,1.47
2021/4/1 17:00,19.2,0,0.1,1.1,59,0.63
2021/4/1 18:00,17.4,0,0,2.2,67,0.17
2021/4/1 19:00,16.4,0,0,1.2,69,0
2021/4/1 20:00,16.3,0,,1.1,69,0
2021/4/1 21:00,15.4,0,,1.7,70,0
2021/4/1 22:00,15,0,,1.5,72,0
2021/4/1 23:00,14.6,0,,1.9,70,0
2021/4/2 0:00,14.6,0,,1.7,70,0
2021/4/2 1:00,14.5,0,,2,70,0
2021/4/2 2:00,14.2,0,,2.1,68,0
2021/4/2 3:00,14.1,0,,1.5,68,0
2021/4/2 4:00,13.8,0,,1.7,69,0
2021/4/2 5:00,13.7,0,,0.9,70,0
2021/4/2 6:00,13.7,0,0,0.9,69,0.01
2021/4/2 7:00,14.3,0,0,1.8,68,0.36
2021/4/2 8:00,14.5,0,0,1.2,66,0.83
2021/4/2 9:00,15,0,0,1.8,65,0.98
2021/4/2 10:00,15.7,0,0,2.2,61,1.52
2021/4/2 11:00,17,0,0,1.5,58,1.45
2021/4/2 12:00,17.4,0,0.3,1.2,54,1.42
2021/4/2 13:00,18.7,0,0,1.6,52,1
2021/4/2 14:00,18.7,0,0.1,2.2,53,0.94
2021/4/2 15:00,19.1,0,0.1,1.6,52,1.09
2021/4/2 16:00,19,0,0.5,1.5,56,0.47
2021/4/2 17:00,18.3,0,0,1.7,60,0.11
2021/4/2 18:00,17.2,0,0,1.5,60,0.03
2021/4/2 19:00,16.9,0,0,1.2,64,0
2021/4/2 20:00,16.1,0,,1.7,64,0
2021/4/2 21:00,15.6,0,,1.2,63,0
2021/4/2 22:00,15.4,0,,1,67,0
2021/4/2 23:00,15,0,,1.1,67,0
2021/4/3 0:00,14.6,0,,0.9,70,0
2021/4/3 1:00,14.5,0,,0.6,69,0
2021/4/3 2:00,14.8,0,,1,69,0
2021/4/3 3:00,14.5,0,,0.6,72,0
2021/4/3 4:00,13.7,0,,0.2,75,0
2021/4/3 5:00,12.2,0,,0,80,0
2021/4/3 6:00,12.8,0,0,1.1,79,0.05
2021/4/3 7:00,14.3,0,1,1.6,67,0.52
2021/4/3 8:00,15.4,0,1,1.5,63,1.04
2021/4/3 9:00,16.5,0,1,1.3,63,1.23
2021/4/3 10:00,17.5,0,0.3,0.8,48,2.66
2021/4/3 11:00,19,0,0.3,1.3,45,2.4
2021/4/3 12:00,19.9,0,0.8,1.4,43,3.26
2021/4/3 13:00,20.6,0,1,1.4,42,3.21
2021/4/3 14:00,22.4,0,1,1.9,46,2.7
2021/4/3 15:00,21.9,0,0.9,2.9,48,1.61
