ポイント番号,ポイント名称,単位,空調機,特徴量
312000525,EHP-1-1-1 温度設定,℃,EHP1-1,設定温度
312000526,EHP-1-1-1 室内温度,℃,EHP1-1,室内温度
312000527,EHP-1-1-2 温度設定,℃,EHP1-1,設定温度
312000528,EHP-1-1-2 室内温度,℃,EHP1-1,室内温度
312000529,EHP-1-1-3 温度設定,℃,EHP1-1,設定温度
312000530,EHP-1-1-3 室内温度,℃,EHP1-1,室内温度
312000531,EHP-1-1-4 温度設定,℃,EHP1-1,設定温度
312000532,EHP-1-1-4 室内温度,℃,EHP1-1,室内温度
312000533,EHP-1-1-5 温度設定,℃,EHP1-1,設定温度
312000534,EHP-1-1-5 室内温度,℃,EHP1-1,室内温度
312000535,EHP-1-2-1 室内温度,℃,EHP1-2,室内温度
312000536,EHP-1-2-2 温度設定,℃,EHP1-2,設定温度
312000537,EHP-1-2-2 室内温度,℃,EHP1-2,室内温度
312000538,EHP-1-2-3 温度設定,℃,EHP1-2,設定温度
312000539,EHP-1-2-3 室内温度,℃,EHP1-2,室内温度
312000540,EHP-1-2-4 温度設定,℃,EHP1-2,設定温度
312000541,EHP-1-2-4 室内温度,℃,EHP1-2,室内温度
312000542,EHP-1-2-5 温度設定,℃,EHP1-2,設定温度
312000543,EHP-1-2-5 室内温度,℃,EHP1-2,室内温度
312000544,EHP-1-2-6 室内温度,℃,EHP1-2,室内温度
312000545,EHP-1-3-1 温度設定,℃,EHP1-3,設定温度
312000546,EHP-1-3-1 室内温度,℃,EHP1-3,室内温度
312000547,EHP-1-3-2 温度設定,℃,EHP1-3,設定温度
312000548,EHP-1-3-2 室内温度,℃,EHP1-3,室内温度
312000549,EHP-1-3-3 温度設定,℃,EHP1-3,設定温度
312000550,EHP-1-3-3 室内温度,℃,EHP1-3,室内温度
312000551,EHP-1-3-4 温度設定,℃,EHP1-3,設定温度
312000552,EHP-1-3-4 室内温度,℃,EHP1-3,室内温度
312000553,EHP-1-4-1 温度設定,℃,EHP1-4,設定温度
312000554,EHP-1-4-1 室内温度,℃,EHP1-4,室内温度
312000555,EHPK-1-1 温度設定,℃,EHPK-1,設定温度
312000556,EHPK-1-1 室内温度,℃,EHPK-1,室内温度
312000557,EHPK-1-2 温度設定,℃,EHPK-1,設定温度
312000558,EHPK-1-2 室内温度,℃,EHPK-1,室内温度
312000559,EHPK-1-3 温度設定,℃,EHPK-1,設定温度
312000560,EHPK-1-3 室内温度,℃,EHPK-1,室内温度
312000561,EHPK-1-4 温度設定,℃,EHPK-1,設定温度
312000562,EHPK-1-4 室内温度,℃,EHPK-1,室内温度
312000563,EHPK-2-1 温度設定,℃,EHPK-2,設定温度
312000564,EHPK-2-1 室内温度,℃,EHPK-2,室内温度
312000565,EHPK-1-5 温度設定,℃,EHPK-1,設定温度
312000566,EHPK-1-5 室内温度,℃,EHPK-1,室内温度
312000567,EHPK-2-2 温度設定,℃,EHPK-2,設定温度
312000568,EHPK-2-2 室内温度,℃,EHPK-2,室内温度
312000569,EHPK-1-6 温度設定,℃,EHPK-1,設定温度
312000570,EHPK-1-6 室内温度,℃,EHPK-1,室内温度
312000571,EHPK-2-3 温度設定,℃,EHPK-2,設定温度
312000572,EHPK-2-3 室内温度,℃,EHPK-2,室内温度
312000573,EHPK-3-1 温度設定,℃,EHPK-3,設定温度
312000574,EHPK-3-1 室内温度,℃,EHPK-3,室内温度
312000575,EHPK-3-2 温度設定,℃,EHPK-3,設定温度
312000576,EHPK-3-2 室内温度,℃,EHPK-3,室内温度
312000577,EHPK-3-3 温度設定,℃,EHPK-3,設定温度
312000578,EHPK-3-3 室内温度,℃,EHPK-3,室内温度
312000579,GHEX-1-1 室内温度,℃,GHEX-1,室内温度
312000580,GHEX-1-2 室内温度,℃,GHEX-1,室内温度
312000581,GHEX-1-3 室内温度,℃,GHEX-1,室内温度
312000582,GHEX-2-1 室内温度,℃,GHEX-2,室内温度
312000583,GHEX-2-2 室内温度,℃,GHEX-2,室内温度
312000584,GHEX-3-1 室内温度,℃,GHEX-3,室内温度
312000585,GHEX3-2 室内温度,℃,GHEX-3,室内温度
312000586,GHEX4-1 室内温度,℃,GHEX-4,室内温度
312000587,GHEX4-2 室内温度,℃,GHEX-4,室内温度
312000588,GHEX-5-1 室内温度,℃,GHEX-5,室内温度
312000589,GHEX-5-2 室内温度,℃,GHEX-5,室内温度
312000590,EHP2-2-1.2 温度設定,℃,EHP2-2,設定温度
312000591,EHP2-2-1.2 室内温度,℃,EHP2-2,室内温度
312000592,EHP2-2-3.4 温度設定,℃,EHP2-2,設定温度
312000593,EHP2-2-3.4 室内温度,℃,EHP2-2,室内温度
312000594,EHP2-2-5.6 温度設定,℃,EHP2-2,設定温度
312000595,EHP2-2-5.6 室内温度,℃,EHP2-2,室内温度
312000596,EHP2-2-7 温度設定,℃,EHP2-2,設定温度
312000597,EHP2-2-7 室内温度,℃,EHP2-2,室内温度
312000598,EHP2-2-8.9 温度設定,℃,EHP2-2,設定温度
312000599,EHP2-2-8.9 室内温度,℃,EHP2-2,室内温度
312000600,EHP2-3-1.2 温度設定,℃,EHP2-3,設定温度
312000601,EHP2-3-1.2 室内温度,℃,EHP2-3,室内温度
312000602,EHP2-3-3.4 温度設定,℃,EHP2-3,設定温度
312000603,EHP2-3-3.4 室内温度,℃,EHP2-3,室内温度
312000604,EHP2-5-1.2 温度設定,℃,EHP2-5,設定温度
312000605,EHP2-5-1.2 室内温度,℃,EHP2-5,室内温度
312000606,EHP2-5-3 温度設定,℃,EHP2-5,設定温度
312000607,EHP2-5-3 室内温度,℃,EHP2-5,室内温度
312000608,EHP2-4-1.2 温度設定,℃,EHP2-4,設定温度
312000609,EHP2-4-1.2 室内温度,℃,EHP2-4,室内温度
312000610,EHP2-4-3.4 温度設定,℃,EHP2-4,設定温度
312000611,EHP2-4-3.4 室内温度,℃,EHP2-4,室内温度
312000612,EHP2-4-5.6 温度設定,℃,EHP2-4,設定温度
312000613,EHP2-4-5.6 室内温度,℃,EHP2-4,室内温度
312000614,EHP2-4-7.8 温度設定,℃,EHP2-4,設定温度
312000615,EHP2-4-7.8 室内温度,℃,EHP2-4,室内温度
312000616,EHP2-1-1.2 温度設定,℃,EHP2-1,設定温度
312000617,EHP2-1-1.2 室内温度,℃,EHP2-1,室内温度
312000618,EHP2-1-3.4 温度設定,℃,EHP2-1,設定温度
312000619,EHP2-1-3.4 室内温度,℃,EHP2-1,室内温度
312000620,EHP2-1-5.6 温度設定,℃,EHP2-1,設定温度
312000621,EHP2-1-5.6 室内温度,℃,EHP2-1,室内温度
312000622,EHP2-6-1.2 温度設定,℃,EHP2-6,設定温度
312000623,EHP2-6-1.2 室内温度,℃,EHP2-6,室内温度
312000624,EHP3-2-1.2 温度設定,℃,EHP3-2,設定温度
312000625,EHP3-2-1.2 室内温度,℃,EHP3-2,室内温度
312000626,EHP3-2-3.4 温度設定,℃,EHP3-2,設定温度
312000627,EHP3-2-3.4 室内温度,℃,EHP3-2,室内温度
312000628,EHP3-2-5.6 温度設定,℃,EHP3-2,設定温度
312000629,EHP3-2-5.6 室内温度,℃,EHP3-2,室内温度
312000630,EHP3-2-7 温度設定,℃,EHP3-2,設定温度
312000631,EHP3-2-7 室内温度,℃,EHP3-2,室内温度
312000632,EHP3-2-8.9 温度設定,℃,EHP3-2,設定温度
312000633,EHP3-2-8.9 室内温度,℃,EHP3-2,室内温度
312000634,EHP3-3-1.2 温度設定,℃,EHP3-3,設定温度
312000635,EHP3-3-1.2 室内温度,℃,EHP3-3,室内温度
312000636,EHP3-3-3.4 温度設定,℃,EHP3-3,設定温度
312000637,EHP3-3-3.4 室内温度,℃,EHP3-3,室内温度
312000638,EHP3-5-1.2 温度設定,℃,EHP3-5,設定温度
312000639,EHP3-5-1.2 室内温度,℃,EHP3-5,室内温度
312000640,EHP3-5-3 温度設定,℃,EHP3-5,設定温度
312000641,EHP3-5-3 室内温度,℃,EHP3-5,室内温度
312000642,EHP3-4-1.2 温度設定,℃,EHP3-4,設定温度
312000643,EHP3-4-1.2 室内温度,℃,EHP3-4,室内温度
312000644,EHP3-4-3.4 温度設定,℃,EHP3-4,設定温度
312000645,EHP3-4-3.4 室内温度,℃,EHP3-4,室内温度
312000646,EHP3-4-5.6 温度設定,℃,EHP3-4,設定温度
312000647,EHP3-4-5.6 室内温度,℃,EHP3-4,室内温度
312000648,EHP3-4-7.8 温度設定,℃,EHP3-4,設定温度
312000649,EHP3-4-7.8 室内温度,℃,EHP3-4,室内温度
312000650,EHP3-1-1.2 温度設定,℃,EHP3-1,設定温度
312000651,EHP3-1-1.2 室内温度,℃,EHP3-1,室内温度
312000652,EHP3-1-3.4 温度設定,℃,EHP3-1,設定温度
312000653,EHP3-1-3.4 室内温度,℃,EHP3-1,室内温度
312000654,EHP3-1-5.6 温度設定,℃,EHP3-1,設定温度
312000655,EHP3-1-5.6 室内温度,℃,EHP3-1,室内温度
312000656,EHP3-6-1.2 温度設定,℃,EHP3-6,設定温度
312000657,EHP3-6-1.2 室内温度,℃,EHP3-6,室内温度
312000658,EHP4-2-1.2 温度設定,℃,EHP4-2,設定温度
312000659,EHP4-2-1.2 室内温度,℃,EHP4-2,室内温度
312000660,EHP4-2-3.4 温度設定,℃,EHP4-2,設定温度
312000661,EHP4-2-3.4 室内温度,℃,EHP4-2,室内温度
312000662,EHP4-2-5.6 温度設定,℃,EHP4-2,設定温度
312000663,EHP4-2-5.6 室内温度,℃,EHP4-2,室内温度
312000664,EHP4-2-7 温度設定,℃,EHP4-2,設定温度
312000665,EHP4-2-7 室内温度,℃,EHP4-2,室内温度
312000666,EHP4-2-8.9 温度設定,℃,EHP4-2,設定温度
312000667,EHP4-2-8.9 室内温度,℃,EHP4-2,室内温度
312000668,EHP4-3-1.2 温度設定,℃,EHP4-3,設定温度
312000669,EHP4-3-1.2 室内温度,℃,EHP4-3,室内温度
312000670,EHP4-3-3.4 温度設定,℃,EHP4-3,設定温度
312000671,EHP4-3-3.4 室内温度,℃,EHP4-3,室内温度
312000672,EHP4-5-1.2 温度設定,℃,EHP4-5,設定温度
312000673,EHP4-5-1.2 室内温度,℃,EHP4-5,室内温度
312000674,EHP4-5-3 温度設定,℃,EHP4-5,設定温度
312000675,EHP4-5-3 室内温度,℃,EHP4-5,室内温度
312000676,EHP4-4-1.2 温度設定,℃,EHP4-4,設定温度
312000677,EHP4-4-1.2 室内温度,℃,EHP4-4,室内温度
312000678,EHP4-4-3.4 温度設定,℃,EHP4-4,設定温度
312000679,EHP4-4-3.4 室内温度,℃,EHP4-4,室内温度
312000680,EHP4-4-5.6 温度設定,℃,EHP4-4,設定温度
312000681,EHP4-4-5.6 室内温度,℃,EHP4-4,室内温度
312000682,EHP4-4-7.8 温度設定,℃,EHP4-4,設定温度
312000683,EHP4-4-7.8 室内温度,℃,EHP4-4,室内温度
312000684,EHP4-1-1.2 温度設定,℃,EHP4-1,設定温度
312000685,EHP4-1-1.2 室内温度,℃,EHP4-1,室内温度
312000686,EHP4-1-3.4 温度設定,℃,EHP4-1,設定温度
312000687,EHP4-1-3.4 室内温度,℃,EHP4-1,室内温度
312000688,EHP4-1-5.6 温度設定,℃,EHP4-1,設定温度
312000689,EHP4-1-5.6 室内温度,℃,EHP4-1,室内温度
312000690,EHP4-6-1.2 温度設定,℃,EHP4-6,設定温度
312000691,EHP4-6-1.2 室内温度,℃,EHP4-6,室内温度
312000692,EHP5-2-1.2 温度設定,℃,EHP5-2,設定温度
312000693,EHP5-2-1.2 室内温度,℃,EHP5-2,室内温度
312000694,EHP5-2-3.4 温度設定,℃,EHP5-2,設定温度
312000695,EHP5-2-3.4 室内温度,℃,EHP5-2,室内温度
312000696,EHP5-2-5.6 温度設定,℃,EHP5-2,設定温度
312000697,EHP5-2-5.6 室内温度,℃,EHP5-2,室内温度
312000698,EHP5-2-7 温度設定,℃,EHP5-2,設定温度
312000699,EHP5-2-7 室内温度,℃,EHP5-2,室内温度
312000700,EHP5-2-8 温度設定,℃,EHP5-2,設定温度
312000701,EHP5-2-8 室内温度,℃,EHP5-2,室内温度
312000702,EHP5-1-1.2 温度設定,℃,EHP5-1,設定温度
312000703,EHP5-1-1.2 室内温度,℃,EHP5-1,室内温度
312000704,EHP5-1-3.4 温度設定,℃,EHP5-1,設定温度
312000705,EHP5-1-3.4 室内温度,℃,EHP5-1,室内温度
312000706,EHP5-1-5 温度設定,℃,EHP5-1,設定温度
312000707,EHP5-1-5 室内温度,℃,EHP5-1,室内温度
312000708,EHP5-1-6 温度設定,℃,EHP5-1,設定温度
312000709,EHP5-1-6 室内温度,℃,EHP5-1,室内温度
312000710,EHP5-1-7 温度設定,℃,EHP5-1,設定温度
312000711,EHP5-1-7 室内温度,℃,EHP5-1,室内温度
312000712,EHP5-3-1 温度設定,℃,EHP5-3,設定温度
312000713,EHP5-3-1 室内温度,℃,EHP5-3,室内温度
312000714,EHP5-3-2 温度設定,℃,EHP5-3,設定温度
312000715,EHP5-3-2 室内温度,℃,EHP5-3,室内温度
312000716,EHP6-2-1 温度設定,℃,EHP6-2,設定温度
312000717,EHP6-2-1 室内温度,℃,EHP6-2,室内温度
312000718,EHP6-2-2 温度設定,℃,EHP6-2,設定温度
