,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-12-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,6.0,0.0,0.0
2021-12-02,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,7.0,6.0,0.0,0.0
2021-12-03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,6.0,6.0,6.0,1.0,0.0
2021-12-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,1.0,0.0,0.0,0.0
2021-12-05,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,7.0,9.0,0.0,5.0,3.0,5.0,0.0,1.0
2021-12-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,8.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0
2021-12-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-12-08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-12-09,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0,0.0,6.0,4.0,7.0,4.0,6.0
2021-12-10,5.0,5.0,5.0,5.0,5.0,0.0,1.0,7.0,6.0,5.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,0.0,0.0,3.0,5.0,0.0,0.0
2021-12-11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,6.0,5.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-12-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,0.0,7.0,6.0,7.0
2021-12-13,6.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0
2021-12-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,9.0,6.0,8.0,7.0,6.0,7.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-12-15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,8.0,6.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0
2021-12-16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,2.0,8.0,0.0,1.0
2021-12-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,8.0,7.0,5.0,8.0,5.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-12-18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,11.0,12.0,12.0,11.0,11.0,11.0,0.0,14.0,6.0,13.0,0.0,0.0
2021-12-19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,20.0,15.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,2.0,6.0,4.0,6.0,4.0,0.0
2021-12-20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,17.0,13.0,9.0,8.0,7.0,7.0,6.0,6.0,7.0,6.0,1.0,0.0,8.0,7.0,0.0,1.0
2021-12-21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-12-22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,10.0,8.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,0.0,1.0,7.0,7.0,0.0,0.0
2021-12-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,9.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,6.0,1.0,7.0,5.0,7.0,0.0,0.0
2021-12-24,1.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,9.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,3.0,5.0,7.0,0.0,0.0
2021-12-25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,1.0,7.0,0.0,0.0
2021-12-26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,9.0,10.0,6.0,8.0,10.0,10.0,11.0,10.0,3.0,0.0
2021-12-27,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.0,13.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,1.0,4.0,9.0,0.0,1.0
