,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-06-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0
2021-06-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0
2021-06-03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,6.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0
2021-06-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0
2021-06-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,5.0,6.0,4.0,4.0,6.0,8.0,7.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0
2021-06-08,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,8.0,7.0,6.0,9.0,8.0,8.0,6.0,4.0,4.0,3.0,0.0,4.0,0.0,0.0
2021-06-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,7.0,7.0,6.0,7.0,4.0,6.0,3.0,2.0,4.0,2.0,3.0,0.0,0.0
2021-06-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,5.0,8.0,8.0,9.0,7.0,9.0,6.0,2.0,6.0,1.0,4.0,0.0,0.0
2021-06-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-06-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,5.0,10.0,8.0,3.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
2021-06-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,2.0,4.0,0.0,2.0,1.0,0.0
2021-06-15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,7.0,6.0,7.0,11.0,7.0,7.0,7.0,6.0,4.0,6.0,1.0,3.0,3.0,0.0
2021-06-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,6.0,6.0,3.0,4.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0
2021-06-17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0
2021-06-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,3.0,5.0,0.0,0.0,0.0,1.0
2021-06-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,7.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-06-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
