,型番,方角,フロア,用途,冷房定格電力kW,暖房定格電力kW,冷房定格能力kW,暖房定格能力kW,50%容量時定格冷房電力kW,50%容量時冷房能力kW
EHPK-1,RXYP450AA,共用,1~4,共用,13.6,13.5,45,50,6.23,22.5
EHPK-2,RXYP224AA,共用,2~4,共用,5.24,6.33,22.4,25,2.29,11.2
EHPK-3,RXYP224AA,共用,5~6,共用,5.24,6.33,22.4,25,2.29,11.2
GHEX-1,RXYP224AA,共用,1,外気処理,5.24,6.33,22.4,25,2.29,11.2
GHEX-2,RXYP140AA,共用,2~3,外気処理,3.36,3.88,14,16,1.54,7
GHEX-3,RXYP140AA,共用,2~3,外気処理,3.36,3.88,14,16,1.54,7
GHEX-4,RXYP140AA,共用,4,外気処理,3.36,3.88,14,16,1.54,7
GHEX-5,RXYP140AA,共用,5~6,外気処理,3.36,3.88,14,16,1.54,7
EHP1-1,RXYP690AA,南東,1,研修室,19.5,21,69,77.5,8.93,34.5
EHP1-2,RXYP450AA,北西,1,応接室,13.6,13.5,45,50,6.23,22.5
EHP1-3,RXYP500AA,北東,1,受付,15.9,16.6,50,56,7.28,25
EHP2-1,RXYP450AA,南西,2,事務室,13.6,13.5,45,50,6.23,22.5
EHP2-2,RXYP730AA,南東,2,事務室,21.4,23.7,73,82.5,9.8,36.5
EHP2-3,RXYP335AA,北西,2,事務室,10.1,10.1,33.5,37.5,4.63,16.75
EHP2-4,RXYP615AA,北東,2,事務室,16.3,18,61.5,69,7.47,30.75
EHP2-5,RXYP335AA,北西,2,事務室,10.1,10.1,33.5,37.5,4.63,16.75
EHP2-6,RXYP224AA,南西,2,事務室,5.24,6.33,22.4,25,2.29,11.2
EHP3-1,RXYP450AA,南西,3,事務室,13.6,13.5,45,50,6.23,22.5
EHP3-2,RXYP730AA,南東,3,事務室,21.4,23.7,73,82.5,9.8,36.5
EHP3-3,RXYP335AA,北西,3,製本室,10.1,10.1,33.5,37.5,4.63,16.75
EHP3-4,RXYP615AA,北東,3,製本室,16.3,18,61.5,69,7.47,30.75
EHP3-5,RXYP335AA,北西,3,製本室,10.1,10.1,33.5,37.5,4.63,16.75
EHP3-6,RXYP224AA,南西,3,事務室,5.24,6.33,22.4,25,2.29,11.2
EHP4-1,RXYP450AA,南西,4,事務室,13.6,13.5,45,50,6.23,22.5
EHP4-2,RXYP730AA,南東,4,事務室,21.4,23.7,73,82.5,9.8,36.5
EHP4-3,RXYP335AA,北西,4,事務室,10.1,10.1,33.5,37.5,4.63,16.75
EHP4-4,RXYP615AA,北東,4,事務室,16.3,18,61.5,69,7.47,30.75
EHP4-5,RXYP335AA,北西,4,事務室,10.1,10.1,33.5,37.5,4.63,16.75
EHP4-6,RXYP224AA,南西,4,事務室,5.24,6.33,22.4,25,2.29,11.2
EHP5-1,RXYP560AA,南西,5,,15.4,16.7,56,63,7.05,28
EHP5-2,RXYP730AA,南東,5,,21.4,23.7,73,82.5,9.8,36.5
EHP5-3,RXYP224AA,南西,5,,5.24,6.33,22.4,25,2.29,11.2
EHP6-1,RXYP500AA,南西,6,,15.9,16.6,50,56,7.28,25
EHP6-2,RXYP800AA,南東,6,,24.5,26.1,80,90,11.2,40
EHP6-3,RXYP224AA,南西,6,,5.24,6.33,22.4,25,2.29,11.2
