,ì˙ï ,é¿ê—
1,21.44692499124682,24.0
2,11.157614407360215,9.0
3,5.381980458046507,3.0
5,51.17966341188992,53.0
6,25.09627830890043,16.0
7,22.70427083450295,20.0
9,53.73453657344807,51.0
10,54.584481204516464,52.0
11,29.35218671167531,29.0
12,22.74621961222236,20.0
15,27.262814092999246,30.0
16,25.372784898249932,28.0
17,26.2044684687712,26.0
18,21.524543313233043,24.0
20,13.024840213670288,11.0
21,12.986709691619268,11.0
23,23.035089491077347,19.0
24,9.954626287210058,6.0
25,33.55089370160174,31.0
26,31.959093133840057,34.0
27,13.292073565192347,22.0
28,18.67505592653637,21.0
29,6.8966379176691985,4.0
30,5.538205983209093,3.0
31,11.68520299118301,11.0
32,30.465443206586105,37.0
34,5.223050973051048,3.0
35,4.155908622084878,6.0
36,7.72338144911547,3.0
37,7.458810425467165,3.0
38,10.691930552979969,5.0
42,16.657381937251255,18.0
44,9.346190344654396,10.0
46,7.717847480818955,3.0
48,8.508839650241566,3.0
52,11.539256322265308,4.0
54,17.65141467329399,21.0
55,10.76412965389112,12.0
57,11.393280471778063,15.0
59,10.136295134041362,13.0
60,11.993823374351615,12.0
61,15.34816508044618,22.0
63,12.245032664374788,10.0
64,10.885821292461424,10.0
65,15.261434444614688,15.0
66,18.989899954874552,18.0
67,21.38794559388267,21.0
69,30.668004245194037,25.0
70,25.0439484376218,29.0
72,19.53651512153186,23.0
76,14.0135297847165,15.0
77,13.481045820958672,15.0
78,19.48752937023795,21.0
79,11.733396404951637,12.0
80,26.88505793134765,34.0
82,19.87603158163417,17.0
83,20.017993897750554,21.0
84,14.049215866299567,14.0
86,26.625350800079186,27.0
87,30.762614103686477,38.0
88,20.026389761879265,17.0
90,8.262346652109837,10.0
91,13.25798632403027,11.0
92,13.572083812822092,15.0
94,16.575377580347073,17.0
97,32.743580161261406,32.0
98,21.647138365431992,18.0
99,22.371432144581103,27.0
100,51.33608712056026,52.0
101,38.6933946919795,44.0
102,38.223448181287566,41.0
103,36.90798299851419,43.0
104,30.752048119866316,35.0
105,22.1497797178217,21.0
106,44.03484275664984,41.0
107,54.83758645077211,57.0
109,49.904184709720674,42.0
110,55.81546400169665,64.0
111,50.03714224193347,48.0
112,59.580959318107446,71.0
113,53.29571883018195,44.0
114,55.35949857546362,63.0
118,42.01773806274232,48.0
120,27.50702827052861,26.0
121,46.09394296499733,41.0
122,60.0422874394783,89.0
123,42.862172649233365,37.0
124,30.692680429620133,11.0
125,50.57134683189932,52.0
126,51.32517573449715,46.0
127,51.319058371823026,52.0
129,35.62390092732805,41.0
130,51.86083284665787,61.0
131,43.11264972685016,47.0
133,28.636187556287673,29.0
134,9.855827723933402,15.0
136,7.13612783724899,5.0
138,13.752176286729194,9.0
139,36.92158814195478,31.0
140,46.654311852767165,44.0
141,41.75946464633404,39.0
144,36.56974245843071,36.0
145,38.333875858642294,35.0
146,51.74023049424888,58.0
147,52.150951715253115,57.0
148,48.322798535886356,48.0
149,46.56191136026247,42.0
150,42.505085868689385,38.0
154,5.077365553779011,3.0
155,3.735101346429857,6.0
156,7.437482296152228,6.0
158,7.7250713914819125,11.0
159,7.540583998424606,6.0
160,8.806052352726544,8.0
163,20.33036235752342,14.0
164,19.83013834151176,11.0
168,11.410082160424759,12.0
170,29.296079485228578,29.0
171,18.73657345653375,22.0
172,7.5381436117815115,6.0
173,12.34972251493568,13.0
174,22.07715140379384,18.0
175,39.056583543087655,35.0
178,6.484623773799309,3.0
179,11.527773114016826,13.0
182,13.05811349016737,11.0
185,10.02986160789925,4.0
186,15.072889265835496,15.0
187,13.159353155792042,12.0
189,8.480182350697884,10.0
190,15.711330717576754,15.0
191,16.963724331219545,22.0
192,10.31878613598593,5.0
193,11.976305645733541,12.0
194,4.129533676253954,4.0
195,6.325486713657301,3.0
196,10.386370683184252,12.0
199,12.975118664476945,4.0
200,8.88832704838761,3.0
201,13.717174742535898,6.0
204,28.115945606994867,28.0
205,39.60621566684335,48.0
206,31.487855372512907,32.0
207,26.84604062060803,28.0
209,27.946484359987128,34.0
211,16.9785673949755,20.0
214,26.249229159097407,29.0
215,21.023201828799174,33.0
216,10.00455851475664,8.0
217,21.63612110674528,27.0
220,11.48171187587648,12.0
221,16.564593080828665,16.0
223,18.399072564475293,18.0
224,14.575001162987496,3.0
225,19.035133869831313,20.0
226,40.91905659268123,42.0
227,35.78885907948222,35.0
228,30.52209796543742,36.0
230,22.626595854885394,23.0
231,35.47794593725244,43.0
232,20.194115110485022,10.0
234,34.901407473770654,35.0
235,23.62163699038006,33.0
236,31.23553337818738,33.0
237,42.112027081109794,42.0
238,44.34018003287214,48.0
240,53.18258738566657,47.0
241,55.97143829767628,65.0
242,36.06646244095306,41.0
243,21.042945721999647,3.0
244,25.572151562498217,28.0
245,47.77437832047073,48.0
246,50.40622288971128,49.0
248,71.31941457749052,66.0
249,68.00770110238514,62.0
251,61.476546654748766,61.0
252,54.187469702173175,56.0
253,56.54364128457716,57.0
254,62.875272755984,73.0
255,53.65738337997262,60.0
256,58.88698371205167,64.0
257,75.86292121996858,69.0
259,46.57816198601291,41.0
260,55.4746865846755,58.0
262,91.93037168491507,91.0
263,67.83143623875375,72.0
265,55.89571916346328,62.0
266,68.07598385508796,63.0
267,55.31007958435893,55.0
270,85.15265463791899,105.0
271,72.72943722551904,83.0
272,85.51935553693079,101.0
273,33.15730499011679,3.0
274,51.07150779215926,3.0
276,74.23591071140315,3.0
278,97.75648762877975,87.0
279,97.61708296214617,102.0
280,93.15093862977093,109.0
282,114.05601833807872,145.0
283,101.51159355667868,120.0
284,86.8359782505721,101.0
285,75.26832495230086,69.0
286,109.03031570812226,110.0
288,91.3272353239337,86.0
289,92.11433870602295,105.0
290,96.98984886080495,104.0
291,65.69048232634093,62.0
292,100.66152869076662,102.0
293,84.88813548842819,87.0
294,93.95567301895863,89.0
295,91.3272353239337,92.0
296,103.35226683576788,103.0
297,98.41261198953602,102.0
298,70.27817678387883,70.0
299,85.461743454171,81.0
300,77.12774856055067,77.0
301,75.03136343093992,75.0
302,59.148923812491276,57.0
303,90.95094235511934,90.0
304,81.8906433970589,97.0
306,83.79905421565486,69.0
307,85.5256044509222,85.0
308,83.24429996275232,88.0
309,77.84683435459085,72.0
310,90.7629770714805,109.0
313,94.9004485473542,95.0
314,96.9890846027779,83.0
316,106.41573197587888,122.0
322,105.13503946521516,115.0
323,87.16078315369997,81.0
325,93.61010054528668,87.0
326,94.87553135034912,76.0
328,100.97335963974156,106.0
330,83.40837963047454,95.0
331,75.92679394615688,77.0
334,52.04258307899097,61.0
337,61.73334038990475,65.0
338,60.83583309957411,59.0
340,52.07606298697569,55.0
343,49.048812921052,58.0
345,44.24547505633367,44.0
347,27.391743069404427,24.0
348,48.71355297744854,50.0
350,34.04982743680158,37.0
352,57.30793706981001,60.0
354,47.269012864693686,30.0
355,90.01022589916599,112.0
356,69.30874083046288,58.0
357,53.359491826319186,51.0
358,44.52106282394629,48.0
359,36.9904892981167,36.0
360,35.60789326782447,37.0
