,ì˙ï ,é¿ê—
8,7.576022984446019,5.0
12,5.441817057504485,5.0
23,-1.0142404687685653,4.0
26,0.8704366633545575,5.0
28,8.141389519495986,4.0
29,3.823583317944786,5.0
33,5.946405384489794,5.0
35,4.387783159270799,4.0
37,10.09744655794687,4.0
47,17.490438373904762,19.0
52,-0.24270292795227527,27.0
53,27.350015506025656,32.0
54,25.079880023962613,31.0
57,22.968137957832788,21.0
61,22.328398402151816,23.0
63,33.71520016291931,28.0
67,39.925275470443445,42.0
70,38.19102998443009,46.0
74,37.837927207315595,34.0
77,32.53260072171283,40.0
80,31.498623271202998,14.0
81,41.49015678673409,43.0
86,22.42011675666558,26.0
88,46.32193475297668,64.0
95,39.9211664669173,32.0
96,42.9705629097001,48.0
104,55.380223840270894,61.0
108,66.722014849821,68.0
113,66.81523213695517,45.0
118,79.5222181741641,79.0
119,77.95682657174456,69.0
127,82.94892646505244,99.0
130,72.90547197638132,58.0
133,54.74400346816208,63.0
135,12.8293949538021,33.0
139,76.39651092854443,56.0
142,50.94664716141289,53.0
143,69.18333710119623,52.0
147,75.82319079918332,97.0
148,74.53898192681471,106.0
149,47.60875313419643,69.0
151,81.45867980055444,107.0
154,16.861889882891518,29.0
155,20.46186225621092,28.0
163,21.895077700450244,13.0
166,39.87982147589382,43.0
169,29.63703786380743,24.0
173,38.56601918649051,40.0
176,49.45209851201698,48.0
178,9.352742674405768,14.0
179,13.474364582716206,25.0
183,27.601817272851907,18.0
185,21.31093624662517,15.0
186,39.44045909234334,36.0
189,26.68929913169215,30.0
196,12.93049412369379,23.0
197,28.05762384316996,30.0
200,6.806933817359611,17.0
201,10.495080600126133,7.0
212,2.7768369748424857,4.0
216,8.937227152858663,12.0
217,6.815237257957602,6.0
218,6.257898279945518,4.0
221,6.768314477892475,5.0
222,14.01554230966831,4.0
226,7.566454492367146,4.0
227,14.595492105038112,5.0
233,11.061232665247582,5.0
234,6.624338803157892,4.0
238,9.265279618269604,5.0
239,4.384331251037357,4.0
241,33.271533856446965,28.0
242,29.018995508556404,33.0
243,21.429829424022838,21.0
246,28.259319740213094,12.0
251,26.20323839562525,12.0
252,22.157371031516316,9.0
253,22.71895260687365,7.0
257,51.86421301475702,47.0
258,35.49868046919222,40.0
259,33.30733380617169,23.0
261,47.85094932304999,43.0
266,35.7979552955612,40.0
272,59.319495558840636,53.0
273,45.860379159580525,5.0
274,59.95040845261736,4.0
275,68.81173286642684,5.0
276,76.04699210630739,68.0
278,61.108989491527026,105.0
281,79.90896926974133,122.0
287,52.48524739877821,52.0
290,63.39408950545606,50.0
291,49.96575460848827,67.0
292,71.1303160970736,68.0
294,77.93188020894024,61.0
300,53.166463273213324,43.0
304,64.8550839368395,37.0
308,55.55821928956486,55.0
312,66.4902184202408,79.0
318,67.29682786416124,110.0
324,57.871257899179554,54.0
325,49.102357104896036,63.0
327,61.88622030668674,68.0
329,58.11880427516877,67.0
336,13.038467372581179,11.0
338,7.609853978473131,4.0
345,-0.26102623045318196,5.0
354,8.157147525986845,39.0
359,0.2494169382651267,4.0
361,1.3945647227280338,4.0
362,11.490993843834676,5.0
