,“ú•Ê
0,190.37
1,50.95
2,59.9
4,30.44
5,183.42
7,14.5
8,287.42
9,46.3
10,115.54
13,4.62
15,45.3
16,77.86
17,10.93
21,58.24
22,26.47
25,281.77
26,147.17
27,56.13
28,53.5
30,10.24
32,12.47
33,115.38
34,16.45
35,56.23
36,64.43
38,34.07
41,30.37
42,66.79
45,9.45
46,55.32
47,38.43
48,10.51
49,179.13
50,46.01
52,41.73
53,1.6
54,9.46
55,14.63
56,24.11
57,4.61
61,17.95
62,8.36
64,8.16
65,52.59
66,255.8
68,9.25
69,8.28
70,17.08
71,6.44
72,59.62
73,6.3
75,1.42
76,7.62
77,10.5
78,13.64
80,26.87
82,1.26
84,16.13
86,132.97
87,4.44
90,15.89
91,33.28
93,48.34
94,10.95
96,17.89
98,2.61
102,7.87
103,0.09
104,5.7
105,7.91
106,3.66
107,483.44
108,10.33
110,1.8
111,4.23
112,19.5
114,20.76
116,0.38
118,1.66
119,0.93
121,3.13
122,9.8
123,3.94
124,10.1
127,4.54
128,434.16
129,9.85
131,6.6
133,0.12
134,0.7
137,69.36
138,19.23
139,18.22
140,4.41
141,7.49
142,19.11
143,6.36
144,5.2
146,2.36
148,10.38
149,724.28
151,6.73
153,50.74
154,329.16
155,31.64
156,105.16
157,57.38
158,76.91
159,19.72
162,8.51
164,6.05
166,7.24
167,0.5
168,24.12
169,12.2
171,56.12
172,23.75
173,11.84
174,3.22
175,3.0
176,33.09
178,50.95
179,70.46
180,44.83
181,0.52
183,247.95
184,165.34
187,36.4
189,18.95
191,87.37
192,208.53
193,0.14
194,3.57
195,82.25
196,17.39
197,30.82
198,16.52
199,119.17
201,318.56
202,20.25
204,8.29
205,64.31
207,27.65
208,11.18
209,1.74
210,23.8
211,6.02
212,43.18
213,11.07
215,43.26
218,11.94
220,17.49
221,13.03
222,172.98
224,80.35
225,39.36
226,45.27
228,48.61
230,63.6
231,19.13
232,14.62
234,10.52
235,0.93
236,212.08
237,12.31
239,3.91
240,254.74
241,5.17
242,0.06
243,16.22
244,2.32
245,8.63
246,1.57
247,170.84
248,8.74
251,2.57
252,11.9
253,14.93
257,10.28
259,1.38
260,3.09
261,19.24
263,0.18
264,3.86
265,5.89
266,1.81
267,1.23
268,7.93
269,19.29
270,14.96
271,15.52
272,166.22
275,825.32
276,957.97
277,1271.0
278,8.91
279,33.97
280,13.54
282,20.18
283,7.0
284,0.97
286,4.77
287,4.2
288,24.32
289,671.8
290,7.89
291,1.29
292,6.14
293,4.17
294,3.91
297,0.66
299,3.02
301,17.46
302,8.38
303,22.81
304,15.85
305,27.64
308,6.6
314,0.48
315,4.08
316,18.87
317,2.55
318,3.74
319,5.93
320,0.03
321,0.52
323,10.77
325,4.11
326,17.02
328,10.19
330,3.9
331,5.91
332,9.99
335,15.83
336,0.31
337,1.2
339,13.89
342,4.0
343,14.47
344,1.51
345,13.31
347,184.98
348,20.73
349,202.28
352,11.88
353,1.04
354,5.37
355,1.87
357,0.36
358,1.99
360,176.23
361,17.14
362,6.73
364,87.35
